Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,25.44,25.86,25.40,25.75,78000,25.75
2015-02-12,24.94,25.57,24.84,25.51,73700,25.51
2015-02-11,24.98,25.20,24.78,24.86,59800,24.86
2015-02-10,25.38,25.69,24.86,25.10,83500,25.10
2015-02-09,25.33,25.59,24.99,25.16,42000,25.16
2015-02-06,25.15,25.63,25.15,25.46,94100,25.46
2015-02-05,24.57,25.33,24.53,25.13,194200,25.13
2015-02-04,25.01,25.32,24.80,24.89,183300,24.89
2015-02-03,24.73,25.89,24.73,25.18,132600,25.18
2015-02-02,24.25,24.74,24.12,24.58,103700,24.58
2015-01-30,24.50,25.00,24.11,24.13,117900,24.13
2015-01-29,22.75,24.91,22.75,24.69,260300,24.69
2015-01-28,23.61,23.64,22.71,22.75,77800,22.75
2015-01-27,23.92,23.92,23.39,23.50,66400,23.50
2015-01-26,24.00,24.32,23.59,24.30,46100,24.30
2015-01-23,24.66,24.69,23.98,24.16,42600,24.16
2015-01-22,23.19,24.59,23.14,24.59,75900,24.59
2015-01-21,23.24,23.66,22.91,23.01,74400,23.01
2015-01-20,23.56,24.18,23.05,23.35,52900,23.35
2015-01-16,22.90,23.58,22.71,23.49,59400,23.49
2015-01-15,23.61,23.61,22.97,23.00,100300,23.00
2015-01-14,23.54,24.80,23.50,23.63,54400,23.63
2015-01-13,23.86,24.44,23.50,23.81,42600,23.81
2015-01-12,23.98,24.02,23.55,23.77,72600,23.77
2015-01-09,24.65,24.65,23.94,23.97,62800,23.97
2015-01-08,24.60,24.85,24.54,24.70,56600,24.70
2015-01-07,24.93,25.06,24.44,24.49,60400,24.49
2015-01-06,25.26,25.26,24.41,24.73,103300,24.73
2015-01-05,25.22,25.63,24.96,25.25,119800,25.25
2015-01-02,25.83,25.86,24.92,25.27,73300,25.27
2014-12-31,26.00,26.09,25.60,25.64,79900,25.64
2014-12-30,25.96,26.04,25.78,25.99,39900,25.99
2014-12-29,26.01,26.27,25.93,26.00,82800,26.00
2014-12-26,26.00,26.08,25.83,25.97,36900,25.92
2014-12-24,25.73,26.00,25.49,25.94,20100,25.89
