Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,45.05,46.17,45.02,46.09,6524900,46.09
2015-02-12,45.04,45.25,44.80,45.22,4683700,45.22
2015-02-11,44.88,45.20,44.56,44.93,4302900,44.93
2015-02-10,44.68,45.01,44.40,44.92,5210500,44.92
2015-02-09,45.21,45.21,44.30,44.52,6585900,44.52
2015-02-06,45.59,46.21,45.33,45.50,5550600,45.50
2015-02-05,45.26,45.87,45.26,45.65,6374400,45.65
2015-02-04,45.55,45.99,45.05,45.17,8231200,45.17
2015-02-03,45.41,45.88,45.34,45.83,8380300,45.83
2015-02-02,44.93,45.24,44.28,45.23,7312900,45.23
2015-01-30,45.40,45.63,44.70,44.76,9613300,44.76
2015-01-29,43.79,45.41,43.70,45.26,10054600,45.26
2015-01-28,43.94,44.20,43.36,43.41,7641000,43.41
2015-01-27,43.88,44.02,43.43,43.68,4847400,43.68
2015-01-26,43.74,44.20,43.42,44.15,4376200,44.15
2015-01-23,44.48,44.48,43.82,43.86,6664000,43.86
2015-01-22,44.34,44.57,43.80,44.49,5329100,44.49
2015-01-21,43.96,44.25,43.62,44.06,5328200,44.06
2015-01-20,44.67,44.75,43.89,44.22,5159900,44.22
2015-01-16,43.80,44.55,43.72,44.49,4564200,44.49
2015-01-15,44.28,44.67,43.90,43.95,3916200,43.95
2015-01-14,44.29,44.66,43.93,44.28,5865900,44.28
2015-01-13,45.34,45.53,44.25,44.61,6736900,44.61
2015-01-12,45.38,45.76,44.94,45.58,6175600,45.34
2015-01-09,45.75,45.87,45.11,45.20,4742200,44.96
2015-01-08,45.19,45.79,45.01,45.68,4883000,45.44
2015-01-07,44.73,44.94,44.38,44.76,4609500,44.52
2015-01-06,44.99,45.11,43.93,44.40,6584300,44.17
2015-01-05,44.80,45.40,44.63,44.91,5735900,44.67
2015-01-02,45.25,45.45,44.64,44.90,3216600,44.66
2014-12-31,45.70,46.05,44.99,45.02,3418600,44.78
2014-12-30,45.61,45.92,45.61,45.69,2950400,45.45
2014-12-29,45.59,45.82,45.45,45.60,2580900,45.36
2014-12-26,45.81,46.18,45.71,45.85,2057700,45.61
2014-12-24,45.74,45.95,45.64,45.70,2527200,45.46
2014-12-23,46.13,46.50,45.47,45.72,4078900,45.48
2014-12-22,45.93,46.50,45.91,46.37,4831400,46.13
2014-12-19,45.91,46.45,45.78,46.05,11329200,45.81
2014-12-18,44.71,45.79,44.44,45.77,6703700,45.53
2014-12-17,43.47,44.36,43.41,44.26,5045700,44.03
2014-12-16,43.23,44.42,43.10,43.40,6186500,43.17
2014-12-15,44.16,44.36,43.35,43.46,4993800,43.23
2014-12-12,44.12,44.55,43.67,43.69,5191400,43.46
2014-12-11,44.51,45.12,44.30,44.46,3954300,44.23
2014-12-10,45.33,45.46,44.33,44.37,5489800,44.14
2014-12-09,45.33,45.47,44.88,45.44,3554000,45.20
2014-12-08,45.35,46.10,45.34,45.71,4220000,45.47
2014-12-05,45.43,45.53,45.20,45.30,4179500,45.06
2014-12-04,45.66,45.95,45.25,45.49,6377200,45.25
2014-12-03,45.22,45.81,45.10,45.68,4993000,45.44
2014-12-02,44.68,45.62,44.68,45.22,10935500,44.98
2014-12-01,44.27,44.57,44.20,44.32,5340400,44.09
2014-11-28,44.45,44.76,44.41,44.51,2440100,44.28
2014-11-26,44.16,44.43,43.99,44.25,2876700,44.02
2014-11-25,44.31,44.38,43.97,44.16,4651800,43.93
2014-11-24,43.59,44.40,43.59,44.32,3798700,44.09
2014-11-21,44.15,44.19,43.71,43.81,6495800,43.58
2014-11-20,43.30,43.84,43.05,43.78,4862100,43.55
2014-11-19,43.79,43.79,43.35,43.43,3768000,43.20
2014-11-18,43.80,43.88,43.43,43.70,6724900,43.47
2014-11-17,43.71,43.95,43.61,43.71,3871700,43.48
2014-11-14,44.59,44.59,43.68,43.81,4206000,43.58
2014-11-13,44.28,44.77,44.21,44.59,3488800,44.36
2014-11-12,44.19,44.30,43.94,44.23,3486000,44.00
2014-11-11,44.12,44.63,44.10,44.25,3192600,44.02
2014-11-10,43.35,44.10,43.17,44.09,5318900,43.86
2014-11-07,43.77,43.81,43.17,43.37,3992700,43.14
2014-11-06,43.60,43.84,43.44,43.69,3770600,43.46
2014-11-05,43.93,43.99,43.34,43.66,4193200,43.43
2014-11-04,43.02,43.64,43.02,43.61,4187100,43.38
2014-11-03,43.56,43.69,43.06,43.29,4404100,43.06
2014-10-31,44.05,44.06,43.44,43.59,6124900,43.36
2014-10-30,42.70,43.52,42.53,43.49,3828800,43.26
2014-10-29,42.81,43.56,42.40,42.74,4253200,42.51
2014-10-28,42.22,42.51,41.95,42.50,6106200,42.28
2014-10-27,42.43,42.48,42.04,42.24,3943900,42.02
2014-10-24,42.34,42.67,42.12,42.46,4676900,42.24
2014-10-23,42.00,42.77,41.95,42.43,4599300,42.21
2014-10-22,42.50,43.03,41.48,41.59,6986500,41.37
2014-10-21,41.91,42.43,41.75,42.39,5352600,42.17
2014-10-20,40.85,41.51,40.67,41.46,5014400,41.24
2014-10-17,40.35,41.04,40.17,40.86,7215400,40.64
2014-10-16,39.34,40.31,39.28,39.99,8828700,39.78
2014-10-15,40.38,40.53,39.36,40.01,8971800,39.80
2014-10-14,41.00,41.94,40.94,41.06,7129200,40.84
2014-10-13,41.47,41.77,40.87,40.92,4494600,40.70
2014-10-10,41.47,42.29,41.45,41.54,4990100,41.32
2014-10-09,42.19,42.54,41.61,41.63,5503700,41.19
2014-10-08,41.44,42.17,41.35,42.14,6067400,41.70
2014-10-07,42.09,42.18,41.45,41.46,5178200,41.02
2014-10-06,42.04,42.47,41.99,42.36,6713300,41.91
2014-10-03,41.41,41.86,41.28,41.79,3430900,41.35
2014-10-02,41.22,41.45,40.91,41.21,4707100,40.78
2014-10-01,42.05,42.06,41.01,41.18,5573800,40.75
2014-09-30,41.80,41.99,41.59,41.59,4874800,41.15
2014-09-29,41.67,42.01,41.67,41.90,4881100,41.46
2014-09-26,42.13,42.24,41.91,42.01,6349900,41.57
2014-09-25,42.42,42.48,41.97,42.00,4316700,41.56
2014-09-24,42.45,42.91,42.44,42.63,6268300,42.18
2014-09-23,42.71,43.16,42.49,42.50,6585900,42.05
2014-09-22,43.59,43.67,43.22,43.40,3402000,42.94
2014-09-19,43.96,44.20,43.56,43.59,6139300,43.13
2014-09-18,43.49,43.87,43.44,43.69,5032900,43.23
2014-09-17,42.94,43.57,42.76,43.38,4788700,42.92
2014-09-16,42.71,42.97,42.49,42.90,3179500,42.45
2014-09-15,42.61,42.78,42.44,42.72,3067500,42.27
2014-09-12,42.62,42.87,42.45,42.55,4259600,42.10
2014-09-11,42.69,43.03,42.38,42.56,7754900,42.11
2014-09-10,42.98,43.05,42.63,42.90,3503000,42.45
2014-09-09,42.83,42.98,42.64,42.83,3586800,42.38
2014-09-08,42.88,43.08,42.60,42.81,2602900,42.36
2014-09-05,42.88,42.96,42.45,42.95,3484300,42.50
2014-09-04,42.80,43.08,42.67,42.90,4123200,42.45
2014-09-03,42.40,42.79,42.35,42.76,4143500,42.31
2014-09-02,42.17,42.40,41.94,42.23,4300900,41.79
2014-08-29,42.41,42.41,42.06,42.24,4384400,41.80
2014-08-28,42.43,42.60,42.27,42.35,2525300,41.90
2014-08-27,42.73,42.88,42.50,42.60,2805100,42.15
2014-08-26,42.50,42.93,42.37,42.80,3229100,42.35
2014-08-25,42.41,42.70,42.27,42.49,2424000,42.04
2014-08-22,42.22,42.33,42.00,42.11,2462400,41.67
2014-08-21,42.29,42.52,42.20,42.32,3060800,41.87
2014-08-20,42.22,42.49,41.96,42.14,4953600,41.70
2014-08-19,42.30,42.62,42.09,42.54,2963300,42.09
2014-08-18,42.62,42.62,42.10,42.23,3234800,41.79
2014-08-15,42.36,42.65,41.71,42.06,5031600,41.62
2014-08-14,42.15,42.45,42.15,42.33,4679900,41.88
2014-08-13,41.88,42.16,41.83,42.16,3441500,41.72
2014-08-12,41.91,42.11,41.42,41.57,3337500,41.13
2014-08-11,41.92,42.16,41.63,42.05,2630400,41.61
2014-08-08,41.48,41.72,41.15,41.69,4417600,41.25
2014-08-07,41.75,41.98,41.48,41.53,4013800,41.09
2014-08-06,41.67,41.97,41.44,41.77,3726900,41.33
2014-08-05,42.14,42.37,41.66,41.78,4190500,41.34
2014-08-04,42.12,42.50,41.84,42.39,3639100,41.94
