Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,12.25,12.38,12.13,12.14,11347700,12.14
2015-02-12,12.12,12.22,11.93,12.13,11627200,12.13
2015-02-11,12.20,12.26,11.89,11.94,11344000,11.94
2015-02-10,12.28,12.30,11.95,12.17,17280400,12.17
2015-02-09,12.39,12.60,12.35,12.50,11698200,12.50
2015-02-06,12.55,12.69,12.19,12.32,18986200,12.32
2015-02-05,12.87,13.15,12.75,13.06,10661300,13.06
2015-02-04,12.76,13.06,12.72,12.91,12409700,12.91
2015-02-03,12.80,13.14,12.46,12.68,19240300,12.68
2015-02-02,12.52,13.04,12.50,12.89,14963000,12.89
2015-01-30,12.35,12.94,12.17,12.78,16184700,12.78
2015-01-29,12.28,12.43,12.07,12.29,18368200,12.29
2015-01-28,12.92,13.12,12.49,12.61,19198600,12.61
2015-01-27,12.89,13.25,12.84,13.11,23691300,13.11
2015-01-26,12.10,12.76,12.00,12.69,15653600,12.69
2015-01-23,12.66,12.79,12.34,12.43,19713500,12.43
2015-01-22,12.90,13.25,12.66,12.79,25263700,12.79
2015-01-21,12.78,13.09,12.28,12.74,36016800,12.74
2015-01-20,12.20,12.67,12.10,12.53,35889300,12.53
2015-01-16,11.49,11.90,11.42,11.75,32505500,11.75
2015-01-15,10.72,11.42,10.57,11.37,47959200,11.37
2015-01-14,10.82,10.86,10.15,10.41,24995100,10.41
2015-01-13,11.47,11.49,10.52,10.68,27751100,10.68
2015-01-12,11.06,11.42,10.88,11.33,31410200,11.33
2015-01-09,10.96,11.19,10.72,10.99,18536300,10.99
2015-01-08,11.01,11.30,10.75,10.81,18134100,10.81
2015-01-07,11.08,11.41,10.93,11.12,14361600,11.12
2015-01-06,11.02,11.46,10.93,11.27,21643700,11.27
2015-01-05,10.98,11.08,10.52,10.90,16028900,10.90
2015-01-02,10.54,10.94,10.45,10.91,13884500,10.91
2014-12-31,10.82,10.89,10.57,10.75,10791300,10.75
2014-12-30,10.58,11.03,10.57,10.86,16975400,10.86
2014-12-29,10.50,10.64,10.37,10.48,13918000,10.48
2014-12-26,10.57,10.78,10.48,10.58,14282300,10.58
2014-12-24,10.19,10.42,10.04,10.31,9273600,10.31
2014-12-23,10.34,10.56,10.12,10.17,15624500,10.17
2014-12-22,10.84,10.91,10.27,10.32,18471500,10.32
2014-12-19,11.08,11.24,10.83,10.83,47500400,10.83
2014-12-18,10.95,11.14,10.80,11.09,19607800,11.09
2014-12-17,10.32,10.88,10.30,10.76,21296400,10.76
2014-12-16,10.76,10.77,10.26,10.32,25554600,10.32
2014-12-15,11.19,11.30,10.44,10.45,24684100,10.45
2014-12-12,11.78,11.90,11.42,11.47,15284900,11.47
2014-12-11,11.81,12.28,11.64,11.82,16496000,11.82
2014-12-10,12.08,12.52,11.91,11.94,19150800,11.94
2014-12-09,11.85,12.31,11.78,12.06,17570500,12.06
2014-12-08,11.68,11.71,11.19,11.54,18570400,11.54
2014-12-05,11.72,11.80,11.43,11.56,15812400,11.56
2014-12-04,12.34,12.48,11.91,11.96,14253100,11.96
2014-12-03,12.07,12.50,12.00,12.33,12212800,12.33
2014-12-02,12.12,12.32,11.87,11.93,14912900,11.93
2014-12-01,12.21,12.50,11.83,12.41,29024200,12.41
2014-11-28,12.32,12.36,11.83,11.89,13464100,11.89
2014-11-26,13.06,13.06,12.82,12.93,11325500,12.93
2014-11-25,12.65,12.95,12.52,12.90,17969000,12.85
2014-11-24,12.79,12.89,12.53,12.58,11092200,12.53
2014-11-21,13.18,13.18,12.68,12.85,12992200,12.80
2014-11-20,12.61,12.95,12.51,12.83,13994300,12.78
2014-11-19,13.25,13.25,12.36,12.46,23847300,12.41
2014-11-18,12.74,13.33,12.69,13.29,26007400,13.24
2014-11-17,12.31,12.63,12.09,12.47,15598300,12.42
2014-11-14,11.42,12.35,11.30,12.28,17843700,12.23
2014-11-13,11.85,11.91,11.45,11.51,12109800,11.47
2014-11-12,11.93,11.94,11.49,11.73,11830100,11.68
2014-11-11,11.50,11.80,11.40,11.64,19777100,11.59
2014-11-10,11.93,11.99,11.26,11.35,17389200,11.31
2014-11-07,11.57,12.19,11.55,12.16,20838400,12.11
2014-11-06,11.15,11.53,11.09,11.34,19088000,11.30
2014-11-05,11.17,11.48,10.90,10.97,26788000,10.93
2014-11-04,11.98,12.03,11.40,11.46,16736600,11.42
2014-11-03,11.82,12.00,11.51,11.92,18582200,11.87
2014-10-31,11.97,12.12,11.33,11.87,33658100,11.82
2014-10-30,12.85,12.98,12.20,12.29,26752100,12.24
2014-10-29,13.39,13.42,12.80,12.83,15936500,12.78
2014-10-28,13.38,13.57,13.25,13.52,6878500,13.47
2014-10-27,13.40,13.43,13.28,13.30,9042000,13.25
2014-10-24,13.52,13.59,13.32,13.52,9428700,13.47
2014-10-23,13.33,13.65,13.16,13.45,11017900,13.40
2014-10-22,13.57,13.71,13.37,13.39,10546400,13.34
2014-10-21,13.87,13.87,13.52,13.62,9726500,13.57
2014-10-20,13.54,13.73,13.43,13.68,7813300,13.63
2014-10-17,13.85,13.88,13.41,13.41,11240000,13.36
2014-10-16,13.47,14.00,13.41,13.78,12820700,13.73
2014-10-15,13.62,13.94,13.40,13.55,13742700,13.50
2014-10-14,13.63,13.91,13.53,13.67,10181900,13.62
2014-10-13,13.63,13.88,13.42,13.45,10546700,13.40
2014-10-10,13.82,14.04,13.46,13.48,11679900,13.43
2014-10-09,14.40,14.41,13.57,13.93,19648600,13.88
2014-10-08,13.90,14.48,13.41,14.37,20503900,14.31
2014-10-07,14.26,14.32,13.58,13.66,20884600,13.61
2014-10-06,14.25,14.35,14.15,14.24,13519500,14.18
2014-10-03,14.41,14.41,14.06,14.16,14979200,14.11
2014-10-02,14.84,14.90,14.48,14.70,13280300,14.64
