Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,60.19,60.45,60.19,60.44,629300,60.44
2015-02-12,59.70,60.09,59.67,60.06,592300,60.06
2015-02-11,59.26,59.45,59.04,59.32,880000,59.32
2015-02-10,59.22,59.51,58.99,59.47,450700,59.47
2015-02-09,58.96,59.18,58.86,58.97,1836200,58.97
2015-02-06,59.43,59.64,59.03,59.18,751500,59.18
2015-02-05,59.33,59.70,59.27,59.68,1474700,59.68
2015-02-04,59.21,59.43,58.97,59.04,1254300,59.04
2015-02-03,58.75,59.40,58.75,59.39,3016300,59.39
2015-02-02,57.94,58.54,57.63,58.48,2613100,58.48
2015-01-30,57.92,58.36,57.64,57.73,4620400,57.73
2015-01-29,58.13,58.59,57.81,58.52,2817800,58.52
2015-01-28,59.02,59.02,57.94,57.97,3868100,57.97
2015-01-27,58.84,59.02,58.48,58.75,1824900,58.75
2015-01-26,58.87,59.23,58.70,59.16,2029700,59.16
2015-01-23,58.90,59.11,58.76,58.76,2648400,58.76
2015-01-22,58.59,59.19,58.27,59.12,2468700,59.12
2015-01-21,58.10,58.52,57.89,58.44,3439300,58.44
2015-01-20,58.10,58.21,57.64,58.01,3414900,58.01
2015-01-16,57.22,57.93,57.11,57.88,2580300,57.88
2015-01-15,57.66,57.86,57.17,57.21,2808500,57.21
2015-01-14,57.06,57.41,56.78,57.34,3271000,57.34
2015-01-13,58.00,58.37,57.17,57.61,7197800,57.61
2015-01-12,58.03,58.03,57.35,57.57,3101800,57.57
2015-01-09,58.40,58.40,57.69,57.90,3150200,57.90
2015-01-08,57.87,58.36,57.82,58.26,1926900,58.26
2015-01-07,57.08,57.44,56.94,57.36,2697900,57.36
2015-01-06,57.20,57.43,56.40,56.62,5221500,56.62
2015-01-05,58.03,58.03,57.10,57.21,2173500,57.21
2015-01-02,58.66,58.88,58.15,58.36,1423500,58.36
2014-12-31,59.19,59.25,58.32,58.50,5748200,58.50
2014-12-30,59.27,59.27,59.02,59.03,1773300,59.03
2014-12-29,59.41,59.56,59.29,59.42,1271200,59.42
2014-12-26,59.47,59.64,59.35,59.55,726900,59.55
2014-12-24,59.38,59.44,59.23,59.31,925100,59.31
2014-12-23,59.18,59.34,59.09,59.20,2522900,59.20
2014-12-22,59.10,59.23,58.99,59.22,2569200,59.22
2014-12-19,58.91,59.14,58.61,58.87,2189100,58.87
2014-12-18,58.21,58.73,58.04,58.71,2985200,58.71
2014-12-17,56.61,57.64,56.61,57.46,4797700,57.46
2014-12-16,57.03,58.00,56.87,56.99,8379200,56.50
2014-12-15,58.05,58.16,56.97,57.16,2925100,56.67
2014-12-12,58.50,58.66,57.79,57.79,2015400,57.30
2014-12-11,58.75,59.31,58.69,58.78,1327400,58.28
2014-12-10,59.39,59.53,58.65,58.74,1562300,58.24
2014-12-09,59.34,59.69,59.15,59.64,4709300,59.13
2014-12-08,60.22,60.22,59.70,59.83,1268800,59.32
2014-12-05,60.49,60.51,60.28,60.39,1440100,59.87
2014-12-04,60.40,60.50,60.12,60.33,2324400,59.81
2014-12-03,60.32,60.50,60.24,60.47,908200,59.95
2014-12-02,60.12,60.34,60.04,60.31,2527200,59.79
2014-12-01,60.13,60.27,59.89,60.05,1393200,59.54
2014-11-28,60.42,60.56,60.32,60.43,775200,59.91
2014-11-26,60.67,60.82,60.62,60.80,720400,60.28
2014-11-25,60.72,60.75,60.50,60.56,1771500,60.04
2014-11-24,60.63,60.63,60.46,60.59,969000,60.07
2014-11-21,60.63,60.63,60.23,60.44,669500,59.92
2014-11-20,59.66,59.96,59.50,59.92,578200,59.41
2014-11-19,60.00,60.07,59.69,59.96,724400,59.45
2014-11-18,59.83,60.17,59.79,60.06,796900,59.55
2014-11-17,59.49,59.66,59.39,59.62,367100,59.11
2014-11-14,59.52,59.71,59.45,59.71,1108500,59.20
2014-11-13,59.67,59.82,59.39,59.63,1042200,59.12
2014-11-12,59.29,59.59,59.29,59.54,3081100,59.03
2014-11-11,59.60,59.73,59.50,59.73,1422200,59.22
2014-11-10,59.53,59.61,59.39,59.53,338800,59.02
2014-11-07,59.26,59.40,59.09,59.40,744300,58.89
2014-11-06,59.20,59.35,59.00,59.26,595000,58.75
2014-11-05,59.34,59.36,59.05,59.32,651100,58.81
2014-11-04,59.07,59.19,58.77,59.08,1337600,58.57
2014-11-03,59.42,59.50,59.24,59.36,1308300,58.85
2014-10-31,59.46,59.67,59.31,59.61,1484200,59.10
2014-10-30,58.19,58.98,58.19,58.83,1028700,58.33
2014-10-29,58.75,58.93,58.15,58.39,3362300,57.89
2014-10-28,58.33,58.66,58.23,58.65,951400,58.15
2014-10-27,57.71,57.99,57.55,57.92,1492600,57.42
2014-10-24,57.72,58.10,57.66,58.08,929000,57.58
2014-10-23,57.70,58.02,57.53,57.75,1512400,57.26
2014-10-22,57.55,57.73,57.09,57.11,1482500,56.62
2014-10-21,57.05,57.62,56.92,57.55,710900,57.06
2014-10-20,56.24,56.75,56.19,56.71,1408800,56.22
2014-10-17,56.22,56.57,56.01,56.31,1354800,55.83
2014-10-16,54.72,55.99,54.57,55.53,2372700,55.05
2014-10-15,55.49,55.84,54.55,55.69,6117400,55.21
2014-10-14,56.25,56.64,55.93,56.09,1734500,55.61
2014-10-13,56.68,56.95,55.98,56.01,1308400,55.53
2014-10-10,57.14,57.32,56.40,56.40,1409200,55.92
2014-10-09,58.37,58.39,57.22,57.27,3523800,56.78
2014-10-08,57.74,58.67,57.38,58.59,1720000,58.09
2014-10-07,58.25,58.29,57.64,57.64,2276100,57.15
2014-10-06,58.52,58.70,58.28,58.53,2214500,58.03
2014-10-03,58.01,58.35,57.95,58.23,1051900,57.73
2014-10-02,57.93,58.07,57.33,57.90,1546200,57.40
2014-10-01,58.72,58.76,58.00,58.13,1328100,57.63
2014-09-30,58.94,59.18,58.74,58.90,1182400,58.40
2014-09-29,58.77,59.13,58.69,59.05,754100,58.54
2014-09-26,59.07,59.54,59.04,59.39,550600,58.88
2014-09-25,59.72,59.72,58.98,58.98,817100,58.47
2014-09-24,59.68,60.01,59.44,59.95,648300,59.44
2014-09-23,59.72,59.87,59.56,59.58,1246300,59.07
2014-09-22,60.28,60.33,59.85,59.96,497000,59.45
2014-09-19,60.72,60.79,60.37,60.45,439300,59.93
2014-09-18,60.45,60.66,60.45,60.63,459000,60.11
2014-09-17,60.43,60.57,60.11,60.25,744500,59.73
2014-09-16,59.91,60.54,59.85,60.43,1052700,59.91
2014-09-15,60.12,60.13,59.94,60.05,426800,59.54
2014-09-12,60.30,60.31,59.97,60.10,850200,59.59
2014-09-11,60.32,60.43,60.21,60.40,2468900,59.88
2014-09-10,60.44,60.62,60.22,60.59,823800,60.07
2014-09-09,60.62,60.62,60.26,60.40,528400,59.88
2014-09-08,60.96,60.96,60.58,60.72,555500,60.20
2014-09-05,60.89,61.15,60.68,61.15,600300,60.63
2014-09-04,61.17,61.32,60.76,60.89,2042900,60.37
2014-09-03,61.30,61.32,61.03,61.09,1407100,60.57
2014-09-02,60.99,60.99,60.68,60.88,895500,60.36
2014-08-29,60.84,60.92,60.65,60.92,2565100,60.40
2014-08-28,60.64,60.82,60.60,60.81,1099200,60.29
2014-08-27,60.93,61.01,60.87,60.99,737200,60.47
2014-08-26,60.83,61.03,60.83,60.89,692800,60.37
2014-08-25,60.66,60.90,60.66,60.82,567000,60.30
2014-08-22,60.54,60.63,60.30,60.45,744100,59.93
2014-08-21,60.58,60.72,60.53,60.66,1014500,60.14
2014-08-20,60.31,60.55,60.29,60.50,1666400,59.98
2014-08-19,60.35,60.51,60.30,60.48,5075300,59.96
2014-08-18,60.14,60.24,60.04,60.24,394900,59.72
2014-08-15,59.95,60.11,59.35,59.81,826100,59.30
2014-08-14,59.62,59.80,59.62,59.80,264200,59.29
2014-08-13,59.40,59.61,59.37,59.52,275200,59.01
2014-08-12,59.17,59.27,59.02,59.18,1475500,58.67
2014-08-11,59.24,59.41,59.01,59.20,1228900,58.69
2014-08-08,58.42,59.02,58.24,58.99,1923400,58.48
2014-08-07,58.91,59.00,58.26,58.42,1773100,57.92
2014-08-06,58.66,58.98,58.52,58.81,605100,58.31
2014-08-05,59.32,59.34,58.68,58.86,582000,58.36
2014-08-04,59.27,59.68,59.05,59.56,899300,59.05
2014-08-01,59.14,59.51,58.93,59.14,709700,58.63
2014-07-31,60.06,60.06,59.37,59.39,1120300,58.88
2014-07-30,60.73,60.73,60.26,60.51,689100,59.99
2014-07-29,60.82,60.88,60.48,60.48,443700,59.96
2014-07-28,60.76,60.80,60.43,60.75,556500,60.23
2014-07-25,60.84,60.84,60.54,60.66,854600,60.14
2014-07-24,60.92,61.03,60.88,60.92,1574500,60.40
2014-07-23,60.82,60.94,60.79,60.89,433900,60.37
2014-07-22,60.76,60.86,60.69,60.75,2210600,60.23
2014-07-21,60.41,60.52,60.20,60.46,573900,59.94
2014-07-18,60.36,60.69,60.23,60.61,591400,60.09
2014-07-17,60.53,60.71,59.95,60.01,391000,59.50
2014-07-16,60.83,60.84,60.65,60.78,563800,60.26
2014-07-15,60.65,60.73,60.23,60.46,614400,59.94
2014-07-14,60.74,60.76,60.58,60.59,516400,60.07
2014-07-11,60.22,60.28,60.02,60.23,486100,59.71
2014-07-10,60.01,60.30,59.69,60.20,645300,59.68
2014-07-09,60.47,60.64,60.37,60.61,940700,60.09
2014-07-08,60.64,60.70,60.23,60.36,1163800,59.84
2014-07-07,60.94,60.94,60.76,60.86,1462000,60.34
2014-07-03,60.80,61.16,60.80,61.14,1063600,60.62
2014-07-02,60.84,60.84,60.69,60.84,1883900,60.32
2014-07-01,60.43,60.85,60.43,60.72,3003100,60.20
2014-06-30,60.11,60.32,60.11,60.26,1314100,59.74
2014-06-27,59.91,60.22,59.91,60.22,664600,59.70
2014-06-26,60.01,60.11,59.70,60.10,510100,59.59
2014-06-25,59.83,60.12,59.74,60.04,391900,59.53
2014-06-24,61.00,61.23,60.69,60.73,1001500,59.38
2014-06-23,61.16,61.26,60.96,61.15,657700,59.79
2014-06-20,61.14,61.23,61.11,61.20,1231200,59.84
2014-06-19,61.28,61.28,61.04,61.18,975400,59.82
2014-06-18,60.53,61.07,60.49,61.04,619300,59.68
2014-06-17,60.27,60.58,60.27,60.54,420200,59.20
2014-06-16,60.30,60.60,60.30,60.50,245600,59.16
2014-06-13,60.32,60.55,60.32,60.52,637700,59.18
2014-06-12,60.56,60.71,60.26,60.38,1449800,59.04
2014-06-11,60.74,60.74,60.51,60.60,1150600,59.25
2014-06-10,60.83,60.92,60.67,60.92,296900,59.57
2014-06-09,60.81,60.96,60.71,60.88,241700,59.53
2014-06-06,60.64,60.85,60.64,60.84,343900,59.49
2014-06-05,60.33,60.58,60.06,60.52,520300,59.18
2014-06-04,59.84,60.16,59.84,60.13,334800,58.79
2014-06-03,60.01,60.25,59.89,60.25,798400,58.91
2014-06-02,60.05,60.14,59.91,60.11,1832000,58.77
2014-05-30,60.00,60.03,59.87,60.01,1183000,58.68
2014-05-29,59.92,60.02,59.74,60.01,747400,58.68
2014-05-28,59.77,59.77,59.57,59.68,367700,58.35
2014-05-27,59.65,59.79,59.59,59.79,952100,58.46
2014-05-23,59.22,59.51,59.22,59.49,324200,58.17
2014-05-22,59.22,59.37,59.13,59.30,1150900,57.98
2014-05-21,58.83,59.16,58.83,59.14,415000,57.83
2014-05-20,59.00,59.10,58.54,58.66,1445600,57.36
2014-05-19,58.92,59.13,58.80,59.11,224800,57.80
2014-05-16,58.98,59.04,58.69,59.04,289600,57.73
2014-05-15,59.21,59.21,58.52,58.81,2746400,57.50
2014-05-14,59.40,59.40,59.11,59.18,660900,57.87
2014-05-13,59.36,59.40,59.28,59.32,2999700,58.00
2014-05-12,58.89,59.26,58.89,59.24,409400,57.92
2014-05-09,58.64,58.76,58.44,58.75,453800,57.45
2014-05-08,58.81,59.07,58.59,58.69,775800,57.39
2014-05-07,58.63,58.74,58.27,58.73,766800,57.43
2014-05-06,58.69,58.79,58.49,58.50,501700,57.20
2014-05-05,58.52,58.78,58.31,58.77,3007300,57.46
2014-05-02,58.86,59.01,58.67,58.77,1389500,57.46
2014-05-01,58.78,58.96,58.70,58.80,3009900,57.49
2014-04-30,58.62,58.86,58.47,58.83,721700,57.52
2014-04-29,58.62,58.73,58.46,58.64,601100,57.34
2014-04-28,58.19,58.44,57.78,58.26,833600,56.97
2014-04-25,58.26,58.36,57.97,58.09,661700,56.80
2014-04-24,58.57,58.64,58.22,58.52,1221500,57.22
2014-04-23,58.64,58.64,58.41,58.48,418900,57.18
2014-04-22,58.57,58.74,58.48,58.65,2662800,57.35
2014-04-21,58.30,58.44,58.23,58.43,199300,57.13
2014-04-17,58.15,58.42,58.03,58.30,292500,57.01
2014-04-16,57.71,58.12,57.71,58.12,1604600,56.83
2014-04-15,57.33,57.55,56.71,57.42,772100,56.14
2014-04-14,57.32,57.52,57.04,57.43,764100,56.15
2014-04-11,57.31,57.52,57.00,57.04,1910000,55.77
