Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,33.18,33.44,32.93,33.36,69400,33.36
2015-02-12,33.23,33.48,33.01,33.30,46000,33.30
2015-02-11,33.17,33.35,32.85,33.13,79400,33.13
2015-02-10,33.41,33.41,32.86,33.14,61800,33.14
2015-02-09,33.66,33.95,33.31,33.34,68500,33.34
2015-02-06,34.82,34.83,33.59,33.77,92300,33.77
2015-02-05,34.37,34.83,34.26,34.79,126200,34.79
2015-02-04,34.28,34.50,34.02,34.40,161400,34.40
2015-02-03,34.08,34.40,33.76,34.34,281500,34.34
2015-02-02,34.66,34.66,33.69,34.13,115800,34.13
2015-01-30,35.15,35.32,34.57,34.64,156000,34.64
2015-01-29,35.08,35.44,35.00,35.35,199700,35.35
2015-01-28,35.46,35.60,35.04,35.12,171300,35.12
2015-01-27,35.29,35.66,35.14,35.26,231400,35.26
2015-01-26,35.39,35.41,34.88,35.22,188500,35.22
2015-01-23,35.07,36.15,34.81,35.45,529100,35.45
2015-01-22,33.81,35.10,33.81,35.07,237800,35.07
2015-01-21,33.36,33.85,33.30,33.78,76800,33.78
2015-01-20,33.71,33.91,33.15,33.53,144200,33.53
2015-01-16,33.14,33.85,33.01,33.74,139000,33.74
2015-01-15,32.83,33.19,32.52,33.14,116300,33.14
2015-01-14,31.91,33.23,31.66,32.81,269200,32.81
2015-01-13,32.20,32.36,31.83,32.18,512700,32.18
2015-01-12,32.17,32.31,31.92,32.09,337900,32.09
2015-01-09,32.46,32.69,32.21,32.27,206700,32.27
2015-01-08,32.74,33.00,32.42,32.50,231800,32.50
2015-01-07,32.22,32.47,32.08,32.39,80700,32.39
2015-01-06,31.99,32.29,31.76,32.02,154300,32.02
2015-01-05,31.41,31.93,31.34,31.82,119200,31.82
2015-01-02,31.26,31.55,30.88,31.46,52600,31.46
2014-12-31,31.75,31.93,30.98,31.09,84300,31.09
2014-12-30,31.50,31.84,31.44,31.61,43900,31.61
2014-12-29,31.38,31.89,31.38,31.63,41000,31.63
2014-12-26,31.36,31.48,31.25,31.44,43500,31.44
2014-12-24,31.29,31.55,31.10,31.28,35700,31.28
2014-12-23,31.49,31.49,31.15,31.21,80200,31.21
2014-12-22,31.16,31.43,31.08,31.35,86800,31.35
2014-12-19,30.93,31.33,30.73,31.10,500500,31.10
2014-12-18,31.12,31.41,30.99,31.38,118200,30.93
2014-12-17,30.47,31.07,30.40,31.01,149100,30.57
2014-12-16,30.28,30.71,30.06,30.50,78900,30.06
2014-12-15,31.15,31.20,30.24,30.28,85500,29.85
2014-12-12,31.25,31.56,30.92,30.93,110700,30.49
2014-12-11,31.18,31.46,30.98,31.38,90500,30.93
2014-12-10,31.04,31.40,30.99,31.20,107200,30.75
2014-12-09,31.16,31.17,30.89,31.17,199400,30.72
2014-12-08,30.42,31.02,30.42,30.89,163100,30.45
2014-12-05,30.25,30.44,30.10,30.42,223900,29.98
2014-12-04,29.74,30.37,29.70,30.35,1239800,29.91
2014-12-03,30.99,31.09,30.75,30.91,33300,30.47
2014-12-02,30.70,31.24,30.70,30.89,22300,30.45
2014-12-01,30.91,31.06,30.54,30.60,33800,30.16
2014-11-28,30.82,31.31,30.76,30.81,38000,30.37
2014-11-26,30.39,30.82,30.39,30.71,28600,30.27
2014-11-25,30.51,30.54,30.28,30.38,54600,29.94
2014-11-24,30.32,30.52,30.23,30.39,33000,29.95
2014-11-21,30.61,30.64,30.07,30.19,54700,29.76
2014-11-20,30.04,30.40,30.04,30.36,25100,29.92
2014-11-19,30.45,30.65,30.11,30.24,34900,29.81
2014-11-18,30.54,31.18,30.43,30.57,24100,30.13
2014-11-17,30.19,30.66,30.19,30.44,25600,30.00
2014-11-14,30.71,30.71,30.25,30.30,33200,29.87
2014-11-13,30.70,30.98,30.52,30.55,28100,30.11
2014-11-12,30.57,30.78,30.40,30.64,36300,30.20
2014-11-11,30.85,30.89,30.57,30.61,32200,30.17
2014-11-10,30.60,30.95,30.50,30.93,25300,30.49
2014-11-07,30.84,30.84,30.49,30.60,59300,30.16
