Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,14.00,14.08,13.96,14.08,147800,14.08
2015-02-12,13.83,13.99,13.83,13.97,157300,13.97
2015-02-11,13.78,13.85,13.76,13.83,108200,13.83
2015-02-10,13.74,13.82,13.71,13.79,126800,13.79
2015-02-09,13.73,13.81,13.72,13.72,118700,13.68
2015-02-06,13.82,13.89,13.79,13.83,128300,13.79
2015-02-05,13.71,13.80,13.71,13.77,119900,13.73
2015-02-04,13.67,13.74,13.62,13.64,210800,13.60
2015-02-03,13.57,13.71,13.57,13.69,166800,13.65
2015-02-02,13.43,13.54,13.39,13.53,129700,13.49
2015-01-30,13.46,13.57,13.39,13.39,142100,13.35
2015-01-29,13.48,13.54,13.39,13.54,105700,13.50
2015-01-28,13.60,13.66,13.42,13.44,153500,13.40
2015-01-27,13.58,13.69,13.51,13.58,161300,13.54
2015-01-26,13.70,13.75,13.65,13.70,189200,13.66
2015-01-23,13.71,13.84,13.70,13.73,199600,13.69
2015-01-22,13.59,13.76,13.50,13.75,160400,13.71
2015-01-21,13.52,13.59,13.47,13.56,158300,13.52
2015-01-20,13.55,13.55,13.38,13.52,119100,13.48
2015-01-16,13.26,13.49,13.25,13.46,202800,13.42
2015-01-15,13.45,13.45,13.27,13.30,145000,13.26
2015-01-14,13.36,13.44,13.27,13.40,160300,13.36
2015-01-13,13.69,13.77,13.42,13.46,113300,13.42
2015-01-12,13.68,13.68,13.47,13.57,89100,13.53
2015-01-09,13.72,13.74,13.56,13.65,106900,13.61
2015-01-08,13.59,13.73,13.56,13.71,85800,13.67
2015-01-07,13.44,13.48,13.33,13.47,230100,13.43
2015-01-06,13.43,13.53,13.28,13.35,122900,13.31
2015-01-05,13.60,13.60,13.41,13.42,146200,13.38
2015-01-02,13.80,13.80,13.56,13.67,101500,13.63
2014-12-31,13.80,13.87,13.67,13.68,106000,13.64
2014-12-30,13.86,13.89,13.71,13.77,130500,13.73
2014-12-29,13.89,13.98,13.81,13.87,140700,13.83
2014-12-26,13.81,13.89,13.81,13.88,57700,13.84
2014-12-24,13.77,13.85,13.77,13.80,46800,13.76
2014-12-23,13.82,13.85,13.77,13.79,208900,13.75
2014-12-22,13.87,13.88,13.78,13.78,101500,13.74
2014-12-19,13.75,13.92,13.74,13.83,121500,13.79
2014-12-18,13.53,13.77,13.53,13.76,118400,13.72
2014-12-17,13.17,13.42,13.17,13.38,181400,13.34
2014-12-16,13.16,13.42,13.15,13.17,159600,13.13
2014-12-15,13.40,13.44,13.18,13.26,95900,13.22
2014-12-12,13.51,13.55,13.33,13.33,135600,13.29
2014-12-11,13.52,13.73,13.52,13.54,112600,13.50
2014-12-10,13.67,13.71,13.51,13.52,86200,13.48
2014-12-09,13.63,13.71,13.56,13.71,144600,13.67
2014-12-08,13.79,13.84,13.73,13.75,196600,13.71
2014-12-05,13.83,13.87,13.81,13.84,68600,13.80
2014-12-04,13.82,13.85,13.77,13.80,69300,13.76
2014-12-03,13.75,13.85,13.75,13.85,100000,13.81
2014-12-02,13.61,13.77,13.61,13.75,83100,13.71
2014-12-01,13.72,13.75,13.60,13.62,117200,13.58
2014-11-28,13.79,13.80,13.72,13.73,86300,13.69
2014-11-26,13.78,13.82,13.78,13.82,67800,13.78
2014-11-25,13.79,13.85,13.76,13.79,110500,13.75
2014-11-24,13.73,13.80,13.73,13.78,135300,13.74
2014-11-21,13.81,13.84,13.73,13.73,175100,13.69
