Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,25.70,25.70,25.61,25.61,48800,25.61
2015-02-12,25.71,25.78,25.62,25.64,95800,25.64
2015-02-11,25.62,25.69,25.60,25.62,43100,25.62
2015-02-10,25.68,25.75,25.55,25.59,40500,25.59
2015-02-09,25.53,25.68,25.53,25.66,20800,25.66
2015-02-06,25.71,25.72,25.56,25.58,48300,25.58
2015-02-05,25.75,25.76,25.66,25.66,63600,25.66
2015-02-04,25.76,25.81,25.68,25.76,33000,25.76
2015-02-03,25.75,25.76,25.68,25.71,57600,25.71
2015-02-02,25.76,25.80,25.70,25.73,30900,25.73
2015-01-30,25.76,25.87,25.73,25.73,74000,25.73
2015-01-29,25.76,25.76,25.69,25.72,34300,25.72
2015-01-28,25.76,25.76,25.68,25.73,47700,25.73
2015-01-27,25.69,25.79,25.64,25.67,71000,25.67
2015-01-26,25.68,25.74,25.64,25.67,54500,25.67
2015-01-23,25.69,25.72,25.67,25.70,24000,25.70
2015-01-22,25.70,25.83,25.65,25.65,50800,25.65
2015-01-21,25.67,25.72,25.59,25.63,37300,25.63
2015-01-20,25.68,25.70,25.60,25.64,41200,25.64
2015-01-16,25.47,25.62,25.45,25.62,41200,25.62
2015-01-15,25.55,25.59,25.48,25.53,53700,25.53
2015-01-14,25.54,25.60,25.49,25.57,58500,25.57
2015-01-13,25.50,25.59,25.50,25.54,61900,25.54
2015-01-12,25.42,25.50,25.42,25.47,33300,25.47
2015-01-09,25.50,25.50,25.41,25.41,37800,25.41
2015-01-08,25.50,25.51,25.44,25.47,87900,25.47
2015-01-07,25.50,25.54,25.47,25.49,61800,25.49
2015-01-06,25.53,25.53,25.42,25.46,64900,25.46
2015-01-05,25.63,25.64,25.44,25.50,77400,25.50
2015-01-02,25.52,25.82,25.52,25.70,48600,25.70
2014-12-31,25.59,25.63,25.46,25.50,51500,25.50
2014-12-30,25.44,25.63,25.44,25.57,21100,25.57
2014-12-29,25.39,25.50,25.39,25.50,34500,25.50
2014-12-26,25.35,25.41,25.35,25.39,16500,25.39
2014-12-24,25.40,25.40,25.30,25.32,17600,25.32
2014-12-23,25.40,25.42,25.30,25.35,147000,25.35
2014-12-22,25.29,25.38,25.27,25.36,38600,25.36
2014-12-19,25.26,25.43,25.24,25.33,43900,25.33
2014-12-18,25.30,25.30,25.22,25.25,83200,25.25
2014-12-17,25.24,25.30,25.16,25.22,64200,25.22
2014-12-16,25.19,25.22,25.14,25.15,47300,25.15
2014-12-15,25.25,25.28,25.15,25.17,52300,25.17
2014-12-12,25.28,25.28,25.19,25.21,47000,25.21
2014-12-11,25.28,25.44,25.25,25.25,35800,25.25
2014-12-10,25.26,25.34,25.25,25.33,25500,25.33
2014-12-09,25.22,25.31,25.22,25.29,29400,25.29
2014-12-08,25.25,25.32,25.23,25.26,70800,25.26
2014-12-05,25.29,25.31,25.22,25.22,21400,25.22
2014-12-04,25.36,25.37,25.17,25.22,59400,25.22
2014-12-03,25.52,25.52,25.36,25.38,40800,25.38
2014-12-02,25.43,25.55,25.42,25.43,31200,25.43
2014-12-01,25.57,25.57,25.42,25.54,42900,25.54
2014-11-28,25.42,25.64,25.42,25.51,32500,25.51
2014-11-26,25.51,25.55,25.42,25.51,47300,25.51
2014-11-25,25.82,25.85,25.75,25.80,35700,25.40
2014-11-24,25.81,25.89,25.76,25.82,34300,25.42
2014-11-21,25.89,25.90,25.70,25.84,152300,25.44
2014-11-20,25.86,25.95,25.82,25.84,93700,25.44
2014-11-19,25.92,25.98,25.84,25.90,39000,25.50
2014-11-18,25.97,25.99,25.90,25.90,53600,25.50
2014-11-17,25.92,25.99,25.86,25.98,47300,25.58
2014-11-14,25.80,25.95,25.80,25.95,52200,25.55
2014-11-13,25.72,25.80,25.70,25.80,38100,25.40
2014-11-12,25.76,25.78,25.68,25.75,33500,25.35
2014-11-11,25.73,25.78,25.67,25.75,25700,25.35
2014-11-10,25.75,25.77,25.72,25.74,52000,25.34
2014-11-07,25.63,25.80,25.58,25.76,52200,25.36
2014-11-06,25.62,25.62,25.58,25.61,29500,25.21
2014-11-05,25.56,25.64,25.56,25.59,35600,25.20
2014-11-04,25.53,25.67,25.53,25.60,133700,25.21
2014-11-03,25.52,25.60,25.49,25.51,63500,25.12
2014-10-31,25.45,25.53,25.39,25.53,132400,25.14
2014-10-30,25.37,25.50,25.32,25.46,52700,25.07
2014-10-29,25.39,25.40,25.34,25.37,33600,24.98
2014-10-28,25.39,25.42,25.36,25.39,36400,25.00
2014-10-27,25.32,25.40,25.28,25.36,54400,24.97
2014-10-24,25.27,25.31,25.25,25.28,39300,24.89
2014-10-23,25.23,25.28,25.22,25.24,97000,24.85
2014-10-22,25.31,25.31,25.22,25.22,132100,24.83
2014-10-21,25.34,25.35,25.26,25.28,195100,24.89
2014-10-20,25.32,25.42,25.23,25.34,256800,24.95
2014-10-17,25.43,25.54,25.30,25.30,81900,24.91
2014-10-16,25.31,25.42,25.27,25.38,26500,24.99
2014-10-15,25.28,25.40,25.26,25.36,52100,24.97
2014-10-14,25.22,25.34,25.22,25.32,27700,24.93
2014-10-13,25.32,25.32,25.24,25.25,15800,24.86
2014-10-10,25.29,25.33,25.25,25.28,26500,24.89
2014-10-09,25.39,25.40,25.29,25.31,42500,24.92
2014-10-08,25.37,25.41,25.30,25.38,37900,24.99
2014-10-07,25.42,25.46,25.40,25.40,39500,25.01
2014-10-06,25.40,25.44,25.36,25.42,43400,25.03
2014-10-03,25.44,25.44,25.36,25.39,42100,25.00
2014-10-02,25.35,25.39,25.32,25.39,47100,25.00
2014-10-01,25.45,25.45,25.28,25.31,103300,24.92
2014-09-30,25.39,25.45,25.37,25.44,38200,25.05
2014-09-29,25.33,25.40,25.31,25.39,31800,25.00
2014-09-26,25.23,25.39,25.23,25.30,29500,24.91
2014-09-25,25.29,25.29,25.23,25.27,35500,24.88
2014-09-24,25.28,25.35,25.28,25.29,50500,24.90
2014-09-23,25.23,25.40,25.23,25.40,36900,25.01
2014-09-22,25.38,25.39,25.24,25.26,46000,24.87
2014-09-19,25.45,25.49,25.35,25.35,43500,24.96
2014-09-18,25.32,25.48,25.32,25.45,70300,25.06
2014-09-17,25.32,25.36,25.32,25.32,23900,24.93
2014-09-16,25.28,25.40,25.26,25.29,31400,24.90
2014-09-15,25.23,25.35,25.17,25.35,33300,24.96
2014-09-12,25.17,25.21,25.15,25.21,38200,24.82
2014-09-11,25.26,25.28,25.15,25.23,25900,24.84
2014-09-10,25.25,25.30,25.20,25.26,66600,24.87
2014-09-09,25.30,25.32,25.21,25.24,35400,24.85
2014-09-08,25.50,25.50,25.27,25.28,45000,24.89
2014-09-05,25.47,25.51,25.33,25.42,67200,25.03
2014-09-04,25.60,25.63,25.31,25.45,63200,25.06
2014-09-03,25.66,25.70,25.59,25.66,132700,25.26
2014-09-02,25.68,25.74,25.60,25.68,64100,25.28
2014-08-29,25.74,25.75,25.67,25.72,13700,25.32
2014-08-28,25.68,25.73,25.64,25.71,26100,25.31
2014-08-27,25.60,25.77,25.54,25.71,71700,25.31
2014-08-26,25.84,25.98,25.80,25.96,59900,25.17
2014-08-25,25.83,25.83,25.78,25.82,16300,25.03
2014-08-22,25.73,25.81,25.72,25.78,31300,24.99
