Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,57.81,58.11,57.01,57.83,3856600,57.83
2015-02-12,58.28,58.52,57.75,57.98,3705200,57.98
2015-02-11,59.07,59.07,58.09,58.28,2820100,58.28
2015-02-10,58.26,59.43,58.26,59.31,3403500,59.31
2015-02-09,59.09,59.43,58.02,58.24,3748700,58.24
2015-02-06,61.80,62.03,58.86,59.15,4123100,59.15
2015-02-05,62.56,62.69,61.89,62.45,2203200,61.92
2015-02-04,62.75,63.00,62.02,62.22,3356200,61.69
2015-02-03,62.92,63.14,62.50,62.76,3641300,62.23
2015-02-02,62.81,63.51,62.28,63.06,3641300,62.52
2015-01-30,63.59,64.27,62.76,62.81,3855900,62.28
2015-01-29,63.36,63.99,62.75,63.72,3007700,63.18
2015-01-28,64.28,65.38,63.25,63.38,3645700,62.84
2015-01-27,64.41,64.82,64.20,64.25,2736100,63.70
2015-01-26,64.42,64.60,64.02,64.57,1802700,64.02
2015-01-23,64.38,64.90,64.12,64.52,2056600,63.97
2015-01-22,64.56,64.63,63.67,64.08,1944700,63.54
2015-01-21,63.38,64.25,62.95,64.14,2481300,63.60
2015-01-20,64.00,64.05,63.02,63.53,2258000,62.99
2015-01-16,63.19,63.60,62.76,63.57,2334500,63.03
2015-01-15,62.76,63.39,62.54,63.16,2605300,62.62
2015-01-14,61.71,62.83,61.41,62.76,2599600,62.23
2015-01-13,62.04,62.88,61.52,61.87,2641900,61.34
2015-01-12,61.88,61.96,61.10,61.56,2411100,61.04
2015-01-09,62.03,62.17,61.15,61.64,2413800,61.12
2015-01-08,61.63,62.19,61.63,61.97,2470100,61.44
2015-01-07,60.71,61.88,60.36,61.44,2798800,60.92
2015-01-06,60.42,61.84,60.37,60.58,4166500,60.07
2015-01-05,61.10,61.28,59.97,60.25,2642600,59.74
2015-01-02,60.88,61.24,60.39,61.15,2007400,60.63
2014-12-31,61.82,62.03,60.68,60.72,1942400,60.20
2014-12-30,62.80,62.80,61.56,61.72,2001600,61.20
2014-12-29,62.00,63.22,62.00,62.91,2573700,62.38
2014-12-26,61.46,62.39,61.37,61.99,2813400,61.46
2014-12-24,60.25,61.45,60.22,61.31,1795100,60.79
2014-12-23,60.26,60.48,60.06,60.11,1693100,59.60
2014-12-22,59.87,60.15,59.51,60.15,1711800,59.64
2014-12-19,60.01,60.48,59.51,59.89,3966700,59.38
2014-12-18,59.03,59.99,58.82,59.98,2622700,59.47
2014-12-17,57.93,58.98,57.93,58.82,2406400,58.32
2014-12-16,58.08,58.77,57.20,57.83,2128000,57.34
2014-12-15,58.64,58.92,57.51,58.08,2952400,57.59
2014-12-12,58.55,59.35,58.45,58.69,3216400,58.19
2014-12-11,58.49,59.27,58.46,58.86,2156200,58.36
2014-12-10,59.01,59.58,58.21,58.23,2365200,57.74
2014-12-09,58.29,59.35,58.29,58.87,3143200,58.37
2014-12-08,57.94,58.80,57.79,58.76,2997500,58.26
2014-12-05,57.75,58.30,57.47,57.76,1965100,57.27
2014-12-04,58.52,58.78,58.06,58.44,2091700,57.94
2014-12-03,58.44,58.62,58.06,58.51,2733000,58.01
2014-12-02,57.99,58.55,57.55,58.36,2231200,57.86
