Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,14.00,14.03,13.89,13.90,106800,13.90
2015-02-12,14.06,14.09,14.00,14.00,49800,14.00
2015-02-11,14.18,14.18,14.06,14.08,64700,14.08
2015-02-10,14.15,14.18,14.10,14.18,110800,14.18
2015-02-09,14.20,14.24,14.15,14.16,66600,14.16
2015-02-06,14.31,14.35,14.22,14.25,77500,14.25
2015-02-05,14.34,14.40,14.32,14.34,41000,14.34
2015-02-04,14.38,14.39,14.27,14.32,84000,14.32
2015-02-03,14.44,14.54,14.43,14.45,87500,14.38
2015-02-02,14.41,14.51,14.41,14.46,85900,14.39
2015-01-30,14.37,14.46,14.37,14.39,64100,14.32
2015-01-29,14.35,14.38,14.31,14.35,25300,14.28
2015-01-28,14.27,14.35,14.27,14.31,50800,14.24
2015-01-27,14.15,14.25,14.15,14.23,75600,14.16
2015-01-26,14.15,14.17,14.08,14.14,54500,14.07
2015-01-23,14.10,14.15,14.09,14.15,66100,14.08
2015-01-22,14.13,14.14,14.07,14.10,62600,14.03
2015-01-21,14.08,14.12,14.05,14.09,82200,14.02
2015-01-20,14.00,14.07,14.00,14.06,59500,13.99
2015-01-16,14.07,14.07,13.98,13.98,138900,13.91
2015-01-15,13.99,14.09,13.99,14.03,74300,13.96
2015-01-14,13.99,14.02,13.96,13.96,63500,13.89
2015-01-13,13.97,13.98,13.92,13.97,58900,13.90
2015-01-12,13.93,13.96,13.90,13.94,93800,13.87
2015-01-09,13.87,13.94,13.85,13.94,47100,13.87
2015-01-08,13.86,13.88,13.79,13.86,101600,13.79
2015-01-07,13.88,13.93,13.85,13.92,73700,13.85
2015-01-06,13.86,13.95,13.86,13.93,93000,13.79
2015-01-05,13.73,13.84,13.73,13.84,152700,13.70
2015-01-02,13.77,13.79,13.70,13.75,78500,13.61
2014-12-31,13.73,13.79,13.71,13.77,62600,13.63
2014-12-30,13.65,13.79,13.63,13.79,97100,13.65
2014-12-29,13.64,13.66,13.60,13.65,124800,13.51
2014-12-26,13.63,13.67,13.58,13.67,39300,13.53
2014-12-24,13.68,13.68,13.57,13.64,41800,13.50
2014-12-23,13.71,13.75,13.60,13.66,118800,13.52
2014-12-22,13.72,13.76,13.71,13.71,46400,13.57
2014-12-19,13.82,13.82,13.71,13.72,47300,13.58
2014-12-18,13.88,13.89,13.72,13.78,112100,13.64
2014-12-17,13.63,13.89,13.59,13.89,206700,13.75
2014-12-16,13.61,13.70,13.61,13.66,65100,13.52
2014-12-15,13.72,13.72,13.60,13.60,79100,13.46
2014-12-12,13.66,13.70,13.63,13.67,101000,13.53
2014-12-11,13.72,13.76,13.64,13.66,82200,13.52
2014-12-10,13.75,13.77,13.70,13.72,141800,13.58
2014-12-09,13.81,13.81,13.75,13.78,80800,13.64
2014-12-08,13.78,13.82,13.73,13.76,51300,13.62
2014-12-05,13.84,13.84,13.75,13.80,36500,13.66
2014-12-04,13.88,13.89,13.81,13.85,52700,13.71
2014-12-03,13.77,13.88,13.76,13.84,110800,13.70
2014-12-02,13.73,13.87,13.72,13.87,41500,13.66
2014-12-01,13.74,13.81,13.70,13.70,68600,13.49
2014-11-28,13.73,13.76,13.70,13.70,38300,13.49
2014-11-26,13.64,13.74,13.64,13.74,54800,13.53
2014-11-25,13.62,13.67,13.61,13.65,60900,13.44
2014-11-24,13.62,13.64,13.57,13.62,82900,13.41
2014-11-21,13.85,13.86,13.63,13.63,62700,13.42
2014-11-20,13.89,13.96,13.76,13.76,113800,13.55
2014-11-19,13.89,13.95,13.85,13.86,48400,13.65
2014-11-18,13.89,13.94,13.87,13.90,63200,13.68
2014-11-17,13.98,14.00,13.83,13.88,73900,13.67
2014-11-14,13.87,14.00,13.87,14.00,41200,13.78
2014-11-13,13.91,13.95,13.87,13.87,57200,13.66
2014-11-12,13.86,13.94,13.85,13.88,38000,13.67
2014-11-11,13.82,13.86,13.78,13.86,52700,13.65
2014-11-10,13.83,13.90,13.79,13.85,65700,13.64
2014-11-07,13.93,13.93,13.82,13.82,76300,13.61
2014-11-06,13.92,13.94,13.88,13.90,45600,13.68
2014-11-05,13.91,13.96,13.89,13.89,81700,13.68
2014-11-04,14.00,14.01,13.94,13.96,79600,13.67
2014-11-03,14.02,14.11,14.02,14.03,42600,13.74
2014-10-31,14.11,14.15,14.02,14.04,71800,13.75
2014-10-30,14.03,14.24,14.02,14.09,93600,13.80
2014-10-29,14.01,14.06,14.00,14.05,57000,13.76
2014-10-28,13.96,14.03,13.95,13.99,37000,13.70
2014-10-27,13.92,14.01,13.92,13.97,70900,13.68
2014-10-24,13.92,13.98,13.92,13.96,40400,13.67
2014-10-23,13.95,13.97,13.89,13.93,73300,13.64
2014-10-22,13.95,13.95,13.85,13.92,41300,13.63
2014-10-21,13.92,13.95,13.85,13.94,65300,13.65
2014-10-20,13.88,13.94,13.83,13.94,89900,13.65
2014-10-17,13.81,13.93,13.78,13.86,86000,13.57
2014-10-16,13.63,13.78,13.59,13.78,73600,13.50
2014-10-15,13.55,13.63,13.54,13.63,70000,13.35
2014-10-14,13.60,13.61,13.51,13.52,51700,13.24
2014-10-13,13.59,13.64,13.53,13.53,78000,13.25
2014-10-10,13.52,13.59,13.52,13.52,60400,13.24
2014-10-09,13.58,13.65,13.53,13.53,81800,13.25
2014-10-08,13.54,13.64,13.53,13.58,80300,13.30
2014-10-07,13.52,13.54,13.43,13.54,101500,13.26
2014-10-06,13.44,13.50,13.44,13.46,43400,13.18
2014-10-03,13.46,13.46,13.40,13.43,48200,13.15
2014-10-02,13.49,13.50,13.36,13.42,79400,13.14
2014-10-01,13.54,13.56,13.49,13.50,77400,13.22
2014-09-30,13.58,13.61,13.54,13.56,40000,13.21
2014-09-29,13.46,13.55,13.45,13.50,80000,13.15
2014-09-26,13.56,13.56,13.45,13.45,41000,13.10
2014-09-25,13.54,13.54,13.46,13.48,62100,13.13
2014-09-24,13.56,13.56,13.53,13.53,32700,13.18
2014-09-23,13.57,13.61,13.56,13.56,57100,13.21
2014-09-22,13.55,13.59,13.52,13.55,81200,13.20
2014-09-19,13.58,13.60,13.53,13.56,60400,13.21
2014-09-18,13.57,13.57,13.53,13.57,47600,13.22
2014-09-17,13.44,13.58,13.43,13.57,116100,13.22
2014-09-16,13.38,13.44,13.31,13.41,108000,13.06
2014-09-15,13.47,13.48,13.40,13.40,33800,13.05
2014-09-12,13.52,13.52,13.44,13.44,46500,13.09
2014-09-11,13.54,13.56,13.50,13.50,57300,13.15
2014-09-10,13.50,13.57,13.49,13.55,49300,13.20
2014-09-09,13.42,13.50,13.42,13.50,53300,13.15
2014-09-08,13.44,13.51,13.42,13.43,65500,13.08
2014-09-05,13.50,13.56,13.44,13.45,93200,13.10
2014-09-04,13.57,13.61,13.50,13.50,90000,13.15
2014-09-03,13.63,13.63,13.54,13.56,53900,13.21
2014-09-02,13.66,13.68,13.63,13.67,67900,13.24
2014-08-29,13.64,13.69,13.61,13.65,47000,13.23
2014-08-28,13.63,13.65,13.60,13.61,53700,13.19
2014-08-27,13.58,13.63,13.57,13.62,61900,13.20
2014-08-26,13.50,13.53,13.46,13.53,53800,13.11
2014-08-25,13.50,13.53,13.44,13.46,52700,13.04
2014-08-22,13.54,13.54,13.42,13.49,75000,13.07
2014-08-21,13.58,13.58,13.52,13.52,37300,13.10
2014-08-20,13.62,13.62,13.50,13.54,73700,13.12
