Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,10.11,10.24,10.11,10.23,22300,10.23
2015-02-12,10.00,10.10,9.99,10.10,28600,10.10
2015-02-11,10.00,10.03,9.95,9.96,54900,9.96
2015-02-10,10.00,10.05,9.99,10.00,41700,10.00
2015-02-09,9.98,10.01,9.94,9.98,31900,9.98
2015-02-06,10.05,10.10,9.95,9.96,37700,9.96
2015-02-05,9.99,10.07,9.99,10.05,22800,10.05
2015-02-04,9.98,10.00,9.94,9.95,25100,9.95
2015-02-03,9.94,10.00,9.87,9.98,45800,9.98
2015-02-02,9.86,9.90,9.76,9.90,29600,9.90
2015-01-30,9.89,9.92,9.80,9.81,32700,9.81
2015-01-29,9.84,9.92,9.78,9.91,33100,9.91
2015-01-28,9.98,9.99,9.84,9.85,39700,9.85
2015-01-27,9.91,9.96,9.87,9.93,48200,9.93
2015-01-26,9.98,10.00,9.95,9.99,58300,9.99
2015-01-23,10.04,10.05,9.99,9.99,32100,9.99
2015-01-22,9.97,10.05,9.93,10.05,56100,10.05
2015-01-21,9.86,9.96,9.83,9.94,45300,9.94
2015-01-20,9.87,9.93,9.82,9.91,56600,9.85
2015-01-16,9.70,9.85,9.68,9.85,30400,9.79
2015-01-15,9.81,9.85,9.66,9.66,56600,9.60
2015-01-14,9.76,9.79,9.69,9.76,45300,9.70
2015-01-13,9.88,9.99,9.80,9.85,47700,9.79
2015-01-12,9.91,9.93,9.82,9.84,49600,9.78
2015-01-09,9.94,9.94,9.83,9.90,28500,9.84
2015-01-08,9.77,9.95,9.77,9.94,66800,9.88
2015-01-07,9.64,9.73,9.64,9.70,42800,9.64
2015-01-06,9.68,9.69,9.54,9.60,48700,9.54
2015-01-05,9.81,9.81,9.62,9.65,35200,9.59
2015-01-02,9.89,9.92,9.80,9.84,54900,9.78
2014-12-31,9.92,9.94,9.84,9.84,48300,9.78
2014-12-30,9.88,9.91,9.86,9.88,120300,9.82
2014-12-29,9.93,9.97,9.91,9.92,63100,9.86
2014-12-26,9.98,9.99,9.94,9.96,28000,9.90
2014-12-24,9.96,9.99,9.93,9.97,33500,9.91
2014-12-23,9.96,10.01,9.96,9.98,69900,9.85
2014-12-22,9.92,9.98,9.92,9.94,50500,9.81
2014-12-19,10.00,10.05,9.90,9.93,64600,9.80
2014-12-18,9.93,10.02,9.89,10.02,56700,9.83
2014-12-17,9.64,9.83,9.64,9.83,43200,9.64
2014-12-16,9.66,9.79,9.62,9.62,62500,9.44
2014-12-15,9.80,9.83,9.67,9.69,49200,9.50
