Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,226.91,229.89,226.75,229.49,1124000,229.49
2015-02-12,227.19,227.90,226.11,227.62,833700,227.62
2015-02-11,226.00,228.10,225.44,226.08,2168000,226.08
2015-02-10,223.81,226.76,223.62,226.54,3210000,226.54
2015-02-09,224.93,225.18,222.95,223.11,1876600,223.11
2015-02-06,223.92,226.20,222.96,225.17,2547900,225.17
2015-02-05,221.61,226.11,221.16,224.69,5904500,224.69
2015-02-04,219.80,220.64,218.80,219.42,1092400,219.37
2015-02-03,220.79,221.32,218.76,220.36,1488800,220.31
2015-02-02,220.06,220.91,217.51,220.79,1694700,220.74
2015-01-30,221.40,221.73,218.59,219.26,2896300,219.21
2015-01-29,222.66,222.79,220.45,222.39,1842100,222.34
2015-01-28,226.03,227.17,222.19,222.36,2259100,222.31
2015-01-27,225.66,227.30,225.48,225.75,1046900,225.70
2015-01-26,224.00,228.43,223.27,227.83,1713400,227.78
2015-01-23,222.37,224.28,222.29,224.17,2080300,224.12
2015-01-22,222.00,223.54,221.08,222.79,1276200,222.74
2015-01-21,219.34,222.41,219.10,221.79,2375300,221.74
2015-01-20,218.70,220.15,217.93,220.02,2135800,219.97
2015-01-16,215.52,218.99,215.52,218.66,1289700,218.61
2015-01-15,216.93,217.67,215.57,215.70,1276800,215.65
2015-01-14,216.78,218.40,215.25,216.93,1788800,216.88
2015-01-13,220.69,220.92,217.99,218.59,2517600,218.54
2015-01-12,217.32,220.16,217.15,219.58,2397500,219.53
2015-01-09,217.74,217.74,214.20,215.40,3773900,215.35
2015-01-08,215.48,217.03,214.81,217.03,2832800,216.98
2015-01-07,210.11,214.87,210.05,214.11,3956900,214.06
2015-01-06,211.78,213.18,209.37,209.37,3647400,209.32
2015-01-05,212.50,213.28,211.41,211.43,2474300,211.38
2015-01-02,214.27,214.78,212.27,212.75,2107000,212.70
2014-12-31,214.13,214.66,212.54,212.59,1484800,212.54
2014-12-30,213.00,214.37,213.00,213.40,940500,213.35
2014-12-29,211.32,214.40,211.32,213.66,1182000,213.61
2014-12-26,210.98,211.99,210.19,211.95,756800,211.90
2014-12-24,209.14,210.98,209.01,210.12,516900,210.07
2014-12-23,212.03,212.67,207.23,209.17,2155800,209.12
2014-12-22,212.60,213.50,211.40,211.40,1931700,211.35
2014-12-19,212.27,214.58,211.75,212.63,3360400,212.58
2014-12-18,210.50,213.61,209.55,212.18,2849000,212.13
2014-12-17,205.56,208.30,204.80,208.03,3672300,207.98
2014-12-16,208.45,209.00,205.75,205.75,3403600,205.70
2014-12-15,209.06,210.99,208.72,209.01,3437500,208.96
2014-12-12,210.05,210.59,208.47,208.47,2771700,208.42
2014-12-11,210.50,212.03,210.33,211.14,3107700,211.09
2014-12-10,211.25,212.42,210.00,210.10,1613300,210.05
2014-12-09,210.35,212.48,209.85,212.40,1427700,212.35
2014-12-08,213.81,214.13,211.91,212.56,1189800,212.51
2014-12-05,213.89,214.66,212.93,213.35,2176100,213.30
2014-12-04,211.75,213.87,211.55,213.71,1960800,213.66
2014-12-03,210.40,212.58,210.00,211.97,1958500,211.92
2014-12-02,210.58,212.00,210.11,211.03,2546200,210.98
2014-12-01,212.95,213.99,210.65,210.65,2991900,210.60
2014-11-28,214.09,214.64,213.56,213.89,869800,213.84
2014-11-26,212.88,214.00,212.41,214.00,1579400,213.95
2014-11-25,211.75,213.30,211.29,212.10,3484700,212.05
2014-11-24,209.96,212.87,209.05,211.81,4584100,211.76
2014-11-21,212.07,212.07,208.51,209.09,4827700,209.04
2014-11-20,211.61,212.87,209.69,210.20,6414700,210.15
2014-11-19,212.96,214.00,211.08,212.59,4799800,212.54
2014-11-18,208.60,214.20,207.18,213.37,8621000,213.32
2014-11-17,208.01,213.91,207.44,209.20,19219900,209.10
2014-11-14,195.82,198.65,195.06,198.65,1430800,198.56
2014-11-13,196.89,198.00,195.62,196.21,1449800,196.12
2014-11-12,192.12,200.60,192.12,196.51,3797400,196.42
2014-11-11,196.18,196.70,194.79,195.34,1438800,195.25
2014-11-10,196.00,196.74,194.01,195.24,879800,195.15
2014-11-07,197.36,197.36,193.00,196.00,3741200,195.91
2014-11-06,198.01,200.99,195.29,197.40,3710600,197.31
2014-11-05,195.91,196.32,193.20,196.32,2868100,196.23
2014-11-04,192.99,196.54,189.47,195.12,3485500,195.03
2014-11-03,188.83,193.63,188.62,193.14,2747400,193.05
2014-10-31,189.45,191.90,188.74,190.06,1917200,189.97
2014-10-30,186.52,189.83,185.49,189.44,3083600,189.35
2014-10-29,183.26,188.80,183.26,186.77,2877700,186.68
2014-10-28,183.50,183.72,180.95,182.60,2328700,182.51
2014-10-27,186.60,186.80,181.19,182.33,4107300,182.24
2014-10-24,183.77,186.86,183.21,184.21,1750800,184.12
2014-10-23,184.08,185.64,182.80,183.37,1714000,183.28
2014-10-22,187.00,187.08,182.77,182.81,2228300,182.72
2014-10-21,181.26,186.28,181.26,186.16,1993200,186.07
2014-10-20,180.23,181.66,178.69,179.25,2117900,179.17
2014-10-17,177.99,178.89,174.00,177.49,3402600,177.41
2014-10-16,173.91,181.07,170.65,178.00,2699900,177.92
2014-10-15,177.89,179.14,167.48,177.59,5975400,177.51
2014-10-14,180.52,183.19,174.84,181.99,2680600,181.91
2014-10-13,188.60,189.35,176.22,178.28,2896200,178.20
2014-10-10,187.56,189.93,186.18,187.61,2426700,187.52
2014-10-09,191.06,192.98,187.10,187.55,3390000,187.46
2014-10-08,188.77,190.72,186.71,190.50,3878800,190.41
2014-10-07,182.00,189.41,180.00,186.20,6302400,186.11
2014-10-06,181.13,183.14,181.13,183.12,1705000,183.03
2014-10-03,178.31,183.51,178.00,183.34,2808500,183.25
2014-10-02,178.60,180.00,174.29,176.86,2080100,176.78
2014-10-01,179.25,180.31,176.15,179.67,3010600,179.59
2014-09-30,179.14,179.87,177.60,178.19,1613200,178.11
2014-09-29,177.07,181.94,175.53,179.70,2260100,179.62
2014-09-26,174.79,178.46,173.85,178.00,2318200,177.92
2014-09-25,177.53,179.59,174.60,174.88,2213000,174.80
2014-09-24,169.55,176.75,169.50,176.28,3865700,176.20
2014-09-23,166.95,171.11,164.38,169.18,4302700,169.10
2014-09-22,167.23,168.11,164.93,166.12,1133600,166.04
2014-09-19,170.67,171.27,167.26,168.21,1925800,168.13
2014-09-18,170.14,170.40,169.15,169.97,1168500,169.89
2014-09-17,170.83,170.83,168.85,170.04,963800,169.96
2014-09-16,169.01,170.43,168.25,170.20,2037800,170.12
2014-09-15,168.78,169.96,167.79,168.56,1048700,168.48
2014-09-12,167.64,169.61,166.83,169.25,1443000,169.17
2014-09-11,166.42,168.61,165.60,168.33,1211000,168.25
2014-09-10,167.81,167.81,165.00,166.73,1166400,166.65
2014-09-09,166.72,168.43,165.52,166.12,938100,166.04
2014-09-08,167.06,167.52,165.54,166.94,1074000,166.86
2014-09-05,165.72,167.77,164.60,167.00,886300,166.92
2014-09-04,167.00,167.46,165.14,165.53,1084400,165.45
2014-09-03,166.24,167.14,164.04,166.26,1193400,166.18
2014-09-02,164.39,166.66,163.14,166.45,1291500,166.37
