Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,16.25,16.28,16.17,16.28,51700,16.28
2015-02-12,16.29,16.31,16.13,16.19,52400,16.19
2015-02-11,16.39,16.39,16.31,16.33,28900,16.21
2015-02-10,16.42,16.43,16.31,16.37,31900,16.25
2015-02-09,16.37,16.47,16.37,16.39,54000,16.27
2015-02-06,16.34,16.41,16.32,16.33,26100,16.21
2015-02-05,16.33,16.38,16.29,16.33,21100,16.21
2015-02-04,16.32,16.38,16.27,16.34,44300,16.22
2015-02-03,16.27,16.32,16.25,16.30,42300,16.18
2015-02-02,16.17,16.22,16.15,16.22,42000,16.10
2015-01-30,16.14,16.20,16.07,16.09,29400,15.97
2015-01-29,16.18,16.25,16.06,16.08,42600,15.96
2015-01-28,16.27,16.33,16.12,16.14,51200,16.02
2015-01-27,16.21,16.25,16.13,16.25,46100,16.13
2015-01-26,16.30,16.33,16.04,16.18,65300,16.06
2015-01-23,16.26,16.47,16.21,16.23,51200,16.11
2015-01-22,16.20,16.29,16.14,16.23,91500,16.11
2015-01-21,16.13,16.20,16.10,16.13,57900,16.01
2015-01-20,16.31,16.31,16.00,16.05,106400,15.94
2015-01-16,16.14,16.22,15.98,16.22,63700,16.10
2015-01-15,16.22,16.25,16.01,16.10,53500,15.98
2015-01-14,16.30,16.30,16.14,16.19,41900,15.96
2015-01-13,16.34,16.41,16.27,16.27,62900,16.04
2015-01-12,16.42,16.45,16.23,16.23,60100,16.00
2015-01-09,16.45,16.45,16.24,16.26,65200,16.03
2015-01-08,16.37,16.40,16.29,16.39,53600,16.15
2015-01-07,16.20,16.35,16.16,16.26,74900,16.03
2015-01-06,16.13,16.22,16.09,16.09,28300,15.86
2015-01-05,16.04,16.13,16.04,16.13,20600,15.90
2015-01-02,16.02,16.11,16.01,16.11,63300,15.88
2014-12-31,16.01,16.10,15.92,15.96,146700,15.73
2014-12-30,16.15,16.15,15.86,16.00,88600,15.77
2014-12-29,16.20,16.28,16.12,16.17,77500,15.94
2014-12-26,16.24,16.29,16.14,16.20,59300,15.97
2014-12-24,16.37,16.47,16.20,16.27,89800,16.04
2014-12-23,16.21,16.30,16.06,16.21,103500,15.98
2014-12-22,16.32,16.44,15.98,16.16,95600,15.68
2014-12-19,16.50,16.69,16.35,16.38,116900,15.89
2014-12-18,16.25,16.49,16.19,16.45,106300,15.96
2014-12-17,15.74,16.23,15.71,16.11,122500,15.63
2014-12-16,15.95,15.95,15.60,15.75,199000,15.28
2014-12-15,16.07,16.43,16.02,16.07,198300,15.23
2014-12-12,16.12,16.19,16.02,16.02,173300,15.19
2014-12-11,16.25,16.31,16.25,16.26,84800,15.41
2014-12-10,16.31,16.42,16.21,16.26,109400,15.41
2014-12-09,16.46,16.46,14.72,16.34,236400,15.49
2014-12-08,16.60,16.68,16.52,16.56,98500,15.70
2014-12-05,16.72,16.74,16.62,16.63,73300,15.77
2014-12-04,16.78,16.78,16.69,16.72,113700,15.85
2014-12-03,16.74,16.87,16.73,16.73,79500,15.86
2014-12-02,16.94,16.94,16.87,16.88,36500,16.00
2014-12-01,16.82,16.94,16.82,16.94,46100,16.06
2014-11-28,16.93,16.97,16.87,16.92,15100,16.04
2014-11-26,16.90,16.93,16.84,16.89,74400,16.01
2014-11-25,16.98,17.01,16.82,16.86,89300,15.98
2014-11-24,16.93,17.02,16.92,16.93,46100,16.05
2014-11-21,16.99,17.07,16.82,16.89,56100,16.01
2014-11-20,16.84,16.95,16.73,16.84,28100,15.96
2014-11-19,16.83,16.92,16.82,16.85,42900,15.97
2014-11-18,16.95,17.07,16.74,16.83,102900,15.96
2014-11-17,17.09,17.09,16.90,16.90,69300,16.02
2014-11-14,17.07,17.18,16.92,16.97,68500,16.09
2014-11-13,17.14,17.18,17.04,17.07,53200,16.18
2014-11-12,17.37,17.37,17.20,17.23,27500,16.22
2014-11-11,17.34,17.34,17.24,17.26,50400,16.25
2014-11-10,17.25,17.37,17.25,17.30,38000,16.29
2014-11-07,17.34,17.35,17.20,17.22,56300,16.21
2014-11-06,17.35,17.39,17.28,17.30,35100,16.29
2014-11-05,17.40,17.40,17.26,17.30,52000,16.29
2014-11-04,17.37,17.37,17.32,17.36,29600,16.35
2014-11-03,17.39,17.40,17.28,17.36,33000,16.35
2014-10-31,17.35,17.35,17.24,17.35,60500,16.34
2014-10-30,17.20,17.32,17.20,17.20,52900,16.20
2014-10-29,17.37,17.39,17.17,17.20,89400,16.20
2014-10-28,17.25,17.35,17.22,17.34,51800,16.33
2014-10-27,17.28,17.38,17.21,17.22,49900,16.21
2014-10-24,17.41,17.41,17.23,17.23,47200,16.22
2014-10-23,17.33,17.41,17.32,17.34,46700,16.33
2014-10-22,17.43,17.43,17.25,17.25,53900,16.24
2014-10-21,17.35,17.38,17.30,17.36,47000,16.35
2014-10-20,17.17,17.26,17.14,17.19,54500,16.19
2014-10-17,16.98,17.23,16.98,17.12,70600,16.12
2014-10-16,16.74,17.05,16.74,17.00,104700,15.90
2014-10-15,16.89,16.91,16.55,16.78,180600,15.69
2014-10-14,17.26,17.42,16.93,16.99,74200,15.89
2014-10-13,17.40,17.48,17.17,17.26,40200,16.14
2014-10-10,17.42,17.43,17.27,17.33,42000,16.21
2014-10-09,17.38,17.49,17.30,17.39,75000,16.26
2014-10-08,17.40,17.44,17.27,17.36,84500,16.23
2014-10-07,17.57,17.57,17.26,17.36,67000,16.23
2014-10-06,17.40,17.70,17.38,17.58,99800,16.44
2014-10-03,17.36,17.36,17.29,17.31,70100,16.19
2014-10-02,17.44,17.44,17.21,17.24,86700,16.12
2014-10-01,17.35,17.58,17.33,17.35,83700,16.22
2014-09-30,17.37,17.43,17.27,17.30,46200,16.18
2014-09-29,17.30,17.34,17.22,17.25,23100,16.13
2014-09-26,17.24,17.33,17.00,17.31,39200,16.19
2014-09-25,17.45,17.45,17.29,17.30,44000,16.18
2014-09-24,17.31,17.45,17.20,17.45,40100,16.32
2014-09-23,17.50,17.51,17.23,17.32,82900,16.20
2014-09-22,17.58,17.66,17.43,17.44,63500,16.31
2014-09-19,17.64,17.68,17.54,17.56,48200,16.42
2014-09-18,17.64,17.70,17.53,17.54,28700,16.40
2014-09-17,17.63,17.71,17.50,17.52,27600,16.38
2014-09-16,17.55,17.63,17.50,17.54,47500,16.40
2014-09-15,17.58,17.68,17.58,17.60,32500,16.35
2014-09-12,17.68,17.75,17.62,17.63,55700,16.38
2014-09-11,17.84,17.84,17.74,17.74,49700,16.48
2014-09-10,17.80,17.87,17.76,17.82,36000,16.55
2014-09-09,17.88,17.90,17.76,17.83,43800,16.56
2014-09-08,17.83,17.93,17.83,17.83,38600,16.56
2014-09-05,17.93,17.93,17.77,17.78,36600,16.52
2014-09-04,17.93,17.94,17.85,17.94,30500,16.66
2014-09-03,17.84,17.90,17.81,17.90,40700,16.63
2014-09-02,17.89,17.89,17.80,17.81,39200,16.54
2014-08-29,17.78,17.87,17.73,17.85,33100,16.58
2014-08-28,17.80,17.83,17.70,17.74,84700,16.48
2014-08-27,17.83,17.91,17.73,17.77,84100,16.51
2014-08-26,17.79,17.85,17.73,17.78,57100,16.52
2014-08-25,17.90,17.91,17.75,17.78,39300,16.52
2014-08-22,17.87,17.90,17.77,17.85,21600,16.58
2014-08-21,17.78,17.90,17.76,17.81,26900,16.54
2014-08-20,17.88,17.95,17.72,17.75,51500,16.49
2014-08-19,17.89,17.95,17.89,17.94,52500,16.66
2014-08-18,17.90,17.93,17.82,17.85,30300,16.58
2014-08-15,17.92,17.94,17.82,17.84,91800,16.57
2014-08-14,17.89,17.96,17.84,17.92,41500,16.54
2014-08-13,17.88,17.89,17.83,17.88,26900,16.50
2014-08-12,17.73,17.87,17.73,17.81,32000,16.44
2014-08-11,17.73,17.83,17.71,17.77,34200,16.40
2014-08-08,17.63,17.71,17.61,17.69,27500,16.32
2014-08-07,17.61,17.68,17.53,17.55,43100,16.20
2014-08-06,17.48,17.56,17.36,17.53,64100,16.18
2014-08-05,17.58,17.64,17.37,17.44,75700,16.09
2014-08-04,17.71,17.76,17.33,17.53,79300,16.18
2014-08-01,17.92,18.03,17.57,17.66,95500,16.30
2014-07-31,17.85,17.95,17.74,17.88,86000,16.50
2014-07-30,17.87,17.90,17.85,17.89,51200,16.51
2014-07-29,17.91,17.92,17.76,17.83,124600,16.45
2014-07-28,17.98,17.99,17.86,17.92,144800,16.54
2014-07-25,17.95,18.04,17.90,17.90,78300,16.52
2014-07-24,17.96,18.00,17.91,17.92,73200,16.54
2014-07-23,17.95,18.01,17.92,17.92,77900,16.54
2014-07-22,17.98,17.98,17.90,17.90,128100,16.52
2014-07-21,17.98,17.98,17.91,17.91,81500,16.53
2014-07-18,17.99,18.03,17.91,17.93,85900,16.55
2014-07-17,18.06,18.17,17.96,18.02,92800,16.63
2014-07-16,18.17,18.25,18.15,18.17,56700,16.66
2014-07-15,18.38,18.44,18.16,18.16,85400,16.65
2014-07-14,18.36,18.43,18.34,18.35,130800,16.82
2014-07-11,18.30,18.30,18.27,18.30,27400,16.78
2014-07-10,18.25,18.30,18.21,18.30,44100,16.78
2014-07-09,18.33,18.37,18.26,18.33,57000,16.81
2014-07-08,18.30,18.35,18.27,18.33,52000,16.81
2014-07-07,18.30,18.40,18.25,18.31,79600,16.79
2014-07-03,18.32,18.33,18.20,18.28,25500,16.76
2014-07-02,18.34,18.38,18.21,18.27,44200,16.75
2014-07-01,18.39,18.39,18.27,18.33,72400,16.81
2014-06-30,18.32,18.36,18.27,18.34,24700,16.82
2014-06-27,18.32,18.36,18.29,18.29,38800,16.77
2014-06-26,18.27,18.32,18.26,18.31,54400,16.79
2014-06-25,18.24,18.28,18.19,18.27,43300,16.75
2014-06-24,18.17,18.26,18.17,18.24,24700,16.72
2014-06-23,18.20,18.24,18.17,18.22,50400,16.71
2014-06-20,18.24,18.24,18.16,18.23,32100,16.71
2014-06-19,18.15,18.28,18.15,18.21,44800,16.70
2014-06-18,18.14,18.22,18.11,18.20,38400,16.69
2014-06-17,18.16,18.22,18.05,18.11,56600,16.60
2014-06-16,18.22,18.23,18.14,18.18,43400,16.67
2014-06-13,18.19,18.33,18.18,18.29,49000,16.66
2014-06-12,18.26,18.31,18.17,18.23,43600,16.61
2014-06-11,18.23,18.32,18.20,18.25,67600,16.63
2014-06-10,18.15,18.22,18.12,18.22,44100,16.60
2014-06-09,18.15,18.15,18.09,18.14,33400,16.53
2014-06-06,18.11,18.18,18.10,18.13,43700,16.52
2014-06-05,18.06,18.09,18.01,18.09,38600,16.48
2014-06-04,18.06,18.07,18.01,18.05,47200,16.44
2014-06-03,18.05,18.07,18.00,18.01,33700,16.41
2014-06-02,18.07,18.08,18.01,18.04,42800,16.43
2014-05-30,18.05,18.10,17.96,18.03,68400,16.43
2014-05-29,17.94,18.07,17.89,18.07,47500,16.46
2014-05-28,18.01,18.08,17.93,17.93,74600,16.33
2014-05-27,17.98,18.04,17.92,17.99,42800,16.39
2014-05-23,18.01,18.03,17.91,17.95,42700,16.35
2014-05-22,18.00,18.08,17.98,18.01,65400,16.41
2014-05-21,17.90,18.04,17.88,18.04,56500,16.43
2014-05-20,18.10,18.11,17.81,17.91,178900,16.32
2014-05-19,18.09,18.11,18.06,18.09,43400,16.48
2014-05-16,18.04,18.10,17.91,18.09,65700,16.48
2014-05-15,18.03,18.05,17.89,17.95,56800,16.35
2014-05-14,18.13,18.13,18.05,18.08,50100,16.36
2014-05-13,18.07,18.17,18.05,18.06,66200,16.35
2014-05-12,18.09,18.09,18.03,18.06,23100,16.35
2014-05-09,18.14,18.20,18.04,18.04,47300,16.33
2014-05-08,18.10,18.18,18.10,18.11,38000,16.39
2014-05-07,18.12,18.12,18.00,18.10,47200,16.38
2014-05-06,18.05,18.10,17.99,18.07,79900,16.36
2014-05-05,18.03,18.07,18.00,18.02,27200,16.31
2014-05-02,18.05,18.05,17.96,18.02,37600,16.31
