Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,47.16,47.52,46.88,47.50,722700,47.50
2015-02-12,46.99,47.26,46.79,47.23,863700,47.23
2015-02-11,46.04,46.82,46.04,46.82,583800,46.82
2015-02-10,46.00,46.43,45.93,46.24,639900,46.24
2015-02-09,46.11,46.11,45.66,46.00,873200,46.00
2015-02-06,46.46,46.77,46.17,46.32,725600,46.32
2015-02-05,46.21,46.56,46.00,46.45,879000,46.45
2015-02-04,45.90,46.84,45.81,46.32,1325200,46.32
2015-02-03,45.20,45.70,44.95,45.63,1178800,45.63
2015-02-02,44.50,45.16,44.24,45.16,996800,45.16
2015-01-30,44.98,45.12,44.41,44.43,871000,44.43
2015-01-29,45.02,45.17,44.49,45.09,753900,45.09
2015-01-28,45.55,45.79,44.85,44.93,1206600,44.93
2015-01-27,45.41,45.73,45.14,45.32,580200,45.32
2015-01-26,45.58,45.70,45.23,45.70,812300,45.70
2015-01-23,46.15,46.33,45.49,45.51,623800,45.51
2015-01-22,45.64,46.17,45.37,46.17,803500,46.17
2015-01-21,45.52,45.74,45.06,45.34,653400,45.34
2015-01-20,46.20,46.48,45.40,45.58,792500,45.58
2015-01-16,46.16,46.45,45.75,46.18,1585700,46.18
2015-01-15,46.98,47.44,46.66,46.70,551100,46.70
2015-01-14,46.84,47.17,46.52,46.98,395800,46.98
2015-01-13,47.51,48.11,46.87,47.31,677000,47.31
2015-01-12,47.16,47.47,46.75,47.08,450800,47.08
2015-01-09,47.84,47.88,47.18,47.23,435700,47.23
2015-01-08,47.30,48.04,47.17,47.88,803600,47.88
2015-01-07,46.87,47.12,46.48,47.06,643600,47.06
2015-01-06,46.67,46.95,46.27,46.61,931700,46.61
2015-01-05,46.67,46.83,46.36,46.70,744100,46.70
2015-01-02,47.25,47.49,46.54,46.98,540200,46.98
2014-12-31,47.95,47.99,47.05,47.08,404600,47.08
2014-12-30,47.47,47.89,47.42,47.84,312500,47.84
