Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,14.01,14.01,14.01,14.01,000,14.01
2015-02-12,14.01,14.01,14.01,14.01,300,14.01
2015-02-11,14.49,14.49,13.97,14.14,3200,14.14
2015-02-10,14.70,14.75,14.42,14.42,3800,14.42
2015-02-09,14.23,15.00,14.23,14.93,5700,14.93
2015-02-06,14.28,14.28,14.28,14.28,000,14.28
2015-02-05,14.40,14.45,14.25,14.28,5100,14.28
2015-02-04,14.34,14.40,14.34,14.40,900,14.40
2015-02-03,14.21,14.21,14.21,14.21,12400,14.21
2015-02-02,14.15,14.23,14.15,14.23,900,14.23
2015-01-30,13.85,14.16,13.85,14.16,7600,14.16
2015-01-29,14.17,14.17,14.17,14.17,000,14.17
2015-01-28,14.25,14.25,14.25,14.25,000,14.25
2015-01-27,14.22,14.25,14.16,14.25,600,14.25
2015-01-26,14.40,14.40,14.40,14.40,000,14.40
2015-01-23,14.40,14.40,14.40,14.40,100,14.40
2015-01-22,14.28,14.38,14.25,14.38,2000,14.38
2015-01-21,14.15,14.25,14.15,14.25,3600,14.25
2015-01-20,14.33,14.33,14.33,14.33,000,14.24
2015-01-16,14.33,14.33,14.33,14.33,100,14.24
2015-01-15,14.15,14.27,14.15,14.27,700,14.18
2015-01-14,14.34,14.34,14.25,14.26,700,14.17
2015-01-13,14.13,14.21,14.10,14.21,5900,14.12
2015-01-12,14.14,14.15,14.14,14.15,900,14.06
2015-01-09,14.12,14.15,14.04,14.10,3000,14.01
2015-01-08,13.96,14.34,13.95,14.15,11100,14.06
2015-01-07,14.22,14.22,13.96,14.18,1200,14.09
2015-01-06,14.25,14.25,14.25,14.25,000,14.16
2015-01-05,14.25,14.25,14.25,14.25,7000,14.16
2015-01-02,14.25,14.25,14.25,14.25,1800,14.16
2014-12-31,14.25,14.30,14.25,14.30,2900,14.21
2014-12-30,14.46,14.62,14.10,14.25,4500,14.16
2014-12-29,14.22,14.22,14.00,14.19,1900,14.10
2014-12-26,14.42,14.50,14.41,14.50,400,14.41
2014-12-24,14.71,14.71,14.71,14.71,500,14.62
2014-12-23,14.32,14.32,14.32,14.32,700,14.23
2014-12-22,14.52,14.70,14.29,14.60,4600,14.51
2014-12-19,14.28,14.52,14.25,14.52,2000,14.43
2014-12-18,14.43,14.55,14.22,14.45,2100,14.36
2014-12-17,14.27,14.29,14.15,14.15,3200,14.06
2014-12-16,14.27,14.41,14.10,14.15,2900,14.06
2014-12-15,14.39,14.44,14.39,14.40,1000,14.31
2014-12-12,14.30,14.37,14.07,14.37,1400,14.28
2014-12-11,14.25,14.38,14.25,14.38,600,14.29
2014-12-10,14.50,14.54,14.40,14.50,3600,14.41
2014-12-09,14.82,14.92,14.61,14.61,4000,14.52
2014-12-08,15.12,15.14,14.83,14.90,6500,14.81
2014-12-05,14.72,15.42,14.72,15.42,900,15.33
2014-12-04,15.16,15.28,15.00,15.28,3300,15.19
2014-12-03,15.25,15.26,15.25,15.25,2700,15.16
2014-12-02,15.27,15.27,15.06,15.06,200,14.97
2014-12-01,15.33,15.34,14.81,15.32,6900,15.23
2014-11-28,15.33,15.33,15.33,15.33,000,15.24
2014-11-26,15.33,15.33,15.33,15.33,000,15.24
2014-11-25,15.15,15.33,15.15,15.33,282700,15.24
2014-11-24,15.12,15.20,15.12,15.15,2000,15.06
2014-11-21,15.27,15.47,15.21,15.21,900,15.12
2014-11-20,15.35,15.35,15.35,15.35,700,15.26
2014-11-19,15.15,15.33,15.15,15.33,3900,15.24
2014-11-18,15.15,15.40,15.15,15.40,5700,15.31
2014-11-17,15.15,15.34,15.15,15.30,5900,15.21
2014-11-14,15.15,15.15,14.98,15.15,2800,15.06
2014-11-13,15.40,15.40,15.05,15.15,5000,15.06
2014-11-12,15.22,15.22,15.02,15.22,5000,15.13
2014-11-11,15.43,15.43,15.10,15.30,1600,15.21
2014-11-10,15.22,15.67,15.22,15.50,19700,15.40
2014-11-07,15.39,15.43,15.39,15.43,600,15.34
2014-11-06,15.18,15.20,14.96,15.20,10100,15.11
2014-11-05,15.46,15.46,15.37,15.37,400,15.28
2014-11-04,15.32,15.32,15.32,15.32,000,15.23
2014-11-03,14.94,15.42,14.94,15.32,4700,15.23
2014-10-31,15.57,15.57,15.57,15.57,200,15.47
2014-10-30,15.73,15.90,15.53,15.56,2800,15.46
2014-10-29,15.65,15.65,15.65,15.65,000,15.55
2014-10-28,15.65,15.65,15.65,15.65,900,15.55
2014-10-27,15.78,15.79,15.56,15.56,5100,15.46
2014-10-24,15.98,15.98,15.98,15.98,600,15.88
2014-10-23,15.82,15.98,15.82,15.98,2100,15.88
2014-10-22,15.98,16.00,15.98,16.00,19000,15.90
2014-10-21,15.98,15.98,15.98,15.98,000,15.88
2014-10-20,16.07,16.07,15.98,15.98,600,15.75
2014-10-17,15.98,16.00,15.98,15.99,5400,15.76
2014-10-16,15.99,15.99,15.99,15.99,200,15.76
2014-10-15,15.71,16.00,15.50,16.00,3200,15.77
2014-10-14,15.76,15.76,15.75,15.75,900,15.52
2014-10-13,15.70,15.70,15.70,15.70,000,15.47
2014-10-10,15.70,15.70,15.70,15.70,1000,15.47
2014-10-09,15.95,16.00,15.87,15.87,17200,15.64
2014-10-08,15.78,15.94,15.66,15.86,2800,15.63
2014-10-07,16.00,16.00,15.82,15.83,1800,15.60
2014-10-06,16.07,16.07,15.90,15.90,1900,15.67
2014-10-03,15.85,16.00,15.81,15.95,8600,15.72
2014-10-02,15.96,16.08,15.82,15.88,12900,15.65
2014-10-01,16.15,16.15,16.03,16.08,2100,15.85
2014-09-30,16.27,16.30,16.08,16.15,2200,15.92
2014-09-29,16.16,16.16,16.16,16.16,300,15.93
2014-09-26,16.35,16.35,16.27,16.30,3400,16.07
2014-09-25,16.30,16.35,16.30,16.35,1100,16.12
2014-09-24,16.28,16.35,16.28,16.35,2100,16.12
2014-09-23,16.35,16.38,16.35,16.35,5700,16.12
2014-09-22,16.04,16.35,16.04,16.35,4400,16.12
2014-09-19,16.24,16.44,16.24,16.40,1000,16.16
2014-09-18,16.20,16.35,16.20,16.35,1000,16.12
2014-09-17,16.33,16.59,16.16,16.20,2300,15.97
