Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,16.74,16.91,16.28,16.91,18400,16.91
2015-02-12,16.27,16.81,16.27,16.73,14400,16.73
2015-02-11,16.77,16.77,16.34,16.42,27900,16.42
2015-02-10,17.00,17.27,16.70,17.10,22900,17.10
2015-02-09,16.86,17.39,16.69,17.13,11000,17.13
2015-02-06,17.34,17.34,16.94,16.94,15500,16.94
2015-02-05,16.99,17.18,16.87,17.10,30900,17.10
2015-02-04,16.87,17.05,16.87,17.03,52500,17.03
2015-02-03,16.94,17.09,16.89,17.01,12000,17.01
2015-02-02,16.73,17.06,16.54,16.87,27200,16.87
2015-01-30,16.54,16.87,16.37,16.74,15700,16.74
2015-01-29,16.67,16.85,16.51,16.72,17000,16.72
2015-01-28,16.96,16.96,16.41,16.60,28500,16.60
2015-01-27,16.07,16.96,16.07,16.73,18600,16.73
2015-01-26,17.09,17.09,16.18,16.48,18900,16.48
2015-01-23,17.02,17.30,16.80,16.80,10800,16.80
2015-01-22,16.40,17.15,16.40,17.01,26800,17.01
2015-01-21,16.15,16.59,16.15,16.42,66100,16.42
2015-01-20,16.20,16.49,16.20,16.39,19500,16.29
2015-01-16,16.15,16.48,16.12,16.39,9800,16.29
2015-01-15,16.55,16.74,16.24,16.37,59800,16.27
2015-01-14,16.06,16.64,16.06,16.60,32600,16.50
2015-01-13,16.48,16.61,16.31,16.45,26000,16.35
2015-01-12,16.50,16.69,16.23,16.54,27400,16.44
2015-01-09,16.37,16.55,16.17,16.52,24000,16.42
2015-01-08,16.28,16.71,16.22,16.53,34100,16.43
2015-01-07,16.35,16.63,16.19,16.29,19000,16.19
2015-01-06,16.55,16.64,16.28,16.48,29700,16.38
2015-01-05,16.68,16.68,16.36,16.67,27100,16.57
2015-01-02,16.95,17.14,16.77,17.01,22200,16.91
2014-12-31,17.04,17.07,16.89,17.00,4200,16.90
2014-12-30,17.04,17.04,16.82,16.94,6500,16.84
2014-12-29,17.00,17.50,16.98,17.24,43400,17.14
2014-12-26,17.38,17.40,17.20,17.33,10000,17.23
2014-12-24,17.39,17.46,17.20,17.24,1000,17.14
2014-12-23,17.40,17.55,17.10,17.40,14400,17.30
2014-12-22,17.11,17.39,17.11,17.29,10600,17.19
2014-12-19,17.22,17.46,17.17,17.21,102000,17.11
2014-12-18,17.25,17.52,16.94,17.25,69900,17.15
2014-12-17,16.97,17.23,16.89,17.03,22500,16.93
2014-12-16,17.00,17.28,16.84,17.01,42000,16.91
2014-12-15,17.74,17.74,17.21,17.25,84800,17.15
2014-12-12,17.85,17.85,17.10,17.63,44000,17.53
2014-12-11,18.00,18.00,17.72,17.78,18900,17.67
2014-12-10,18.00,18.05,18.00,18.00,108500,17.89
2014-12-09,18.04,18.32,17.77,17.77,44500,17.66
2014-12-08,18.60,18.60,17.85,18.20,115600,18.09
2014-12-05,18.31,18.46,18.23,18.36,23800,18.25
2014-12-04,18.27,18.63,18.25,18.40,15100,18.29
2014-12-03,18.35,18.60,18.21,18.48,32500,18.37
2014-12-02,18.61,18.65,18.07,18.39,71400,18.28
2014-12-01,18.50,18.81,18.50,18.79,71900,18.68
2014-11-28,18.14,18.58,18.14,18.41,109200,18.30
2014-11-26,18.28,18.53,18.25,18.47,7400,18.36
2014-11-25,18.31,18.65,18.00,18.65,123200,18.54
2014-11-24,18.39,18.39,18.01,18.21,48400,18.10
2014-11-21,18.20,18.32,18.10,18.28,6800,18.17
2014-11-20,18.30,18.30,18.00,18.20,10000,18.09
2014-11-19,18.00,18.49,18.00,18.39,35800,18.28
2014-11-18,18.20,18.48,18.10,18.16,7200,18.05
2014-11-17,18.04,18.35,17.77,18.20,13800,18.09
2014-11-14,17.90,18.27,17.82,18.27,17600,18.16
2014-11-13,18.11,18.11,17.90,18.00,8900,17.89
2014-11-12,18.09,18.46,18.08,18.28,39900,18.17
2014-11-11,18.45,18.45,18.06,18.21,55100,18.10
2014-11-10,18.70,18.75,18.35,18.57,24800,18.46
2014-11-07,18.45,18.75,18.33,18.67,12900,18.56
2014-11-06,18.65,18.65,18.17,18.43,12100,18.32
2014-11-05,18.17,18.42,18.05,18.28,65300,18.17
2014-11-04,18.25,18.41,17.92,18.28,190700,18.17
2014-11-03,18.51,19.00,18.20,18.43,28300,18.32
2014-10-31,18.80,18.84,18.31,18.61,17100,18.50
2014-10-30,18.40,19.00,18.25,18.50,32300,18.39
2014-10-29,18.62,18.90,18.42,18.51,22300,18.40
2014-10-28,18.43,18.83,18.43,18.69,52200,18.58
2014-10-27,18.59,18.67,18.26,18.52,27300,18.41
2014-10-24,18.71,19.10,18.30,18.35,35600,18.24
2014-10-23,18.91,19.23,18.57,18.81,39400,18.70
2014-10-22,19.30,19.60,18.87,18.94,123600,18.83
2014-10-21,18.93,19.32,18.93,19.31,23000,19.20
2014-10-20,18.90,19.40,18.86,19.38,25200,19.12
2014-10-17,18.68,19.93,18.68,19.01,86400,18.76
2014-10-16,18.64,19.00,18.61,18.71,11500,18.46
2014-10-15,18.61,19.05,18.47,18.89,32900,18.64
2014-10-14,19.05,19.30,18.91,18.92,64600,18.67
2014-10-13,18.68,19.40,18.68,19.00,95200,18.75
2014-10-10,19.20,19.20,18.74,18.88,92400,18.63
2014-10-09,19.22,19.49,19.22,19.31,24000,19.05
2014-10-08,19.20,19.57,19.17,19.32,84800,19.06
2014-10-07,19.32,19.49,19.23,19.29,23800,19.03
2014-10-06,19.50,19.70,19.32,19.55,10600,19.29
2014-10-03,19.13,19.49,19.13,19.49,40400,19.23
2014-10-02,19.32,19.44,18.95,19.13,47200,18.87
2014-10-01,19.05,19.30,18.89,19.08,56100,18.83
2014-09-30,19.07,19.49,19.00,19.16,67000,18.90
2014-09-29,19.12,19.34,18.19,19.27,32900,19.01
2014-09-26,19.23,19.47,19.13,19.26,29100,19.00
2014-09-25,19.05,19.32,19.02,19.27,30700,19.01
2014-09-24,19.01,19.37,19.00,19.26,29400,19.00
2014-09-23,19.15,19.30,19.00,19.18,109700,18.92
2014-09-22,18.62,19.12,18.60,18.81,123900,18.56
2014-09-19,18.41,18.92,18.41,18.75,27700,18.50
2014-09-18,18.34,18.75,18.26,18.48,27500,18.23
2014-09-17,18.80,18.97,18.35,18.35,106500,18.10
2014-09-16,18.85,19.04,18.80,18.80,83900,18.55
2014-09-15,19.16,19.21,18.80,18.95,12400,18.70
