Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,35.81,35.82,35.18,35.47,202400,35.47
2015-02-12,35.32,35.90,35.13,35.85,213800,35.85
2015-02-11,35.30,35.48,35.00,35.17,208800,35.17
2015-02-10,35.25,35.34,34.85,35.28,250800,35.28
2015-02-09,35.37,35.65,35.09,35.14,259500,35.14
2015-02-06,36.73,36.78,35.32,35.43,345600,35.43
2015-02-05,36.49,36.82,36.28,36.81,231900,36.81
2015-02-04,36.19,36.59,36.01,36.43,441700,36.43
2015-02-03,35.89,36.31,35.66,36.29,451400,36.29
2015-02-02,36.21,36.21,35.43,35.89,713500,35.89
2015-01-30,36.57,36.67,36.13,36.19,791700,36.19
2015-01-29,36.41,36.76,36.15,36.69,367500,36.69
2015-01-28,36.15,36.49,36.07,36.31,572000,36.31
2015-01-27,35.87,36.20,35.78,36.02,320400,36.02
2015-01-26,35.25,36.10,35.13,36.10,651300,36.10
2015-01-23,35.61,35.93,35.25,35.25,529900,35.25
2015-01-22,35.07,35.85,34.89,35.52,483200,35.52
2015-01-21,34.56,34.99,34.31,34.88,303700,34.88
2015-01-20,35.30,35.56,34.31,34.60,452800,34.60
2015-01-16,34.63,35.19,34.57,35.19,328500,35.19
2015-01-15,34.88,35.07,34.55,34.74,364400,34.74
2015-01-14,34.12,35.00,34.12,34.83,373300,34.83
2015-01-13,34.54,34.57,34.04,34.34,344000,34.34
2015-01-12,34.21,34.52,34.21,34.44,225300,34.44
2015-01-09,34.16,34.45,33.94,34.20,305800,34.20
2015-01-08,34.19,34.44,34.09,34.23,552300,34.23
2015-01-07,33.42,34.26,33.02,34.17,434600,34.17
2015-01-06,33.06,33.42,32.97,33.32,435300,33.32
2015-01-05,32.45,32.96,32.29,32.90,398800,32.90
2015-01-02,32.21,32.59,32.13,32.57,331800,32.57
2014-12-31,32.72,33.01,31.96,32.03,277000,32.03
2014-12-30,32.55,32.89,32.55,32.62,274500,32.62
2014-12-29,32.82,32.96,32.59,32.59,318300,32.59
2014-12-26,33.08,33.18,33.00,33.16,121800,32.62
2014-12-24,32.94,33.07,32.85,32.96,111500,32.42
2014-12-23,33.02,33.02,32.66,32.85,291900,32.32
2014-12-22,32.27,32.90,32.25,32.89,292400,32.35
2014-12-19,31.89,32.47,31.83,32.22,1684700,31.70
2014-12-18,31.87,31.96,31.53,31.96,549700,31.44
2014-12-17,31.15,31.75,31.10,31.71,688700,31.19
2014-12-16,31.09,31.36,30.78,31.04,354800,30.53
2014-12-15,31.78,31.83,31.03,31.10,453600,30.59
2014-12-12,31.70,31.85,31.60,31.73,2792200,31.21
2014-12-11,32.29,32.56,32.15,32.43,279500,31.90
2014-12-10,32.12,32.25,31.89,32.15,328200,31.63
2014-12-09,31.63,32.21,31.60,32.15,339800,31.63
2014-12-08,31.79,32.17,31.73,31.82,237300,31.30
2014-12-05,31.76,31.81,31.52,31.80,233100,31.28
2014-12-04,31.58,31.87,31.48,31.79,273600,31.27
2014-12-03,31.76,31.86,31.58,31.69,301400,31.17
2014-12-02,31.69,31.94,31.46,31.68,524100,31.16
