Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,48.10,49.30,48.08,49.00,26600,49.00
2015-02-12,48.50,48.94,47.85,48.07,39400,48.07
2015-02-11,48.26,48.26,47.30,48.11,41800,48.11
2015-02-10,48.49,48.49,47.73,48.15,33600,48.15
2015-02-09,48.49,49.02,48.00,48.05,18900,48.05
2015-02-06,48.59,49.17,48.38,48.64,24900,48.64
2015-02-05,47.88,49.05,47.88,48.73,20100,48.73
2015-02-04,47.77,48.37,47.49,48.00,54300,48.00
2015-02-03,46.40,48.39,46.40,47.96,40400,47.96
2015-02-02,45.29,46.05,45.01,46.04,20100,46.04
2015-01-30,45.85,46.00,44.76,45.05,54700,45.05
2015-01-29,45.30,46.28,44.74,46.18,37600,46.18
2015-01-28,45.92,45.99,44.94,45.04,52400,45.04
2015-01-27,47.03,47.03,45.50,45.89,31300,45.89
2015-01-26,46.75,47.80,46.32,47.65,63000,47.65
2015-01-23,46.74,47.13,46.04,47.00,59300,47.00
2015-01-22,45.81,47.16,45.39,46.61,46300,46.61
2015-01-21,45.96,46.16,44.90,45.74,51900,45.74
2015-01-20,46.55,46.71,45.87,46.25,34700,46.25
2015-01-16,46.75,46.99,46.06,46.88,34400,46.88
2015-01-15,48.84,48.84,45.86,47.00,93000,47.00
2015-01-14,48.90,49.51,48.61,48.88,67200,48.88
2015-01-13,49.51,50.30,48.93,49.49,144900,49.41
2015-01-12,48.90,49.18,48.71,49.04,51600,48.96
2015-01-09,49.00,49.05,48.57,48.90,44100,48.82
2015-01-08,49.35,49.42,48.46,49.04,40500,48.96
2015-01-07,49.28,49.40,48.32,49.27,78400,49.19
2015-01-06,48.85,49.24,48.12,48.82,93800,48.74
2015-01-05,48.88,49.57,48.66,48.87,103900,48.79
2015-01-02,48.51,49.40,48.40,49.07,74900,48.99
2014-12-31,48.99,49.37,48.37,48.44,18800,48.36
2014-12-30,49.30,49.57,48.50,48.99,18100,48.91
2014-12-29,48.99,49.60,48.51,49.57,31900,49.49
2014-12-26,48.95,49.40,48.83,48.98,18900,48.90
2014-12-24,49.36,49.72,48.47,48.94,61600,48.86
2014-12-23,48.75,49.65,48.75,49.06,51300,48.98
2014-12-22,48.42,48.74,48.02,48.60,40000,48.52
2014-12-19,48.32,48.63,47.34,48.51,87000,48.43
2014-12-18,48.61,48.99,47.44,48.50,34100,48.42
2014-12-17,47.84,48.40,46.73,48.16,53200,48.08
2014-12-16,47.28,48.55,47.25,47.80,76600,47.72
2014-12-15,47.27,48.18,47.22,47.71,68700,47.63
2014-12-12,47.11,48.19,46.67,47.27,60600,47.19
2014-12-11,48.27,48.95,47.38,47.80,54600,47.72
2014-12-10,49.08,49.33,47.02,47.82,73100,47.74
2014-12-09,47.97,49.80,47.00,49.28,87200,49.20
2014-12-08,47.63,49.06,47.22,48.29,116500,48.21
2014-12-05,47.85,48.14,47.32,48.00,62000,47.92
2014-12-04,48.88,48.88,47.56,47.96,46100,47.88
2014-12-03,48.14,49.15,47.81,48.75,51400,48.67
2014-12-02,48.25,49.41,48.02,48.14,51000,48.06
2014-12-01,47.47,48.60,47.00,48.25,79000,48.17
2014-11-28,49.51,49.51,47.27,47.63,76900,47.55
2014-11-26,48.97,49.23,48.23,48.97,56700,48.89
2014-11-25,49.00,49.76,48.64,48.81,47300,48.73
2014-11-24,48.00,49.90,47.51,48.98,136900,48.90
2014-11-21,47.00,47.91,46.68,46.89,179700,46.81
2014-11-20,45.75,46.82,45.60,46.61,93600,46.53
2014-11-19,45.96,46.35,45.30,45.80,142000,45.73
2014-11-18,45.54,47.52,45.10,45.51,189600,45.44
2014-11-17,44.85,45.22,44.20,44.95,144600,44.88
2014-11-14,44.68,45.20,44.48,44.61,122100,44.54
2014-11-13,44.59,46.55,44.05,44.79,780300,44.72
2014-11-12,47.43,50.00,47.12,47.51,120600,47.43
2014-11-11,48.15,48.28,45.71,48.13,70300,48.05
2014-11-10,48.90,49.44,48.17,49.19,50600,49.11
2014-11-07,49.64,49.64,47.50,48.50,105800,48.42
2014-11-06,41.55,52.13,41.55,49.63,268900,49.55
2014-11-05,40.70,40.71,39.57,40.09,53600,40.03
2014-11-04,41.01,41.18,39.89,40.29,35800,40.22
2014-11-03,42.64,42.98,41.18,41.30,21900,41.23
2014-10-31,43.51,43.51,42.66,42.84,20900,42.77
2014-10-30,41.62,42.87,41.08,42.38,30200,42.31
2014-10-29,42.60,42.81,41.55,42.02,42000,41.95
2014-10-28,39.20,42.78,39.20,42.66,64500,42.59
2014-10-27,38.78,39.08,38.21,38.88,24200,38.82
2014-10-24,39.30,39.33,38.86,39.12,24200,39.06
2014-10-23,39.37,39.40,38.95,39.17,49000,39.11
2014-10-22,39.60,39.90,38.81,38.89,42400,38.83
2014-10-21,39.49,39.57,39.00,39.42,45400,39.36
2014-10-20,39.00,39.32,38.80,39.20,18300,39.14
2014-10-17,40.05,40.52,39.13,39.22,20200,39.16
2014-10-16,38.64,40.14,38.64,39.72,30600,39.66
2014-10-15,37.93,39.86,37.93,39.23,56300,39.17
2014-10-14,38.44,39.40,38.23,38.93,41000,38.87
2014-10-13,38.33,38.75,38.33,38.39,94600,38.26
2014-10-10,38.73,39.13,38.31,38.33,44700,38.20
2014-10-09,39.77,39.89,38.64,39.07,40800,38.94
2014-10-08,39.36,40.00,38.51,39.91,69600,39.77
2014-10-07,39.97,40.36,39.61,39.61,32000,39.47
2014-10-06,40.27,40.58,40.11,40.22,33500,40.08
2014-10-03,40.74,40.84,40.25,40.26,28000,40.12
2014-10-02,39.98,40.55,39.98,40.48,26100,40.34
2014-10-01,40.83,41.35,40.01,40.11,36000,39.97
2014-09-30,41.24,41.99,40.96,41.00,79000,40.86
2014-09-29,40.75,41.52,40.75,41.31,42700,41.17
2014-09-26,41.00,41.43,40.81,41.37,31400,41.23
2014-09-25,41.50,41.60,41.00,41.05,32000,40.91
2014-09-24,41.84,41.94,41.15,41.50,15700,41.36
2014-09-23,41.40,41.96,41.25,41.75,43300,41.61
2014-09-22,41.68,41.84,41.51,41.57,50300,41.43
2014-09-19,42.64,42.65,41.73,41.75,52200,41.61
2014-09-18,42.54,42.70,42.10,42.53,36900,42.38
2014-09-17,42.49,42.95,42.10,42.56,33600,42.41
2014-09-16,42.00,42.65,42.00,42.41,36400,42.26
2014-09-15,43.19,43.19,41.64,42.07,127500,41.93
2014-09-12,45.57,45.63,43.70,43.72,30600,43.57
2014-09-11,45.25,45.78,45.25,45.51,18900,45.35
2014-09-10,45.80,46.00,45.00,45.52,21700,45.36
2014-09-09,46.47,46.47,45.01,45.83,27200,45.67
2014-09-08,47.49,47.55,46.15,46.94,26700,46.78
2014-09-05,48.19,48.19,47.30,47.59,16000,47.43
2014-09-04,49.12,49.12,48.07,48.36,24100,48.19
2014-09-03,49.07,49.39,48.41,49.01,49000,48.84
2014-09-02,48.85,49.45,48.45,49.03,28300,48.86
2014-08-29,48.69,48.81,47.75,48.75,64700,48.58
2014-08-28,48.76,49.02,48.40,48.71,19800,48.54
2014-08-27,49.60,49.60,48.61,48.84,35200,48.67
2014-08-26,49.55,49.90,48.95,49.53,14300,49.36
2014-08-25,49.39,49.82,49.24,49.72,30800,49.55
2014-08-22,49.85,50.00,48.91,49.34,39300,49.17
2014-08-21,49.00,50.01,48.59,49.89,26200,49.72
2014-08-20,49.05,49.17,48.41,48.89,41500,48.72
2014-08-19,50.51,50.53,49.02,49.24,23900,49.07
2014-08-18,49.25,50.66,49.25,50.47,14000,50.30
2014-08-15,49.49,49.74,48.12,48.91,45000,48.74
2014-08-14,48.79,49.05,48.55,48.89,47100,48.72
2014-08-13,49.15,49.15,48.48,48.71,19600,48.54
2014-08-12,49.27,49.29,48.55,48.87,25600,48.70
2014-08-11,48.83,50.46,48.74,49.44,34400,49.27
2014-08-08,48.51,49.17,48.50,48.77,21700,48.60
2014-08-07,49.06,49.06,48.47,48.53,25100,48.36
2014-08-06,48.24,49.75,48.24,49.04,14300,48.87
2014-08-05,48.04,48.79,48.04,48.31,17500,48.14
2014-08-04,48.25,48.30,47.60,48.12,28800,47.95
2014-08-01,47.37,48.13,47.28,47.75,35900,47.59
2014-07-31,48.00,48.03,47.25,47.53,41900,47.37
2014-07-30,48.35,48.85,47.86,48.36,27400,48.19
2014-07-29,48.03,48.37,47.65,48.10,18500,47.93
2014-07-28,48.40,48.40,47.16,48.11,29500,47.94
2014-07-25,48.50,48.85,48.04,48.29,17100,48.12
2014-07-24,49.33,49.74,48.52,48.95,26100,48.78
2014-07-23,52.75,52.94,49.07,49.12,72600,48.95
2014-07-22,49.74,53.29,49.28,52.59,69300,52.41
2014-07-21,49.29,49.62,48.96,49.25,24800,49.08
2014-07-18,49.53,49.97,49.33,49.50,43200,49.33
2014-07-17,51.61,51.89,49.43,49.66,20100,49.49
2014-07-16,51.67,51.80,51.09,51.64,30200,51.46
2014-07-15,52.18,52.18,50.81,51.58,24400,51.40
2014-07-14,51.28,52.32,51.28,52.13,22600,51.88
2014-07-11,52.36,52.50,50.50,51.20,30200,50.96
2014-07-10,52.28,52.69,52.00,52.31,13500,52.06
2014-07-09,54.60,54.75,53.00,53.31,11300,53.06
2014-07-08,54.81,55.22,54.06,54.41,57600,54.15
2014-07-07,55.50,55.50,54.28,54.75,20000,54.49
2014-07-03,55.48,55.84,55.48,55.70,9800,55.43
2014-07-02,55.21,55.50,54.58,54.85,34400,54.59
2014-07-01,54.09,55.80,54.09,55.00,33600,54.74
2014-06-30,53.88,54.38,53.40,54.09,67300,53.83
2014-06-27,52.90,53.99,52.57,53.52,57300,53.26
2014-06-26,53.39,53.39,52.71,53.17,21100,52.92
2014-06-25,52.20,53.96,52.06,53.51,26800,53.25
2014-06-24,52.30,53.12,52.04,52.44,32900,52.19
2014-06-23,53.31,53.38,52.10,52.30,34500,52.05
2014-06-20,53.59,53.59,52.62,53.39,35200,53.14
2014-06-19,53.90,53.90,52.55,53.33,34400,53.08
2014-06-18,53.32,54.08,53.02,54.00,14000,53.74
2014-06-17,52.81,53.50,52.38,53.14,15300,52.89
2014-06-16,53.53,53.53,52.20,52.88,18800,52.63
2014-06-13,53.60,53.93,53.09,53.46,15400,53.20
2014-06-12,54.50,54.50,53.00,53.68,20900,53.42
2014-06-11,55.00,55.10,53.58,54.50,17500,54.24
2014-06-10,56.39,56.63,54.93,55.15,22700,54.89
2014-06-09,54.88,56.65,54.88,56.38,22700,56.11
2014-06-06,54.40,55.61,54.23,54.67,21100,54.41
2014-06-05,51.70,54.31,51.50,54.09,32100,53.83
2014-06-04,51.85,51.99,51.14,51.70,32900,51.45
2014-06-03,52.16,54.21,51.58,52.10,34400,51.85
2014-06-02,51.84,52.54,51.67,52.30,15900,52.05
2014-05-30,52.06,52.06,51.36,51.84,16600,51.59
2014-05-29,51.98,51.98,51.13,51.94,8200,51.69
2014-05-28,51.97,52.33,51.68,51.98,10000,51.73
2014-05-27,53.01,53.80,51.89,52.22,32400,51.97
2014-05-23,50.88,52.40,50.20,52.24,25600,51.99
2014-05-22,50.49,51.13,50.20,50.78,15400,50.54
2014-05-21,50.95,50.95,49.50,50.49,18400,50.25
2014-05-20,51.63,51.63,49.77,50.54,32200,50.30
2014-05-19,50.99,51.88,50.74,51.63,23600,51.38
2014-05-16,50.84,51.20,50.09,50.99,18300,50.75
2014-05-15,51.00,51.40,50.51,50.77,24000,50.53
2014-05-14,52.26,52.66,50.67,51.02,27900,50.78
2014-05-13,53.15,53.33,52.17,52.19,32000,51.94
2014-05-12,52.80,53.89,52.74,53.51,19300,53.25
2014-05-09,51.21,52.50,51.15,52.39,25200,52.14
2014-05-08,51.04,51.97,51.04,51.32,34400,51.07
2014-05-07,52.84,53.16,50.80,51.03,35700,50.79
2014-05-06,54.33,54.33,52.12,52.28,25900,52.03
2014-05-05,54.18,54.64,53.75,54.35,29800,54.09
2014-05-02,53.15,54.94,52.61,54.63,36300,54.37
2014-05-01,53.22,53.82,52.46,52.95,33400,52.70
2014-04-30,52.67,53.71,52.52,53.12,25900,52.87
2014-04-29,54.04,54.32,52.59,53.04,13200,52.79
2014-04-28,53.07,54.39,52.50,53.71,28300,53.45
2014-04-25,54.00,54.12,52.69,52.99,35600,52.74
2014-04-24,56.00,56.00,54.01,54.24,24800,53.98
2014-04-23,57.55,57.55,55.59,55.66,15800,55.39
2014-04-22,57.51,57.86,56.99,57.56,18300,57.29
2014-04-21,57.00,57.80,56.48,57.22,20300,56.95
2014-04-17,55.80,57.70,55.45,56.83,29500,56.56
2014-04-16,55.55,56.04,55.02,55.75,17600,55.48
2014-04-15,55.29,55.88,54.51,55.23,31600,54.97
2014-04-14,55.94,56.44,55.12,55.40,23400,55.07
2014-04-11,54.17,56.41,53.74,55.39,32700,55.06
2014-04-10,55.70,56.18,54.63,54.81,28200,54.48
2014-04-09,55.31,55.85,54.61,55.54,20600,55.20
2014-04-08,53.96,55.11,53.93,54.90,25400,54.57
2014-04-07,55.15,55.86,53.93,54.09,48700,53.76
2014-04-04,56.16,57.24,54.73,55.25,39900,54.92
2014-04-03,56.00,56.69,54.51,56.56,25800,56.22
2014-04-02,56.00,57.10,55.50,56.42,39500,56.08
2014-04-01,54.53,55.75,54.50,55.68,26200,55.34
2014-03-31,52.31,54.36,51.87,54.33,80700,54.00
2014-03-28,50.77,51.82,50.06,51.22,34000,50.91
2014-03-27,51.53,51.53,49.60,50.27,36300,49.97
2014-03-26,53.74,53.94,51.51,51.52,46900,51.21
2014-03-25,54.96,55.10,53.03,53.66,50200,53.34
2014-03-24,56.00,56.75,54.77,54.80,30700,54.47
2014-03-21,57.86,58.03,56.01,56.13,31900,55.79
2014-03-20,57.42,59.66,57.15,57.95,42100,57.60
2014-03-19,57.00,57.50,56.58,57.40,22600,57.05
2014-03-18,57.32,57.45,56.54,57.20,19100,56.85
2014-03-17,57.75,58.54,57.14,57.48,19400,57.13
2014-03-14,57.51,57.97,56.96,57.49,22600,57.14
2014-03-13,58.96,58.96,56.56,57.55,18100,57.20
2014-03-12,57.60,59.70,57.51,59.03,24200,58.67
2014-03-11,60.00,60.65,58.00,58.20,19000,57.85
2014-03-10,58.74,60.00,58.05,60.00,33200,59.64
2014-03-07,58.50,59.12,57.50,59.12,41200,58.76
2014-03-06,54.67,57.48,54.36,57.48,26900,57.13
2014-03-05,55.52,55.52,53.34,54.47,18400,54.14
2014-03-04,52.30,55.98,51.56,55.52,51400,55.19
2014-03-03,51.90,51.95,51.13,51.42,19000,51.11
2014-02-28,52.75,53.47,52.46,52.58,13100,52.26
2014-02-27,53.19,53.19,51.95,52.54,10400,52.22
2014-02-26,52.10,53.11,52.02,52.97,15600,52.65
2014-02-25,52.55,52.97,51.50,51.90,26500,51.59
2014-02-24,52.93,53.32,52.33,52.63,15900,52.31
2014-02-21,52.66,53.47,52.66,53.00,19500,52.68
2014-02-20,52.01,52.61,52.01,52.40,12000,52.08
2014-02-19,51.92,52.71,51.65,51.69,16100,51.38
2014-02-18,50.62,52.50,50.11,51.86,64600,51.55
2014-02-14,52.26,52.26,50.21,50.61,19900,50.30
2014-02-13,51.43,52.72,51.42,52.08,23500,51.77
2014-02-12,49.75,52.44,49.46,51.67,37500,51.36
2014-02-11,49.62,49.87,49.07,49.75,17300,49.45
2014-02-10,48.00,49.64,48.00,49.33,25300,49.03
2014-02-07,48.88,49.37,47.84,48.27,30800,47.98
2014-02-06,48.24,48.96,47.97,48.50,25800,48.21
2014-02-05,47.35,48.65,47.16,47.93,30100,47.64
2014-02-04,47.55,47.90,46.93,47.33,35500,47.04
2014-02-03,50.20,50.97,46.87,47.68,35500,47.39
2014-01-31,51.50,51.57,50.20,50.22,26100,49.92
2014-01-30,51.70,52.90,51.26,52.38,17800,52.06
2014-01-29,51.81,52.30,50.55,51.16,21700,50.85
2014-01-28,51.75,52.50,51.19,52.39,32900,52.07
2014-01-27,52.35,52.84,50.59,51.82,29000,51.51
2014-01-24,55.56,55.60,52.07,52.57,28500,52.25
2014-01-23,57.55,57.66,55.73,56.05,21300,55.71
2014-01-22,57.04,57.65,57.04,57.55,36600,57.20
2014-01-21,57.13,57.15,56.50,57.04,21600,56.70
2014-01-17,56.02,56.90,56.02,56.50,22100,56.16
2014-01-16,55.85,56.09,55.00,55.89,22900,55.55
2014-01-15,55.64,56.50,55.53,55.67,10800,55.33
2014-01-14,54.85,55.95,54.83,55.65,24800,55.31
2014-01-13,55.77,55.90,54.50,54.95,32600,54.55
2014-01-10,55.75,56.04,55.02,56.04,19100,55.63
2014-01-09,56.11,56.11,54.11,55.60,27300,55.19
2014-01-08,56.25,56.30,55.00,55.69,32600,55.28
2014-01-07,56.53,56.75,55.42,56.12,30400,55.71
2014-01-06,56.95,57.46,56.00,56.28,24600,55.87
2014-01-03,57.02,57.37,56.51,56.79,17300,56.38
2014-01-02,60.50,60.50,56.60,57.02,65200,56.60
2013-12-31,57.51,61.27,57.51,60.69,121300,60.25
2013-12-30,55.75,56.76,55.75,56.47,16900,56.06
2013-12-27,58.00,58.00,56.00,56.38,23800,55.97
2013-12-26,57.57,57.99,57.17,57.79,11200,57.37
2013-12-24,58.11,58.11,57.27,57.66,13300,57.24
2013-12-23,56.46,58.31,56.42,57.96,29600,57.54
2013-12-20,54.15,56.25,54.15,56.14,100500,55.73
2013-12-19,55.93,55.93,54.02,54.27,16400,53.87
2013-12-18,55.25,55.83,54.04,55.83,15700,55.42
2013-12-17,56.68,56.68,54.53,55.09,33100,54.69
2013-12-16,54.60,57.24,54.50,57.23,56000,56.81
2013-12-13,54.91,54.91,54.02,54.54,20700,54.14
2013-12-12,54.26,55.21,54.08,54.59,15300,54.19
2013-12-11,55.05,55.50,53.79,54.07,19000,53.68
2013-12-10,57.29,57.91,54.77,55.19,29500,54.79
2013-12-09,58.35,58.68,57.70,58.00,21400,57.58
2013-12-06,57.09,59.61,57.09,58.38,16000,57.95
2013-12-05,57.00,57.10,56.25,56.62,10300,56.21
2013-12-04,57.51,58.45,56.95,57.12,20000,56.70
2013-12-03,56.87,58.28,56.51,57.65,64000,57.23
2013-12-02,58.91,58.91,56.69,57.13,15600,56.71
2013-11-29,58.47,58.95,58.16,58.71,8300,58.28
2013-11-27,56.78,58.39,56.72,57.87,12200,57.45
