Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,71.37,71.74,71.14,71.46,2016900,71.46
2015-02-12,71.24,71.69,71.16,71.57,2063400,71.57
2015-02-11,70.14,71.42,69.99,71.18,3840100,71.18
2015-02-10,70.55,70.59,69.65,70.05,3063500,70.05
2015-02-09,70.32,70.69,69.85,70.03,3555200,70.03
2015-02-06,72.00,72.21,70.72,70.93,4178800,70.93
2015-02-05,69.68,72.52,69.04,72.30,4825000,72.30
2015-02-04,71.80,72.87,71.72,72.58,3677400,72.58
2015-02-03,71.16,72.06,70.51,72.03,2988100,72.03
2015-02-02,69.74,70.99,69.17,70.91,3005600,70.91
2015-01-30,70.49,70.84,69.70,69.79,2486700,69.79
2015-01-29,70.52,71.25,70.27,71.05,2854900,71.05
2015-01-28,71.65,72.54,70.30,70.32,2539200,70.32
2015-01-27,71.04,71.79,70.92,71.44,1526200,71.44
2015-01-26,71.27,71.77,71.06,71.73,1663500,71.73
2015-01-23,72.08,72.11,71.41,71.43,1746700,71.43
2015-01-22,70.67,72.11,70.39,71.95,2523000,71.95
2015-01-21,70.09,70.69,69.61,70.30,2006800,70.30
2015-01-20,71.16,71.24,69.89,70.36,2113700,70.36
2015-01-16,69.82,70.88,69.50,70.84,2182800,70.84
2015-01-15,69.43,69.88,69.12,69.23,2057300,69.23
2015-01-14,68.96,69.80,68.84,69.43,2692400,69.43
2015-01-13,70.30,71.19,69.56,70.12,2239500,70.12
2015-01-12,70.36,70.62,69.56,69.70,1513100,69.70
2015-01-09,71.08,71.12,70.37,70.42,2100800,70.42
2015-01-08,70.25,71.15,70.21,71.15,2962600,71.15
2015-01-07,69.40,69.85,68.82,69.81,2090200,69.81
2015-01-06,69.03,69.61,68.45,68.68,2626800,68.68
2015-01-05,69.68,69.78,68.64,68.73,2898800,68.73
2015-01-02,70.59,70.91,69.73,70.12,1766400,70.12
2014-12-31,71.16,71.21,70.24,70.25,1319900,70.25
2014-12-30,70.97,71.30,70.75,70.94,1095100,70.94
2014-12-29,70.93,71.53,70.76,71.00,1186200,71.00
2014-12-26,70.81,71.25,70.74,70.93,909600,70.93
2014-12-24,70.93,71.00,70.64,70.69,567800,70.69
2014-12-23,70.49,71.14,70.44,70.75,1479000,70.75
2014-12-22,70.05,70.60,69.87,70.44,1933200,70.44
2014-12-19,69.90,70.14,69.51,69.89,4940000,69.89
2014-12-18,69.17,69.79,68.84,69.79,2979900,69.79
2014-12-17,67.30,68.61,67.26,68.22,2739000,68.22
2014-12-16,67.25,68.42,66.81,67.21,2493100,67.21
2014-12-15,67.71,68.30,67.09,67.37,2789500,67.37
2014-12-12,68.27,68.92,67.38,67.42,2944600,67.42
2014-12-11,68.59,69.66,68.33,69.06,3088800,69.06
2014-12-10,68.79,69.50,68.55,68.55,3028700,68.55
2014-12-09,68.66,68.87,68.41,68.83,2345500,68.83
2014-12-08,68.77,69.41,68.61,69.14,2547500,69.14
2014-12-05,68.46,68.98,68.40,68.68,2185000,68.68
2014-12-04,68.12,68.66,68.06,68.39,2551100,68.39
2014-12-03,68.19,68.43,67.70,68.07,2425500,68.07
2014-12-02,67.51,68.14,67.51,68.11,1902800,68.11
2014-12-01,68.07,68.08,67.61,67.61,1925300,67.61
2014-11-28,67.70,68.47,67.70,68.15,1097100,68.15
2014-11-26,67.66,67.75,67.41,67.52,1494500,67.52
2014-11-25,67.61,67.91,67.36,67.58,1593400,67.58
2014-11-24,67.65,68.09,67.61,67.92,1592500,67.64
2014-11-21,67.89,67.91,67.26,67.40,2686500,67.12
2014-11-20,66.94,67.48,66.88,67.29,1635500,67.01
