Date,Open,High,Low,Close,Volume,Adj Close
2014-11-19,23.60,23.65,23.23,23.40,1886200,23.40
2014-11-18,23.48,23.78,23.43,23.61,2075700,23.61
2014-11-17,23.36,23.62,23.36,23.47,3307800,23.47
2014-11-14,23.25,23.64,23.16,23.46,3411100,23.46
2014-11-13,23.08,23.43,22.90,23.20,3611000,23.20
2014-11-12,22.78,23.13,22.60,23.09,2984200,23.09
2014-11-11,22.74,22.92,22.59,22.83,2386100,22.83
2014-11-10,22.71,22.99,22.60,22.78,2038800,22.78
2014-11-07,22.42,22.77,22.42,22.69,2184000,22.69
2014-11-06,22.39,22.58,22.24,22.44,2501000,22.44
2014-11-05,22.23,22.45,21.99,22.43,3539200,22.43
2014-11-04,21.77,22.26,21.61,22.14,6100700,22.14
2014-11-03,22.68,22.70,22.12,22.30,3040900,22.30
2014-10-31,22.66,22.95,22.64,22.70,3602800,22.70
2014-10-30,23.00,23.05,22.43,22.80,3646400,22.80
2014-10-29,23.25,23.25,22.18,22.82,4934900,22.82
2014-10-28,21.97,22.32,21.83,22.21,4169100,22.21
2014-10-27,21.68,21.93,21.67,21.79,1738000,21.79
2014-10-24,21.75,21.82,21.64,21.69,1548700,21.69
2014-10-23,21.79,22.03,21.62,21.66,2500500,21.66
2014-10-22,22.18,22.26,21.49,21.51,2450800,21.51
2014-10-21,21.75,22.42,21.74,22.12,3731200,22.12
2014-10-20,21.60,21.72,21.22,21.53,1956700,21.53
2014-10-17,21.26,22.08,21.22,21.61,4049800,21.61
2014-10-16,20.30,21.38,20.11,21.05,4361900,21.05
2014-10-15,19.90,21.01,19.42,20.56,11710200,20.56
2014-10-14,20.24,20.54,19.84,20.21,13061700,20.21
2014-10-13,20.96,21.01,20.06,20.12,8180200,20.12
2014-10-10,21.20,21.20,20.61,20.87,9902800,20.87
2014-10-09,22.10,22.15,21.20,21.23,4877200,21.23
2014-10-08,21.91,22.14,21.68,22.10,4706100,22.10
2014-10-07,22.60,22.77,21.87,21.95,5638500,21.95
2014-10-06,22.84,23.00,22.59,22.62,3803900,22.62
2014-10-03,22.43,22.82,22.35,22.75,7572200,22.75
2014-10-02,22.64,22.64,21.78,22.35,13834500,22.35
2014-10-01,23.08,23.15,22.49,22.66,4635800,22.66
2014-09-30,23.40,23.40,23.11,23.14,1884700,23.14
2014-09-29,23.41,23.58,23.11,23.43,2372700,23.43
2014-09-26,23.24,23.58,23.20,23.52,2267000,23.52
2014-09-25,23.57,23.57,23.06,23.18,1613500,23.18
2014-09-24,23.45,23.74,23.24,23.62,2485800,23.62
2014-09-23,23.70,23.70,23.40,23.40,2009400,23.40
2014-09-22,24.08,24.08,23.48,23.74,2008300,23.74
2014-09-19,23.78,24.08,23.66,23.66,5716100,23.66
2014-09-18,24.01,24.08,23.61,23.65,2611800,23.65
2014-09-17,24.30,24.30,23.85,23.92,1638100,23.92
2014-09-16,23.99,24.16,23.76,23.96,2379500,23.96
2014-09-15,24.40,24.41,23.85,24.04,2225400,24.04
2014-09-12,24.68,24.70,24.17,24.46,2376400,24.46
2014-09-11,24.42,24.69,24.32,24.66,1942300,24.66
2014-09-10,24.70,24.79,24.25,24.42,2799900,24.42
2014-09-09,24.86,24.94,24.56,24.71,3698300,24.71
2014-09-08,24.89,24.99,24.82,24.82,3756500,24.82
2014-09-05,24.86,25.00,24.80,24.95,2809000,24.95
2014-09-04,24.92,24.97,24.67,24.85,3230000,24.85
2014-09-03,25.00,25.00,24.61,24.85,3793000,24.85
2014-09-02,24.81,25.01,24.81,24.93,5005900,24.93
2014-08-29,24.95,25.00,24.60,24.60,11425600,24.60
2014-08-28,24.88,24.96,24.74,24.85,3394000,24.85
2014-08-27,24.90,25.00,24.88,24.95,3057000,24.95
2014-08-26,24.77,24.99,24.70,24.88,3113100,24.88
2014-08-25,24.73,24.89,24.70,24.72,1938700,24.72
2014-08-22,24.81,24.99,24.65,24.75,5554300,24.75
2014-08-21,24.65,24.98,24.58,24.83,7358500,24.83
2014-08-20,24.69,24.75,24.25,24.60,6563200,24.60
2014-08-19,24.65,24.81,24.48,24.64,6859900,24.64
2014-08-18,24.47,24.59,24.25,24.46,4835800,24.46
2014-08-15,24.49,24.52,23.71,24.15,4944700,24.15
2014-08-14,23.50,24.24,23.34,24.21,9960000,24.21
2014-08-13,23.04,23.51,22.96,23.45,2112200,23.45
2014-08-12,23.26,23.26,22.80,22.99,1169100,22.99
2014-08-11,23.06,23.15,22.94,22.97,1072700,22.97
2014-08-08,22.87,23.05,22.85,22.95,1703400,22.95
2014-08-07,22.90,23.05,22.73,22.82,1996000,22.82
2014-08-06,22.56,22.99,22.51,22.86,1318700,22.86
2014-08-05,22.92,22.93,22.42,22.60,2637600,22.60
2014-08-04,22.96,23.24,22.80,22.97,1853800,22.97
2014-08-01,22.91,23.12,22.86,22.90,1320200,22.90
2014-07-31,22.97,23.14,22.92,22.96,1723400,22.96
2014-07-30,23.65,23.79,23.00,23.06,4005800,23.06
2014-07-29,24.40,24.52,23.54,23.56,4819900,23.56
2014-07-28,23.97,24.12,23.97,24.02,2367300,24.02
2014-07-25,24.00,24.08,23.92,24.01,715600,24.01
2014-07-24,23.87,24.10,23.87,23.99,1156200,23.99
2014-07-23,23.88,24.02,23.75,23.91,891900,23.91
2014-07-22,23.95,24.15,23.85,23.87,824300,23.87
2014-07-21,23.89,24.00,23.72,23.90,699300,23.90
2014-07-18,23.49,24.00,23.45,23.95,1282200,23.95
2014-07-17,23.51,23.77,23.41,23.44,1499700,23.44
2014-07-16,23.36,23.72,23.11,23.54,1675900,23.54
2014-07-15,23.33,23.43,23.09,23.25,2200200,23.25
2014-07-14,23.20,23.45,23.18,23.40,866000,23.40
2014-07-11,23.30,23.51,23.09,23.15,1515300,23.15
2014-07-10,23.32,23.42,23.12,23.30,1817500,23.30
2014-07-09,23.65,23.81,23.31,23.46,1549700,23.46
2014-07-08,23.85,23.85,23.50,23.65,1914100,23.65
2014-07-07,23.96,23.97,23.76,23.85,1456700,23.85
2014-07-03,24.00,24.04,23.82,24.03,1602500,24.03
2014-07-02,23.97,24.15,23.80,23.99,1684400,23.99
2014-07-01,24.18,24.25,23.80,23.93,2954500,23.93
2014-06-30,24.34,24.48,23.83,23.91,4088000,23.91
2014-06-27,24.71,24.87,24.19,24.19,16266200,24.19
2014-06-26,24.61,24.76,24.46,24.69,2451900,24.69
2014-06-25,24.53,24.77,24.26,24.68,3026200,24.68
2014-06-24,25.04,25.08,24.52,24.62,2261700,24.62
2014-06-23,24.85,25.13,24.76,25.03,4350900,25.03
2014-06-20,24.51,25.14,24.51,24.98,12261400,24.98
2014-06-19,24.70,24.77,24.49,24.62,2301500,24.62
2014-06-18,24.66,24.77,24.48,24.64,2138200,24.64
2014-06-17,24.66,24.98,24.36,24.68,3491400,24.68
2014-06-16,24.95,25.12,24.65,24.73,3770300,24.73
2014-06-13,24.92,25.05,24.59,24.96,2044800,24.96
2014-06-12,24.63,25.08,24.56,24.95,4192200,24.95
2014-06-11,24.50,24.80,24.13,24.63,3253600,24.63
2014-06-10,24.34,24.64,24.25,24.58,4052700,24.58
2014-06-09,23.62,24.55,23.62,24.44,5438700,24.44
2014-06-06,23.61,23.68,23.42,23.60,1259000,23.60
2014-06-05,23.24,23.65,23.24,23.51,2453400,23.51
2014-06-04,23.46,23.59,23.38,23.51,5377100,23.51
2014-06-03,23.58,23.70,23.24,23.46,3768200,23.46
2014-06-02,23.53,23.75,23.45,23.52,3810300,23.52
2014-05-30,23.73,23.73,23.50,23.56,1363400,23.56
2014-05-29,23.74,23.98,23.63,23.68,1659200,23.68
2014-05-28,24.03,24.18,23.63,23.72,1504600,23.72
2014-05-27,24.10,24.29,24.01,24.05,1389000,24.05
2014-05-23,24.17,24.37,24.03,24.08,1649900,24.08
2014-05-22,24.43,24.43,24.16,24.24,867000,24.24
2014-05-21,24.16,24.38,24.16,24.30,803500,24.30
2014-05-20,24.38,24.60,24.11,24.24,1488200,24.24
2014-05-19,24.16,24.51,23.97,24.45,604500,24.45
2014-05-16,24.40,24.44,24.10,24.21,1032500,24.21
2014-05-15,24.71,24.92,24.08,24.30,2922900,24.30
