Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,13.31,13.38,13.25,13.36,433100,13.36
2015-02-12,13.07,13.15,12.95,13.05,446200,13.05
2015-02-11,12.77,12.83,12.71,12.79,297200,12.79
2015-02-10,13.09,13.11,12.86,12.93,364300,12.93
2015-02-09,12.95,13.09,12.95,13.00,575500,13.00
2015-02-06,13.12,13.18,12.91,12.94,361200,12.94
2015-02-05,13.06,13.20,13.06,13.14,497300,13.14
2015-02-04,12.66,12.89,12.64,12.70,408800,12.70
2015-02-03,12.93,13.09,12.91,13.05,1326200,13.05
2015-02-02,12.31,12.47,12.27,12.39,893600,12.39
2015-01-30,11.84,12.03,11.75,11.89,492400,11.89
2015-01-29,11.95,11.95,11.77,11.93,211800,11.93
2015-01-28,12.68,12.68,12.35,12.36,91000,12.36
2015-01-27,12.53,12.59,12.44,12.47,361500,12.47
2015-01-26,12.21,12.55,12.17,12.46,179600,12.46
2015-01-23,12.02,12.10,11.92,12.01,167600,12.01
2015-01-22,12.43,12.52,12.32,12.39,300100,12.39
2015-01-21,12.08,12.32,12.08,12.28,198400,12.28
2015-01-20,12.14,12.16,11.88,11.93,128400,11.93
2015-01-16,11.96,12.19,11.96,12.13,93300,12.13
2015-01-15,12.00,12.09,11.92,11.99,41800,11.99
2015-01-14,11.87,11.97,11.75,11.94,94500,11.94
2015-01-13,12.01,12.08,11.78,11.89,135200,11.89
2015-01-12,12.00,12.05,11.91,11.95,158000,11.95
2015-01-09,12.51,12.51,12.39,12.48,107200,12.48
2015-01-08,12.51,12.63,12.46,12.54,51800,12.54
2015-01-07,12.40,12.47,12.32,12.43,133900,12.43
2015-01-06,12.44,12.51,12.35,12.40,128700,12.40
2015-01-05,12.78,12.80,12.63,12.71,478000,12.71
2015-01-02,13.16,13.22,13.07,13.11,195600,13.11
2014-12-31,13.20,13.21,12.93,12.94,262400,12.94
2014-12-30,13.34,13.34,13.16,13.17,202300,13.17
2014-12-29,13.69,13.74,13.59,13.62,82000,13.62
2014-12-26,13.75,13.87,13.75,13.75,44700,13.75
2014-12-24,13.65,13.80,13.65,13.73,10300,13.73
2014-12-23,13.70,13.85,13.69,13.76,517800,13.76
2014-12-22,13.79,13.79,13.48,13.62,217300,13.62
2014-12-19,13.57,13.85,13.51,13.76,658100,13.76
2014-12-18,13.48,13.54,13.32,13.51,937300,13.51
2014-12-17,12.74,13.08,12.49,13.00,1104000,13.00
2014-12-16,12.78,13.05,12.67,12.71,769400,12.71
2014-12-15,12.54,12.58,12.14,12.25,211000,12.25
2014-12-12,12.65,12.77,12.43,12.45,335300,12.45
2014-12-11,13.18,13.33,12.97,13.01,94400,13.01
2014-12-10,13.08,13.32,12.88,13.10,368700,13.10
2014-12-09,13.19,13.47,13.19,13.43,245900,13.43
2014-12-08,13.43,13.51,13.13,13.31,520400,13.31
2014-12-05,13.68,13.69,13.44,13.50,844600,13.50
2014-12-04,14.13,14.17,13.97,14.00,397100,14.00
2014-12-03,14.34,14.50,14.27,14.32,1562100,14.32
2014-12-02,14.59,14.61,14.43,14.47,1455100,14.47
2014-12-01,14.40,14.50,14.12,14.12,2591600,14.12
2014-11-28,14.74,14.74,14.47,14.47,2439200,14.47
2014-11-26,16.34,16.52,16.29,16.36,672800,16.36
2014-11-25,16.10,16.52,16.10,16.44,1219000,16.44
2014-11-24,16.75,16.80,16.65,16.65,106700,16.65
2014-11-21,17.16,17.20,17.08,17.20,9600,17.20
2014-11-20,17.06,17.06,16.95,16.96,5600,16.96
2014-11-19,17.04,17.04,16.95,16.98,19300,16.98
2014-11-18,17.27,17.28,17.05,17.15,20900,17.15
2014-11-17,17.04,17.05,16.99,16.99,9200,16.99
2014-11-14,16.84,16.89,16.80,16.89,38200,16.89
2014-11-13,17.04,17.04,16.46,16.60,60000,16.60
