Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,23.09,23.25,22.51,23.04,19200,23.04
2015-02-12,22.56,22.98,22.56,22.98,4600,22.98
2015-02-11,22.88,23.43,22.53,22.54,8400,22.54
2015-02-10,23.33,23.51,22.85,23.03,14200,23.03
2015-02-09,23.38,23.55,23.09,23.33,7800,23.33
2015-02-06,23.45,24.00,23.28,23.37,12600,23.37
2015-02-05,22.81,23.69,22.81,23.32,9000,23.32
2015-02-04,22.94,22.98,22.70,22.82,8900,22.82
2015-02-03,22.20,22.97,22.20,22.95,12100,22.95
2015-02-02,21.90,22.51,21.90,22.46,12800,22.46
2015-01-30,22.34,22.87,21.52,21.52,51300,21.52
2015-01-29,22.35,22.76,22.14,22.55,11800,22.55
2015-01-28,22.50,22.99,22.22,22.25,15300,22.25
2015-01-27,22.71,23.10,22.25,22.75,26600,22.75
2015-01-26,22.09,23.12,21.82,23.02,19200,23.02
2015-01-23,22.13,22.26,21.62,22.05,21600,22.05
2015-01-22,21.84,22.44,21.68,22.40,15600,22.40
2015-01-21,21.50,21.89,21.50,21.74,10100,21.74
2015-01-20,21.99,21.99,21.50,21.62,15200,21.62
2015-01-16,21.48,21.99,21.48,21.98,10500,21.98
2015-01-15,22.62,22.64,21.33,21.49,32100,21.49
2015-01-14,22.55,22.95,22.28,22.70,17800,22.70
2015-01-13,22.64,23.38,22.30,22.61,17300,22.61
2015-01-12,23.02,23.20,22.51,22.65,15700,22.65
2015-01-09,23.56,23.56,23.15,23.20,12400,23.20
2015-01-08,23.40,23.72,23.26,23.63,25200,23.63
2015-01-07,23.97,23.97,23.04,23.40,4400,23.40
2015-01-06,23.91,23.91,23.35,23.35,18700,23.35
2015-01-05,23.95,23.95,23.50,23.53,14700,23.53
2015-01-02,24.72,24.72,23.53,24.04,24300,24.04
2014-12-31,24.78,24.85,24.20,24.81,13200,24.81
2014-12-30,24.66,24.95,24.61,24.77,2800,24.77
2014-12-29,24.84,25.00,24.76,24.97,10800,24.97
2014-12-26,24.72,24.88,24.50,24.84,5700,24.84
2014-12-24,24.86,24.86,24.82,24.82,1600,24.82
2014-12-23,23.81,24.96,23.81,24.60,16200,24.60
2014-12-22,24.40,24.76,23.89,24.64,9200,24.64
2014-12-19,24.67,24.99,24.17,24.24,43000,24.24
2014-12-18,24.39,24.78,23.72,24.78,19700,24.78
2014-12-17,23.25,24.25,23.25,24.24,12700,24.24
2014-12-16,23.30,23.46,23.25,23.25,14600,23.25
2014-12-15,23.40,23.49,23.25,23.26,12800,23.26
2014-12-12,23.11,23.50,22.81,23.25,19600,23.25
2014-12-11,23.40,23.54,23.25,23.33,15700,23.33
2014-12-10,23.15,23.49,23.01,23.35,14900,23.35
2014-12-09,22.50,23.56,22.03,23.44,22700,23.44
2014-12-08,23.01,23.27,22.50,22.58,15000,22.58
2014-12-05,23.05,23.40,22.83,23.15,14600,23.15
2014-12-04,23.24,23.38,23.06,23.07,10000,23.07
2014-12-03,23.32,23.67,23.05,23.25,15400,23.25
2014-12-02,23.67,23.67,23.17,23.55,23800,23.32
2014-12-01,23.66,23.66,23.05,23.46,23700,23.23
2014-11-28,24.08,24.19,23.40,23.55,17500,23.32
2014-11-26,23.66,24.28,23.54,24.19,23000,23.95
2014-11-25,24.14,24.23,23.70,23.94,16300,23.71
2014-11-24,23.42,24.73,23.37,24.26,29100,24.02
2014-11-21,24.01,24.01,23.26,23.28,11900,23.05
2014-11-20,23.32,23.71,23.25,23.71,14200,23.48
2014-11-19,23.62,23.62,23.03,23.32,7900,23.09
2014-11-18,24.05,24.30,23.53,23.75,17000,23.52
2014-11-17,24.55,24.60,23.99,24.02,15100,23.79
2014-11-14,24.61,24.69,24.30,24.50,11300,24.26
2014-11-13,24.70,24.92,24.40,24.47,10100,24.23
2014-11-12,24.32,24.65,24.20,24.65,17500,24.41
2014-11-11,24.49,24.64,24.21,24.46,16000,24.22
2014-11-10,24.08,24.94,24.07,24.50,26300,24.26
2014-11-07,24.44,24.86,24.13,24.31,27700,24.07
2014-11-06,24.45,24.74,24.20,24.69,17800,24.45
2014-11-05,24.00,24.68,23.76,24.56,13400,24.32
2014-11-04,24.19,24.50,23.95,24.23,11500,23.99
2014-11-03,24.09,24.70,23.92,24.49,23300,24.25
2014-10-31,24.08,24.24,22.93,24.20,37600,23.96
2014-10-30,23.26,23.96,22.96,23.70,19500,23.47
2014-10-29,22.99,23.55,22.90,23.27,13800,23.04
2014-10-28,22.96,23.23,22.02,23.23,17500,23.00
2014-10-27,23.00,23.15,22.70,22.90,7500,22.68
2014-10-24,23.10,23.21,22.83,22.83,8000,22.61
2014-10-23,23.40,23.40,22.78,22.99,14800,22.77
2014-10-22,22.46,23.76,22.46,23.18,43800,22.95
2014-10-21,22.03,22.86,22.03,22.49,25500,22.27
2014-10-20,22.73,22.83,22.04,22.51,14200,22.29
2014-10-17,23.12,23.12,22.32,22.61,17400,22.39
2014-10-16,22.92,23.00,22.27,22.76,22700,22.54
2014-10-15,22.80,23.15,21.84,22.72,23800,22.50
2014-10-14,23.08,23.08,22.78,22.99,17200,22.77
2014-10-13,22.17,23.00,21.89,22.99,12900,22.77
2014-10-10,21.85,22.35,21.69,22.00,12300,21.79
2014-10-09,22.21,22.24,21.76,22.00,10000,21.79
2014-10-08,22.00,22.67,21.69,22.52,11400,22.30
2014-10-07,22.18,22.49,21.85,21.95,8600,21.74
2014-10-06,22.18,22.27,21.80,22.24,9200,22.02
2014-10-03,22.28,22.28,21.93,22.09,8100,21.87
2014-10-02,22.45,23.26,21.82,22.07,9500,21.85
2014-10-01,22.80,23.08,21.89,22.10,26200,21.88
2014-09-30,22.44,22.89,22.44,22.75,21600,22.53
2014-09-29,22.67,22.80,22.33,22.80,10100,22.58
2014-09-26,22.97,22.97,22.79,22.92,10500,22.70
2014-09-25,23.21,23.37,22.91,22.95,20400,22.73
