Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,65.86,67.09,65.16,67.05,5850600,67.05
2015-02-12,65.98,67.57,63.82,64.58,7348200,64.58
2015-02-11,64.75,65.01,63.20,64.75,6323500,64.75
2015-02-10,66.90,66.90,64.03,66.25,7653300,66.25
2015-02-09,68.70,69.02,67.18,67.22,4410100,67.22
2015-02-06,68.63,68.82,67.36,68.33,5000200,68.33
2015-02-05,68.01,69.07,67.59,68.37,3797900,68.37
2015-02-04,66.68,68.24,66.01,67.31,6044700,67.31
2015-02-03,67.39,68.43,67.05,68.06,5681000,68.06
2015-02-02,64.03,66.23,63.68,66.23,4331900,66.23
2015-01-30,60.30,63.07,59.86,62.57,5588200,62.57
2015-01-29,61.72,61.99,59.73,61.23,4088100,61.23
2015-01-28,64.04,64.04,60.93,61.12,5693400,61.12
2015-01-27,64.00,65.32,63.41,64.59,3329300,64.59
2015-01-26,63.44,64.86,62.41,64.47,3501200,64.47
2015-01-23,63.44,65.15,62.81,62.88,5481000,62.88
2015-01-22,62.69,63.77,61.41,63.76,4532300,63.76
2015-01-21,60.88,62.63,60.27,62.32,2716200,62.32
2015-01-20,61.00,61.20,59.17,60.16,4361300,60.16
2015-01-16,60.60,62.60,60.31,62.25,4769400,62.00
2015-01-15,61.02,61.20,59.56,60.00,5434300,59.76
2015-01-14,57.46,59.68,57.44,59.53,4503200,59.29
2015-01-13,58.63,59.32,57.90,58.46,4045900,58.23
2015-01-12,59.60,59.60,57.77,58.46,4840600,58.23
2015-01-09,61.33,61.39,59.81,60.69,3584000,60.45
2015-01-08,59.39,61.40,58.71,60.87,3655900,60.63
2015-01-07,60.31,60.42,57.91,58.60,4612100,58.36
2015-01-06,59.74,61.23,58.73,59.26,4549300,59.02
2015-01-05,62.17,62.51,59.60,59.91,4813200,59.67
2015-01-02,62.18,64.26,61.51,63.83,3364400,63.57
2014-12-31,62.33,63.46,61.35,62.67,3145800,62.42
2014-12-30,63.31,63.73,62.38,62.97,2521700,62.72
2014-12-29,64.46,64.95,63.25,63.64,3403000,63.38
2014-12-26,64.63,64.96,63.52,63.96,1682700,63.70
2014-12-24,64.62,64.64,62.90,64.05,2009800,63.79
2014-12-23,64.40,65.72,64.12,65.43,3659500,65.17
2014-12-22,63.69,64.35,62.64,63.74,5468100,63.48
2014-12-19,62.88,64.92,62.23,64.82,6796700,64.56
2014-12-18,62.32,62.60,59.56,62.15,7964500,61.90
2014-12-17,57.14,61.14,56.98,60.20,6590200,59.96
2014-12-16,54.34,59.09,54.34,56.71,6710700,56.48
2014-12-15,57.01,57.46,55.08,55.20,9217400,54.98
2014-12-12,56.10,57.97,55.80,56.44,8017100,56.21
2014-12-11,57.57,58.94,56.86,57.04,5949000,56.81
2014-12-10,57.42,58.62,56.80,57.78,10394300,57.55
2014-12-09,57.10,59.32,56.66,58.84,8808600,58.60
2014-12-08,60.86,60.90,57.30,57.43,7954600,57.20
