Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,46.33,46.40,45.69,46.16,221300,46.16
2015-02-12,44.71,46.39,44.49,46.24,639500,46.24
2015-02-11,46.67,46.67,44.34,44.57,460400,44.57
2015-02-10,47.60,48.38,47.27,48.12,216000,46.57
2015-02-09,47.52,47.72,46.84,47.31,137700,45.79
2015-02-06,48.08,48.86,47.75,47.90,109400,46.36
2015-02-05,47.19,48.27,46.92,47.99,133100,46.44
2015-02-04,46.19,48.22,46.19,47.16,318000,45.64
2015-02-03,48.52,49.70,47.57,48.11,680300,46.56
2015-02-02,48.71,50.21,48.41,50.08,214900,48.47
2015-01-30,48.24,49.15,48.03,48.27,307600,46.72
2015-01-29,48.58,48.97,47.92,48.67,162500,47.10
2015-01-28,50.27,50.28,48.37,48.66,127000,47.09
2015-01-27,49.37,50.36,49.35,49.84,121000,48.23
2015-01-26,48.79,50.86,48.47,50.10,220700,48.49
2015-01-23,48.75,49.19,48.59,48.85,96500,47.28
2015-01-22,47.61,49.47,47.18,48.84,236300,47.27
2015-01-21,47.62,48.41,46.91,47.47,131900,45.94
2015-01-20,47.52,48.10,46.88,47.79,145500,46.25
2015-01-16,46.29,47.43,45.79,47.34,188600,45.82
2015-01-15,47.66,48.34,46.18,46.48,286200,44.98
2015-01-14,48.04,48.08,46.73,47.63,304200,46.10
2015-01-13,48.54,49.20,48.14,48.51,306500,46.95
2015-01-12,48.27,48.35,47.45,47.95,125200,46.41
2015-01-09,48.69,48.99,47.89,48.15,144800,46.60
2015-01-08,48.66,49.41,48.65,48.69,150000,47.12
2015-01-07,48.25,49.22,48.12,49.00,202100,47.42
2015-01-06,49.20,49.38,47.75,48.26,295600,46.71
2015-01-05,50.20,50.40,48.55,49.20,253400,47.62
2015-01-02,50.63,50.93,50.03,50.60,115800,48.97
2014-12-31,50.53,51.22,50.22,50.53,112700,48.90
2014-12-30,50.51,50.92,49.83,50.31,86000,48.69
2014-12-29,50.29,50.75,50.20,50.55,145900,48.92
2014-12-26,49.47,50.51,49.40,50.36,69300,48.74
2014-12-24,49.70,50.30,49.46,49.54,94000,47.94
2014-12-23,49.85,50.30,49.63,49.81,95000,48.21
2014-12-22,49.32,49.95,49.15,49.76,108900,48.16
2014-12-19,49.16,49.56,48.62,49.33,263700,47.74
2014-12-18,48.25,49.22,48.25,48.80,225900,47.23
2014-12-17,46.25,47.68,46.16,47.51,283200,45.98
2014-12-16,47.00,47.47,46.22,46.32,192600,44.83
2014-12-15,47.19,47.64,47.00,47.09,299100,45.57
