Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,1.30,1.39,1.20,1.26,36100,1.26
2015-02-12,1.20,1.40,1.20,1.30,17000,1.30
2015-02-11,1.47,1.51,0.90,0.90,28300,0.90
2015-02-10,1.65,1.65,1.38,1.45,50600,1.45
2015-02-09,1.70,1.79,1.65,1.79,3800,1.79
2015-02-06,1.80,1.80,1.70,1.70,15500,1.70
2015-02-05,1.63,1.76,1.63,1.75,58500,1.75
2015-02-04,1.60,1.75,1.40,1.68,23100,1.68
2015-02-03,1.47,1.60,1.38,1.59,7900,1.59
2015-02-02,1.41,1.44,1.40,1.44,400,1.44
2015-01-30,1.43,1.46,1.43,1.43,7300,1.43
2015-01-29,1.33,1.40,1.30,1.40,3400,1.40
2015-01-28,1.42,1.43,1.33,1.36,57200,1.36
2015-01-27,1.24,1.30,1.18,1.25,17600,1.25
2015-01-26,1.23,1.23,1.23,1.23,900,1.23
2015-01-23,1.19,1.23,1.17,1.23,2300,1.23
2015-01-22,1.20,1.22,1.20,1.20,1600,1.20
2015-01-21,1.22,1.23,1.22,1.23,200,1.23
2015-01-20,1.18,1.21,1.17,1.21,1700,1.21
2015-01-16,1.08,1.17,1.02,1.17,11800,1.17
2015-01-15,1.07,1.20,0.80,1.20,29300,1.20
2015-01-14,1.07,1.22,1.07,1.20,15800,1.20
2015-01-13,1.18,1.18,1.18,1.18,000,1.18
2015-01-12,1.18,1.18,1.18,1.18,000,1.18
2015-01-09,1.17,1.18,1.17,1.18,400,1.18
2015-01-08,1.17,1.17,1.15,1.16,7200,1.16
2015-01-07,1.21,1.21,1.14,1.21,5600,1.21
2015-01-06,1.14,1.19,1.07,1.14,19600,1.14
2015-01-05,1.22,1.22,1.12,1.14,6500,1.14
2015-01-02,1.12,1.12,1.12,1.12,5500,1.12
2014-12-31,1.21,1.21,1.21,1.21,100,1.21
2014-12-30,1.23,1.23,1.23,1.23,000,1.23
2014-12-29,1.20,1.23,1.20,1.23,800,1.23
2014-12-26,1.22,1.22,1.16,1.22,9900,1.22
2014-12-24,1.25,1.25,1.20,1.24,400,1.24
2014-12-23,1.12,1.29,1.12,1.29,7200,1.29
2014-12-22,1.25,1.25,1.15,1.15,14500,1.15
2014-12-19,1.24,1.24,1.23,1.23,6000,1.23
2014-12-18,1.14,1.20,1.10,1.20,7900,1.20
2014-12-17,1.10,1.12,1.07,1.07,18000,1.07
2014-12-16,1.10,1.29,1.10,1.11,30600,1.11
2014-12-15,1.06,1.12,1.02,1.10,25600,1.10
2014-12-12,1.03,1.05,0.98,1.05,14900,1.05
2014-12-11,1.03,1.04,1.00,1.01,14900,1.01
2014-12-10,1.08,1.08,1.00,1.05,3400,1.05
2014-12-09,1.07,1.07,1.00,1.00,6300,1.00
2014-12-08,1.10,1.15,1.00,1.00,34500,1.00
2014-12-05,1.10,1.10,1.00,1.03,13400,1.03
2014-12-04,1.04,1.15,0.83,0.95,46700,0.95
2014-12-03,0.80,0.90,0.78,0.90,18900,0.90
2014-12-02,0.69,0.84,0.69,0.84,32200,0.84
2014-12-01,0.73,0.73,0.65,0.65,11200,0.65
2014-11-28,0.85,0.85,0.70,0.70,9300,0.70
2014-11-26,0.75,0.78,0.75,0.78,1100,0.78
2014-11-25,1.21,1.21,0.70,0.70,33600,0.70
2014-11-24,0.83,0.83,0.67,0.72,15200,0.72
2014-11-21,0.82,0.93,0.80,0.93,19500,0.93
2014-11-20,0.85,0.87,0.80,0.80,7400,0.80
2014-11-19,0.91,0.94,0.84,0.84,28300,0.84
2014-11-18,1.04,1.04,0.85,0.87,26400,0.87
2014-11-17,0.50,1.03,0.50,0.80,258000,0.80
