Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,15.43,15.48,15.43,15.48,13100,15.48
2015-02-12,15.20,15.37,15.20,15.36,11600,15.36
2015-02-11,15.20,15.21,15.19,15.21,2600,15.21
2015-02-10,15.32,15.32,15.18,15.26,1800,15.26
2015-02-09,15.36,15.36,15.23,15.25,3500,15.25
2015-02-06,15.51,15.51,15.31,15.37,25000,15.37
2015-02-05,15.50,15.50,15.38,15.43,4000,15.43
2015-02-04,15.27,15.55,15.23,15.51,11000,15.51
2015-02-03,15.23,15.38,15.23,15.38,3400,15.38
2015-02-02,15.28,15.29,15.20,15.29,6200,15.29
2015-01-30,15.30,15.33,15.16,15.25,10200,15.25
2015-01-29,15.31,15.45,15.31,15.41,7200,15.41
2015-01-28,15.52,15.55,15.40,15.40,2500,15.40
2015-01-27,15.41,15.55,15.29,15.55,5200,15.55
2015-01-26,15.53,15.53,15.40,15.47,5700,15.47
2015-01-23,15.56,15.56,15.46,15.49,4900,15.49
2015-01-22,15.33,15.42,15.33,15.38,11600,15.38
2015-01-21,15.29,15.38,15.26,15.28,3600,15.28
2015-01-20,15.18,15.32,15.17,15.31,9300,15.31
2015-01-16,15.15,15.25,15.05,15.22,25400,15.22
2015-01-15,15.25,15.25,15.11,15.12,16800,15.12
2015-01-14,15.04,15.10,14.98,15.04,9900,15.04
2015-01-13,15.24,15.24,15.04,15.06,6300,15.06
2015-01-12,15.24,15.39,14.97,15.06,16600,15.06
2015-01-09,14.96,15.08,14.96,15.08,11900,15.08
2015-01-08,14.95,15.03,14.88,14.93,24600,14.93
2015-01-07,14.77,14.83,14.65,14.82,23800,14.82
2015-01-06,14.74,14.77,14.60,14.65,21600,14.65
2015-01-05,14.72,14.82,14.67,14.71,15800,14.71
2015-01-02,14.85,14.85,14.61,14.77,11900,14.77
2014-12-31,14.78,15.00,14.73,14.85,21000,14.85
2014-12-30,14.74,14.84,14.74,14.82,9100,14.82
2014-12-29,14.85,14.85,14.72,14.78,17200,14.78
2014-12-26,14.70,14.82,14.70,14.82,2300,14.82
2014-12-24,14.73,14.80,14.57,14.76,6900,14.76
2014-12-23,14.77,14.84,14.65,14.79,9800,14.79
2014-12-22,14.46,14.87,14.40,14.79,15200,14.79
2014-12-19,14.83,14.88,14.79,14.86,9300,14.86
2014-12-18,14.71,14.80,14.70,14.74,12500,14.74
2014-12-17,14.60,14.60,14.45,14.58,12200,14.58
2014-12-16,15.59,15.84,15.45,15.51,24700,14.35
2014-12-15,15.84,15.91,15.67,15.72,7600,14.54
2014-12-12,16.05,16.05,15.80,15.80,21200,14.62
2014-12-11,15.99,16.07,15.97,15.97,4000,14.77
2014-12-10,16.17,16.17,15.95,16.07,9500,14.87
2014-12-09,16.05,16.13,16.04,16.04,5800,14.84
2014-12-08,16.14,16.18,16.06,16.15,7700,14.94
2014-12-05,16.13,16.25,15.96,16.20,16800,14.99
2014-12-04,16.19,16.24,16.13,16.20,34300,14.99
2014-12-03,16.09,16.26,16.09,16.25,8000,15.03
2014-12-02,16.16,16.23,16.12,16.17,18700,14.96
2014-12-01,16.09,16.23,16.07,16.13,18500,14.92
2014-11-28,16.19,16.19,16.19,16.19,300,14.98
2014-11-26,16.23,16.23,16.18,16.19,1100,14.98
2014-11-25,16.21,16.23,16.17,16.23,28700,15.01
2014-11-24,16.30,16.32,16.23,16.27,19700,15.05
2014-11-21,16.20,16.35,16.20,16.35,92500,15.12
2014-11-20,16.12,16.12,16.00,16.05,8700,14.85
2014-11-19,16.11,16.18,16.07,16.18,10700,14.97
2014-11-18,16.16,16.25,16.14,16.15,33400,14.94
2014-11-17,16.13,16.18,16.10,16.16,37700,14.95
2014-11-14,16.23,16.26,16.21,16.26,10100,15.04
2014-11-13,16.37,16.37,16.19,16.19,3000,14.98
2014-11-12,16.10,16.23,16.10,16.20,9900,14.99
2014-11-11,16.15,16.19,16.15,16.18,3800,14.97
2014-11-10,16.03,16.15,16.03,16.14,4400,14.93
2014-11-07,16.05,16.09,16.03,16.09,3400,14.88
2014-11-06,16.03,16.06,16.03,16.06,1500,14.86
2014-11-05,16.24,16.24,16.09,16.14,5100,14.93
2014-11-04,16.21,16.28,16.17,16.24,19200,15.02
2014-11-03,16.43,16.43,16.30,16.35,13300,15.12
2014-10-31,16.51,16.54,16.44,16.46,21100,15.23
2014-10-30,16.28,16.44,16.28,16.44,15500,15.21
2014-10-29,16.43,16.47,16.37,16.41,59400,15.18
2014-10-28,16.19,16.31,16.19,16.30,46200,15.08
2014-10-27,16.14,16.23,16.11,16.22,20400,15.00
2014-10-24,16.12,16.25,16.12,16.19,11100,14.98
2014-10-23,16.23,16.46,16.15,16.15,89100,14.94
2014-10-22,16.28,16.29,16.27,16.28,600,15.06
2014-10-21,15.94,16.20,15.94,16.14,9000,14.93
2014-10-20,15.81,16.00,15.81,15.99,19100,14.79
2014-10-17,15.93,15.94,15.80,15.84,1300,14.65
2014-10-16,15.51,15.78,15.00,15.68,15600,14.50
2014-10-15,15.52,15.71,15.47,15.53,49100,14.37
2014-10-14,15.64,15.79,15.64,15.68,72500,14.50
2014-10-13,15.82,15.95,15.75,15.79,28200,14.61
2014-10-10,16.18,16.18,15.90,15.91,9400,14.72
2014-10-09,16.24,16.26,16.20,16.25,11100,15.03
2014-10-08,16.19,16.29,16.06,16.28,7900,15.06
2014-10-07,16.16,16.26,16.15,16.23,13200,15.01
2014-10-06,16.27,16.41,16.27,16.31,3500,15.09
2014-10-03,16.08,16.40,16.08,16.21,24900,14.99
2014-10-02,16.25,16.25,16.04,16.06,11100,14.86
2014-10-01,16.31,16.32,16.22,16.25,9300,15.03
2014-09-30,16.33,16.33,16.24,16.32,12300,15.10
2014-09-29,16.42,16.42,16.29,16.38,4300,15.15
2014-09-26,16.60,16.65,16.52,16.54,25800,15.30
2014-09-25,16.66,16.66,16.54,16.57,19300,15.33
2014-09-24,16.77,16.78,16.67,16.67,6300,15.42
2014-09-23,16.69,16.78,16.68,16.71,32300,15.46
2014-09-22,16.83,16.84,16.68,16.69,6500,15.44
2014-09-19,16.97,16.98,16.87,16.92,18000,15.65
2014-09-18,17.04,17.09,16.94,16.94,45200,15.67
2014-09-17,16.98,17.05,16.98,17.04,27400,15.76
