Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,50.84,51.34,50.59,51.14,179400,51.14
2015-02-12,50.09,51.15,49.87,50.96,172600,50.96
2015-02-11,50.50,50.56,49.70,49.79,272800,49.79
2015-02-10,50.34,50.70,49.67,50.48,158200,50.48
2015-02-09,50.72,51.25,50.20,50.33,264200,50.33
2015-02-06,51.68,51.91,50.88,51.19,428400,51.19
2015-02-05,50.30,52.36,50.30,52.30,362700,51.42
2015-02-04,52.43,52.44,51.72,51.86,283800,50.99
2015-02-03,52.00,52.44,51.42,52.28,372500,51.40
2015-02-02,51.50,51.86,50.85,51.38,225600,50.52
2015-01-30,51.64,51.94,51.30,51.37,153200,50.51
2015-01-29,50.89,52.00,50.80,51.96,188700,51.09
2015-01-28,51.14,51.39,50.71,50.91,149400,50.05
2015-01-27,51.25,51.39,50.66,51.13,222200,50.27
2015-01-26,50.32,51.34,50.00,51.32,305800,50.46
2015-01-23,51.84,52.00,51.03,51.18,311200,50.32
2015-01-22,52.50,52.72,51.60,51.93,271900,51.06
2015-01-21,51.64,52.62,51.43,52.55,295300,51.67
2015-01-20,51.46,51.72,51.12,51.58,370700,50.71
2015-01-16,50.40,51.41,50.40,51.34,283400,50.48
2015-01-15,50.44,50.77,49.91,50.54,228200,49.69
2015-01-14,49.53,50.37,49.01,50.28,627400,49.43
2015-01-13,49.73,49.84,48.79,49.28,433300,48.45
2015-01-12,49.38,49.61,48.30,49.38,458500,48.55
2015-01-09,49.20,49.85,48.34,49.40,275500,48.57
2015-01-08,48.20,49.29,48.20,49.18,323000,48.35
2015-01-07,48.46,48.63,47.72,48.03,324300,47.22
2015-01-06,48.01,48.63,47.91,48.27,286800,47.46
2015-01-05,48.50,48.50,47.89,48.05,457400,47.24
2015-01-02,48.00,48.60,47.90,48.54,194800,47.72
2014-12-31,48.15,48.50,47.81,47.92,151300,47.11
2014-12-30,47.93,48.30,47.64,48.30,172400,47.49
2014-12-29,48.02,48.31,47.80,47.97,310400,47.16
2014-12-26,48.21,48.35,47.90,48.02,119900,47.21
2014-12-24,47.80,48.30,47.74,48.10,131200,47.29
2014-12-23,48.20,48.50,47.75,47.99,212900,47.18
2014-12-22,47.30,48.34,47.30,48.12,288200,47.31
2014-12-19,47.32,47.45,46.68,47.36,387500,46.56
2014-12-18,47.50,47.84,46.54,47.32,288100,46.52
2014-12-17,46.06,47.09,46.06,47.05,350900,46.26
2014-12-16,45.10,46.18,44.89,46.16,579800,45.38
2014-12-15,46.02,46.05,45.10,45.28,346700,44.52
2014-12-12,45.94,46.37,45.30,45.57,220000,44.80
2014-12-11,46.41,47.12,45.73,46.01,272800,45.24
2014-12-10,46.90,46.97,46.14,46.56,307300,45.78
2014-12-09,46.05,47.04,45.61,46.99,274700,46.20
2014-12-08,46.96,47.49,46.31,46.52,257600,45.74
2014-12-05,47.59,47.73,47.32,47.65,281600,46.85
2014-12-04,47.99,48.10,47.52,47.59,230600,46.79
2014-12-03,46.81,48.25,46.50,47.94,543500,47.13
2014-12-02,44.78,46.94,44.50,46.60,1063600,45.82
2014-12-01,45.46,46.06,44.72,44.78,647800,44.03
2014-11-28,47.50,47.50,46.09,46.19,200000,45.41
2014-11-26,47.17,47.57,46.93,47.57,239000,46.77
2014-11-25,46.90,47.34,46.28,47.27,356800,46.47
2014-11-24,47.38,47.38,46.89,47.36,251400,46.56
2014-11-21,46.70,47.65,46.62,47.38,709700,46.58
2014-11-20,46.29,46.75,45.99,46.62,281600,45.84
2014-11-19,46.11,46.37,45.80,46.26,297900,45.48
2014-11-18,45.79,46.30,45.75,46.17,405300,45.39
2014-11-17,45.41,45.74,45.09,45.72,271400,44.95
2014-11-14,45.14,45.56,44.52,45.33,366000,44.57
2014-11-13,45.80,46.20,45.50,45.63,207200,44.86
2014-11-12,45.44,45.95,45.02,45.77,246300,45.00
2014-11-11,45.42,45.73,45.30,45.52,195800,44.75
2014-11-10,45.47,45.70,45.33,45.55,252100,44.78
2014-11-07,45.17,45.47,45.04,45.42,341400,44.66
2014-11-06,45.33,45.68,45.00,45.08,260700,44.32
2014-11-05,45.95,46.38,45.60,46.19,361900,44.55
2014-11-04,46.45,46.63,45.53,45.89,362400,44.26
2014-11-03,46.49,46.63,46.11,46.45,320600,44.80
2014-10-31,46.54,46.55,45.78,46.15,367200,44.51
2014-10-30,46.56,46.75,46.00,46.09,266600,44.45
2014-10-29,46.42,46.54,45.93,46.53,288600,44.88
2014-10-28,46.55,46.55,45.65,46.35,391100,44.70
2014-10-27,46.35,46.47,45.89,46.44,256700,44.79
2014-10-24,46.06,46.58,46.00,46.29,242100,44.64
2014-10-23,45.98,46.91,45.56,45.97,272500,44.34
2014-10-22,45.70,46.00,45.40,45.65,282400,44.03
2014-10-21,45.46,46.00,45.20,45.57,392300,43.95
2014-10-20,44.90,45.35,44.65,45.14,371000,43.53
2014-10-17,45.31,45.59,44.43,44.90,422500,43.30
2014-10-16,43.53,45.48,43.50,45.08,452400,43.48
2014-10-15,42.69,44.06,42.15,43.88,466200,42.32
2014-10-14,43.32,43.78,42.06,42.99,765900,41.46
2014-10-13,43.97,44.32,43.01,43.11,503500,41.58
2014-10-10,44.66,44.79,43.81,43.97,488600,42.41
2014-10-09,45.51,45.66,44.63,44.81,316000,43.22
2014-10-08,45.83,45.99,45.20,45.49,426200,43.87
2014-10-07,46.03,46.06,45.75,45.83,326000,44.20
2014-10-06,46.25,46.30,45.57,46.00,204100,44.36
2014-10-03,46.19,46.39,45.94,46.21,200900,44.57
2014-10-02,46.16,46.43,45.53,46.22,313700,44.58
2014-10-01,45.56,46.42,45.45,46.13,307800,44.49
2014-09-30,45.43,45.83,45.24,45.62,234000,44.00
2014-09-29,45.17,45.57,44.86,45.43,271100,43.81
2014-09-26,44.89,45.29,44.52,45.13,154400,43.53
2014-09-25,45.29,45.35,44.68,44.70,377800,43.11
2014-09-24,45.75,45.77,45.25,45.28,265400,43.67
2014-09-23,46.08,46.08,45.65,45.71,206600,44.08
2014-09-22,46.08,46.15,45.60,46.09,292500,44.45
2014-09-19,45.88,46.20,45.68,46.05,442900,44.41
2014-09-18,45.69,45.87,45.41,45.81,162600,44.18
2014-09-17,45.73,45.87,45.35,45.60,212900,43.98
2014-09-16,45.50,45.84,45.36,45.61,233000,43.99
2014-09-15,45.49,45.65,45.30,45.53,194400,43.91
2014-09-12,45.95,45.95,45.14,45.52,216800,43.90
2014-09-11,45.85,45.96,45.64,45.90,151600,44.27
2014-09-10,45.80,46.10,45.69,45.99,149000,44.35
2014-09-09,45.99,45.99,45.60,45.95,202600,44.32
2014-09-08,45.87,45.98,45.59,45.90,199800,44.27
2014-09-05,45.66,45.95,45.50,45.89,179700,44.26
2014-09-04,46.00,46.11,45.54,45.66,234500,44.04
2014-09-03,46.40,46.50,45.72,46.01,542500,44.37
2014-09-02,46.42,46.54,46.07,46.41,248700,44.76
2014-08-29,46.28,46.31,46.04,46.27,157600,44.62
2014-08-28,46.22,46.44,46.00,46.31,207100,44.66
2014-08-27,45.85,46.49,45.81,46.36,418100,44.71
2014-08-26,45.73,45.80,45.52,45.62,139800,44.00
2014-08-25,45.84,45.84,45.55,45.73,243100,44.10
2014-08-22,45.60,45.75,45.29,45.68,142500,44.06
2014-08-21,45.49,45.71,45.40,45.51,239300,43.89
2014-08-20,45.25,45.58,45.04,45.49,250300,43.87
2014-08-19,45.06,45.22,44.81,45.20,296700,43.59
2014-08-18,45.20,45.20,44.76,44.92,298700,43.32
2014-08-15,44.81,45.15,44.71,45.05,376500,43.45
2014-08-14,44.81,44.99,44.58,44.70,237600,43.11
2014-08-13,44.63,44.98,44.60,44.81,290700,43.22
2014-08-12,44.75,44.79,44.38,44.47,212900,42.89
2014-08-11,44.30,45.05,44.30,44.62,308600,43.03
2014-08-08,43.88,44.35,43.86,44.31,244700,42.73
2014-08-07,44.17,44.40,43.56,43.81,356500,42.25
2014-08-06,44.99,45.37,44.77,45.08,376700,42.63
2014-08-05,44.33,45.15,44.29,45.00,862900,42.55
2014-08-04,45.14,45.51,44.63,45.51,219200,43.03
2014-08-01,45.25,45.49,44.56,44.87,426100,42.43
2014-07-31,45.50,45.57,45.22,45.36,350400,42.89
2014-07-30,46.12,46.20,45.36,45.65,293900,43.17
2014-07-29,46.24,46.24,45.95,46.12,196100,43.61
2014-07-28,46.00,46.22,46.00,46.10,178200,43.59
2014-07-25,46.02,46.19,45.78,45.93,198000,43.43
2014-07-24,46.18,46.19,45.91,46.13,181400,43.62
2014-07-23,46.02,46.14,45.90,46.05,200700,43.55
2014-07-22,45.93,46.16,45.76,46.00,229300,43.50
2014-07-21,45.90,46.06,45.68,45.90,188300,43.40
2014-07-18,45.70,46.09,45.61,45.82,393800,43.33
2014-07-17,45.94,45.94,45.69,45.73,236900,43.24
2014-07-16,45.75,46.04,45.60,45.90,303200,43.40
2014-07-15,45.66,45.86,45.54,45.78,223100,43.29
2014-07-14,45.90,45.90,45.69,45.71,295200,43.22
2014-07-11,45.78,45.98,45.75,45.88,358000,43.38
2014-07-10,45.71,45.79,45.66,45.75,444400,43.26
2014-07-09,45.56,45.75,45.31,45.71,264700,43.22
2014-07-08,45.26,45.70,45.24,45.45,382200,42.98
2014-07-07,45.22,45.45,45.02,45.21,546700,42.75
2014-07-03,45.49,45.49,45.16,45.22,232800,42.76
2014-07-02,45.36,45.43,45.20,45.38,325900,42.91
2014-07-01,45.46,45.46,45.13,45.36,317900,42.89
2014-06-30,45.32,45.54,45.19,45.39,309300,42.92
2014-06-27,44.93,45.29,44.86,45.21,262100,42.75
2014-06-26,45.23,45.23,44.85,44.86,289900,42.42
2014-06-25,45.22,45.39,44.95,45.09,333100,42.64
2014-06-24,45.12,45.45,45.03,45.33,317100,42.86
2014-06-23,45.01,45.18,44.85,45.11,325700,42.66
2014-06-20,45.44,45.44,45.00,45.01,517600,42.56
2014-06-19,45.08,45.52,44.83,45.44,848300,42.97
2014-06-18,45.10,45.33,44.81,45.25,654900,42.79
2014-06-17,45.35,45.44,44.81,45.15,612700,42.69
2014-06-16,44.91,45.27,44.80,45.26,801800,42.80
2014-06-13,45.05,45.12,44.65,44.80,961400,42.36
2014-06-12,45.05,45.35,44.66,44.90,8814500,42.46
2014-06-11,48.32,48.36,47.50,47.61,338000,45.02
2014-06-10,48.14,48.32,48.10,48.30,172000,45.67
2014-06-09,48.20,48.25,48.01,48.21,320900,45.59
2014-06-06,47.87,48.24,47.87,48.09,298000,45.47
2014-06-05,47.69,48.07,47.68,47.87,281700,45.27
2014-06-04,48.01,48.18,47.41,47.87,187500,45.27
2014-06-03,47.89,48.24,47.70,47.98,217800,45.37
2014-06-02,47.39,47.94,47.27,47.78,337900,45.18
2014-05-30,46.77,47.47,46.73,47.38,219400,44.80
2014-05-29,47.05,47.08,46.52,46.95,116900,44.40
2014-05-28,47.00,47.10,46.89,46.96,176200,44.41
2014-05-27,47.04,47.25,46.76,47.00,186700,44.44
2014-05-23,47.05,47.20,46.66,46.75,149600,44.21
2014-05-22,47.00,47.30,46.78,46.88,211700,44.33
2014-05-21,47.00,47.21,46.81,47.07,167900,44.51
2014-05-20,46.90,47.06,46.48,46.96,221800,44.41
2014-05-19,46.76,46.93,46.35,46.75,216200,44.21
2014-05-16,46.34,46.90,46.20,46.56,572800,44.03
2014-05-15,46.04,46.74,45.97,46.46,305400,43.93
2014-05-14,45.75,46.26,45.59,46.13,272800,43.62
2014-05-13,44.85,45.44,44.76,45.35,242500,42.88
2014-05-12,45.05,45.38,44.84,44.93,193000,42.49
2014-05-09,44.55,45.47,44.44,45.08,267300,42.63
