Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,39.20,40.20,38.87,39.76,219200,39.76
2015-02-12,39.00,39.50,38.78,39.21,219300,39.21
2015-02-11,39.03,39.65,38.66,38.68,239200,38.68
2015-02-10,38.40,39.60,38.22,39.04,266600,39.04
2015-02-09,38.08,39.15,37.84,38.11,364900,38.11
2015-02-06,38.96,39.21,37.68,38.39,464800,38.39
2015-02-05,38.99,39.82,37.58,38.70,681400,38.70
2015-02-04,41.40,41.40,38.18,39.08,744000,39.08
2015-02-03,38.56,40.50,38.29,40.48,497700,40.48
2015-02-02,37.56,38.96,37.40,38.74,315500,38.68
2015-01-30,39.36,40.23,37.26,37.26,398600,37.20
2015-01-29,39.61,40.18,38.32,39.80,255600,39.74
2015-01-28,41.48,41.48,39.50,39.62,186700,39.56
2015-01-27,40.53,41.29,39.90,40.96,197300,40.90
2015-01-26,40.96,41.43,40.42,40.91,150600,40.85
2015-01-23,40.48,41.10,40.01,40.81,153200,40.75
2015-01-22,39.71,40.68,39.68,40.63,331800,40.57
2015-01-21,39.51,40.50,39.05,39.49,339300,39.43
2015-01-20,41.81,42.09,39.02,39.81,561100,39.75
2015-01-16,40.55,42.11,40.42,41.99,329200,41.92
2015-01-15,40.28,40.95,40.22,40.70,501900,40.64
2015-01-14,41.08,41.52,39.90,40.14,302800,40.08
2015-01-13,42.14,43.45,41.34,41.61,383100,41.55
2015-01-12,41.69,42.14,41.25,41.59,578600,41.53
2015-01-09,43.11,43.67,41.48,41.57,379400,41.51
2015-01-08,42.44,43.77,42.10,43.11,495800,43.04
2015-01-07,43.55,43.72,41.69,42.07,425500,42.00
2015-01-06,45.20,45.32,42.76,43.15,793500,43.08
2015-01-05,45.61,45.64,45.00,45.20,518000,45.13
2015-01-02,46.69,46.75,44.69,45.88,229000,45.81
2014-12-31,46.46,46.98,46.10,46.37,399800,46.30
2014-12-30,46.14,46.84,45.90,46.29,184500,46.22
2014-12-29,47.19,47.44,46.15,46.21,215100,46.14
2014-12-26,46.55,47.52,46.29,47.33,129800,47.26
2014-12-24,46.68,47.27,46.21,46.21,199100,46.14
2014-12-23,45.61,46.42,45.42,46.30,184000,46.23
2014-12-22,44.09,45.42,44.09,45.40,214100,45.33
2014-12-19,44.48,44.86,43.86,44.09,1210000,44.02
2014-12-18,44.08,44.88,43.56,44.55,190400,44.48
2014-12-17,43.21,43.39,41.15,43.31,473000,43.24
2014-12-16,43.87,44.55,43.08,43.10,343100,43.03
2014-12-15,44.20,44.60,43.62,44.12,254200,44.05
2014-12-12,43.34,44.35,43.34,44.00,298100,43.93
2014-12-11,43.86,44.74,43.02,43.79,340300,43.72
2014-12-10,44.28,44.60,43.48,43.51,498700,43.44
2014-12-09,43.51,44.54,43.04,44.33,374100,44.26
2014-12-08,44.41,44.85,43.79,44.16,390300,44.09
2014-12-05,44.22,44.94,44.14,44.42,242900,44.35
2014-12-04,43.91,44.83,43.64,44.32,307200,44.25
2014-12-03,43.95,44.68,43.23,43.97,233200,43.90
2014-12-02,42.36,43.82,42.36,43.71,288900,43.64
2014-12-01,43.04,44.31,41.67,42.15,349400,42.08
2014-11-28,43.04,44.32,42.00,43.42,186600,43.35
2014-11-26,43.48,44.03,42.44,42.78,364900,42.71
2014-11-25,43.65,44.66,43.30,43.55,417600,43.48
2014-11-24,43.32,44.26,43.16,43.63,245900,43.56
2014-11-21,43.42,43.50,42.48,43.12,203300,43.05
2014-11-20,41.60,42.89,41.17,42.78,178900,42.71
2014-11-19,42.32,42.74,41.25,41.68,345700,41.62
2014-11-18,42.35,43.28,41.97,42.56,405600,42.49
2014-11-17,42.48,43.00,42.04,42.33,332700,42.26
2014-11-14,42.53,43.13,42.10,42.61,183400,42.54
2014-11-13,43.42,43.42,42.07,42.63,225800,42.56
2014-11-12,43.11,43.82,42.87,43.38,236100,43.31
2014-11-11,43.00,43.38,42.51,43.21,313000,43.14
2014-11-10,42.50,43.14,42.02,43.00,359900,42.93
2014-11-07,42.89,43.32,42.11,42.40,273900,42.33
2014-11-06,41.81,42.95,40.96,42.88,269300,42.81
2014-11-05,41.97,42.35,41.24,41.95,333900,41.89
2014-11-04,41.25,43.71,41.25,41.99,481700,41.87
2014-11-03,43.46,44.00,39.45,41.32,1054400,41.20
2014-10-31,39.00,39.12,38.10,38.70,535100,38.58
2014-10-30,38.09,38.39,36.96,37.78,374900,37.67
2014-10-29,38.04,38.72,37.59,38.43,249600,38.32
2014-10-28,37.95,38.60,37.70,37.80,436400,37.69
2014-10-27,36.11,37.66,35.49,37.57,329000,37.46
2014-10-24,35.79,36.10,35.29,35.75,204600,35.64
2014-10-23,35.39,36.30,35.04,35.64,311900,35.53
2014-10-22,36.16,36.18,34.80,34.84,240800,34.74
2014-10-21,34.50,36.13,34.37,35.92,293100,35.81
2014-10-20,33.64,34.22,33.53,34.16,414600,34.06
2014-10-17,32.92,33.91,32.69,33.77,383200,33.67
2014-10-16,31.43,33.11,31.36,32.47,558700,32.37
2014-10-15,30.70,32.21,30.14,32.13,529200,32.03
2014-10-14,30.94,31.86,30.42,31.38,537200,31.29
2014-10-13,32.36,32.82,30.49,30.54,513900,30.45
2014-10-10,33.11,33.34,32.09,32.19,638000,32.09
2014-10-09,35.08,35.78,33.25,33.28,351800,33.18
2014-10-08,34.40,35.28,33.75,35.23,692900,35.13
2014-10-07,35.78,35.87,34.28,34.34,458200,34.24
2014-10-06,35.93,36.37,35.82,36.00,315800,35.89
2014-10-03,35.83,36.48,35.37,35.93,295900,35.82
2014-10-02,35.50,35.82,35.11,35.45,386600,35.34
2014-10-01,37.25,37.49,35.35,35.41,739300,35.30
2014-09-30,37.57,37.99,37.02,37.30,609500,37.19
2014-09-29,37.41,37.82,37.11,37.68,261800,37.57
2014-09-26,37.78,38.95,37.70,37.83,316800,37.72
2014-09-25,37.54,38.05,37.04,37.81,418000,37.70
2014-09-24,37.50,37.98,37.41,37.77,434500,37.66
2014-09-23,37.19,38.02,37.13,37.67,457800,37.56
2014-09-22,37.29,37.49,36.78,37.34,436900,37.23
2014-09-19,38.05,38.54,36.85,37.47,716900,37.36
2014-09-18,37.71,38.30,36.67,37.65,650700,37.54
2014-09-17,35.08,36.52,34.60,35.91,528100,35.80
2014-09-16,34.16,35.14,33.98,34.87,616900,34.77
2014-09-15,33.63,34.50,33.13,34.21,701300,34.11
2014-09-12,35.45,35.83,35.08,35.62,317600,35.51
2014-09-11,34.24,35.62,34.22,35.34,307100,35.23
2014-09-10,35.98,36.26,34.51,34.68,729100,34.58
2014-09-09,36.86,37.26,35.77,35.86,344800,35.75
2014-09-08,36.75,37.28,36.66,36.91,225800,36.80
2014-09-05,36.76,37.28,36.58,36.74,428900,36.63
2014-09-04,37.39,37.70,36.68,36.82,447800,36.71
2014-09-03,37.73,37.73,37.04,37.19,235100,37.08
2014-09-02,35.99,37.44,35.63,37.40,371900,37.29
2014-08-29,36.02,36.24,35.75,35.90,373300,35.79
2014-08-28,36.40,36.52,35.77,35.87,243600,35.76
2014-08-27,37.20,37.28,36.27,36.46,261500,36.35
2014-08-26,37.19,37.50,36.96,37.18,303400,37.07
2014-08-25,37.51,37.54,36.82,37.05,237700,36.94
2014-08-22,36.62,37.27,36.11,37.14,333900,37.03
2014-08-21,36.34,36.90,36.05,36.78,334500,36.67
2014-08-20,36.16,36.52,35.88,36.34,321600,36.23
2014-08-19,35.83,36.89,35.83,36.59,566200,36.48
2014-08-18,35.11,35.95,34.70,35.92,461200,35.81
2014-08-15,34.58,34.99,34.03,34.62,323800,34.52
2014-08-14,34.15,34.45,33.76,34.31,239200,34.21
2014-08-13,34.35,34.58,33.99,34.06,284400,33.96
2014-08-12,33.93,34.25,33.58,34.06,349800,33.96
2014-08-11,33.61,34.62,33.53,33.98,428500,33.88
2014-08-08,33.48,33.55,32.84,33.48,311200,33.38
2014-08-07,33.40,34.04,33.03,33.29,392000,33.19
2014-08-06,32.78,33.35,32.67,32.98,308300,32.88
2014-08-05,33.63,33.92,32.58,32.90,495700,32.80
2014-08-04,34.32,34.41,31.91,33.76,690700,33.63
2014-08-01,32.22,34.36,32.07,33.80,927400,33.67
2014-07-31,40.50,40.50,31.50,31.73,2017000,31.61
2014-07-30,41.35,42.37,41.00,42.29,333100,42.13
2014-07-29,41.42,41.67,40.86,40.90,200800,40.74
2014-07-28,42.06,42.19,40.95,41.42,166400,41.26
