Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,10.11,10.47,10.02,10.26,516500,10.26
2015-02-12,9.73,10.04,9.64,9.89,576200,9.89
2015-02-11,9.91,9.95,9.50,9.54,523400,9.54
2015-02-10,10.67,10.84,9.57,9.98,836600,9.98
2015-02-09,10.60,10.90,10.52,10.67,1133700,10.67
2015-02-06,10.50,10.66,10.31,10.51,673800,10.51
2015-02-05,10.37,10.92,10.26,10.48,849500,10.48
2015-02-04,10.62,11.10,10.00,10.44,1565100,10.24
2015-02-03,10.75,11.26,10.59,10.74,1486800,10.54
2015-02-02,10.20,10.65,10.05,10.35,1068300,10.15
2015-01-30,9.66,10.05,9.52,9.82,561400,9.63
2015-01-29,9.69,9.88,9.25,9.66,722700,9.48
2015-01-28,9.62,9.83,9.36,9.39,697400,9.21
2015-01-27,8.84,9.90,8.84,9.62,825200,9.44
2015-01-26,8.55,9.22,8.55,9.03,739900,8.86
2015-01-23,8.17,8.59,8.10,8.50,481100,8.34
2015-01-22,8.54,8.65,8.02,8.22,443100,8.06
2015-01-21,7.90,8.36,7.89,8.26,491200,8.10
2015-01-20,8.59,8.68,7.66,7.85,1076200,7.70
2015-01-16,8.65,8.98,8.47,8.59,690800,8.43
2015-01-15,9.24,9.32,8.54,8.56,507800,8.40
2015-01-14,9.45,9.86,8.51,8.94,1354100,8.77
2015-01-13,9.32,9.37,9.00,9.35,490500,9.17
2015-01-12,10.01,10.03,9.01,9.35,1095800,9.17
2015-01-09,9.87,10.25,9.75,10.12,375900,9.93
2015-01-08,9.80,9.98,9.71,9.91,462000,9.72
2015-01-07,10.26,10.33,9.63,9.72,843000,9.54
2015-01-06,10.50,10.74,9.70,10.12,608300,9.93
2015-01-05,11.19,11.20,10.28,10.59,615200,10.39
2015-01-02,10.49,11.49,10.39,11.32,626100,11.11
2014-12-31,10.50,10.74,10.43,10.70,895900,10.30
2014-12-30,10.40,10.73,10.20,10.64,1153900,10.25
2014-12-29,10.60,10.75,10.39,10.50,1252700,10.11
2014-12-26,10.50,10.73,10.46,10.58,464900,10.19
2014-12-24,10.52,10.61,10.36,10.52,382400,10.13
2014-12-23,10.63,10.75,10.38,10.57,844800,10.18
2014-12-22,11.15,11.40,10.30,10.62,951000,10.23
2014-12-19,11.36,11.69,10.78,11.58,1821000,11.15
2014-12-18,11.12,11.94,10.82,11.26,1195400,10.84
2014-12-17,9.75,10.84,9.75,10.78,1788200,10.38
2014-12-16,8.87,9.97,8.42,9.92,2090700,9.55
2014-12-15,10.02,10.38,8.66,8.98,1784400,8.65
2014-12-12,9.52,10.01,9.29,9.98,1492100,9.61
2014-12-11,10.53,11.26,10.00,10.05,1963800,9.68
2014-12-10,11.00,11.08,10.51,10.61,1510800,10.22
2014-12-09,10.47,11.44,10.41,11.17,1261500,10.76
2014-12-08,12.00,12.92,10.52,10.56,3569800,10.17
2014-12-05,12.95,12.98,12.32,12.32,983300,11.86
2014-12-04,13.68,13.93,12.92,13.02,866200,12.54
2014-12-03,13.27,14.00,13.01,13.51,624100,13.01
2014-12-02,13.01,13.63,12.84,13.47,1058400,12.78
2014-12-01,14.77,15.09,12.80,12.81,2573800,12.16
2014-11-28,15.74,15.74,14.50,15.21,766700,14.43
2014-11-26,16.55,16.66,16.00,16.47,460700,15.63
2014-11-25,16.97,17.00,16.48,16.58,249800,15.73
2014-11-24,17.09,17.09,16.42,16.82,330900,15.96
2014-11-21,16.73,17.14,16.61,17.05,797900,16.18
2014-11-20,15.54,16.57,15.54,16.54,721800,15.70
2014-11-19,15.99,16.12,15.52,15.58,349400,14.79
2014-11-18,15.41,15.99,15.33,15.99,594300,15.17
