Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,24.99,25.49,24.64,24.93,14200,24.93
2015-02-12,24.52,25.48,24.52,24.99,5400,24.99
2015-02-11,24.80,24.98,24.41,24.42,5400,24.42
2015-02-10,24.80,25.31,24.72,24.84,9300,24.84
2015-02-09,24.46,25.50,24.25,24.75,15600,24.75
2015-02-06,24.45,24.78,24.13,24.62,13000,24.62
2015-02-05,24.50,24.50,24.25,24.32,10900,24.32
2015-02-04,24.24,24.44,24.00,24.05,8000,24.05
2015-02-03,24.48,24.48,23.87,24.43,7900,24.43
2015-02-02,24.05,24.33,24.02,24.17,6600,24.17
2015-01-30,24.14,24.50,24.02,24.03,14200,24.03
2015-01-29,24.02,24.56,24.02,24.55,3300,24.55
2015-01-28,23.67,24.40,23.67,24.02,7800,24.02
2015-01-27,24.23,24.45,24.02,24.10,6500,23.92
2015-01-26,24.21,24.73,24.21,24.67,9400,24.49
2015-01-23,24.40,24.40,24.20,24.20,2000,24.02
2015-01-22,24.73,24.73,24.37,24.58,5600,24.40
2015-01-21,23.98,24.72,23.94,24.38,46900,24.20
2015-01-20,24.03,24.27,23.84,23.89,15400,23.71
2015-01-16,23.84,24.55,23.84,24.53,6500,24.35
2015-01-15,24.00,24.80,23.65,24.00,23900,23.82
2015-01-14,24.00,24.22,24.00,24.11,1400,23.93
2015-01-13,24.55,24.98,24.27,24.27,3100,24.09
2015-01-12,24.69,24.69,24.01,24.48,6800,24.30
2015-01-09,25.39,25.48,24.62,24.63,17500,24.45
2015-01-08,25.14,25.43,24.80,25.40,4700,25.21
2015-01-07,25.03,25.03,24.68,25.00,3100,24.81
2015-01-06,25.10,25.38,24.42,24.66,5200,24.48
2015-01-05,25.38,25.38,25.12,25.13,4500,24.94
2015-01-02,26.06,26.06,25.29,25.47,9100,25.28
2014-12-31,25.53,26.10,25.19,25.94,17700,25.75
2014-12-30,25.86,26.23,25.60,26.05,8400,25.86
2014-12-29,25.12,26.08,25.12,26.08,6200,25.89
2014-12-26,26.47,26.47,25.10,26.15,2600,25.95
2014-12-24,25.49,26.52,25.30,26.39,3300,26.19
2014-12-23,26.66,26.66,24.99,25.25,28600,25.06
2014-12-22,26.08,26.40,26.08,26.40,2700,26.20
2014-12-19,26.33,26.48,25.86,25.99,31000,25.80
2014-12-18,26.57,26.68,26.06,26.45,23000,26.25
2014-12-17,24.56,26.87,24.15,26.72,36900,26.52
2014-12-16,24.12,25.00,24.11,24.30,8200,24.12
2014-12-15,24.70,24.79,24.01,24.01,6300,23.83
2014-12-12,24.45,24.70,24.45,24.49,4000,24.31
2014-12-11,24.91,25.00,24.37,24.78,6100,24.59
2014-12-10,24.79,24.98,24.26,24.70,6100,24.52
2014-12-09,24.68,25.00,24.02,24.99,14600,24.80
2014-12-08,24.64,24.86,24.37,24.37,2200,24.19
2014-12-05,24.09,24.68,24.09,24.64,4400,24.46
2014-12-04,24.58,24.71,24.03,24.03,2700,23.85
2014-12-03,23.91,24.56,23.87,24.18,4700,24.00
2014-12-02,23.55,24.08,23.55,24.04,5400,23.86
2014-12-01,23.63,23.87,23.56,23.57,7500,23.39
2014-11-28,24.50,24.50,23.56,23.61,6100,23.43
2014-11-26,24.25,24.70,23.97,24.38,5800,24.20
2014-11-25,24.47,24.51,24.42,24.50,2800,24.32
2014-11-24,24.39,24.50,23.87,24.50,9500,24.32
2014-11-21,24.31,24.64,23.95,24.44,7500,24.26
2014-11-20,23.55,24.06,23.55,23.89,2800,23.71
2014-11-19,23.66,24.03,23.56,23.61,7700,23.43
2014-11-18,24.45,24.76,24.16,24.55,4600,24.37
2014-11-17,24.40,24.57,24.40,24.42,4600,24.24
2014-11-14,24.75,25.00,24.19,24.32,18300,24.14
2014-11-13,25.16,25.37,24.64,24.64,6800,24.46
2014-11-12,24.90,25.50,24.90,25.22,8600,25.03
2014-11-11,25.20,25.33,24.92,25.28,12600,25.09
2014-11-10,24.95,25.34,24.35,25.34,22200,25.15
2014-11-07,25.18,25.18,24.38,24.93,10200,24.74
2014-11-06,24.59,25.25,23.94,25.16,15900,24.97
2014-11-05,24.47,25.86,23.52,24.44,8700,24.26
2014-11-04,24.30,24.74,24.09,24.19,4400,24.01
2014-11-03,24.98,25.02,24.25,24.45,13900,24.27
2014-10-31,24.68,24.96,23.82,24.80,17600,24.61
2014-10-30,23.98,24.73,23.95,24.50,12700,24.32
2014-10-29,23.56,24.10,23.15,24.06,8600,23.88
2014-10-28,23.34,23.85,22.83,23.85,15500,23.49
2014-10-27,22.93,23.27,22.88,23.09,10200,22.74
2014-10-24,23.26,23.26,22.71,23.06,8600,22.72
2014-10-23,23.49,23.60,23.05,23.29,13900,22.94
2014-10-22,23.79,23.79,23.06,23.27,12900,22.92
2014-10-21,23.15,23.82,22.89,23.69,13600,23.34
2014-10-20,23.11,23.55,22.66,23.06,11700,22.72
2014-10-17,23.70,23.70,22.93,23.29,15000,22.94
