Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,337.20,338.00,330.05,332.77,13500,332.77
2015-02-12,337.40,339.51,335.62,335.62,6900,335.62
2015-02-11,336.25,336.25,336.25,336.25,500,336.25
2015-02-10,335.00,340.00,335.00,338.74,2600,338.74
2015-02-09,341.00,341.00,338.00,338.00,1400,338.00
2015-02-06,335.02,340.00,334.87,339.96,5900,339.96
2015-02-05,335.00,337.15,335.00,336.39,1700,336.39
2015-02-04,335.13,335.13,335.00,335.05,2800,335.05
2015-02-03,336.48,338.38,333.09,335.21,3800,335.21
2015-02-02,335.00,339.44,335.00,339.44,3000,339.44
2015-01-30,337.25,337.25,335.00,335.00,2300,335.00
2015-01-29,335.10,337.98,335.10,337.55,1300,337.55
2015-01-28,335.01,340.00,335.00,335.06,5900,335.06
2015-01-27,335.00,339.60,335.00,339.22,2700,339.22
2015-01-26,335.26,338.89,335.00,338.89,4600,338.89
2015-01-23,336.07,337.00,335.01,336.01,4200,336.01
2015-01-22,339.00,339.00,335.00,337.80,4000,337.80
2015-01-21,343.00,343.00,335.00,336.00,3300,336.00
2015-01-20,338.50,338.50,335.00,335.00,1900,335.00
2015-01-16,335.96,337.48,335.00,335.09,4400,335.09
2015-01-15,335.00,340.95,335.00,339.89,3000,339.89
2015-01-14,335.00,341.00,335.00,335.11,2000,335.11
2015-01-13,337.20,339.99,335.00,339.99,3100,339.99
2015-01-12,335.00,337.95,335.00,336.52,1300,336.52
2015-01-09,336.20,337.99,336.20,337.99,1700,337.99
2015-01-08,339.94,339.94,339.94,339.94,600,339.94
2015-01-07,339.99,343.39,337.56,337.56,1600,337.56
2015-01-06,342.46,342.46,335.00,335.40,3800,335.40
2015-01-05,340.01,341.00,337.75,341.00,48600,341.00
2015-01-02,340.00,344.38,339.97,341.94,5300,341.94
2014-12-31,336.75,342.49,336.75,340.01,3100,340.01
2014-12-30,338.19,343.89,336.00,339.90,2000,339.90
2014-12-29,344.00,345.05,342.02,342.02,1000,342.02
2014-12-26,338.90,346.17,338.90,346.17,1400,346.17
2014-12-24,336.69,338.90,336.69,338.90,900,338.90
2014-12-23,335.01,341.80,335.01,339.00,1700,339.00
2014-12-22,338.00,342.00,336.01,342.00,1100,342.00
2014-12-19,346.43,349.94,340.00,346.42,11200,346.42
2014-12-18,340.10,355.91,340.10,348.89,4000,348.89
2014-12-17,339.46,340.00,335.00,340.00,2600,340.00
2014-12-16,337.99,340.00,335.00,336.97,23800,336.97
2014-12-15,339.80,339.80,335.00,335.00,2300,335.00
2014-12-12,335.99,336.96,335.00,335.00,1700,335.00
2014-12-11,332.33,337.50,325.00,337.29,5700,337.29
2014-12-10,329.77,333.00,325.75,330.43,1400,330.43
2014-12-09,325.00,332.30,325.00,332.30,2400,332.30
2014-12-08,325.00,326.14,325.00,326.14,900,326.14
2014-12-05,326.15,332.47,325.01,328.95,12200,328.95
2014-12-04,325.02,329.99,325.00,328.70,2900,328.70
2014-12-03,329.99,330.00,329.99,330.00,1800,330.00
2014-12-02,322.34,328.88,322.34,328.88,1500,328.88
2014-12-01,322.73,322.73,322.34,322.34,1000,322.34
2014-11-28,318.15,325.01,318.15,325.01,2600,325.01
2014-11-26,325.02,326.40,325.02,326.40,800,326.40
2014-11-25,329.13,329.13,329.13,329.13,1900,328.38
2014-11-24,322.72,328.59,322.72,328.59,700,327.84
2014-11-21,328.88,328.88,326.20,326.20,900,325.46
2014-11-20,325.00,325.00,325.00,325.00,1700,324.26
2014-11-19,325.00,325.01,325.00,325.01,1100,324.27
2014-11-18,324.88,327.47,324.79,327.47,2400,326.72
2014-11-17,315.06,325.01,315.06,325.00,6200,324.26
2014-11-14,329.22,329.22,325.41,325.41,900,324.67
2014-11-13,325.01,328.01,325.01,328.01,900,327.26
2014-11-12,325.00,328.98,325.00,328.98,2500,328.23
2014-11-11,319.99,329.89,319.99,329.89,2000,329.14
2014-11-10,333.00,334.00,327.31,334.00,1400,333.24
2014-11-07,332.96,335.00,330.11,334.99,3000,334.23
2014-11-06,325.32,333.00,325.32,333.00,1500,332.24
