Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,6.85,6.89,6.81,6.81,252700,6.81
2015-02-12,6.80,6.83,6.79,6.83,392300,6.83
2015-02-11,6.76,6.78,6.75,6.76,200000,6.76
2015-02-10,6.81,6.81,6.72,6.80,265500,6.80
2015-02-09,6.76,6.81,6.73,6.81,443300,6.81
2015-02-06,6.80,6.81,6.74,6.77,519100,6.77
2015-02-05,6.73,6.81,6.73,6.80,343800,6.80
2015-02-04,6.67,6.76,6.67,6.75,300000,6.75
2015-02-03,6.62,6.75,6.61,6.73,330000,6.73
2015-02-02,6.57,6.64,6.55,6.61,603600,6.61
2015-01-30,6.81,6.81,6.60,6.62,533800,6.62
2015-01-29,6.68,6.73,6.65,6.72,320800,6.72
2015-01-28,6.77,6.78,6.67,6.67,379700,6.67
2015-01-27,6.74,6.77,6.72,6.77,266200,6.77
2015-01-26,6.76,6.78,6.73,6.78,282700,6.78
2015-01-23,6.78,6.78,6.72,6.77,260200,6.77
2015-01-22,6.72,6.78,6.68,6.78,318000,6.78
2015-01-21,6.67,6.70,6.65,6.69,254500,6.69
2015-01-20,6.76,6.79,6.70,6.73,242400,6.68
2015-01-16,6.68,6.77,6.68,6.76,216800,6.71
2015-01-15,6.81,6.83,6.70,6.72,313800,6.67
2015-01-14,6.65,6.80,6.58,6.78,495000,6.73
2015-01-13,6.80,6.83,6.73,6.81,274800,6.76
2015-01-12,6.82,6.84,6.72,6.78,298100,6.73
2015-01-09,6.86,6.87,6.78,6.85,346300,6.80
2015-01-08,6.89,6.91,6.85,6.91,213500,6.86
2015-01-07,6.82,6.84,6.76,6.84,340400,6.79
2015-01-06,6.69,6.73,6.65,6.73,364900,6.68
2015-01-05,7.04,7.05,6.64,6.68,783000,6.63
2015-01-02,7.01,7.14,6.83,7.13,764000,7.08
2014-12-31,6.87,7.21,6.77,7.21,2241700,7.16
2014-12-30,6.68,6.85,6.66,6.85,1087500,6.80
2014-12-29,6.67,6.73,6.65,6.73,769700,6.68
2014-12-26,6.60,6.69,6.60,6.69,425900,6.64
2014-12-24,6.60,6.60,6.57,6.59,280000,6.54
2014-12-23,6.60,6.64,6.60,6.64,363400,6.54
2014-12-22,6.56,6.61,6.56,6.59,385600,6.49
2014-12-19,6.55,6.57,6.52,6.56,333800,6.46
2014-12-18,6.57,6.60,6.54,6.60,469100,6.45
2014-12-17,6.42,6.54,6.42,6.49,414600,6.34
2014-12-16,6.48,6.55,6.38,6.42,679100,6.28
2014-12-15,6.60,6.62,6.50,6.53,284700,6.38
2014-12-12,6.62,6.66,6.59,6.60,237600,6.45
2014-12-11,6.74,6.77,6.66,6.67,547500,6.52
2014-12-10,6.80,6.81,6.73,6.75,207000,6.60
2014-12-09,6.81,6.84,6.79,6.81,426900,6.66
2014-12-08,6.90,6.90,6.83,6.88,265300,6.73
2014-12-05,6.89,6.90,6.87,6.89,186000,6.74
2014-12-04,6.93,6.93,6.88,6.91,188800,6.76
2014-12-03,6.94,6.94,6.92,6.92,191100,6.77
2014-12-02,6.96,6.97,6.93,6.94,210200,6.78
2014-12-01,6.99,6.99,6.92,6.96,281100,6.80
2014-11-28,7.28,7.28,6.97,7.01,139700,6.85
2014-11-26,6.95,7.00,6.93,7.00,248200,6.84
2014-11-25,6.93,6.96,6.92,6.95,242900,6.79
2014-11-24,6.89,6.91,6.87,6.91,269900,6.76
2014-11-21,6.91,6.93,6.85,6.87,236600,6.72
2014-11-20,6.80,6.86,6.79,6.86,186400,6.71
2014-11-19,6.90,6.90,6.83,6.84,225900,6.69
2014-11-18,6.86,6.90,6.85,6.89,187800,6.74
2014-11-17,6.94,6.96,6.89,6.89,292700,6.69
2014-11-14,6.91,6.99,6.91,6.96,355500,6.75
2014-11-13,6.92,6.93,6.90,6.91,199000,6.71
2014-11-12,6.86,6.92,6.86,6.92,210800,6.72
2014-11-11,6.83,6.89,6.82,6.88,208500,6.68
2014-11-10,6.84,6.85,6.80,6.82,231800,6.62
2014-11-07,6.83,6.85,6.80,6.83,236900,6.63
2014-11-06,6.83,6.87,6.82,6.86,332400,6.66
2014-11-05,6.84,6.86,6.81,6.83,410000,6.63
2014-11-04,6.84,6.85,6.78,6.83,286300,6.63
2014-11-03,6.88,6.92,6.86,6.91,270900,6.71
2014-10-31,6.85,6.89,6.83,6.88,324800,6.68
2014-10-30,6.73,6.81,6.71,6.81,274000,6.61
2014-10-29,6.80,6.80,6.70,6.74,190200,6.54
2014-10-28,6.76,6.79,6.73,6.79,226500,6.59
2014-10-27,6.73,6.76,6.70,6.75,152400,6.55
2014-10-24,6.73,6.76,6.69,6.75,166700,6.55
2014-10-23,6.77,6.79,6.73,6.76,273200,6.56
2014-10-22,6.74,6.76,6.68,6.69,306000,6.49
2014-10-21,6.66,6.77,6.66,6.77,270600,6.52
2014-10-20,6.56,6.65,6.55,6.65,223600,6.41
2014-10-17,6.56,6.59,6.54,6.56,240700,6.32
2014-10-16,6.38,6.57,6.32,6.53,266200,6.29
2014-10-15,6.54,6.54,6.33,6.48,419300,6.24
