Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,0.18,0.18,0.18,0.18,000,0.18
2015-02-12,0.18,0.18,0.18,0.18,000,0.18
2015-02-11,0.18,0.18,0.18,0.18,000,0.18
2015-02-10,0.11,0.19,0.11,0.18,9500,0.18
2015-02-09,0.18,0.18,0.18,0.18,000,0.18
2015-02-06,0.15,0.18,0.15,0.18,200,0.18
2015-02-05,0.18,0.18,0.17,0.17,2600,0.17
2015-02-04,0.17,0.17,0.17,0.17,2000,0.17
2015-02-03,0.22,0.22,0.10,0.19,2900,0.19
2015-02-02,0.20,0.22,0.20,0.22,4300,0.22
2015-01-30,0.16,0.27,0.16,0.22,30500,0.22
2015-01-29,0.16,0.16,0.14,0.14,6900,0.14
2015-01-28,0.12,0.15,0.10,0.15,33400,0.15
2015-01-27,0.15,0.15,0.13,0.13,2600,0.13
2015-01-26,0.16,0.17,0.14,0.15,13300,0.15
2015-01-23,0.17,0.17,0.11,0.15,15300,0.15
2015-01-22,0.32,0.32,0.12,0.12,98700,0.12
2015-01-21,0.40,0.44,0.28,0.33,53100,0.33
2015-01-20,0.47,0.47,0.47,0.47,000,0.47
2015-01-16,0.47,0.47,0.47,0.47,100,0.47
2015-01-15,0.48,0.48,0.48,0.48,100,0.48
2015-01-14,0.50,0.50,0.50,0.50,100,0.50
2015-01-13,0.45,0.45,0.45,0.45,5100,0.45
2015-01-12,0.50,0.51,0.50,0.50,11100,0.50
2015-01-09,0.60,0.65,0.40,0.50,20600,0.50
2015-01-08,0.56,0.56,0.56,0.56,3600,0.56
2015-01-07,0.64,0.64,0.64,0.64,2700,0.64
2015-01-06,0.50,0.65,0.50,0.65,300,0.65
2015-01-05,0.57,0.57,0.57,0.57,000,0.57
2015-01-02,0.54,0.57,0.54,0.57,500,0.57
2014-12-31,0.58,0.58,0.58,0.58,500,0.58
2014-12-30,0.60,0.60,0.60,0.60,000,0.60
2014-12-29,0.60,0.60,0.60,0.60,300,0.60
2014-12-26,0.63,0.63,0.63,0.63,000,0.63
2014-12-24,0.63,0.63,0.63,0.63,000,0.63
2014-12-23,0.63,0.63,0.63,0.63,000,0.63
2014-12-22,0.60,0.63,0.60,0.63,1300,0.63
2014-12-19,0.58,0.58,0.58,0.58,1500,0.58
2014-12-18,0.66,0.66,0.63,0.63,1300,0.63
2014-12-17,0.63,0.65,0.55,0.59,2000,0.59
2014-12-16,0.64,0.68,0.64,0.68,700,0.68
2014-12-15,0.72,0.72,0.72,0.72,000,0.72
2014-12-12,0.72,0.72,0.72,0.72,000,0.72
2014-12-11,0.72,0.72,0.72,0.72,100,0.72
2014-12-10,0.69,0.69,0.69,0.69,000,0.69
2014-12-09,0.69,0.69,0.69,0.69,200,0.69
2014-12-08,0.50,0.66,0.40,0.66,5600,0.66
2014-12-05,0.59,0.59,0.59,0.59,000,0.59
2014-12-04,0.58,0.60,0.51,0.59,51200,0.59
2014-12-03,0.62,0.62,0.60,0.60,2000,0.60
2014-12-02,0.56,0.66,0.56,0.66,900,0.66
2014-12-01,0.54,0.54,0.54,0.54,800,0.54
2014-11-28,0.63,0.63,0.63,0.63,000,0.63
2014-11-26,0.63,0.63,0.63,0.63,000,0.63
2014-11-25,0.63,0.63,0.62,0.63,7300,0.63
2014-11-24,0.55,0.57,0.55,0.55,45000,0.55
2014-11-21,0.63,0.65,0.56,0.57,14500,0.57
2014-11-20,0.64,0.64,0.64,0.64,1000,0.64
2014-11-19,0.67,0.67,0.64,0.64,3400,0.64
2014-11-18,0.63,0.63,0.63,0.63,000,0.63
2014-11-17,0.63,0.63,0.63,0.63,800,0.63
2014-11-14,0.77,0.77,0.62,0.67,29900,0.67
2014-11-13,0.65,0.69,0.59,0.59,16800,0.59
