Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,51.85,52.12,51.37,51.86,437200,51.86
2015-02-12,51.74,52.12,51.71,51.84,421300,51.84
2015-02-11,51.71,52.16,51.45,51.53,606800,51.53
2015-02-10,51.02,52.02,50.79,51.70,1036300,51.70
2015-02-09,50.59,51.05,50.07,50.73,879400,50.73
2015-02-06,51.72,52.15,50.72,50.74,794500,50.74
2015-02-05,51.20,51.46,50.91,51.24,821400,51.24
2015-02-04,51.28,51.76,50.60,51.06,1717400,51.06
2015-02-03,51.15,51.97,50.42,51.31,2171200,51.31
2015-02-02,50.91,51.26,50.49,51.12,964800,51.12
2015-01-30,51.00,51.40,50.67,50.90,966400,50.90
2015-01-29,51.62,51.96,50.73,51.30,1504300,51.30
2015-01-28,52.65,52.86,51.65,51.69,1606600,51.69
2015-01-27,51.53,52.85,51.51,52.35,949500,52.35
2015-01-26,50.50,53.02,50.17,52.14,3586700,52.14
2015-01-23,49.49,49.77,49.03,49.33,411500,49.33
2015-01-22,48.85,49.49,48.57,49.49,392600,49.49
2015-01-21,48.17,48.58,47.86,48.45,491200,48.45
2015-01-20,49.05,49.22,47.81,48.10,758000,48.10
2015-01-16,48.13,48.97,48.12,48.90,529200,48.90
2015-01-15,48.10,48.40,47.89,48.11,421300,48.11
2015-01-14,48.48,48.57,47.65,48.10,624300,48.10
2015-01-13,49.16,49.85,48.71,48.98,950000,48.98
2015-01-12,49.98,50.10,48.76,48.79,520700,48.79
2015-01-09,50.77,50.89,49.78,49.88,524700,49.88
2015-01-08,49.99,50.74,49.80,50.73,402700,50.73
2015-01-07,49.61,50.20,49.14,49.65,562800,49.65
2015-01-06,50.02,50.10,49.23,49.58,564300,49.58
2015-01-05,50.12,50.36,49.65,49.90,984900,49.90
2015-01-02,51.19,51.50,50.07,50.49,557700,50.49
2014-12-31,51.51,51.61,51.04,51.09,482800,51.09
2014-12-30,51.25,51.71,51.05,51.37,399600,51.37
2014-12-29,51.25,52.03,51.25,51.30,428300,51.30
2014-12-26,51.62,51.87,51.43,51.51,171400,51.22
2014-12-24,52.05,52.05,51.46,51.56,189800,51.27
2014-12-23,51.55,52.21,51.47,51.90,392800,51.61
2014-12-22,51.26,51.67,51.02,51.34,517300,51.05
2014-12-19,51.11,51.43,50.84,51.05,1221700,50.76
2014-12-18,50.39,50.61,50.03,50.61,453400,50.33
2014-12-17,49.30,50.14,49.11,49.94,1040200,49.66
2014-12-16,49.07,49.72,48.84,49.24,615200,48.96
2014-12-15,49.46,49.83,48.64,49.07,408300,48.79
2014-12-12,49.56,49.89,49.23,49.24,497300,48.96
2014-12-11,50.08,50.61,49.79,49.88,339000,49.60
2014-12-10,50.68,50.84,49.83,49.85,371100,49.57
2014-12-09,50.98,51.30,50.62,50.70,382100,50.41
2014-12-08,50.69,51.59,50.64,51.33,609300,51.04
2014-12-05,50.23,50.50,50.22,50.45,421100,50.17
2014-12-04,50.27,50.31,49.96,50.17,729300,49.89
2014-12-03,49.77,50.36,49.77,50.25,495600,49.97
2014-12-02,49.90,50.07,49.67,49.80,483200,49.52
2014-12-01,49.87,50.14,49.75,49.77,387300,49.49
2014-11-28,50.01,50.29,49.95,50.05,169600,49.77
2014-11-26,49.92,50.09,49.73,50.00,301900,49.72
2014-11-25,50.06,50.21,49.85,49.92,721500,49.64
2014-11-24,49.98,50.09,49.60,50.08,740100,49.80
2014-11-21,50.00,50.24,49.77,49.80,712300,49.52
2014-11-20,49.23,49.92,49.21,49.83,616500,49.55
2014-11-19,49.70,49.71,49.33,49.53,854800,49.25
2014-11-18,49.60,49.87,49.49,49.72,741500,49.44
2014-11-17,49.68,49.80,49.48,49.63,832200,49.35
2014-11-14,49.65,49.84,49.48,49.82,841300,49.54
2014-11-13,49.40,49.72,49.22,49.64,551200,49.36
2014-11-12,49.12,49.37,49.05,49.33,322300,49.05
2014-11-11,49.17,49.44,49.13,49.24,379800,48.96
2014-11-10,49.43,49.64,49.17,49.22,512800,48.94
2014-11-07,49.19,49.57,49.00,49.46,477300,49.18
2014-11-06,49.00,49.30,48.67,49.17,428100,48.89
2014-11-05,48.82,49.04,48.52,49.01,600200,48.73
2014-11-04,47.92,48.63,47.90,48.58,694100,48.31
2014-11-03,48.09,48.22,47.70,47.96,831600,47.69
2014-10-31,47.89,48.24,47.62,48.14,814600,47.87
2014-10-30,47.56,47.69,46.42,47.32,833500,47.05
2014-10-29,47.82,48.11,47.53,47.78,687400,47.51
2014-10-28,47.76,48.02,47.39,47.88,626700,47.61
2014-10-27,47.34,47.58,47.23,47.51,506800,47.24
2014-10-24,46.88,47.46,46.78,47.38,398900,47.11
2014-10-23,48.15,48.26,46.76,46.80,1157100,46.54
2014-10-22,47.62,48.23,47.54,47.76,461900,47.49
2014-10-21,46.44,47.49,46.30,47.46,501200,47.19
2014-10-20,46.07,46.30,45.76,46.25,377300,45.99
2014-10-17,45.92,46.31,45.55,46.22,422500,45.96
2014-10-16,45.28,45.71,44.94,45.59,468200,45.33
2014-10-15,45.77,45.89,45.00,45.65,660100,45.39
2014-10-14,45.84,46.44,45.76,46.25,755000,45.99
2014-10-13,46.08,46.38,45.73,45.73,780400,45.47
2014-10-10,46.25,46.58,46.04,46.04,617500,45.78
2014-10-09,47.20,47.31,46.25,46.27,618600,46.01
2014-10-08,46.97,47.36,46.91,47.30,868300,47.03
2014-10-07,47.18,47.33,46.86,46.88,555700,46.62
2014-10-06,47.57,47.83,47.20,47.20,353000,46.93
2014-10-03,47.15,47.56,47.13,47.47,864300,47.20
2014-10-02,47.00,47.19,46.72,46.87,467000,46.61
2014-10-01,47.31,47.42,46.95,47.01,347200,46.75
2014-09-30,47.33,47.63,46.94,47.33,498600,47.06
2014-09-29,47.51,47.62,46.97,47.33,780400,47.06
2014-09-26,47.69,48.02,47.38,47.83,296500,47.56
2014-09-25,48.20,48.22,47.77,47.86,565500,47.32
2014-09-24,47.92,48.41,47.87,48.26,503700,47.72
2014-09-23,48.20,48.26,47.83,47.85,717800,47.31
2014-09-22,48.10,48.43,48.05,48.34,1103000,47.80
2014-09-19,48.39,48.52,48.00,48.24,992500,47.70
2014-09-18,47.88,48.34,47.78,48.30,569000,47.76
2014-09-17,47.80,48.03,47.72,47.76,634800,47.22
2014-09-16,47.88,48.28,47.77,47.79,439700,47.25
2014-09-15,47.59,48.10,47.53,47.91,423600,47.37
2014-09-12,47.84,48.01,47.58,47.60,553600,47.06
2014-09-11,47.77,47.95,47.66,47.83,636500,47.29
2014-09-10,47.87,48.05,47.68,47.86,360200,47.32
2014-09-09,48.00,48.15,47.54,47.85,494600,47.31
2014-09-08,48.19,48.30,47.90,48.09,487400,47.55
2014-09-05,48.10,48.40,48.08,48.19,297800,47.65
2014-09-04,48.17,48.66,48.14,48.16,560000,47.62
2014-09-03,48.47,48.64,48.18,48.19,559700,47.65
2014-09-02,48.25,48.56,48.03,48.28,537800,47.74
2014-08-29,47.90,48.58,47.80,48.22,697600,47.68
2014-08-28,47.82,48.11,47.82,47.84,496600,47.30
2014-08-27,47.58,47.89,47.56,47.85,620200,47.31
2014-08-26,47.74,47.87,47.48,47.58,500500,47.05
2014-08-25,47.42,47.73,47.07,47.63,503800,47.09
2014-08-22,47.32,47.32,46.97,47.10,649400,46.57
2014-08-21,46.95,47.49,46.84,47.42,1025200,46.89
2014-08-20,46.59,47.33,46.57,46.92,907000,46.39
2014-08-19,46.84,46.91,46.53,46.70,560200,46.18
2014-08-18,46.76,46.91,46.60,46.72,504700,46.19
2014-08-15,46.83,46.95,46.38,46.60,827100,46.08
2014-08-14,46.26,46.67,46.22,46.63,674500,46.11
2014-08-13,46.14,46.32,46.07,46.23,484000,45.71
2014-08-12,45.76,46.15,45.69,45.95,575100,45.43
2014-08-11,45.50,45.79,45.33,45.74,618200,45.23
2014-08-08,44.97,45.43,44.58,45.30,895300,44.79
2014-08-07,44.74,45.00,44.62,44.82,687500,44.32
2014-08-06,44.56,44.70,44.41,44.62,707000,44.12
2014-08-05,44.93,44.99,44.53,44.63,801100,44.13
2014-08-04,45.55,45.55,44.36,44.78,1302900,44.28
2014-08-01,43.07,44.26,43.00,44.00,831700,43.51
2014-07-31,43.65,43.90,43.05,43.15,1103400,42.67
2014-07-30,45.17,45.18,43.39,43.55,1785300,43.06
2014-07-29,44.14,44.28,43.63,43.75,685400,43.26
2014-07-28,43.85,44.27,43.65,44.19,518300,43.69
2014-07-25,44.29,44.38,43.87,43.90,378700,43.41
2014-07-24,44.72,44.82,44.26,44.47,413500,43.97
2014-07-23,44.74,44.89,44.49,44.73,570700,44.23
2014-07-22,44.80,44.80,44.45,44.64,387400,44.14
2014-07-21,44.26,45.04,44.26,44.80,765600,44.30
2014-07-18,44.60,44.65,44.32,44.39,402900,43.89
2014-07-17,44.75,45.11,44.51,44.59,608900,44.09
2014-07-16,45.22,45.22,44.59,44.95,762500,44.44
2014-07-15,44.63,45.01,44.63,44.96,392500,44.45
2014-07-14,44.71,45.03,44.56,44.70,273400,44.20
2014-07-11,44.39,44.63,44.23,44.51,420300,44.01
2014-07-10,44.40,44.60,44.11,44.47,765000,43.97
2014-07-09,44.69,44.87,44.42,44.76,604000,44.26
2014-07-08,44.53,44.80,44.44,44.59,591500,44.09
2014-07-07,44.70,44.79,44.43,44.59,672100,44.09
2014-07-03,44.81,44.92,44.48,44.74,650500,44.24
2014-07-02,44.86,44.97,44.43,44.53,457600,44.03
2014-07-01,44.53,44.97,44.37,44.79,1274900,44.29
2014-06-30,44.05,44.49,44.04,44.28,620800,43.78
2014-06-27,44.29,44.46,44.07,44.07,1135400,43.57
2014-06-26,44.46,44.46,43.91,44.32,329400,43.82
2014-06-25,44.57,44.81,44.45,44.70,498300,43.93
2014-06-24,44.49,44.80,44.38,44.53,1059500,43.76
2014-06-23,45.42,45.65,44.55,44.58,865200,43.81
2014-06-20,46.02,46.04,45.08,45.16,1151100,44.38
2014-06-19,46.24,46.39,45.56,45.82,638700,45.03
2014-06-18,46.12,46.24,45.84,46.19,264100,45.39
2014-06-17,45.61,46.24,45.59,46.14,300400,45.35
2014-06-16,45.83,45.97,45.64,45.68,371800,44.89
2014-06-13,45.86,45.93,45.64,45.84,591400,45.05
2014-06-12,45.69,45.86,45.34,45.82,692100,45.03
2014-06-11,46.49,46.71,46.34,46.34,354400,45.54
2014-06-10,46.46,46.72,46.32,46.68,197900,45.88
2014-06-09,46.71,46.96,46.71,46.73,181800,45.93
2014-06-06,46.79,47.01,46.67,46.74,239200,45.94
2014-06-05,46.46,46.75,46.41,46.66,397300,45.86
2014-06-04,46.02,46.49,46.02,46.44,472600,45.64
2014-06-03,45.93,46.20,45.79,46.12,600200,45.33
2014-06-02,46.08,46.45,45.91,46.03,672000,45.24
2014-05-30,45.95,46.23,45.81,45.99,660500,45.20
2014-05-29,45.90,46.11,45.82,45.99,215900,45.20
2014-05-28,45.74,45.99,45.57,45.78,400700,44.99
2014-05-27,45.62,46.00,45.62,45.86,380200,45.07
2014-05-23,45.61,45.75,45.35,45.48,285600,44.70
2014-05-22,45.38,45.64,45.32,45.55,471900,44.77
2014-05-21,45.42,45.65,45.34,45.38,667300,44.60
2014-05-20,44.98,45.65,44.90,45.40,770100,44.62
2014-05-19,44.74,45.07,44.68,44.98,345500,44.21
2014-05-16,44.60,44.98,44.21,44.89,586600,44.12
2014-05-15,44.66,44.77,44.23,44.59,426800,43.82
2014-05-14,45.22,45.30,44.70,44.74,456700,43.97
2014-05-13,45.20,45.42,44.98,45.25,555500,44.47
2014-05-12,45.46,45.73,45.38,45.41,417300,44.63
2014-05-09,45.21,45.36,44.92,45.24,861700,44.46
2014-05-08,45.35,45.77,45.16,45.20,1009500,44.42
2014-05-07,44.45,45.51,44.44,45.44,1857300,44.66
2014-05-06,44.73,44.95,44.39,44.41,895100,43.65
2014-05-05,45.08,45.20,44.76,44.92,708300,44.15
2014-05-02,45.41,46.02,45.16,45.17,588100,44.39
2014-05-01,45.73,45.84,45.10,45.76,726600,44.97
2014-04-30,45.54,45.76,44.29,45.75,1387100,44.96
