Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,25.65,25.91,25.20,25.26,543800,25.26
2015-02-12,25.57,25.89,25.08,25.64,917600,25.64
2015-02-11,25.00,25.59,24.97,25.46,512500,25.46
2015-02-10,24.93,25.46,24.93,24.99,570400,24.99
2015-02-09,25.30,25.46,24.91,24.98,515700,24.98
2015-02-06,25.01,25.59,24.93,25.20,777700,25.20
2015-02-05,25.20,25.22,24.91,25.06,678700,25.06
2015-02-04,24.97,25.25,24.74,25.16,928900,25.16
2015-02-03,25.25,25.83,24.90,25.16,1457000,25.16
2015-02-02,25.61,25.67,24.97,25.28,495000,25.28
2015-01-30,25.90,26.00,25.42,25.67,384700,25.67
2015-01-29,25.56,26.08,25.40,26.00,524100,26.00
2015-01-28,25.98,26.00,25.29,25.49,940800,25.49
2015-01-27,26.00,26.04,25.36,25.82,866700,25.82
2015-01-26,26.99,26.99,25.97,26.35,923100,26.35
2015-01-23,27.15,27.38,26.84,26.92,603000,26.92
2015-01-22,26.87,27.52,26.77,27.13,1172200,27.13
2015-01-21,26.62,27.25,26.51,26.94,1820900,26.94
2015-01-20,27.00,27.14,26.54,26.65,687400,26.65
2015-01-16,26.41,27.18,26.41,26.89,2187000,26.89
2015-01-15,27.17,27.17,26.39,26.43,205600,26.43
2015-01-14,27.60,27.72,27.05,27.10,858500,27.10
2015-01-13,27.43,27.99,26.87,27.66,993600,27.66
2015-01-12,26.91,27.15,26.51,26.99,663300,26.99
2015-01-09,27.44,27.64,26.89,26.92,438500,26.92
2015-01-08,26.90,28.00,26.66,27.44,945300,27.44
2015-01-07,27.95,27.99,26.61,26.86,1104000,26.86
2015-01-06,26.77,28.00,26.37,27.71,963100,27.71
2015-01-05,26.39,27.00,26.06,26.68,1286800,26.68
2015-01-02,26.18,26.68,25.70,26.24,937200,26.24
2014-12-31,26.12,26.41,25.84,26.02,702600,26.02
2014-12-30,26.61,26.80,26.06,26.18,422000,26.18
2014-12-29,26.74,27.00,26.42,26.75,480600,26.75
2014-12-26,26.66,26.84,26.14,26.63,350500,26.63
2014-12-24,27.00,27.07,26.64,26.74,189100,26.74
2014-12-23,26.95,27.50,26.68,27.01,704700,27.01
2014-12-22,27.17,27.49,26.85,27.45,657200,27.45
2014-12-19,26.80,27.33,26.12,26.94,3883700,26.94
2014-12-18,26.99,27.00,26.00,26.75,1557100,26.75
2014-12-17,26.29,26.77,26.00,26.66,1088100,26.66
2014-12-16,26.32,27.09,26.00,26.27,1013700,26.27
2014-12-15,26.11,26.53,25.98,26.07,1394900,26.07
2014-12-12,26.30,26.33,25.58,26.03,1496600,26.03
2014-12-11,24.64,26.51,24.64,26.38,1784600,26.38
2014-12-10,24.81,24.96,24.50,24.70,1072800,24.70
2014-12-09,24.75,25.11,24.56,25.01,597400,25.01
2014-12-08,24.50,25.48,24.21,24.72,637800,24.72
2014-12-05,25.00,25.47,24.73,25.03,1068500,25.03
2014-12-04,25.60,25.94,24.92,25.03,932200,25.03
2014-12-03,24.85,25.43,24.31,25.16,949900,25.16
2014-12-02,23.55,24.51,23.35,24.41,1059200,24.41
2014-12-01,23.90,24.25,23.51,23.73,1150500,23.73
2014-11-28,23.06,23.80,23.00,23.80,327500,23.80
2014-11-26,23.34,23.34,22.64,22.98,646200,22.98
2014-11-25,22.48,23.65,22.28,22.99,1223900,22.99
2014-11-24,22.64,22.70,22.13,22.41,758000,22.41
2014-11-21,22.68,22.76,22.29,22.56,835500,22.56
2014-11-20,22.21,22.69,22.10,22.29,1433300,22.29
2014-11-19,21.91,23.09,21.80,22.24,1387100,22.24
2014-11-18,22.13,22.40,21.75,21.88,437900,21.88
2014-11-17,22.06,22.84,21.50,22.33,1628400,22.33
2014-11-14,21.50,22.37,21.46,21.98,2089200,21.98
2014-11-13,20.75,21.99,20.75,21.50,2276000,21.50
2014-11-12,20.94,20.94,20.11,20.75,24860700,20.75
