Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,7.69,8.07,7.69,7.85,2831200,7.85
2015-02-12,7.65,7.80,7.33,7.53,2570100,7.53
2015-02-11,7.41,7.54,7.02,7.32,3519800,7.32
2015-02-10,8.62,8.88,7.60,7.72,3882500,7.72
2015-02-09,8.48,9.02,8.10,8.36,5405800,8.36
2015-02-06,8.90,8.90,8.05,8.38,4838700,8.38
2015-02-05,8.26,8.85,8.26,8.62,3822200,8.62
2015-02-04,8.65,8.65,7.93,8.02,5005300,7.94
2015-02-03,8.00,9.40,7.50,8.90,12057600,8.81
2015-02-02,7.01,7.74,6.90,7.69,5630700,7.61
2015-01-30,6.50,6.81,6.26,6.56,2329900,6.49
2015-01-29,6.37,6.50,6.10,6.45,2771900,6.38
2015-01-28,6.99,7.05,6.09,6.21,4316300,6.15
2015-01-27,6.45,7.10,6.30,6.94,5963000,6.87
2015-01-26,5.40,6.61,5.40,6.56,6029800,6.49
2015-01-23,5.27,5.51,5.12,5.40,2730100,5.34
2015-01-22,5.40,5.40,5.01,5.21,2938900,5.16
2015-01-21,4.88,5.39,4.79,5.13,4402700,5.08
2015-01-20,4.89,4.90,4.56,4.82,3333200,4.77
2015-01-16,5.03,5.05,4.75,4.87,3561800,4.82
2015-01-15,5.34,5.39,4.68,4.69,4239500,4.64
2015-01-14,5.25,5.40,4.55,5.12,8186700,5.07
2015-01-13,5.66,5.69,5.27,5.39,4302600,5.33
2015-01-12,6.40,6.43,5.65,5.66,5261100,5.60
2015-01-09,6.80,6.84,6.43,6.43,3614900,6.36
2015-01-08,6.89,7.00,6.69,6.78,4162400,6.63
2015-01-07,6.98,7.10,6.63,6.70,3948400,6.55
2015-01-06,7.02,7.23,6.80,6.90,4200900,6.74
2015-01-05,7.74,7.77,6.80,6.82,6189700,6.67
2015-01-02,7.00,7.88,6.99,7.63,3886400,7.46
2014-12-31,6.51,7.01,6.50,7.00,6031300,6.84
2014-12-30,6.70,6.91,6.50,6.52,5219400,6.37
2014-12-29,7.06,7.19,6.55,6.76,5011000,6.61
2014-12-26,7.00,7.20,6.95,7.02,2548600,6.86
2014-12-24,7.17,7.28,6.91,7.06,2353100,6.90
2014-12-23,7.27,7.55,7.05,7.29,4007800,7.13
2014-12-22,7.82,8.03,7.13,7.31,4457300,7.15
2014-12-19,7.77,7.87,7.41,7.82,5257600,7.64
2014-12-18,8.55,8.96,7.40,7.69,5407100,7.52
2014-12-17,7.58,8.68,7.56,8.14,5603200,7.96
2014-12-16,6.51,8.03,6.46,7.65,7613400,7.48
2014-12-15,8.21,8.38,6.82,6.95,7082900,6.79
2014-12-12,8.50,8.79,7.76,8.12,6548000,7.94
2014-12-11,9.40,9.85,8.75,8.79,4031400,8.59
2014-12-10,9.94,9.99,9.06,9.62,4166000,9.40
