Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,14.15,14.22,14.15,14.16,16000,14.16
2015-02-12,14.19,14.20,14.16,14.18,10500,14.18
2015-02-11,14.32,14.32,14.19,14.19,10900,14.19
2015-02-10,14.40,14.40,14.32,14.35,6600,14.28
2015-02-09,14.52,14.54,14.39,14.40,15600,14.33
2015-02-06,14.58,14.65,14.46,14.50,41100,14.43
2015-02-05,14.59,14.66,14.56,14.63,18000,14.56
2015-02-04,14.59,14.63,14.51,14.63,31500,14.56
2015-02-03,14.56,14.66,14.55,14.60,32600,14.53
2015-02-02,14.51,14.73,14.48,14.61,17700,14.54
2015-01-30,14.42,14.50,14.42,14.49,17200,14.42
2015-01-29,14.38,14.40,14.35,14.38,19100,14.31
2015-01-28,14.35,14.39,14.30,14.32,22900,14.25
2015-01-27,14.28,14.30,14.27,14.30,12900,14.23
2015-01-26,14.27,14.28,14.22,14.24,5700,14.17
2015-01-23,14.23,14.25,14.21,14.25,3800,14.18
2015-01-22,14.25,14.27,14.18,14.20,17400,14.13
2015-01-21,14.25,14.25,14.17,14.24,14500,14.17
2015-01-20,14.23,14.25,14.21,14.24,15200,14.17
2015-01-16,14.30,14.34,14.19,14.20,11500,14.13
2015-01-15,14.18,14.31,14.14,14.30,32200,14.23
2015-01-14,14.16,14.21,14.10,14.16,59700,14.09
2015-01-13,14.22,14.29,14.13,14.16,58000,14.09
2015-01-12,14.22,14.33,14.22,14.29,8800,14.15
2015-01-09,14.19,14.25,14.18,14.22,7900,14.08
2015-01-08,14.29,14.30,14.16,14.20,14800,14.06
2015-01-07,14.16,14.33,14.14,14.33,26700,14.19
2015-01-06,14.04,14.18,14.04,14.10,17400,13.96
2015-01-05,14.02,14.06,14.02,14.02,5500,13.88
2015-01-02,13.97,14.04,13.96,14.00,8900,13.86
2014-12-31,14.02,14.04,13.97,13.97,5100,13.83
2014-12-30,13.93,13.98,13.91,13.97,10300,13.83
2014-12-29,13.97,13.97,13.90,13.92,20400,13.78
2014-12-26,13.97,13.97,13.88,13.96,6600,13.82
2014-12-24,13.92,14.00,13.90,13.92,16700,13.78
2014-12-23,14.03,14.04,13.92,13.92,18500,13.78
2014-12-22,13.98,13.98,13.95,13.95,9200,13.81
2014-12-19,13.98,13.98,13.96,13.98,2600,13.84
2014-12-18,13.97,14.00,13.93,13.97,16600,13.83
2014-12-17,13.97,14.00,13.94,13.97,15600,13.83
2014-12-16,13.94,14.00,13.94,13.99,11100,13.85
2014-12-15,13.96,13.97,13.95,13.97,8600,13.83
2014-12-12,13.95,14.00,13.89,13.95,9900,13.81
2014-12-11,14.00,14.02,13.92,13.96,32000,13.82
2014-12-10,13.92,14.06,13.92,13.99,30500,13.85
2014-12-09,13.93,14.03,13.93,14.02,21300,13.81
2014-12-08,13.95,14.01,13.92,13.98,15600,13.77
2014-12-05,14.05,14.05,13.93,13.96,47300,13.75
2014-12-04,13.98,14.07,13.97,14.06,11000,13.85
2014-12-03,13.95,14.02,13.95,14.00,16600,13.79
2014-12-02,13.90,13.96,13.88,13.96,11900,13.75
2014-12-01,13.95,13.95,13.86,13.92,25600,13.71
2014-11-28,13.84,13.91,13.82,13.89,14600,13.68
2014-11-26,13.84,13.87,13.83,13.86,15800,13.65
2014-11-25,13.84,13.89,13.84,13.86,8200,13.65
2014-11-24,13.85,13.89,13.82,13.88,10900,13.67
2014-11-21,13.87,13.92,13.86,13.86,21200,13.65
2014-11-20,13.84,13.88,13.54,13.86,12500,13.65
2014-11-19,13.80,13.82,13.74,13.82,16700,13.61
2014-11-18,13.77,13.82,13.75,13.81,25600,13.60
2014-11-17,13.80,13.82,13.76,13.76,21700,13.55
2014-11-14,13.83,13.83,13.79,13.81,11100,13.60
2014-11-13,13.82,13.86,13.79,13.82,12000,13.61
2014-11-12,13.89,13.89,13.80,13.81,7000,13.60
2014-11-11,13.95,13.95,13.88,13.89,9600,13.61
2014-11-10,13.96,14.00,13.91,13.91,4100,13.63
2014-11-07,13.97,14.00,13.88,13.98,10200,13.70
2014-11-06,13.91,13.95,13.87,13.95,8000,13.67
2014-11-05,13.87,13.92,13.87,13.90,5900,13.62
2014-11-04,13.81,13.88,13.77,13.88,6100,13.60
2014-11-03,13.88,13.91,13.79,13.80,13800,13.52
2014-10-31,13.85,13.89,13.74,13.86,25500,13.58
2014-10-30,13.88,13.88,13.37,13.88,8500,13.60
2014-10-29,13.86,13.88,13.82,13.87,12300,13.59
2014-10-28,13.85,13.85,13.82,13.85,2700,13.57
2014-10-27,13.80,13.84,13.77,13.84,7700,13.56
2014-10-24,13.83,13.83,13.79,13.79,7300,13.51
2014-10-23,13.83,13.84,13.77,13.82,9900,13.54
2014-10-22,13.83,13.84,13.79,13.79,11000,13.51
2014-10-21,13.86,13.86,13.78,13.82,7300,13.54
2014-10-20,13.87,13.92,13.84,13.85,10500,13.57
2014-10-17,13.87,13.89,13.81,13.81,15800,13.53
2014-10-16,13.83,13.83,13.77,13.79,11500,13.51
2014-10-15,13.79,13.84,13.77,13.78,19300,13.50
2014-10-14,13.73,13.81,13.72,13.77,6500,13.49
2014-10-13,13.74,13.77,13.70,13.72,5400,13.44
2014-10-10,13.83,13.83,13.77,13.78,4200,13.50
2014-10-09,13.89,13.89,13.84,13.88,14500,13.53
2014-10-08,13.78,13.85,13.76,13.85,26900,13.50
2014-10-07,13.69,13.75,13.68,13.75,9500,13.40
2014-10-06,13.62,13.67,13.62,13.65,20900,13.30
2014-10-03,13.59,13.62,13.56,13.57,18200,13.23
2014-10-02,13.63,13.68,13.57,13.57,19600,13.23
2014-10-01,13.61,13.66,13.61,13.64,11200,13.29
2014-09-30,13.54,13.60,13.54,13.60,7100,13.26
2014-09-29,13.51,13.58,13.51,13.57,19900,13.23
2014-09-26,13.59,13.59,13.50,13.54,11700,13.20
2014-09-25,13.57,13.59,13.56,13.56,10500,13.22
2014-09-24,13.59,13.59,13.55,13.56,9500,13.22
2014-09-23,13.62,13.62,13.57,13.59,9200,13.25
2014-09-22,13.53,13.61,13.53,13.61,10200,13.27
2014-09-19,13.53,13.56,13.52,13.54,11200,13.20
2014-09-18,13.51,13.54,13.50,13.54,6300,13.20
2014-09-17,13.52,13.52,13.47,13.52,2300,13.18
2014-09-16,13.52,13.52,13.47,13.52,18900,13.18
2014-09-15,13.54,13.56,13.51,13.53,14900,13.19
2014-09-12,13.53,13.60,13.51,13.54,15600,13.20
2014-09-11,13.64,13.64,13.58,13.60,1800,13.26
2014-09-10,13.68,13.70,13.66,13.70,11300,13.28
2014-09-09,13.63,13.67,13.63,13.66,11700,13.24
2014-09-08,13.68,13.69,13.63,13.63,10900,13.22
2014-09-05,13.67,13.68,13.62,13.63,12600,13.22
2014-09-04,13.67,13.67,13.60,13.64,3600,13.23
2014-09-03,13.63,13.68,13.62,13.68,12200,13.26
2014-09-02,13.67,13.68,13.62,13.66,39300,13.24
2014-08-29,13.65,13.65,13.60,13.65,8500,13.23
2014-08-28,13.68,13.70,13.60,13.64,38700,13.23
2014-08-27,13.62,13.69,13.61,13.65,15400,13.23
2014-08-26,13.59,13.60,13.55,13.59,9800,13.18
2014-08-25,13.56,13.58,13.53,13.57,8200,13.16
2014-08-22,13.58,13.60,13.53,13.54,17200,13.13
2014-08-21,13.57,13.61,13.56,13.59,7000,13.18
2014-08-20,13.63,13.63,13.54,13.56,16500,13.15
2014-08-19,13.58,13.60,13.56,13.58,10100,13.17
2014-08-18,13.56,13.62,13.55,13.57,13300,13.16
2014-08-15,13.56,13.63,13.56,13.58,14600,13.17
2014-08-14,13.63,13.64,13.56,13.56,10800,13.15
2014-08-13,13.59,13.61,13.54,13.57,26300,13.16
2014-08-12,13.61,13.62,13.58,13.59,7500,13.11
2014-08-11,13.56,13.63,13.54,13.63,11200,13.15
2014-08-08,13.54,13.59,13.54,13.56,5600,13.08
2014-08-07,13.37,13.53,13.37,13.53,19500,13.05
2014-08-06,13.44,13.46,13.37,13.44,40200,12.96
2014-08-05,13.42,13.45,13.36,13.37,33400,12.89
2014-08-04,13.58,13.58,13.41,13.41,44200,12.93
2014-08-01,13.55,13.57,13.49,13.54,15300,13.06
2014-07-31,13.49,13.57,13.48,13.48,14600,13.00
2014-07-30,13.73,13.73,13.59,13.59,10800,13.11
2014-07-29,13.73,13.77,13.71,13.74,11100,13.25
2014-07-28,13.77,13.77,13.71,13.72,10300,13.23
2014-07-25,13.76,13.82,13.76,13.77,11600,13.28
2014-07-24,13.78,13.78,13.73,13.75,3800,13.26
2014-07-23,13.78,13.83,13.72,13.76,11200,13.27
2014-07-22,13.76,13.82,13.75,13.78,4000,13.29
2014-07-21,13.76,13.79,13.71,13.75,10400,13.26
2014-07-18,13.70,13.76,13.64,13.76,12300,13.27
2014-07-17,13.72,13.76,13.66,13.70,10000,13.21
2014-07-16,13.67,13.70,13.66,13.70,3500,13.21
2014-07-15,13.69,13.71,13.66,13.66,4500,13.17
2014-07-14,13.70,13.72,13.66,13.68,12600,13.19
2014-07-11,13.71,13.71,13.67,13.69,6500,13.20
2014-07-10,13.80,13.83,13.72,13.74,5300,13.18
2014-07-09,13.84,13.84,13.76,13.77,6300,13.21
2014-07-08,13.78,13.81,13.78,13.81,5400,13.25
2014-07-07,13.78,13.83,13.73,13.76,10300,13.20
2014-07-03,13.80,13.80,13.63,13.72,15200,13.16
2014-07-02,13.94,13.94,13.75,13.75,21400,13.19
2014-07-01,14.00,14.00,13.93,13.93,12500,13.36
2014-06-30,13.99,13.99,13.97,13.98,13100,13.41
2014-06-27,14.00,14.00,13.94,13.97,8900,13.40
2014-06-26,14.00,14.00,13.94,14.00,13700,13.43
2014-06-25,14.00,14.01,13.97,14.00,8300,13.43
2014-06-24,14.00,14.00,13.96,13.98,8800,13.41
2014-06-23,13.96,13.99,13.94,13.98,15700,13.41
2014-06-20,13.92,13.94,13.86,13.94,8100,13.37
2014-06-19,13.92,14.00,13.87,13.91,9100,13.35
2014-06-18,13.80,13.92,13.77,13.92,21700,13.35
2014-06-17,13.87,13.89,13.82,13.82,35900,13.26
2014-06-16,13.84,13.84,13.78,13.78,15500,13.22
2014-06-13,13.88,13.92,13.82,13.87,5300,13.31
2014-06-12,13.87,13.88,13.74,13.86,20000,13.30
2014-06-11,13.94,13.98,13.86,13.94,13900,13.30
2014-06-10,13.92,13.93,13.86,13.92,15800,13.29
2014-06-09,13.89,13.91,13.82,13.90,57300,13.27
2014-06-06,13.86,13.86,13.81,13.83,7400,13.20
2014-06-05,13.82,13.83,13.74,13.83,23700,13.20
2014-06-04,13.86,13.92,13.80,13.80,48200,13.17
2014-06-03,13.90,13.92,13.81,13.86,13400,13.23
2014-06-02,14.01,14.01,13.90,13.93,17800,13.30
2014-05-30,14.06,14.06,13.96,14.01,10800,13.37
2014-05-29,14.03,14.03,13.95,14.03,9900,13.39
2014-05-28,13.99,14.04,13.92,14.01,12000,13.37
2014-05-27,13.99,13.99,13.93,13.97,15400,13.33
2014-05-23,13.95,13.99,13.87,13.99,8600,13.35
2014-05-22,13.93,13.93,13.85,13.91,8400,13.28
2014-05-21,13.95,13.95,13.84,13.90,8000,13.27
2014-05-20,13.94,13.94,13.87,13.90,7000,13.27
2014-05-19,13.96,13.96,13.90,13.90,6600,13.27
2014-05-16,13.94,13.96,13.87,13.92,39800,13.29
2014-05-15,13.85,13.89,13.77,13.84,11600,13.21
2014-05-14,13.77,13.81,13.75,13.77,21100,13.14
2014-05-13,13.74,13.80,13.73,13.78,25500,13.15
2014-05-12,13.78,13.84,13.75,13.77,21600,13.07
2014-05-09,13.78,13.79,13.76,13.77,10000,13.07
2014-05-08,13.75,13.84,13.75,13.77,29300,13.07
2014-05-07,13.78,13.85,13.67,13.74,60200,13.05
2014-05-06,13.72,13.85,13.72,13.78,32400,13.08
2014-05-05,13.78,13.84,13.72,13.74,27300,13.05
2014-05-02,13.72,13.77,13.70,13.76,29400,13.06
2014-05-01,13.69,13.82,13.67,13.79,29900,13.09
2014-04-30,13.67,13.72,13.64,13.72,22400,13.03
2014-04-29,13.65,13.73,13.61,13.62,25700,12.93
2014-04-28,13.66,13.72,13.64,13.69,55000,13.00
2014-04-25,13.65,13.68,13.62,13.67,10900,12.98
2014-04-24,13.63,13.64,13.55,13.64,2800,12.95
2014-04-23,13.53,13.61,13.48,13.58,17500,12.89
2014-04-22,13.43,13.51,13.43,13.49,8600,12.81
2014-04-21,13.36,13.45,13.36,13.44,5700,12.76
2014-04-17,13.37,13.44,13.35,13.35,5200,12.68
2014-04-16,13.31,13.42,13.31,13.40,9100,12.72
2014-04-15,13.26,13.37,13.26,13.34,20500,12.67
2014-04-14,13.32,13.33,13.27,13.28,10900,12.61
2014-04-11,13.34,13.40,13.33,13.35,14700,12.68
2014-04-10,13.37,13.41,13.37,13.38,5900,12.64
2014-04-09,13.40,13.42,13.35,13.40,9000,12.65
2014-04-08,13.32,13.42,13.32,13.37,37500,12.63
2014-04-07,13.32,13.38,13.31,13.36,49000,12.62
2014-04-04,13.25,13.34,13.21,13.32,69700,12.58
2014-04-03,13.22,13.35,13.22,13.25,46600,12.51
2014-04-02,13.31,13.32,13.20,13.20,47600,12.47
2014-04-01,13.32,13.39,13.25,13.26,25700,12.52
2014-03-31,13.36,13.41,13.32,13.33,14900,12.59
2014-03-28,13.38,13.43,13.35,13.39,19800,12.64
2014-03-27,13.35,13.44,13.35,13.38,7100,12.64
2014-03-26,13.36,13.40,13.31,13.39,26500,12.64
2014-03-25,13.26,13.35,13.26,13.29,10600,12.55
2014-03-24,13.23,13.31,13.23,13.31,21500,12.57
2014-03-21,13.10,13.23,13.10,13.22,21400,12.48
2014-03-20,13.12,13.12,13.05,13.10,29900,12.37
2014-03-19,13.25,13.28,13.10,13.11,33200,12.38
2014-03-18,13.33,13.33,13.23,13.24,20700,12.50
2014-03-17,13.22,13.31,13.22,13.26,23400,12.52
2014-03-14,13.17,13.24,13.17,13.24,10800,12.50
2014-03-13,13.11,13.22,13.11,13.21,33500,12.47
2014-03-12,13.02,13.16,13.02,13.15,8900,12.42
2014-03-11,13.11,13.18,13.08,13.13,8800,12.33
2014-03-10,13.07,13.18,13.07,13.11,15700,12.31
2014-03-07,13.12,13.16,13.03,13.06,42500,12.27
2014-03-06,13.18,13.21,13.12,13.15,46500,12.35
2014-03-05,13.16,13.19,13.15,13.18,12700,12.38
2014-03-04,13.15,13.20,13.15,13.20,24900,12.40
2014-03-03,13.18,13.20,13.13,13.19,16300,12.39
2014-02-28,13.12,13.16,13.06,13.14,12800,12.34
2014-02-27,13.07,13.15,13.07,13.14,16000,12.34
2014-02-26,13.05,13.12,13.00,13.11,19400,12.31
2014-02-25,12.98,13.07,12.98,13.07,18000,12.27
2014-02-24,12.97,13.05,12.97,13.00,21900,12.21
2014-02-21,12.95,13.03,12.95,13.02,16000,12.23
2014-02-20,12.99,13.02,12.93,13.00,33300,12.21
2014-02-19,13.02,13.07,12.99,13.00,6900,12.21
2014-02-18,12.98,13.04,12.98,12.99,9900,12.20
2014-02-14,12.98,13.02,12.98,12.98,10000,12.19
2014-02-13,13.00,13.02,12.98,12.98,5000,12.19
2014-02-12,13.07,13.07,12.97,13.01,11300,12.22
2014-02-11,13.13,13.14,13.06,13.12,11600,12.25
2014-02-10,13.03,13.13,13.03,13.12,8300,12.25
2014-02-07,13.06,13.11,13.00,13.03,14500,12.17
2014-02-06,13.08,13.08,12.96,12.99,10800,12.13
2014-02-05,13.00,13.08,12.99,12.99,5800,12.13
2014-02-04,13.11,13.16,13.04,13.04,10900,12.18
2014-02-03,13.19,13.19,13.10,13.11,16600,12.24
2014-01-31,13.06,13.15,13.06,13.13,14700,12.26
2014-01-30,13.00,13.12,12.98,13.03,20800,12.17
2014-01-29,13.01,13.03,12.95,13.01,15900,12.15
2014-01-28,13.03,13.03,12.92,12.98,14000,12.12
2014-01-27,13.04,13.12,12.96,12.98,47200,12.12
