Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,28.97,28.97,28.11,28.36,2600,28.36
2015-02-12,27.96,28.24,27.84,28.24,1200,28.24
2015-02-11,28.78,28.78,27.81,27.96,6500,27.96
2015-02-10,27.90,28.29,27.73,28.20,1100,28.20
2015-02-09,27.50,28.10,27.50,27.74,3600,27.74
2015-02-06,28.78,28.78,27.72,27.72,3500,27.72
2015-02-05,27.54,28.12,27.54,28.08,1300,28.08
2015-02-04,27.00,27.46,26.82,27.27,3300,27.27
2015-02-03,27.85,27.85,27.05,27.65,4400,27.65
2015-02-02,27.65,28.00,27.47,27.67,4400,27.67
2015-01-30,28.60,28.60,28.00,28.00,4800,28.00
2015-01-29,28.08,28.12,27.67,28.11,2100,28.11
2015-01-28,28.78,28.78,28.00,28.00,13000,28.00
2015-01-27,28.58,28.80,28.38,28.57,13600,28.57
2015-01-26,28.58,28.58,28.36,28.42,10800,28.42
2015-01-23,27.88,27.98,27.67,27.94,5000,27.94
2015-01-22,27.01,27.91,27.01,27.91,1400,27.91
2015-01-21,28.13,28.20,27.58,27.58,6900,27.58
2015-01-20,28.54,28.54,27.33,28.10,2800,28.10
2015-01-16,26.79,27.79,26.79,27.79,2500,27.79
2015-01-15,27.75,27.75,26.93,27.00,5600,27.00
2015-01-14,27.36,27.90,27.36,27.81,2300,27.81
2015-01-13,28.25,28.40,27.58,27.58,9100,27.58
2015-01-12,28.26,28.26,27.55,27.68,4100,27.68
2015-01-09,28.25,28.25,27.45,27.67,13400,27.67
2015-01-08,27.80,28.02,27.65,27.92,26700,27.92
2015-01-07,26.72,27.27,26.69,27.27,3900,27.27
2015-01-06,27.17,27.17,25.74,26.08,6500,26.08
2015-01-05,26.87,26.87,26.31,26.47,6100,26.47
2015-01-02,26.79,26.79,26.13,26.48,6200,26.48
2014-12-31,26.41,26.55,26.11,26.12,7200,26.12
2014-12-30,26.50,26.50,26.05,26.18,6700,26.18
2014-12-29,26.37,26.55,26.20,26.32,8400,26.32
2014-12-26,26.00,26.18,25.90,26.16,4200,26.16
2014-12-24,25.38,25.81,25.38,25.60,3100,25.60
2014-12-23,26.41,26.41,24.92,25.22,5400,25.22
2014-12-22,26.34,26.56,25.89,26.23,33900,26.23
2014-12-19,29.00,29.00,26.31,26.79,8800,26.79
2014-12-18,26.41,26.80,26.41,26.80,8200,26.80
2014-12-17,25.15,26.09,25.15,26.05,4300,26.05
