Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,25.52,25.86,25.18,25.73,629300,25.73
2015-02-12,25.37,25.72,25.13,25.55,278200,25.55
2015-02-11,24.81,25.34,24.43,25.25,299800,25.25
2015-02-10,25.27,25.27,24.76,24.88,256800,24.88
2015-02-09,24.95,25.50,24.93,25.06,219100,25.06
2015-02-06,25.44,25.67,24.63,25.07,417200,25.07
2015-02-05,22.77,25.61,22.27,25.45,638000,25.45
2015-02-04,23.52,23.57,23.24,23.35,412300,23.35
2015-02-03,23.28,23.97,23.20,23.71,275700,23.61
2015-02-02,22.51,23.15,22.24,23.12,490300,23.02
2015-01-30,22.68,22.87,22.34,22.41,376500,22.32
2015-01-29,22.70,23.01,22.28,22.89,571000,22.79
2015-01-28,23.26,23.26,22.55,22.70,478600,22.60
2015-01-27,23.78,23.88,23.06,23.15,537000,23.05
2015-01-26,23.46,24.02,23.38,23.92,243000,23.82
2015-01-23,23.43,23.69,23.34,23.54,384700,23.44
2015-01-22,23.38,23.59,23.22,23.50,443600,23.40
2015-01-21,23.29,23.53,23.16,23.34,415700,23.24
2015-01-20,24.00,24.00,23.08,23.39,583400,23.29
2015-01-16,23.73,24.02,23.61,24.00,182200,23.90
2015-01-15,24.21,24.42,23.63,23.80,340400,23.70
2015-01-14,23.86,24.22,23.77,24.09,367500,23.99
2015-01-13,24.32,24.58,23.74,24.16,528200,24.06
2015-01-12,23.77,24.34,23.65,24.08,453000,23.98
2015-01-09,23.50,23.88,23.22,23.85,295500,23.75
2015-01-08,23.27,23.54,23.10,23.46,362500,23.36
2015-01-07,23.22,23.26,22.84,23.06,336800,22.96
2015-01-06,23.51,23.73,22.93,23.06,540800,22.96
2015-01-05,24.17,24.32,23.34,23.49,385900,23.39
2015-01-02,24.48,24.48,23.76,24.36,373100,24.26
2014-12-31,24.71,24.71,24.38,24.41,273000,24.31
2014-12-30,24.33,24.62,24.22,24.59,233500,24.49
2014-12-29,24.10,24.52,24.09,24.42,260600,24.32
2014-12-26,24.14,24.42,23.98,24.09,165300,23.99
2014-12-24,24.23,24.29,23.81,24.09,138000,23.99
2014-12-23,23.84,24.27,23.76,24.12,191900,24.02
2014-12-22,23.28,23.77,23.20,23.75,263700,23.65
2014-12-19,23.38,23.57,23.16,23.28,800900,23.18
2014-12-18,23.24,23.62,22.88,23.45,436900,23.35
2014-12-17,22.24,22.97,21.91,22.92,291500,22.82
2014-12-16,22.64,22.87,22.19,22.26,526000,22.17
2014-12-15,22.45,22.71,22.20,22.64,554100,22.54
2014-12-12,22.03,22.50,21.86,22.35,445400,22.26
2014-12-11,22.27,22.47,22.21,22.31,528300,22.22
2014-12-10,23.14,23.25,22.13,22.18,314900,22.09
2014-12-09,22.16,23.25,22.16,23.24,495800,23.14
2014-12-08,22.58,22.58,22.27,22.40,621900,22.31
2014-12-05,22.39,22.70,22.39,22.62,748400,22.52
2014-12-04,22.20,22.55,22.12,22.42,1468500,22.33
2014-12-03,21.97,22.42,21.79,22.24,1660400,22.15
2014-12-02,21.72,22.08,21.66,21.96,249200,21.87
2014-12-01,21.60,21.87,21.60,21.70,576600,21.61
2014-11-28,21.93,21.93,21.67,21.70,173000,21.61
2014-11-26,22.18,22.29,21.93,21.99,278000,21.90
2014-11-25,21.98,22.40,21.94,22.17,227900,22.08
2014-11-24,21.61,22.04,21.54,21.91,141500,21.82
2014-11-21,21.68,21.83,21.47,21.58,182900,21.49
2014-11-20,20.81,21.36,20.81,21.31,158500,21.22
2014-11-19,21.44,21.44,20.85,20.89,163700,20.80
2014-11-18,21.62,21.90,21.35,21.52,248300,21.43
2014-11-17,21.42,21.75,21.24,21.59,340300,21.50
2014-11-14,21.28,21.64,21.15,21.50,370500,21.41
2014-11-13,21.61,21.81,21.18,21.25,406200,21.16
2014-11-12,21.30,21.64,21.29,21.57,432300,21.48
2014-11-11,21.48,21.65,21.19,21.39,617200,21.20
2014-11-10,21.57,21.68,21.34,21.48,251600,21.29
2014-11-07,21.49,21.58,21.36,21.51,274200,21.32
2014-11-06,21.38,21.58,21.16,21.48,267500,21.29
2014-11-05,21.28,21.58,21.04,21.34,429000,21.15
2014-11-04,20.85,21.06,20.70,20.72,352800,20.54
2014-11-03,21.05,21.24,20.87,20.94,448200,20.75
2014-10-31,20.57,21.22,20.12,21.00,675500,20.81
2014-10-30,22.38,22.41,19.15,20.10,1503700,19.92
2014-10-29,22.64,23.07,22.57,22.64,376300,22.44
2014-10-28,21.97,22.58,21.94,22.57,378400,22.37
2014-10-27,22.20,22.20,21.79,21.93,277700,21.74
2014-10-24,22.44,22.56,22.26,22.36,175300,22.16
2014-10-23,22.35,22.63,22.27,22.40,279200,22.20
2014-10-22,22.47,22.76,22.18,22.20,304900,22.00
2014-10-21,22.03,22.52,22.02,22.37,545800,22.17
2014-10-20,22.44,22.77,21.93,22.00,276400,21.80
2014-10-17,23.04,23.13,22.25,22.50,432500,22.30
2014-10-16,22.06,22.93,22.06,22.72,296200,22.52
2014-10-15,21.61,22.47,21.38,22.40,269100,22.20
2014-10-14,21.68,22.17,21.68,21.80,271400,21.61
2014-10-13,21.77,22.07,21.65,21.68,277200,21.49
2014-10-10,22.85,22.96,21.71,21.76,358400,21.57
2014-10-09,23.87,23.87,23.00,23.03,439300,22.83
2014-10-08,23.34,23.97,23.05,23.95,214700,23.74
2014-10-07,23.31,23.50,23.21,23.39,275400,23.18
2014-10-06,23.55,23.73,23.40,23.48,182100,23.27
2014-10-03,23.86,23.98,23.51,23.51,204700,23.30
2014-10-02,23.67,23.93,23.54,23.63,227100,23.42
2014-10-01,24.02,24.25,23.67,23.68,286200,23.47
2014-09-30,24.09,24.34,23.91,24.04,355200,23.83
2014-09-29,24.12,24.31,23.85,24.14,313500,23.93
2014-09-26,24.25,24.52,24.07,24.40,213800,24.18
2014-09-25,24.70,24.73,24.09,24.24,237000,24.02
2014-09-24,24.71,24.81,24.48,24.71,178200,24.49
2014-09-23,24.81,24.99,24.66,24.73,280400,24.51
2014-09-22,25.58,25.58,24.83,24.85,279800,24.63
2014-09-19,26.17,26.40,25.58,25.66,380200,25.43
2014-09-18,25.96,26.24,25.86,26.18,279300,25.95
2014-09-17,25.92,26.08,25.69,25.89,169200,25.66
2014-09-16,26.10,26.19,25.85,25.99,236400,25.76
2014-09-15,26.50,26.95,25.96,26.13,281400,25.90
2014-09-12,26.96,27.16,26.43,26.51,170900,26.27
2014-09-11,26.55,27.04,26.45,27.03,174900,26.79
2014-09-10,26.69,26.96,26.44,26.71,196400,26.47
2014-09-09,27.21,27.37,26.63,26.72,255100,26.48
2014-09-08,27.18,27.46,27.16,27.24,142100,27.00
2014-09-05,27.44,27.50,27.19,27.23,302300,26.99
2014-09-04,27.39,27.86,27.29,27.57,336200,27.33
2014-09-03,27.87,27.87,27.30,27.38,203900,27.14
2014-09-02,27.46,27.82,27.36,27.69,154000,27.44
2014-08-29,27.54,27.62,27.18,27.38,114300,27.14
2014-08-28,27.44,27.66,27.26,27.47,223400,27.23
2014-08-27,27.60,27.72,27.39,27.50,185800,27.26
2014-08-26,27.53,27.82,27.46,27.64,281200,27.39
2014-08-25,27.22,27.64,27.16,27.54,407300,27.30
2014-08-22,26.99,27.13,26.87,27.06,276800,26.82
2014-08-21,27.10,27.22,26.79,27.00,627300,26.76
2014-08-20,27.31,27.41,27.11,27.15,306700,26.91
2014-08-19,27.36,27.45,27.34,27.36,427300,27.12
2014-08-18,27.21,27.45,27.15,27.34,588200,27.10
2014-08-15,27.06,27.25,26.79,27.00,514800,26.76
2014-08-14,26.74,26.94,26.58,26.86,508800,26.62
2014-08-13,26.76,26.96,26.59,26.66,613200,26.42
2014-08-12,26.85,27.06,26.63,26.66,315700,26.42
2014-08-11,26.70,27.15,26.50,26.85,777700,26.61
2014-08-08,26.61,26.75,26.49,26.53,351700,26.29
2014-08-07,26.80,26.86,26.49,26.62,223200,26.38
2014-08-06,26.54,26.77,26.46,26.68,317600,26.44
2014-08-05,26.65,26.82,26.38,26.68,517800,26.44
2014-08-04,26.72,26.75,26.50,26.70,403400,26.46
2014-08-01,26.86,26.93,26.57,26.63,401100,26.39
2014-07-31,26.81,27.07,26.64,26.84,654600,26.60
2014-07-30,27.06,27.17,26.85,26.98,228300,26.74
2014-07-29,27.05,27.23,26.80,26.94,342100,26.70
2014-07-28,27.15,27.26,26.91,26.99,424000,26.75
2014-07-25,26.89,27.44,26.70,27.17,464800,26.93
2014-07-24,26.79,27.36,26.17,27.05,757200,26.81
2014-07-23,27.49,27.69,27.18,27.29,450900,27.05
2014-07-22,27.61,28.04,27.55,27.59,432600,27.25
2014-07-21,27.44,27.67,27.24,27.48,264100,27.14
2014-07-18,27.16,27.73,27.16,27.63,300200,27.29
2014-07-17,27.29,27.59,27.10,27.18,251900,26.84
2014-07-16,27.54,27.87,27.45,27.46,313000,27.12
2014-07-15,27.55,27.84,27.26,27.33,193000,26.99
2014-07-14,27.30,27.69,27.08,27.56,236700,27.22
2014-07-11,26.92,27.12,26.65,27.01,271400,26.67
2014-07-10,26.60,27.34,26.48,26.99,690800,26.65
2014-07-09,27.39,27.40,26.93,27.05,513800,26.71
2014-07-08,27.69,27.84,27.38,27.48,391200,27.14
2014-07-07,28.07,28.07,27.53,27.77,383600,27.42
2014-07-03,28.27,28.50,28.12,28.19,146300,27.84
2014-07-02,28.29,28.58,28.08,28.17,292700,27.82
2014-07-01,28.24,28.80,28.16,28.41,337900,28.06
2014-06-30,27.60,28.22,27.45,28.22,476800,27.87
2014-06-27,27.23,27.67,27.23,27.66,1008900,27.32
2014-06-26,27.22,27.42,26.89,27.41,232500,27.07
2014-06-25,26.55,27.16,26.55,27.16,377100,26.82
2014-06-24,27.20,27.29,26.69,26.73,1178400,26.40
2014-06-23,28.13,28.26,27.14,27.19,587800,26.85
2014-06-20,27.31,28.22,27.31,28.05,7504200,27.70
2014-06-19,27.50,27.56,27.17,27.35,451000,27.01
2014-06-18,27.44,27.63,27.25,27.46,347900,27.12
2014-06-17,27.48,27.71,27.39,27.44,536600,27.10
2014-06-16,27.44,27.55,27.18,27.50,354500,27.16
2014-06-13,28.26,28.30,27.41,27.49,484900,27.15
2014-06-12,28.43,28.55,28.20,28.34,241400,27.99
2014-06-11,28.55,28.72,28.25,28.46,268700,28.11
2014-06-10,28.60,28.79,28.21,28.76,280900,28.40
2014-06-09,28.00,28.72,27.98,28.63,267800,28.27
2014-06-06,27.63,28.03,27.42,28.02,283900,27.67
2014-06-05,26.97,27.56,26.73,27.49,187600,27.15
2014-06-04,26.58,27.10,26.49,26.94,300700,26.60
2014-06-03,26.62,26.66,26.25,26.61,328600,26.28
2014-06-02,26.77,26.87,26.37,26.68,279300,26.35
2014-05-30,26.89,26.93,26.57,26.70,362700,26.37
2014-05-29,26.91,27.02,26.51,26.89,397500,26.55
2014-05-28,26.75,27.15,26.46,26.95,319900,26.61
2014-05-27,26.44,26.95,26.34,26.87,315900,26.54
2014-05-23,25.76,26.33,25.67,26.30,309500,25.97
2014-05-22,25.80,25.98,25.52,25.70,313000,25.38
2014-05-21,25.70,25.95,25.41,25.83,298500,25.51
2014-05-20,26.01,26.02,25.38,25.53,384700,25.21
2014-05-19,25.65,26.11,25.56,26.05,313900,25.73
2014-05-16,25.59,25.73,25.35,25.67,447600,25.35
2014-05-15,25.05,25.61,24.90,25.52,597500,25.20
2014-05-14,25.72,25.82,25.16,25.22,440400,24.91
2014-05-13,26.04,26.13,25.62,25.73,458100,25.41
2014-05-12,25.74,26.13,25.40,26.01,750200,25.69
2014-05-09,24.88,25.36,24.78,25.25,446300,24.94
2014-05-08,24.79,25.36,24.73,25.00,832600,24.69
2014-05-07,24.83,24.94,24.51,24.90,593400,24.59
2014-05-06,24.77,24.82,24.54,24.71,457500,24.40
2014-05-05,24.62,24.83,24.28,24.80,452000,24.49
2014-05-02,24.55,24.93,24.47,24.71,489300,24.40
2014-05-01,25.45,25.45,24.33,24.48,930700,24.17
2014-04-30,25.33,25.55,24.63,25.44,828500,25.12
2014-04-29,25.33,25.56,25.28,25.37,1185600,25.05
