Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,142.63,143.85,142.09,143.71,809600,143.71
2015-02-12,144.27,144.71,142.18,142.99,1343500,142.99
2015-02-11,142.08,142.65,140.57,141.83,973400,141.83
2015-02-10,141.39,142.43,141.07,141.81,973300,141.81
2015-02-09,143.22,143.22,140.33,140.95,1136700,140.95
2015-02-06,145.40,146.52,142.61,143.32,1654600,143.32
2015-02-05,143.76,146.23,143.07,145.29,1785500,145.29
2015-02-04,140.64,141.12,139.10,139.92,1509100,139.92
2015-02-03,140.70,141.84,139.93,141.23,973400,141.23
2015-02-02,137.51,139.80,136.02,139.52,1464400,139.52
2015-01-30,139.05,139.99,138.01,138.08,1601200,138.08
2015-01-29,140.60,140.65,138.75,140.31,1204900,140.31
2015-01-28,142.88,143.59,140.54,140.82,1111900,140.82
2015-01-27,142.29,143.00,141.04,142.22,780100,142.22
2015-01-26,142.76,143.57,141.67,143.49,726900,143.49
2015-01-23,144.24,144.49,143.14,143.40,820700,143.40
2015-01-22,142.85,145.54,142.38,145.17,1027200,145.17
2015-01-21,141.61,143.12,140.28,142.85,1272400,142.85
2015-01-20,141.31,142.04,139.09,140.28,1218600,140.28
2015-01-16,140.39,140.90,139.09,140.38,1338400,140.38
2015-01-15,140.81,142.10,140.47,140.67,1193300,140.67
2015-01-14,140.37,141.64,138.98,140.81,1691600,140.81
2015-01-13,145.03,145.65,140.73,141.72,1689600,141.72
2015-01-12,144.80,145.02,142.98,143.56,885800,143.56
2015-01-09,145.11,145.85,144.35,144.63,903500,144.63
2015-01-08,144.98,146.74,144.69,146.36,1340700,146.36
2015-01-07,140.92,143.97,140.92,143.74,1376800,143.74
2015-01-06,141.50,141.83,139.25,140.45,2312900,140.45
2015-01-05,140.00,142.44,139.63,140.72,1390500,140.72
2015-01-02,140.27,140.88,139.38,139.86,1410400,139.86
2014-12-31,140.23,141.69,138.97,139.16,901400,139.16
2014-12-30,139.54,141.16,139.54,139.93,703200,139.93
2014-12-29,138.93,139.78,138.66,139.61,678400,139.61
2014-12-26,140.17,140.98,139.20,139.34,554100,139.34
2014-12-24,138.94,141.08,138.55,139.90,351700,139.90
2014-12-23,140.96,141.30,137.83,138.46,1176000,138.46
2014-12-22,139.32,140.38,138.99,140.00,815400,140.00
2014-12-19,141.18,141.44,139.49,139.81,1545300,139.81
2014-12-18,138.24,140.44,137.56,140.43,1612100,140.43
2014-12-17,135.05,137.10,134.48,136.80,1614600,136.80
2014-12-16,135.32,136.11,134.00,134.04,1271900,134.04
2014-12-15,137.74,137.90,135.03,135.75,1324900,135.75
2014-12-12,137.02,138.59,136.65,136.99,1534500,136.99
2014-12-11,137.00,139.26,137.00,138.02,1134300,138.02
2014-12-10,139.13,139.32,136.52,136.65,985300,136.65
2014-12-09,138.41,139.54,137.45,139.45,1189400,139.45
2014-12-08,138.86,140.81,138.56,139.78,1245200,139.78
2014-12-05,140.61,140.74,138.71,139.15,852800,138.55
2014-12-04,140.54,142.56,139.88,140.68,1193800,140.07
2014-12-03,140.77,140.80,139.90,140.37,868500,139.76
2014-12-02,141.12,141.64,140.22,141.02,1307400,140.41
2014-12-01,140.03,141.56,138.81,141.15,1317300,140.54
2014-11-28,141.52,142.33,139.97,140.33,868800,139.72
2014-11-26,136.85,141.68,136.79,141.26,2971100,140.65
2014-11-25,131.03,135.27,131.03,134.73,2154700,134.15
2014-11-24,130.83,131.14,129.96,131.11,697500,130.54
2014-11-21,131.57,131.79,129.99,130.38,1280200,129.82
2014-11-20,130.12,130.42,129.04,130.40,970600,129.84
2014-11-19,131.01,131.07,129.39,130.11,1094300,129.55
2014-11-18,129.54,131.15,129.25,130.94,1072300,130.38
2014-11-17,129.20,130.12,128.89,129.54,813500,128.98
2014-11-14,129.08,129.69,128.71,129.20,795600,128.64
2014-11-13,129.75,129.78,128.99,129.31,763900,128.75
2014-11-12,128.22,129.43,128.22,129.35,1001000,128.79
2014-11-11,128.30,128.93,127.74,128.76,740700,128.20
2014-11-10,125.80,128.33,125.58,128.30,986300,127.75
2014-11-07,128.04,128.20,125.35,125.54,1293600,125.00
2014-11-06,127.51,127.98,126.49,127.93,942100,127.38
2014-11-05,126.81,128.36,126.81,127.22,1360100,126.67
2014-11-04,129.50,131.15,125.94,126.34,1563500,125.80
2014-11-03,128.54,128.68,126.87,127.42,1090100,126.87
2014-10-31,129.34,129.34,127.87,128.70,1320900,128.15
2014-10-30,126.24,127.56,125.57,127.52,1150200,126.97
2014-10-29,126.45,127.13,126.01,126.77,776900,126.22
2014-10-28,126.54,126.71,125.77,126.52,939100,125.97
2014-10-27,125.54,126.23,125.43,125.80,854000,125.26
2014-10-24,125.07,125.87,124.98,125.73,902500,125.19
2014-10-23,125.04,125.53,124.68,125.00,1130800,124.46
2014-10-22,123.75,124.86,123.26,123.72,1931300,123.19
2014-10-21,123.48,124.18,122.56,123.31,2124700,122.78
2014-10-20,122.00,123.02,121.65,122.66,1908300,122.13
2014-10-17,121.41,122.48,120.76,121.73,1938300,121.21
