Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,15.35,15.36,15.25,15.25,55600,15.25
2015-02-12,15.37,15.41,15.29,15.32,67300,15.32
2015-02-11,15.51,15.54,15.35,15.35,87500,15.35
2015-02-10,15.65,15.68,15.50,15.56,100800,15.49
2015-02-09,15.76,15.77,15.66,15.66,70600,15.59
2015-02-06,15.82,15.91,15.70,15.75,122200,15.68
2015-02-05,15.85,15.93,15.79,15.88,96600,15.81
2015-02-04,15.80,15.86,15.73,15.85,83500,15.78
2015-02-03,15.88,15.90,15.82,15.82,132500,15.75
2015-02-02,15.87,16.00,15.78,15.85,62000,15.78
2015-01-30,15.78,15.85,15.72,15.80,140200,15.73
2015-01-29,15.65,15.75,15.62,15.72,106400,15.65
2015-01-28,15.54,15.65,15.48,15.64,84300,15.57
2015-01-27,15.35,15.49,15.35,15.48,87100,15.41
2015-01-26,15.35,15.35,15.30,15.33,73400,15.26
2015-01-23,15.28,15.37,15.28,15.34,47500,15.27
2015-01-22,15.30,15.32,15.14,15.29,90800,15.22
2015-01-21,15.31,15.31,15.26,15.30,36700,15.23
2015-01-20,15.31,15.37,15.29,15.29,50100,15.22
2015-01-16,15.34,15.35,15.22,15.32,58100,15.25
2015-01-15,15.29,15.30,15.25,15.30,42200,15.23
2015-01-14,15.24,15.27,15.20,15.27,54800,15.20
2015-01-13,15.15,15.24,15.13,15.22,77800,15.15
2015-01-12,15.16,15.21,15.11,15.21,79600,15.07
2015-01-09,15.09,15.15,15.04,15.14,77200,15.00
2015-01-08,15.31,15.34,14.88,15.05,189500,14.91
2015-01-07,15.26,15.31,15.26,15.29,30200,15.15
2015-01-06,15.08,15.29,15.08,15.24,99400,15.10
2015-01-05,14.97,15.07,14.97,15.06,38900,14.92
2015-01-02,14.92,15.02,14.91,15.00,33900,14.86
2014-12-31,15.03,15.03,14.94,14.98,58200,14.84
2014-12-30,14.98,15.00,14.92,15.00,49200,14.86
2014-12-29,15.00,15.00,14.98,15.00,59300,14.86
2014-12-26,14.89,15.00,14.88,15.00,38800,14.86
2014-12-24,14.91,14.94,14.83,14.89,26200,14.75
2014-12-23,14.95,14.96,14.83,14.83,41800,14.69
2014-12-22,14.99,15.01,14.90,14.92,55500,14.78
2014-12-19,14.93,15.00,14.92,15.00,87300,14.86
2014-12-18,15.00,15.01,14.91,14.94,87600,14.80
2014-12-17,14.98,14.98,14.91,14.93,40800,14.79
2014-12-16,14.93,15.00,14.83,14.97,91900,14.83
2014-12-15,14.87,14.96,14.86,14.92,66000,14.78
2014-12-12,14.87,14.90,14.83,14.83,55800,14.69
2014-12-11,14.92,14.92,14.85,14.88,48300,14.74
2014-12-10,14.85,14.92,14.85,14.91,56200,14.77
2014-12-09,14.88,14.94,14.88,14.91,77600,14.70
2014-12-08,14.94,14.94,14.87,14.90,77600,14.69
2014-12-05,14.88,14.96,14.85,14.96,65100,14.75
2014-12-04,14.85,14.90,14.83,14.89,40500,14.68
2014-12-03,14.75,14.82,14.75,14.82,66800,14.61
2014-12-02,14.72,14.78,14.72,14.78,67300,14.57
2014-12-01,14.76,14.78,14.67,14.76,109800,14.55
2014-11-28,14.65,14.69,14.64,14.68,17100,14.47
2014-11-26,14.59,14.67,14.59,14.67,64300,14.46
2014-11-25,14.53,14.69,14.53,14.61,79100,14.40
2014-11-24,14.64,14.67,14.56,14.56,85000,14.35
2014-11-21,14.70,14.74,14.67,14.69,55200,14.48
2014-11-20,14.72,14.79,14.69,14.70,72600,14.49
2014-11-19,14.77,14.79,14.71,14.71,47700,14.50
2014-11-18,14.72,14.78,14.72,14.77,26400,14.56
2014-11-17,14.76,14.79,14.71,14.71,25100,14.50
2014-11-14,14.84,14.88,14.74,14.74,78300,14.53
2014-11-13,14.97,14.97,14.81,14.87,54600,14.66
2014-11-12,15.02,15.04,14.95,14.97,46200,14.76
2014-11-11,15.03,15.09,15.00,15.09,53900,14.81
2014-11-10,15.01,15.03,14.98,15.01,46000,14.73
2014-11-07,14.97,15.03,14.97,15.02,85700,14.74
2014-11-06,14.97,15.00,14.93,14.98,38000,14.70
2014-11-05,14.90,14.95,14.87,14.93,35300,14.65
2014-11-04,14.87,14.92,14.87,14.90,57900,14.62
2014-11-03,14.89,14.90,14.84,14.89,49900,14.61
2014-10-31,14.90,14.90,14.77,14.88,60000,14.60
2014-10-30,14.87,14.90,14.83,14.89,30500,14.61
2014-10-29,14.79,14.87,14.78,14.86,27300,14.58
2014-10-28,14.73,14.79,14.71,14.79,41800,14.51
2014-10-27,14.76,14.79,14.70,14.70,57000,14.42
2014-10-24,14.90,14.90,14.77,14.77,41700,14.49
2014-10-23,14.89,14.90,14.85,14.88,41700,14.60
2014-10-22,14.83,14.90,14.78,14.90,62800,14.62
2014-10-21,14.74,14.82,14.66,14.82,75300,14.54
2014-10-20,14.75,14.75,14.71,14.73,26200,14.45
2014-10-17,14.73,14.77,14.68,14.71,42800,14.43
2014-10-16,14.74,14.74,14.65,14.71,47700,14.43
2014-10-15,14.61,14.76,14.61,14.73,67600,14.45
2014-10-14,14.63,14.65,14.62,14.65,45800,14.37
2014-10-13,14.55,14.63,14.55,14.59,41200,14.32
2014-10-10,14.72,14.74,14.55,14.55,66400,14.28
2014-10-09,14.83,14.85,14.75,14.78,69200,14.43
2014-10-08,14.74,14.84,14.73,14.83,92500,14.48
2014-10-07,14.70,14.74,14.69,14.70,57300,14.35
2014-10-06,14.62,14.68,14.62,14.68,49200,14.33
2014-10-03,14.65,14.65,14.57,14.58,35700,14.24
2014-10-02,14.61,14.61,14.58,14.60,39500,14.26
2014-10-01,14.56,14.62,14.55,14.60,49300,14.26
2014-09-30,14.48,14.51,14.47,14.50,32300,14.16
2014-09-29,14.48,14.50,14.48,14.48,38800,14.14
2014-09-26,14.50,14.53,14.48,14.48,44400,14.14
2014-09-25,14.53,14.54,14.48,14.49,46200,14.15
2014-09-24,14.58,14.58,14.48,14.48,62500,14.14
2014-09-23,14.60,14.60,14.51,14.58,42100,14.24
2014-09-22,14.51,14.59,14.49,14.59,103900,14.25
2014-09-19,14.46,14.52,14.44,14.52,57100,14.18
2014-09-18,14.46,14.49,14.46,14.48,20100,14.14
2014-09-17,14.41,14.50,14.41,14.46,36100,14.12
2014-09-16,14.47,14.47,14.42,14.42,43200,14.08
2014-09-15,14.54,14.54,14.45,14.46,37800,14.12
2014-09-12,14.58,14.60,14.47,14.51,58500,14.17
2014-09-11,14.59,14.61,14.56,14.61,28400,14.27
2014-09-10,14.61,14.67,14.58,14.67,43400,14.25
2014-09-09,14.56,14.65,14.56,14.61,49700,14.20
2014-09-08,14.65,14.66,14.59,14.59,41200,14.18
2014-09-05,14.70,14.72,14.59,14.64,50800,14.22
2014-09-04,14.65,14.70,14.65,14.70,27100,14.28
2014-09-03,14.66,14.69,14.65,14.69,25500,14.27
2014-09-02,14.67,14.67,14.63,14.64,35400,14.22
2014-08-29,14.69,14.70,14.63,14.68,45200,14.26
2014-08-28,14.68,14.68,14.63,14.68,34000,14.26
2014-08-27,14.64,14.69,14.62,14.64,27900,14.22
2014-08-26,14.64,14.66,14.60,14.62,44900,14.20
2014-08-25,14.61,14.67,14.60,14.64,49600,14.22
2014-08-22,14.64,14.65,14.57,14.62,32200,14.20
2014-08-21,14.60,14.68,14.59,14.59,46900,14.18
2014-08-20,14.63,14.65,14.55,14.64,40900,14.22
2014-08-19,14.53,14.60,14.53,14.60,26500,14.19
2014-08-18,14.57,14.59,14.53,14.53,68100,14.12
2014-08-15,14.57,14.61,14.53,14.57,57700,14.16
2014-08-14,14.54,14.58,14.53,14.57,32800,14.16
2014-08-13,14.61,14.61,14.53,14.53,19400,14.12
2014-08-12,14.63,14.68,14.60,14.64,65500,14.15
2014-08-11,14.65,14.65,14.59,14.59,19500,14.11
2014-08-08,14.56,14.64,14.56,14.62,33200,14.13
2014-08-07,14.46,14.57,14.44,14.57,42900,14.09
2014-08-06,14.43,14.46,14.43,14.46,44900,13.98
2014-08-05,14.38,14.47,14.37,14.41,65600,13.93
2014-08-04,14.49,14.49,14.37,14.39,52400,13.91
2014-08-01,14.42,14.53,14.37,14.49,65300,14.01
2014-07-31,14.39,14.45,14.34,14.41,57900,13.93
2014-07-30,14.55,14.55,14.42,14.42,54800,13.94
2014-07-29,14.54,14.57,14.50,14.55,27700,14.07
2014-07-28,14.57,14.57,14.51,14.52,34200,14.04
2014-07-25,14.53,14.57,14.53,14.56,39000,14.08
2014-07-24,14.61,14.61,14.49,14.50,46700,14.02
2014-07-23,14.64,14.64,14.57,14.60,81600,14.12
2014-07-22,14.51,14.62,14.46,14.62,126000,14.13
2014-07-21,14.44,14.52,14.44,14.52,52800,14.04
2014-07-18,14.43,14.47,14.42,14.43,46700,13.95
2014-07-17,14.41,14.44,14.40,14.43,51800,13.95
2014-07-16,14.40,14.47,14.39,14.40,107800,13.92
2014-07-15,14.48,14.51,14.40,14.41,108800,13.93
2014-07-14,14.58,14.58,14.45,14.45,78500,13.97
2014-07-11,14.60,14.61,14.52,14.54,63100,14.06
2014-07-10,14.62,14.63,14.58,14.63,61800,14.08
2014-07-09,14.68,14.68,14.55,14.59,60300,14.04
2014-07-08,14.70,14.72,14.63,14.66,52600,14.10
2014-07-07,14.64,14.68,14.60,14.66,102100,14.10
2014-07-03,14.67,14.67,14.60,14.64,94400,14.08
2014-07-02,14.83,14.83,14.66,14.73,83800,14.17
2014-07-01,14.86,14.89,14.80,14.84,43900,14.28
2014-06-30,14.79,14.85,14.79,14.83,38400,14.27
2014-06-27,14.73,14.83,14.73,14.83,36600,14.27
2014-06-26,14.77,14.78,14.71,14.76,43400,14.20
2014-06-25,14.75,14.78,14.70,14.77,73200,14.21
2014-06-24,14.83,14.84,14.71,14.74,70600,14.18
2014-06-23,14.75,14.79,14.70,14.78,78000,14.22
2014-06-20,14.63,14.71,14.58,14.71,57400,14.15
2014-06-19,14.70,14.72,14.62,14.66,74400,14.10
2014-06-18,14.67,14.68,14.61,14.67,80700,14.11
2014-06-17,14.71,14.78,14.60,14.61,120600,14.06
2014-06-16,14.90,14.90,14.71,14.76,91100,14.20
2014-06-13,14.95,14.96,14.83,14.89,67000,14.33
2014-06-12,14.96,15.05,14.96,14.98,61400,14.41
2014-06-11,14.94,15.08,14.92,15.08,96500,14.43
2014-06-10,14.91,14.95,14.88,14.95,70900,14.31
2014-06-09,14.87,14.95,14.87,14.90,62500,14.26
2014-06-06,14.90,14.95,14.88,14.91,46300,14.27
2014-06-05,14.83,14.93,14.83,14.93,60900,14.29
2014-06-04,14.88,14.92,14.84,14.87,85200,14.23
2014-06-03,14.97,15.00,14.90,14.90,55500,14.26
