Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,80.25,82.89,79.83,82.22,3111900,82.22
2015-02-12,85.63,87.00,80.00,80.44,5789500,80.44
2015-02-11,90.87,91.52,90.53,91.48,1008800,91.14
2015-02-10,90.60,91.42,90.28,91.34,962400,91.00
2015-02-09,90.50,91.24,90.23,90.31,523700,89.97
2015-02-06,91.43,91.88,90.55,90.67,796500,90.33
2015-02-05,90.18,91.52,89.46,91.47,999700,91.13
2015-02-04,90.42,91.00,89.06,89.71,1202500,89.38
2015-02-03,89.69,90.92,89.10,90.20,1334000,89.86
2015-02-02,89.80,90.74,88.94,90.60,616700,90.26
2015-01-30,90.93,91.57,89.44,89.53,862500,89.20
2015-01-29,91.37,91.51,90.03,91.50,428100,91.16
2015-01-28,92.70,92.89,90.70,90.84,434400,90.50
2015-01-27,92.07,92.52,91.02,91.94,480700,91.60
2015-01-26,92.08,92.74,91.84,92.31,602100,91.97
2015-01-23,92.13,92.75,91.78,91.90,437900,91.56
2015-01-22,91.76,92.46,91.03,92.04,705800,91.70
2015-01-21,90.37,91.70,90.13,91.61,775700,91.27
2015-01-20,91.93,92.42,90.38,90.81,877700,90.47
2015-01-16,90.30,92.00,90.29,91.96,638500,91.62
2015-01-15,90.02,90.99,89.66,90.56,823000,90.22
2015-01-14,88.97,89.85,88.34,89.83,613800,89.50
2015-01-13,89.52,90.95,88.96,89.88,735000,89.55
2015-01-12,89.14,89.38,87.79,88.84,870900,88.51
2015-01-09,90.76,90.85,89.40,89.46,529600,89.13
2015-01-08,89.67,90.63,88.41,90.56,1229500,90.22
2015-01-07,88.86,89.20,88.11,88.93,751900,88.60
2015-01-06,89.61,89.77,87.65,88.47,1861200,88.14
2015-01-05,90.97,91.19,88.94,89.31,1114900,88.98
2015-01-02,90.88,91.47,90.35,91.16,493900,90.82
2014-12-31,92.03,92.17,90.84,90.91,402800,90.57
2014-12-30,92.50,92.86,92.03,92.10,325100,91.76
2014-12-29,92.43,92.95,91.95,92.64,424800,92.30
2014-12-26,92.49,92.87,92.14,92.50,259300,92.16
2014-12-24,92.36,92.74,92.03,92.03,219000,91.69
2014-12-23,92.78,92.78,91.63,92.36,993900,92.02
2014-12-22,90.73,92.37,90.42,92.14,948600,91.80
2014-12-19,91.65,92.22,90.39,90.39,1842500,90.05
2014-12-18,91.36,91.99,91.02,91.73,627800,91.39
2014-12-17,88.90,90.64,88.86,90.40,697200,90.06
2014-12-16,89.68,90.93,88.78,88.86,831100,88.53
