Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,26.52,26.77,26.30,26.72,126900,26.72
2015-02-12,26.13,26.63,25.97,26.60,125600,26.60
2015-02-11,25.64,26.10,25.49,25.94,128300,25.94
2015-02-10,25.86,25.88,25.31,25.72,77500,25.72
2015-02-09,26.20,26.25,25.93,25.93,65300,25.74
2015-02-06,25.93,26.32,25.93,26.23,67200,26.04
2015-02-05,25.61,25.91,25.60,25.85,104500,25.66
2015-02-04,25.70,25.93,25.49,25.57,60500,25.38
2015-02-03,25.48,26.08,25.48,25.77,89000,25.58
2015-02-02,25.02,25.47,24.95,25.45,80600,25.26
2015-01-30,25.23,25.49,24.86,24.90,268800,24.72
2015-01-29,25.08,25.57,24.94,25.49,195800,25.30
2015-01-28,25.13,25.28,24.58,25.01,151000,24.83
2015-01-27,24.59,24.99,24.29,24.89,119700,24.71
2015-01-26,24.96,25.25,24.51,25.08,44900,24.90
2015-01-23,25.33,25.33,24.81,25.02,61700,24.84
2015-01-22,24.43,25.33,24.29,25.31,70100,25.12
2015-01-21,24.48,24.68,24.27,24.32,75800,24.14
2015-01-20,24.92,25.14,24.50,24.61,63900,24.43
2015-01-16,24.41,24.96,24.41,24.83,140100,24.65
2015-01-15,24.71,24.71,24.30,24.55,85500,24.37
2015-01-14,24.90,24.98,24.50,24.68,61900,24.50
2015-01-13,25.30,25.60,24.76,25.11,96200,24.93
2015-01-12,25.22,25.30,24.94,25.10,70000,24.92
2015-01-09,25.86,25.86,25.20,25.22,73500,25.04
2015-01-08,25.53,25.90,25.49,25.89,92400,25.70
2015-01-07,25.41,25.54,25.13,25.45,130800,25.26
2015-01-06,25.79,25.93,25.23,25.32,108400,25.13
2015-01-05,26.11,26.11,25.65,25.80,93700,25.61
2015-01-02,26.71,26.71,25.94,26.21,68100,26.02
2014-12-31,26.61,26.79,26.57,26.66,101600,26.46
2014-12-30,26.62,26.84,26.58,26.61,53200,26.42
2014-12-29,26.55,26.91,26.55,26.75,104100,26.55
2014-12-26,26.43,26.51,26.35,26.49,126700,26.30
2014-12-24,26.35,26.45,26.10,26.32,67000,26.13
2014-12-23,26.37,26.48,26.12,26.35,69000,26.16
2014-12-22,26.17,26.21,25.99,26.18,57800,25.99
2014-12-19,26.42,26.42,25.98,26.06,251500,25.87
2014-12-18,26.37,26.37,26.06,26.20,101800,26.01
2014-12-17,25.64,26.34,25.61,26.15,140300,25.96
2014-12-16,25.25,25.98,25.10,25.61,138600,25.42
2014-12-15,25.50,25.75,25.15,25.36,65100,25.17
2014-12-12,25.45,25.70,25.36,25.42,96700,25.23
2014-12-11,25.77,26.15,25.52,25.73,121600,25.54
2014-12-10,26.00,26.15,25.56,25.62,154700,25.43
2014-12-09,25.45,26.17,25.28,26.15,204500,25.96
2014-12-08,25.63,25.99,25.41,25.64,124600,25.45
2014-12-05,25.62,26.00,25.62,25.76,121300,25.57
2014-12-04,25.57,25.66,25.36,25.65,91800,25.46
2014-12-03,25.63,25.89,25.38,25.62,82900,25.43
2014-12-02,25.11,25.59,25.02,25.55,117300,25.36
2014-12-01,25.30,25.32,24.88,25.01,83700,24.83
2014-11-28,25.79,25.90,25.38,25.38,80000,25.19
2014-11-26,25.91,25.91,25.63,25.69,58500,25.50
2014-11-25,25.85,25.95,25.74,25.85,49900,25.66
2014-11-24,25.45,25.86,25.35,25.85,208500,25.66
2014-11-21,25.88,25.88,25.31,25.34,145700,25.15
2014-11-20,25.26,25.74,25.18,25.58,139900,25.39
2014-11-19,25.60,25.84,25.34,25.42,182500,25.23
2014-11-18,25.87,25.88,25.60,25.81,123200,25.62
2014-11-17,25.75,25.80,25.43,25.67,213400,25.48
2014-11-14,25.68,25.74,25.36,25.43,60000,25.24
2014-11-13,25.77,25.82,25.59,25.60,93100,25.41
2014-11-12,25.73,25.88,25.38,25.82,138100,25.63
2014-11-11,25.45,25.51,25.10,25.38,104000,25.19
2014-11-10,25.54,25.55,25.20,25.41,107900,25.22
2014-11-07,25.32,25.66,25.20,25.66,85400,25.29
2014-11-06,25.37,25.56,25.18,25.37,94000,25.01
2014-11-05,25.26,25.33,24.96,25.29,172600,24.93
2014-11-04,25.60,25.60,24.61,25.03,509800,24.67
2014-11-03,25.88,25.98,25.58,25.73,110800,25.36
2014-10-31,25.50,25.80,25.29,25.78,163100,25.41
2014-10-30,24.88,25.40,24.75,25.35,100600,24.99
2014-10-29,25.00,25.13,24.68,24.89,192700,24.53
2014-10-28,24.11,25.07,24.11,25.00,122400,24.64
2014-10-27,23.73,23.89,23.57,23.85,40900,23.51
2014-10-24,23.87,23.96,23.69,23.84,37100,23.50
2014-10-23,23.80,24.06,23.70,23.79,68100,23.45
2014-10-22,23.80,23.99,23.57,23.68,53500,23.34
2014-10-21,23.48,23.81,23.31,23.74,46900,23.40
2014-10-20,23.33,23.58,23.22,23.42,63300,23.09
2014-10-17,23.92,23.92,23.36,23.42,66500,23.09
2014-10-16,23.02,23.80,23.02,23.71,105600,23.37
2014-10-15,23.18,23.41,22.84,23.26,88800,22.93
2014-10-14,23.41,23.71,23.26,23.49,174900,23.15
2014-10-13,23.09,23.56,23.04,23.18,133400,22.85
2014-10-10,22.92,23.47,22.92,22.99,102300,22.66
2014-10-09,23.45,23.48,23.04,23.06,45900,22.73
2014-10-08,23.14,23.78,23.14,23.57,125300,23.23
2014-10-07,23.21,23.40,23.11,23.23,73500,22.90
2014-10-06,23.45,23.56,23.23,23.36,39700,23.03
2014-10-03,23.81,23.81,23.43,23.43,81600,23.10
2014-10-02,23.36,23.72,23.36,23.56,119900,23.22
2014-10-01,23.39,23.54,23.22,23.42,116800,23.09
2014-09-30,23.62,23.76,23.49,23.49,91800,23.15
2014-09-29,23.57,23.85,23.48,23.66,63700,23.32
2014-09-26,23.72,23.90,23.65,23.83,48200,23.49
2014-09-25,24.13,24.19,23.69,23.74,114900,23.40
2014-09-24,24.05,24.18,23.91,24.14,76200,23.80
2014-09-23,24.20,24.40,24.00,24.02,223100,23.68
2014-09-22,24.32,24.49,24.24,24.32,80600,23.97
2014-09-19,24.99,25.11,24.50,24.55,117000,24.20
2014-09-18,24.77,25.09,24.77,24.95,246700,24.59
2014-09-17,24.71,24.95,24.64,24.75,92100,24.40
2014-09-16,24.42,24.84,24.42,24.72,258100,24.37
2014-09-15,24.67,24.79,24.41,24.50,52300,24.15
2014-09-12,24.63,24.67,24.25,24.61,65300,24.26
2014-09-11,24.34,24.70,24.34,24.62,89700,24.27
2014-09-10,24.21,24.53,24.20,24.50,48200,24.15
2014-09-09,24.63,24.80,24.18,24.24,58000,23.89
2014-09-08,24.80,24.80,24.41,24.64,53100,24.29
2014-09-05,24.60,24.74,24.46,24.68,62300,24.33
2014-09-04,24.90,24.99,24.67,24.68,48800,24.33
2014-09-03,24.99,25.00,24.67,24.85,181500,24.49
2014-09-02,24.70,25.00,24.58,24.95,118500,24.59
2014-08-29,24.44,24.68,24.13,24.63,74700,24.28
2014-08-28,24.60,24.78,24.42,24.46,70400,24.11
2014-08-27,24.87,24.87,24.68,24.77,82800,24.42
2014-08-26,24.49,24.92,24.44,24.87,86900,24.51
2014-08-25,24.54,24.66,24.27,24.46,54900,24.11
2014-08-22,24.76,24.82,24.47,24.51,73200,24.16
2014-08-21,24.06,24.90,23.82,24.80,135800,24.45
2014-08-20,24.15,24.17,23.89,24.04,82600,23.70
2014-08-19,24.40,24.51,24.26,24.29,51800,23.94
2014-08-18,24.32,24.43,24.16,24.38,117000,24.03
2014-08-15,24.61,24.61,23.79,24.03,88100,23.69
2014-08-14,24.33,24.48,24.08,24.39,60700,24.04
2014-08-13,24.34,24.60,24.19,24.38,217400,24.03
2014-08-12,24.46,24.58,24.27,24.36,48800,24.01
2014-08-11,24.32,24.64,24.12,24.61,77900,24.26
2014-08-08,24.14,24.31,24.10,24.24,49600,23.89
2014-08-07,24.23,24.34,23.86,24.11,59100,23.77
2014-08-06,23.79,24.26,23.79,24.24,66300,23.89
2014-08-05,23.78,24.15,23.72,24.01,70100,23.67
2014-08-04,24.11,24.19,23.66,23.97,97400,23.45
2014-08-01,24.20,24.29,23.76,23.91,71000,23.39
2014-07-31,24.19,24.59,24.04,24.17,220000,23.65
2014-07-30,24.01,24.50,24.01,24.47,158500,23.94
2014-07-29,23.82,24.19,23.72,23.90,169800,23.38
2014-07-28,23.69,23.86,23.41,23.72,94200,23.21
2014-07-25,23.53,23.95,23.53,23.67,70100,23.16
2014-07-24,22.75,23.80,22.75,23.67,152700,23.16
2014-07-23,22.50,22.77,22.37,22.60,49800,22.11
2014-07-22,22.57,22.62,22.40,22.49,46500,22.00
2014-07-21,22.60,22.79,22.41,22.49,55700,22.00
2014-07-18,22.62,22.92,22.60,22.73,166600,22.24
2014-07-17,22.85,22.98,22.55,22.67,71200,22.18
2014-07-16,23.14,23.15,22.89,22.99,142300,22.49
2014-07-15,23.25,23.34,23.05,23.10,42300,22.60
2014-07-14,23.36,23.39,23.15,23.24,35700,22.74
2014-07-11,23.26,23.41,23.11,23.16,64900,22.66
2014-07-10,22.99,23.61,22.99,23.39,114100,22.88
2014-07-09,23.48,23.63,23.26,23.31,72700,22.80
2014-07-08,23.63,23.69,23.30,23.37,105100,22.86
2014-07-07,23.77,23.78,23.53,23.62,98100,23.11
2014-07-03,23.63,23.83,23.48,23.78,28600,23.26
2014-07-02,23.63,23.66,23.43,23.50,102400,22.99
2014-07-01,23.36,23.99,23.33,23.63,90400,23.12
2014-06-30,22.83,23.26,22.44,23.22,115100,22.72
2014-06-27,22.45,22.99,22.45,22.90,129100,22.40
2014-06-26,22.50,22.64,22.30,22.62,28000,22.13
2014-06-25,22.49,22.65,22.29,22.55,128000,22.06
2014-06-24,22.71,22.98,22.54,22.59,98100,22.10
2014-06-23,22.89,22.95,22.73,22.80,40600,22.31
2014-06-20,22.92,22.92,22.67,22.87,126600,22.37
2014-06-19,23.26,23.26,22.75,22.84,57800,22.34
2014-06-18,22.99,23.22,22.85,23.18,61900,22.68
2014-06-17,22.68,23.08,22.67,23.03,81500,22.53
2014-06-16,22.67,22.77,22.48,22.65,57000,22.16
2014-06-13,22.80,23.02,22.69,22.74,78000,22.25
2014-06-12,22.73,22.93,22.54,22.73,48900,22.24
2014-06-11,22.97,22.97,22.75,22.82,34900,22.32
2014-06-10,23.35,23.42,23.09,23.10,65600,22.60
2014-06-09,23.27,23.59,23.12,23.44,62800,22.93
2014-06-06,23.07,23.47,23.07,23.33,82600,22.82
2014-06-05,22.57,23.07,22.44,23.00,96000,22.50
2014-06-04,22.45,22.65,22.41,22.46,55500,21.97
2014-06-03,22.43,22.69,22.30,22.55,68200,22.06
2014-06-02,22.60,22.60,22.25,22.47,86700,21.98
2014-05-30,22.65,22.88,22.51,22.60,111300,22.11
2014-05-29,22.72,22.80,22.56,22.62,38800,22.13
2014-05-28,23.02,23.02,22.58,22.60,52100,22.11
2014-05-27,22.84,23.23,22.67,23.07,37000,22.57
2014-05-23,22.50,22.76,22.41,22.67,52000,22.18
2014-05-22,22.33,22.69,22.33,22.55,33500,22.06
2014-05-21,22.51,22.85,22.40,22.51,86000,22.02
2014-05-20,22.64,22.64,22.25,22.39,108700,21.90
2014-05-19,22.25,22.67,22.25,22.60,42900,22.11
2014-05-16,22.36,22.36,22.06,22.32,62000,21.84
