Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,45.16,45.39,44.82,44.89,598800,44.89
2015-02-12,45.37,45.41,44.79,45.08,480400,45.08
2015-02-11,44.87,45.16,44.67,44.99,568600,44.99
2015-02-10,45.15,45.23,44.70,45.05,547000,45.05
2015-02-09,44.60,45.08,44.27,44.95,883000,44.95
2015-02-06,44.90,44.90,44.38,44.70,545100,44.70
2015-02-05,43.84,44.99,43.76,44.91,691800,44.91
2015-02-04,43.93,44.23,43.39,43.78,496500,43.78
2015-02-03,43.12,44.17,42.91,44.15,839200,44.15
2015-02-02,42.72,42.89,41.61,42.69,590300,42.69
2015-01-30,42.80,43.21,42.25,42.55,444300,42.55
2015-01-29,42.94,43.33,41.98,43.27,557300,43.27
2015-01-28,43.27,43.29,42.43,42.75,923900,42.75
2015-01-27,41.49,43.29,41.49,43.00,1220800,43.00
2015-01-26,41.28,41.99,41.19,41.90,610900,41.90
2015-01-23,42.34,42.56,41.43,41.52,616900,41.52
2015-01-22,41.87,42.44,41.34,42.31,557600,42.31
2015-01-21,40.52,41.70,40.50,41.47,704400,41.47
2015-01-20,40.60,41.00,40.12,40.75,790300,40.75
2015-01-16,40.01,40.76,39.70,40.53,904600,40.53
2015-01-15,41.51,41.68,39.98,40.00,943900,40.00
2015-01-14,41.57,41.75,40.78,41.30,476700,41.30
2015-01-13,42.31,42.95,41.58,42.05,629000,42.05
2015-01-12,42.55,42.77,42.01,42.15,483600,42.15
2015-01-09,42.98,42.98,42.06,42.55,364100,42.55
2015-01-08,42.70,43.06,42.41,42.87,295600,42.87
2015-01-07,42.23,42.37,41.65,42.34,440900,42.34
2015-01-06,42.37,42.79,41.29,42.00,830700,42.00
2015-01-05,42.32,42.42,41.79,42.10,939500,42.10
2015-01-02,43.58,43.69,42.27,42.77,402900,42.77
2014-12-31,43.61,43.79,43.01,43.18,500900,43.18
2014-12-30,43.49,43.66,43.12,43.57,375100,43.57
2014-12-29,43.35,44.01,43.24,43.71,351900,43.71
2014-12-26,43.50,43.69,43.23,43.33,242000,43.33
2014-12-24,43.33,43.41,42.99,43.31,184000,43.31
2014-12-23,42.87,43.37,42.56,43.30,587200,43.30
2014-12-22,42.55,42.67,42.09,42.62,507200,42.62
2014-12-19,42.45,42.85,41.90,42.42,1737900,42.42
2014-12-18,41.50,42.49,41.08,42.49,1098600,42.49
2014-12-17,39.27,40.98,39.17,40.91,1060000,40.91
2014-12-16,39.22,39.98,39.13,39.25,1199500,39.25
2014-12-15,39.24,39.52,38.69,39.40,885800,39.40
2014-12-12,38.34,39.21,38.34,38.82,861900,38.82
2014-12-11,38.35,39.09,38.11,38.76,1234500,38.76
2014-12-10,40.31,40.44,38.21,38.37,747500,38.37
2014-12-09,39.42,40.63,39.29,40.55,899700,40.55
2014-12-08,40.92,41.24,39.93,40.06,598100,40.06
