Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,17.67,17.75,17.62,17.66,148000,17.66
2015-02-12,17.49,17.71,17.48,17.67,193100,17.67
2015-02-11,17.47,17.52,17.38,17.41,139000,17.41
2015-02-10,17.54,17.58,17.46,17.54,102200,17.42
2015-02-09,17.47,17.61,17.46,17.54,109000,17.42
2015-02-06,17.51,17.57,17.42,17.42,147500,17.30
2015-02-05,17.57,17.57,17.52,17.54,62200,17.42
2015-02-04,17.63,17.65,17.50,17.54,394100,17.42
2015-02-03,17.48,17.67,17.45,17.66,138400,17.54
2015-02-02,17.36,17.49,17.27,17.45,194900,17.33
2015-01-30,17.25,17.42,17.21,17.31,106900,17.19
2015-01-29,17.34,17.37,17.20,17.29,51100,17.17
2015-01-28,17.32,17.39,17.28,17.33,121800,17.21
2015-01-27,17.20,17.37,17.19,17.26,152700,17.14
2015-01-26,17.42,17.42,17.25,17.27,133300,17.15
2015-01-23,17.34,17.41,17.32,17.37,136200,17.25
2015-01-22,17.29,17.42,17.24,17.30,193400,17.18
2015-01-21,17.23,17.31,17.12,17.27,125500,17.15
2015-01-20,17.20,17.28,17.15,17.19,160200,17.08
2015-01-16,17.04,17.19,17.04,17.19,92500,17.08
2015-01-15,17.07,17.09,16.96,17.04,79500,16.93
2015-01-14,16.99,17.09,16.95,17.00,89700,16.89
2015-01-13,16.99,17.19,16.99,17.05,160800,16.94
2015-01-12,16.97,16.98,16.82,16.96,265500,16.85
2015-01-09,16.98,17.03,16.83,16.90,207500,16.79
2015-01-08,16.87,17.02,16.87,16.88,216400,16.77
2015-01-07,16.82,16.91,16.78,16.84,174600,16.73
2015-01-06,16.78,17.00,16.68,16.68,186800,16.57
2015-01-05,16.79,16.82,16.66,16.73,185800,16.62
2015-01-02,16.79,16.94,16.78,16.82,184700,16.71
2014-12-31,16.75,16.94,16.70,16.77,330700,16.66
2014-12-30,16.98,17.02,16.70,16.75,265000,16.64
2014-12-29,17.13,17.22,16.81,16.93,191900,16.82
2014-12-26,17.25,17.33,17.12,17.33,151000,17.01
2014-12-24,17.01,17.29,17.01,17.28,108400,16.97
2014-12-23,17.00,17.14,16.95,17.04,287300,16.73
2014-12-22,17.01,17.31,16.94,16.99,220400,16.68
2014-12-19,16.95,17.08,16.93,17.00,186900,16.69
2014-12-18,16.95,17.16,16.86,16.86,215800,16.55
2014-12-17,16.58,17.23,16.58,16.95,204000,16.64
2014-12-16,16.70,16.83,16.56,16.60,320100,16.30
2014-12-15,16.89,17.00,16.67,16.67,183600,16.37
2014-12-12,17.04,17.06,16.82,16.91,136100,16.60
2014-12-11,17.05,17.13,16.99,17.03,316500,16.72
2014-12-10,17.07,17.16,16.96,17.00,113800,16.69
