Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,15.86,15.90,15.71,15.73,127700,15.73
2015-02-12,15.80,15.88,15.78,15.83,132900,15.83
2015-02-11,15.77,15.80,15.71,15.79,100800,15.79
2015-02-10,15.77,15.84,15.70,15.84,82200,15.74
2015-02-09,15.75,15.88,15.73,15.74,145400,15.64
2015-02-06,15.83,15.95,15.82,15.83,162800,15.73
2015-02-05,15.80,15.84,15.77,15.80,112400,15.70
2015-02-04,15.77,15.81,15.75,15.76,83300,15.66
2015-02-03,15.67,15.84,15.66,15.84,94100,15.74
2015-02-02,15.65,15.69,15.60,15.66,138000,15.56
2015-01-30,15.63,15.70,15.62,15.64,124000,15.54
2015-01-29,15.73,15.76,15.66,15.70,112800,15.60
2015-01-28,15.83,15.83,15.71,15.75,104800,15.65
2015-01-27,15.80,15.82,15.70,15.82,104200,15.72
2015-01-26,15.78,15.86,15.78,15.85,101000,15.75
2015-01-23,15.85,15.85,15.76,15.77,131800,15.67
2015-01-22,15.78,15.90,15.75,15.85,260200,15.75
2015-01-21,15.70,15.77,15.67,15.75,120500,15.65
2015-01-20,15.61,15.69,15.58,15.67,122900,15.57
2015-01-16,15.51,15.65,15.46,15.61,170800,15.51
2015-01-15,15.65,15.66,15.56,15.58,138300,15.48
2015-01-14,15.53,15.64,15.50,15.62,125800,15.52
2015-01-13,15.69,15.73,15.60,15.70,171000,15.60
2015-01-12,15.83,15.83,15.62,15.69,176100,15.59
2015-01-09,15.84,15.84,15.69,15.81,147700,15.71
2015-01-08,15.70,15.82,15.68,15.80,190800,15.70
2015-01-07,15.59,15.71,15.59,15.71,171500,15.61
2015-01-06,15.55,15.60,15.48,15.48,189900,15.38
2015-01-05,15.60,15.61,15.47,15.51,198600,15.41
2015-01-02,15.67,15.70,15.61,15.69,61100,15.59
2014-12-31,15.39,15.73,15.39,15.72,403900,15.62
2014-12-30,15.39,15.40,15.32,15.38,281100,15.28
2014-12-29,15.54,15.55,15.44,15.47,235500,15.37
2014-12-26,15.68,15.73,15.65,15.68,117700,15.39
2014-12-24,15.65,15.76,15.56,15.73,215900,15.43
2014-12-23,15.54,15.69,15.45,15.63,250900,15.34
2014-12-22,15.54,15.60,15.40,15.46,467400,15.17
2014-12-19,15.67,15.73,15.52,15.57,302300,15.28
2014-12-18,15.65,15.73,15.58,15.64,219900,15.35
2014-12-17,15.35,15.55,15.35,15.55,248100,15.26
2014-12-16,15.17,15.41,14.98,15.33,375100,15.04
2014-12-15,15.42,15.46,15.25,15.25,208400,14.96
2014-12-12,15.47,15.49,15.36,15.44,248500,15.15
2014-12-11,15.61,15.65,15.44,15.51,385000,15.22
2014-12-10,15.65,15.68,15.59,15.62,221900,15.33
2014-12-09,15.76,15.80,15.70,15.79,166200,15.40
2014-12-08,15.94,15.94,15.77,15.80,196800,15.40
2014-12-05,15.98,15.98,15.92,15.94,158300,15.54
2014-12-04,16.06,16.09,15.98,16.06,177900,15.66
2014-12-03,15.93,16.17,15.89,16.12,247700,15.72
2014-12-02,15.94,16.00,15.89,15.95,151500,15.55
2014-12-01,15.96,15.99,15.91,15.97,169200,15.57
2014-11-28,16.01,16.05,15.93,16.05,88000,15.65
2014-11-26,16.00,16.02,15.94,16.00,160400,15.60
2014-11-25,15.99,16.03,15.90,16.01,225300,15.61
2014-11-24,15.95,16.00,15.93,15.99,166800,15.59
2014-11-21,15.92,16.00,15.87,15.92,202200,15.52
2014-11-20,15.88,15.93,15.84,15.86,181100,15.46
2014-11-19,15.92,15.94,15.85,15.89,127700,15.49
2014-11-18,15.97,16.01,15.91,15.93,214600,15.53
