Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,40.49,40.64,40.03,40.20,15800,40.20
2015-02-12,40.70,40.93,40.30,40.47,14800,40.47
2015-02-11,40.29,40.97,40.04,40.68,19900,40.68
2015-02-10,40.40,40.99,40.00,40.26,13600,40.09
2015-02-09,40.26,41.11,40.22,40.51,12600,40.34
2015-02-06,41.29,41.45,40.37,40.37,12200,40.20
2015-02-05,40.62,41.80,40.62,41.28,10400,41.11
2015-02-04,40.97,41.36,40.52,40.52,17600,40.35
2015-02-03,41.16,41.78,40.78,41.02,18500,40.85
2015-02-02,41.60,41.67,41.05,41.05,16600,40.88
2015-01-30,41.33,41.79,40.89,41.62,9800,41.45
2015-01-29,40.90,41.55,40.51,41.48,22600,41.31
2015-01-28,40.89,41.06,40.75,40.91,14400,40.74
2015-01-27,40.69,41.05,40.60,40.99,29500,40.82
2015-01-26,40.79,40.96,40.55,40.88,22800,40.71
2015-01-23,40.28,40.79,40.08,40.65,19100,40.48
2015-01-22,40.69,40.69,39.16,40.39,40500,40.22
2015-01-21,40.35,40.67,40.13,40.32,31900,40.15
2015-01-20,40.59,40.79,40.32,40.40,30900,40.23
2015-01-16,40.85,41.00,40.32,40.50,28800,40.33
2015-01-15,40.59,40.99,40.41,40.50,14200,40.33
2015-01-14,40.46,41.79,40.46,40.51,26900,40.34
2015-01-13,40.51,41.77,40.51,40.54,31400,40.37
2015-01-12,42.25,42.25,40.25,40.40,27500,40.07
2015-01-09,42.00,42.34,41.51,42.21,9400,41.87
2015-01-08,42.00,42.00,41.09,41.81,14300,41.47
2015-01-07,41.03,41.94,40.81,41.45,20300,41.11
2015-01-06,40.92,42.39,40.52,40.79,18500,40.46
2015-01-05,42.10,42.10,40.50,40.87,29200,40.54
2015-01-02,43.22,43.39,41.84,42.23,21100,41.89
2014-12-31,43.76,44.26,42.70,42.70,45800,42.35
2014-12-30,42.27,42.97,41.75,42.97,17800,42.62
2014-12-29,42.23,42.29,41.76,42.06,28100,41.72
2014-12-26,41.84,42.49,41.84,42.48,28900,42.13
2014-12-24,40.20,41.47,40.20,41.32,9400,40.98
2014-12-23,40.89,40.89,40.09,40.34,17100,40.01
2014-12-22,41.56,41.56,40.35,40.80,34700,40.47
2014-12-19,42.04,42.07,41.21,41.27,18500,40.93
2014-12-18,39.66,42.83,38.81,42.04,46800,41.70
2014-12-17,41.39,41.99,41.02,41.27,24000,38.42
2014-12-16,41.75,42.00,41.00,41.27,25500,38.42
2014-12-15,43.08,43.76,41.51,41.95,28800,39.05
2014-12-12,43.38,43.99,42.90,43.08,11100,40.10
2014-12-11,42.74,44.44,42.51,43.86,24200,40.83
2014-12-10,42.00,42.93,41.89,42.45,15000,39.52
2014-12-09,42.35,42.93,41.83,41.84,26700,38.95
2014-12-08,42.94,42.94,42.28,42.88,26900,39.92
2014-12-05,43.53,44.40,42.58,42.95,21700,39.98
2014-12-04,44.35,44.35,43.22,43.46,37100,40.46
2014-12-03,43.80,44.82,43.73,44.12,34000,41.07
2014-12-02,44.80,45.25,43.83,43.89,22000,40.86
2014-12-01,46.40,46.40,44.44,44.85,24200,41.75
2014-11-28,44.73,46.96,44.73,46.41,15200,43.20
2014-11-26,44.33,44.98,43.72,44.97,11800,41.86
2014-11-25,44.12,44.48,43.66,44.23,15900,41.17
2014-11-24,43.13,44.35,43.13,43.85,25500,40.82
2014-11-21,42.65,43.17,42.33,43.10,28800,40.12
2014-11-20,42.51,43.69,42.07,42.07,22500,39.16
2014-11-19,43.90,43.90,42.36,42.53,36500,39.59
2014-11-18,41.93,44.53,41.81,43.67,38600,40.65
2014-11-17,42.25,42.25,41.65,41.75,16100,38.87
2014-11-14,42.48,43.49,42.04,42.04,17500,39.14
