Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,59.28,60.25,58.29,60.09,53600,60.09
2015-02-12,59.18,59.64,58.22,59.53,44700,59.53
2015-02-11,57.80,58.59,56.94,58.50,40700,58.50
2015-02-10,58.26,58.34,56.83,57.70,103000,57.70
2015-02-09,59.88,60.22,57.79,58.21,86900,58.21
2015-02-06,60.53,60.97,58.80,59.82,88900,59.82
2015-02-05,59.32,61.35,59.32,60.83,53300,60.83
2015-02-04,60.67,61.24,58.93,59.43,67200,59.43
2015-02-03,59.58,61.18,59.29,60.95,43900,60.95
2015-02-02,59.92,59.92,58.57,59.48,47200,59.48
2015-01-30,59.21,60.23,59.01,59.86,106000,59.86
2015-01-29,57.85,59.97,56.76,59.89,52800,59.89
2015-01-28,58.18,58.28,57.31,57.98,49500,57.98
2015-01-27,57.73,57.76,57.02,57.58,22300,57.58
2015-01-26,57.94,58.56,56.54,58.22,47700,58.22
2015-01-23,58.36,58.41,57.61,57.67,16800,57.67
2015-01-22,57.44,58.68,56.19,58.17,31700,58.17
2015-01-21,57.04,57.51,56.12,57.04,41600,57.04
2015-01-20,57.59,58.56,56.28,57.04,38700,57.04
2015-01-16,55.39,57.41,55.39,57.31,49800,57.31
2015-01-15,56.77,56.77,55.28,55.70,61900,55.70
2015-01-14,55.85,56.74,54.83,56.32,50700,56.32
2015-01-13,55.96,56.61,55.15,56.24,50000,56.24
2015-01-12,55.73,55.84,54.88,55.50,36700,55.50
2015-01-09,56.77,56.98,55.67,55.79,22900,55.79
2015-01-08,56.37,57.24,56.17,56.77,29400,56.77
2015-01-07,55.87,55.87,54.72,55.66,66600,55.66
2015-01-06,57.30,57.30,54.90,55.50,61300,55.50
2015-01-05,58.36,58.63,56.92,56.96,46300,56.96
2015-01-02,59.30,59.32,57.34,58.53,43600,58.53
2014-12-31,60.03,60.91,59.13,59.35,41600,59.35
2014-12-30,60.15,60.25,59.30,60.04,39200,60.04
2014-12-29,59.54,60.17,59.33,59.94,24600,59.94
2014-12-26,58.94,59.64,58.94,59.39,23800,59.39
2014-12-24,58.58,59.03,57.90,58.47,20400,58.47
2014-12-23,58.38,59.21,57.97,58.57,55200,58.57
2014-12-22,56.53,58.26,56.19,58.17,60400,58.17
2014-12-19,56.56,56.68,55.50,56.17,163000,56.17
2014-12-18,56.98,57.33,56.27,56.77,45200,56.77
2014-12-17,55.07,56.46,54.03,56.12,68200,56.12
2014-12-16,54.75,55.74,54.12,54.69,94500,54.69
2014-12-15,54.63,55.33,54.48,54.67,42500,54.67
2014-12-12,54.28,54.86,53.51,54.61,44300,54.61
2014-12-11,55.46,56.37,54.90,55.10,21100,55.10
2014-12-10,56.46,56.46,54.96,55.04,30500,55.04
2014-12-09,54.08,56.71,53.57,56.52,42000,56.52
