Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,29.81,30.06,29.75,29.89,26000,29.89
2015-02-12,29.92,30.08,29.75,29.90,61500,29.90
2015-02-11,30.17,30.17,29.68,29.81,27100,29.81
2015-02-10,30.32,30.59,30.00,30.17,24600,30.17
2015-02-09,30.30,30.76,30.12,30.25,19200,30.25
2015-02-06,30.51,30.98,30.30,30.62,75400,30.62
2015-02-05,30.30,30.66,30.15,30.61,30800,30.61
2015-02-04,29.78,30.30,29.78,30.04,21400,30.04
2015-02-03,29.85,30.04,29.85,30.00,85000,30.00
2015-02-02,29.39,30.05,29.19,29.95,30600,29.95
2015-01-30,29.40,29.99,28.82,29.15,46100,29.15
2015-01-29,29.45,30.20,29.45,29.70,49800,29.51
2015-01-28,29.75,30.10,29.40,29.45,39900,29.26
2015-01-27,29.60,29.99,29.31,29.53,61000,29.34
2015-01-26,29.76,29.97,29.60,29.80,44000,29.61
2015-01-23,30.15,30.24,29.84,29.96,22700,29.77
2015-01-22,29.17,30.52,28.50,30.31,72400,30.12
2015-01-21,28.93,29.21,28.51,28.76,24700,28.58
2015-01-20,29.66,29.66,28.94,29.10,22700,28.91
2015-01-16,28.69,29.95,28.69,29.64,47100,29.45
2015-01-15,29.45,29.45,28.71,28.77,17500,28.59
2015-01-14,29.49,29.50,29.01,29.44,18600,29.25
2015-01-13,29.79,30.59,29.26,29.89,12500,29.70
2015-01-12,29.92,29.97,29.46,29.50,20800,29.31
2015-01-09,30.13,30.25,29.81,29.86,20000,29.67
2015-01-08,30.20,30.61,30.14,30.24,28400,30.05
2015-01-07,30.07,30.17,29.80,30.11,25700,29.92
2015-01-06,29.64,30.07,29.64,29.92,32100,29.73
2015-01-05,30.43,30.68,30.09,30.14,14700,29.95
2015-01-02,31.42,31.42,30.37,30.73,34300,30.53
2014-12-31,31.45,31.60,31.23,31.30,27800,31.10
2014-12-30,31.35,31.40,31.12,31.33,11300,31.13
2014-12-29,31.40,31.76,31.16,31.37,12400,31.17
2014-12-26,30.99,31.73,30.98,31.41,11900,31.21
2014-12-24,30.86,30.99,30.61,30.97,6700,30.77
2014-12-23,30.73,30.96,30.71,30.83,28500,30.63
2014-12-22,30.06,30.89,30.06,30.84,22500,30.64
2014-12-19,30.50,30.75,30.11,30.18,80200,29.99
2014-12-18,30.72,30.72,30.26,30.58,22500,30.38
2014-12-17,29.20,30.59,29.20,30.46,86900,30.27
2014-12-16,28.86,29.75,28.86,29.40,36800,29.21
2014-12-15,29.57,29.57,28.97,28.98,19800,28.79
2014-12-12,29.16,29.66,29.05,29.21,39700,29.02
2014-12-11,29.70,30.13,29.55,29.56,18100,29.37
2014-12-10,30.71,30.90,29.61,29.69,20800,29.50
2014-12-09,29.63,30.90,29.51,30.88,19600,30.68
2014-12-08,29.89,30.73,29.89,29.89,26200,29.70
2014-12-05,29.34,29.98,29.34,29.96,50700,29.77
2014-12-04,29.43,29.68,29.06,29.38,33300,29.19
2014-12-03,29.18,29.77,29.18,29.54,16000,29.35
2014-12-02,29.02,29.30,28.82,29.16,21300,28.97
2014-12-01,29.54,29.54,28.81,28.81,36200,28.63
2014-11-28,29.88,29.98,29.42,29.43,22800,29.24
2014-11-26,29.79,29.94,29.51,29.88,31700,29.69
2014-11-25,29.71,29.92,29.62,29.74,26900,29.55
2014-11-24,29.16,29.85,29.16,29.80,12400,29.61
2014-11-21,29.80,30.04,29.16,29.21,29200,29.02
2014-11-20,29.23,29.48,28.97,29.46,36300,29.27
2014-11-19,29.73,29.84,29.26,29.39,27200,29.20
2014-11-18,30.00,30.10,29.72,29.90,27600,29.71
2014-11-17,30.55,30.90,29.85,29.91,42900,29.72
2014-11-14,30.54,30.91,30.48,30.60,25800,30.40
2014-11-13,30.99,30.99,30.65,30.67,14300,30.47
2014-11-12,30.55,31.00,30.54,30.99,17300,30.79
2014-11-11,30.76,30.95,30.71,30.74,26100,30.54
2014-11-10,30.52,30.96,30.49,30.93,19900,30.73
2014-11-07,30.71,30.95,30.61,30.64,44300,30.44
2014-11-06,30.75,30.95,30.66,30.80,28800,30.60
2014-11-05,30.99,31.00,30.83,30.85,29700,30.65
2014-11-04,30.91,31.05,30.81,30.90,19200,30.70
