Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,16.63,16.66,16.58,16.66,57500,16.53
2015-02-12,16.56,16.63,16.54,16.61,67200,16.48
2015-02-11,16.54,16.63,16.50,16.54,96800,16.41
2015-02-10,16.56,16.61,16.47,16.53,141900,16.40
2015-02-09,16.51,16.54,16.45,16.53,35900,16.40
2015-02-06,16.50,16.51,16.40,16.51,27400,16.38
2015-02-05,16.57,16.58,16.42,16.48,28700,16.35
2015-02-04,16.49,16.56,16.45,16.51,50500,16.38
2015-02-03,16.51,16.51,16.33,16.48,42000,16.35
2015-02-02,16.55,16.55,16.40,16.47,54300,16.34
2015-01-30,16.53,16.57,16.40,16.50,65200,16.37
2015-01-29,16.60,16.60,16.43,16.53,50700,16.40
2015-01-28,16.59,16.62,16.50,16.57,20200,16.44
2015-01-27,16.52,16.55,16.43,16.55,38200,16.42
2015-01-26,16.63,16.63,16.49,16.56,83800,16.43
2015-01-23,16.60,16.61,16.51,16.56,32600,16.43
2015-01-22,16.55,16.58,16.46,16.58,97900,16.45
2015-01-21,16.38,16.53,16.38,16.49,54400,16.36
2015-01-20,16.58,16.58,16.40,16.47,153800,16.34
2015-01-16,16.60,16.66,16.56,16.63,33300,16.38
2015-01-15,16.66,16.66,16.48,16.56,96800,16.31
2015-01-14,16.55,16.62,16.47,16.55,62600,16.30
2015-01-13,16.59,16.65,16.48,16.62,75400,16.37
2015-01-12,16.59,16.59,16.45,16.59,49400,16.34
2015-01-09,16.59,16.60,16.41,16.60,85300,16.35
2015-01-08,16.40,16.54,16.36,16.54,67300,16.29
2015-01-07,16.38,16.39,16.28,16.39,58000,16.14
2015-01-06,16.27,16.36,16.16,16.33,149400,16.08
2015-01-05,16.33,16.45,16.24,16.26,142200,16.01
2015-01-02,16.44,16.54,16.30,16.53,138600,16.28
2014-12-31,16.22,16.48,16.22,16.44,110200,16.19
2014-12-30,16.23,16.35,16.17,16.30,153900,16.05
2014-12-29,16.43,16.44,16.18,16.29,145700,16.04
2014-12-26,16.39,16.49,16.32,16.43,105300,16.18
2014-12-24,16.31,16.49,16.28,16.49,62400,16.24
2014-12-23,16.47,16.50,16.32,16.40,177000,16.15
2014-12-22,16.43,16.48,16.19,16.35,137700,16.10
2014-12-19,16.47,16.52,16.30,16.42,111600,16.17
2014-12-18,16.50,16.54,16.21,16.39,133900,16.14
2014-12-17,16.14,16.42,16.09,16.42,98400,16.17
2014-12-16,16.18,16.19,16.05,16.07,137600,15.83
2014-12-15,16.29,16.37,16.22,16.25,123100,15.88
2014-12-12,16.36,16.40,16.27,16.35,134400,15.98
2014-12-11,16.38,16.46,16.31,16.40,122400,16.02
2014-12-10,16.48,16.52,16.27,16.38,123400,16.00
2014-12-09,16.47,16.55,16.38,16.46,86100,16.08
2014-12-08,16.60,16.62,16.38,16.47,148200,16.09
2014-12-05,16.61,16.65,16.49,16.60,204200,16.22
2014-12-04,16.60,16.61,16.45,16.61,98800,16.23
2014-12-03,16.55,16.61,16.50,16.61,100600,16.23
