Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,59.25,59.64,58.71,59.26,158100,59.26
2015-02-12,58.39,59.31,58.10,59.07,187900,59.07
2015-02-11,58.46,58.46,57.59,58.03,171600,58.03
2015-02-10,59.28,59.28,58.27,59.05,266600,58.63
2015-02-09,59.27,59.33,58.66,58.97,256400,58.55
2015-02-06,58.79,59.49,58.52,59.27,291000,58.85
2015-02-05,56.65,58.38,56.65,58.33,288000,57.92
2015-02-04,57.50,57.56,56.45,56.59,173500,56.19
2015-02-03,56.15,58.30,55.72,57.80,420400,57.39
2015-02-02,54.38,55.73,54.07,55.72,234500,55.32
2015-01-30,53.52,54.64,53.52,54.11,259700,53.73
2015-01-29,54.71,55.04,53.37,54.19,312600,53.80
2015-01-28,55.15,56.52,53.53,54.76,740100,54.37
2015-01-27,56.00,56.28,55.56,55.83,274700,55.43
2015-01-26,56.02,56.77,55.24,56.66,240300,56.26
2015-01-23,56.86,57.21,55.97,56.02,215500,55.62
2015-01-22,56.08,57.21,55.43,57.05,310800,56.64
2015-01-21,54.68,55.91,54.33,55.57,427500,55.17
2015-01-20,55.09,55.35,54.32,54.56,299100,54.17
2015-01-16,53.77,55.05,53.61,55.00,395200,54.61
2015-01-15,54.23,54.29,53.33,53.75,259600,53.37
2015-01-14,53.84,54.25,53.01,54.21,601700,53.82
2015-01-13,55.55,56.42,54.36,54.50,310000,54.11
2015-01-12,55.38,55.38,54.59,55.21,247300,54.82
2015-01-09,57.12,57.12,55.41,55.53,340900,55.14
2015-01-08,57.39,57.74,56.50,57.16,206000,56.75
2015-01-07,56.27,57.20,55.81,56.72,551800,56.32
2015-01-06,57.61,57.61,55.90,55.92,663300,55.52
2015-01-05,59.48,59.48,57.37,57.43,322100,57.02
2015-01-02,60.45,60.45,58.79,60.01,208200,59.58
2014-12-31,60.72,60.79,60.03,60.04,148600,59.61
2014-12-30,60.65,60.91,60.17,60.73,70700,60.30
2014-12-29,60.54,61.33,60.50,60.67,175700,60.24
2014-12-26,61.15,61.18,60.72,60.78,76000,60.35
2014-12-24,61.38,61.38,60.48,60.91,107700,60.48
2014-12-23,61.11,61.48,60.97,61.04,228100,60.61
2014-12-22,60.39,61.05,60.05,60.72,263600,60.29
