Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,22.83,22.83,22.51,22.75,4600,22.75
2015-02-12,22.87,22.89,22.83,22.84,5300,22.84
2015-02-11,22.71,23.25,22.71,22.86,3500,22.86
2015-02-10,22.91,23.26,22.70,22.87,1800,22.87
2015-02-09,22.91,23.26,22.76,22.98,15800,22.98
2015-02-06,22.82,22.82,22.75,22.80,6400,22.80
2015-02-05,22.90,23.00,22.87,23.00,2700,23.00
2015-02-04,23.00,23.00,22.91,22.91,2300,22.91
2015-02-03,23.06,23.06,22.78,22.95,9600,22.95
2015-02-02,23.27,23.27,23.13,23.13,1600,23.13
2015-01-30,23.09,23.32,22.92,23.27,7400,23.27
2015-01-29,22.75,23.25,22.65,23.10,20800,23.10
2015-01-28,23.00,23.26,22.75,22.75,9200,22.75
2015-01-27,22.81,23.00,22.76,22.99,22200,22.99
2015-01-26,22.70,23.30,22.61,22.70,6000,22.70
2015-01-23,22.59,22.98,22.59,22.67,3200,22.67
2015-01-22,22.67,23.00,22.67,22.99,11000,22.99
2015-01-21,22.58,23.00,22.58,22.58,9400,22.58
2015-01-20,22.57,22.91,22.57,22.58,8500,22.58
2015-01-16,22.70,22.70,22.57,22.57,2500,22.57
2015-01-15,22.86,22.94,22.57,22.57,5500,22.57
2015-01-14,22.84,22.88,22.61,22.61,12100,22.61
2015-01-13,22.62,22.76,22.61,22.63,5000,22.63
2015-01-12,22.78,22.78,22.76,22.76,2900,22.62
2015-01-09,22.75,22.80,22.75,22.77,2200,22.63
2015-01-08,22.60,22.90,22.58,22.71,3600,22.57
2015-01-07,22.54,22.96,22.53,22.53,7300,22.39
2015-01-06,22.70,22.99,22.52,22.52,2500,22.38
2015-01-05,22.57,22.70,22.51,22.55,3100,22.41
2015-01-02,22.95,22.95,22.95,22.95,400,22.81
2014-12-31,22.70,22.70,22.65,22.70,1100,22.56
2014-12-30,22.60,22.60,22.60,22.60,400,22.46
2014-12-29,22.76,22.76,22.52,22.65,6800,22.51
2014-12-26,22.51,22.61,22.51,22.61,4100,22.47
2014-12-24,22.52,22.69,22.52,22.65,4600,22.51
2014-12-23,22.51,22.51,22.51,22.51,300,22.37
2014-12-22,22.50,22.69,22.32,22.69,11300,22.55
2014-12-19,22.00,22.54,22.00,22.40,2000,22.26
2014-12-18,22.66,22.66,21.08,21.99,19200,21.85
2014-12-17,22.70,22.70,22.69,22.70,1200,22.56
2014-12-16,22.62,22.78,22.61,22.78,1700,22.64
