Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,26.31,26.54,26.10,26.20,171000,26.20
2015-02-12,25.32,26.41,25.32,26.22,263400,26.22
2015-02-11,24.90,25.52,24.71,25.34,295000,25.34
2015-02-10,24.86,25.08,24.63,24.97,421200,24.97
2015-02-09,24.93,25.24,24.74,25.09,669300,25.09
2015-02-06,25.02,25.10,24.41,24.91,598200,24.91
2015-02-05,24.39,25.09,24.39,25.07,301000,25.07
2015-02-04,24.41,24.86,24.11,24.38,140700,24.38
2015-02-03,24.09,24.88,24.00,24.45,502800,24.45
2015-02-02,24.21,24.44,23.84,23.93,344500,23.93
2015-01-30,24.00,24.41,23.98,24.04,237300,24.04
2015-01-29,23.99,24.32,23.99,24.20,173800,24.20
2015-01-28,23.90,24.45,23.90,23.94,86300,23.94
2015-01-27,24.05,24.15,23.78,23.78,97700,23.78
2015-01-26,24.01,24.30,23.94,24.14,104900,24.14
2015-01-23,24.27,24.40,23.84,23.97,351500,23.97
2015-01-22,24.20,24.27,23.91,24.17,266700,24.17
2015-01-21,24.43,24.43,23.96,24.13,296400,24.13
2015-01-20,24.27,24.46,24.24,24.36,219700,24.36
2015-01-16,23.90,24.39,23.81,24.34,286200,24.34
2015-01-15,24.45,24.45,23.92,24.08,87400,24.08
2015-01-14,24.05,24.30,23.99,24.28,127400,24.28
2015-01-13,24.04,24.38,23.96,24.24,133900,24.24
2015-01-12,23.75,24.01,23.64,23.96,210800,23.96
2015-01-09,23.50,23.94,23.24,23.75,136400,23.75
2015-01-08,23.48,23.57,23.20,23.49,400400,23.49
2015-01-07,23.16,23.49,22.96,23.32,61400,23.32
2015-01-06,23.10,23.18,22.92,23.03,132300,23.03
2015-01-05,22.94,23.09,22.79,23.09,291400,23.09
2015-01-02,22.63,23.11,22.63,22.95,63000,22.95
2014-12-31,23.50,23.50,22.79,22.87,103300,22.87
2014-12-30,23.33,23.49,23.28,23.29,44300,23.29
2014-12-29,23.35,23.64,23.30,23.31,108900,23.31
2014-12-26,23.50,23.50,23.15,23.29,21500,23.29
2014-12-24,23.49,23.50,23.39,23.40,42600,23.40
2014-12-23,23.20,23.69,23.20,23.41,155700,23.41
2014-12-22,23.07,23.26,22.79,23.08,105600,23.08
2014-12-19,23.09,23.37,22.92,23.10,203400,23.10
2014-12-18,23.18,23.25,22.98,23.08,174100,23.08
