Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,26.43,26.43,26.03,26.27,499000,26.27
2015-02-12,26.20,26.38,26.00,26.34,799300,26.34
2015-02-11,26.39,26.46,25.98,26.15,1867200,26.15
2015-02-10,26.24,26.36,25.98,26.30,1853500,26.30
2015-02-09,26.35,26.51,26.18,26.30,958700,26.30
2015-02-06,27.20,27.20,26.26,26.39,1101000,26.39
2015-02-05,27.15,27.24,27.04,27.23,643200,27.23
2015-02-04,27.01,27.18,26.85,27.07,666800,27.07
2015-02-03,26.88,27.13,26.66,27.12,1157500,27.12
2015-02-02,27.11,27.11,26.37,26.90,839000,26.90
2015-01-30,27.37,27.43,27.09,27.10,2023100,27.10
2015-01-29,27.10,27.40,27.07,27.39,1860700,27.39
2015-01-28,27.11,27.39,27.00,27.20,2041100,27.20
2015-01-27,26.96,27.06,26.81,27.01,1142600,27.01
2015-01-26,26.58,26.97,26.39,26.97,2015800,26.97
2015-01-23,26.34,26.52,26.29,26.50,2085500,26.50
2015-01-22,26.16,26.34,26.10,26.28,3366600,26.28
2015-01-21,26.18,26.23,26.00,26.10,2079500,26.10
2015-01-20,26.45,26.66,26.17,26.24,3318700,26.24
2015-01-16,26.19,26.41,26.14,26.30,1997000,26.30
2015-01-15,26.41,26.49,26.25,26.33,2874200,26.33
2015-01-14,26.19,26.42,26.08,26.36,2533300,26.36
2015-01-13,25.50,26.25,25.45,26.25,10003000,26.25
2015-01-12,26.28,26.51,26.21,26.49,797600,26.49
2015-01-09,26.21,26.32,25.95,26.24,1180000,26.24
2015-01-08,26.36,26.48,26.12,26.20,1386700,26.20
2015-01-07,25.60,26.34,25.59,26.29,1812000,26.29
2015-01-06,25.23,25.65,25.17,25.63,2604900,25.63
2015-01-05,25.02,25.23,24.92,25.17,1848300,25.17
2015-01-02,24.62,25.10,24.22,25.10,686300,25.10
2014-12-31,25.33,25.47,24.74,24.84,1242000,24.61
2014-12-30,25.10,25.39,25.10,25.24,1656300,25.01
2014-12-29,25.07,25.20,24.91,25.17,1097400,24.94
2014-12-26,24.91,25.07,24.88,25.07,497300,24.84
2014-12-24,25.12,25.17,24.89,24.90,725600,24.67
2014-12-23,25.32,25.44,25.14,25.22,1604900,24.99
2014-12-22,24.95,25.25,24.83,25.22,1360800,24.99
2014-12-19,24.68,25.00,24.60,25.00,2484500,24.77
2014-12-18,24.42,24.69,24.22,24.65,1794100,24.43
2014-12-17,24.01,24.32,23.97,24.32,1309500,24.10
2014-12-16,23.89,24.20,23.71,23.94,1313000,23.72
2014-12-15,24.18,24.25,23.85,23.86,1688600,23.64
2014-12-12,24.38,24.43,24.09,24.15,1518200,23.93
2014-12-11,24.40,24.57,24.36,24.36,668800,24.14
2014-12-10,24.21,24.55,24.10,24.39,2205700,24.17
2014-12-09,24.11,24.37,24.11,24.34,723400,24.12
2014-12-08,24.07,24.32,24.07,24.15,1859900,23.93
2014-12-05,24.23,24.24,23.99,24.05,1840600,23.83
