Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,16.87,16.92,16.84,16.85,61200,16.85
2015-02-12,16.82,16.88,16.82,16.85,40800,16.85
2015-02-11,16.84,16.87,16.80,16.82,33800,16.82
2015-02-10,16.81,16.86,16.76,16.86,59000,16.86
2015-02-09,16.67,16.81,16.67,16.81,54400,16.81
2015-02-06,16.65,16.71,16.64,16.68,48900,16.68
2015-02-05,16.60,16.70,16.60,16.66,58600,16.66
2015-02-04,16.61,16.69,16.57,16.57,53800,16.57
2015-02-03,16.60,16.65,16.54,16.65,58600,16.65
2015-02-02,16.56,16.63,16.55,16.63,50300,16.63
2015-01-30,16.50,16.56,16.50,16.55,34500,16.55
2015-01-29,16.51,16.54,16.49,16.53,53000,16.53
2015-01-28,16.53,16.57,16.52,16.52,26800,16.52
2015-01-27,16.50,16.57,16.50,16.56,30700,16.56
2015-01-26,16.55,16.60,16.52,16.54,105400,16.54
2015-01-23,16.54,16.59,16.51,16.53,44000,16.53
2015-01-22,16.58,16.63,16.57,16.59,54800,16.59
2015-01-21,16.49,16.59,16.46,16.58,109100,16.58
2015-01-20,16.58,16.62,16.53,16.55,148900,16.46
2015-01-16,16.48,16.58,16.48,16.57,79200,16.48
2015-01-15,16.63,16.63,16.55,16.55,140600,16.46
2015-01-14,16.73,16.77,16.61,16.69,150700,16.60
2015-01-13,16.84,16.85,16.75,16.77,107700,16.68
2015-01-12,16.75,16.89,16.75,16.81,42700,16.72
2015-01-09,16.77,16.84,16.67,16.81,70100,16.72
2015-01-08,16.67,16.71,16.64,16.69,46000,16.60
2015-01-07,16.64,16.67,16.60,16.60,90300,16.51
2015-01-06,16.81,16.81,16.57,16.57,83300,16.48
2015-01-05,16.83,16.88,16.73,16.77,68200,16.68
2015-01-02,16.80,17.06,16.80,16.89,100900,16.80
2014-12-31,16.85,16.93,16.72,16.74,266900,16.65
2014-12-30,16.77,16.96,16.77,16.86,92000,16.77
2014-12-29,16.91,16.94,16.78,16.83,89200,16.74
2014-12-26,16.83,16.95,16.81,16.91,156800,16.82
2014-12-24,16.75,16.87,16.75,16.83,93600,16.74
2014-12-23,16.58,16.74,16.58,16.72,266500,16.63
2014-12-22,16.62,16.72,16.54,16.55,218100,16.46
2014-12-19,16.65,16.70,16.52,16.65,153100,16.56
2014-12-18,16.59,16.73,16.48,16.72,145100,16.54
2014-12-17,16.33,16.54,16.31,16.51,154300,16.33
2014-12-16,16.45,16.50,16.21,16.32,189500,16.14
2014-12-15,16.55,16.64,16.46,16.51,201800,16.33
2014-12-12,16.74,16.75,16.49,16.52,209600,16.34
2014-12-11,16.95,16.98,16.78,16.79,143400,16.61
2014-12-10,16.97,17.03,16.97,17.00,74700,16.82
2014-12-09,16.96,17.01,16.91,17.00,102700,16.82
2014-12-08,17.06,17.11,17.01,17.09,119600,16.91
2014-12-05,17.01,17.17,16.99,17.12,103800,16.94
2014-12-04,17.13,17.17,17.01,17.10,92900,16.92
2014-12-03,17.04,17.18,17.04,17.17,143700,16.98
2014-12-02,17.04,17.14,17.03,17.08,110700,16.90
2014-12-01,17.19,17.19,17.05,17.06,90400,16.88
2014-11-28,17.27,17.31,17.11,17.23,48300,17.04
