Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,20.29,20.38,20.13,20.18,64400,20.18
2015-02-12,20.42,20.72,20.26,20.26,78100,20.26
2015-02-11,20.54,20.65,20.28,20.47,61600,20.47
2015-02-10,20.63,20.73,20.48,20.55,42500,20.43
2015-02-09,20.67,21.00,20.60,20.61,58100,20.49
2015-02-06,20.80,20.80,20.62,20.65,37300,20.53
2015-02-05,20.78,20.80,20.69,20.74,36300,20.62
2015-02-04,20.72,20.80,20.70,20.72,25800,20.60
2015-02-03,20.73,20.77,20.63,20.67,37600,20.55
2015-02-02,20.71,20.71,20.55,20.61,35700,20.49
2015-01-30,20.80,20.84,20.55,20.58,39400,20.46
2015-01-29,20.34,20.87,20.31,20.86,73000,20.74
2015-01-28,20.75,20.79,20.54,20.54,42900,20.42
2015-01-27,20.50,20.69,20.46,20.66,31600,20.54
2015-01-26,20.58,20.70,20.56,20.56,53600,20.44
2015-01-23,20.65,20.74,20.62,20.63,51600,20.51
2015-01-22,20.70,20.76,20.65,20.76,43800,20.64
2015-01-21,20.65,20.71,20.56,20.71,37100,20.59
2015-01-20,20.45,20.64,20.38,20.62,58000,20.50
2015-01-16,20.20,20.66,20.19,20.35,88000,20.23
2015-01-15,20.08,20.14,19.86,20.10,36800,19.98
2015-01-14,19.99,20.16,19.92,19.97,36100,19.85
2015-01-13,20.41,20.44,20.01,20.09,31500,19.97
2015-01-12,20.43,20.51,20.17,20.35,80500,20.11
2015-01-09,20.35,20.48,20.20,20.30,40300,20.06
2015-01-08,20.37,20.51,20.28,20.40,71500,20.16
2015-01-07,20.27,20.44,20.07,20.19,144600,19.95
2015-01-06,20.33,20.33,20.07,20.12,36500,19.88
2015-01-05,20.43,20.53,20.07,20.20,26900,19.96
2015-01-02,20.45,20.64,20.45,20.59,43300,20.35
2014-12-31,20.63,20.77,20.54,20.74,70500,20.50
2014-12-30,20.62,20.63,20.36,20.60,48100,20.36
2014-12-29,20.51,20.71,20.44,20.66,44900,20.42
2014-12-26,20.77,20.87,20.40,20.58,36500,20.34
2014-12-24,20.60,20.80,20.53,20.80,17200,20.55
2014-12-23,20.70,20.84,20.55,20.74,42600,20.50
2014-12-22,20.67,20.67,20.31,20.62,35500,20.38
2014-12-19,20.30,20.61,20.30,20.60,26500,20.36
2014-12-18,20.45,20.49,20.28,20.38,26900,20.14
2014-12-17,20.00,20.25,19.89,20.25,41400,19.89
2014-12-16,19.85,19.99,19.75,19.96,28500,19.61
