Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,16.90,16.98,16.90,16.95,50900,16.95
2015-02-12,16.93,16.98,16.85,16.91,60900,16.91
2015-02-11,17.00,17.09,16.88,16.89,99900,16.89
2015-02-10,17.12,17.12,17.00,17.11,85300,17.11
2015-02-09,17.14,17.21,16.96,17.11,97300,17.11
2015-02-06,17.39,17.41,17.10,17.15,91100,17.15
2015-02-05,17.43,17.45,17.30,17.45,79600,17.45
2015-02-04,17.41,17.48,17.31,17.39,51600,17.39
2015-02-03,17.33,17.49,17.31,17.47,60800,17.47
2015-02-02,17.35,17.47,17.25,17.37,54000,17.37
2015-01-30,17.30,17.35,17.21,17.32,57900,17.32
2015-01-29,17.42,17.42,17.14,17.33,77400,17.33
2015-01-28,17.36,17.44,17.23,17.35,55200,17.35
2015-01-27,17.11,17.25,17.11,17.24,94600,17.24
2015-01-26,17.30,17.32,17.12,17.13,112800,17.13
2015-01-23,17.05,17.24,17.05,17.20,46300,17.20
2015-01-22,17.08,17.14,16.97,17.12,70800,17.12
2015-01-21,16.97,17.08,16.85,16.99,107600,16.99
2015-01-20,17.14,17.21,16.83,17.00,124500,16.87
2015-01-16,17.02,17.06,16.88,17.06,61700,16.93
2015-01-15,17.04,17.07,16.85,16.98,94300,16.85
2015-01-14,16.64,16.90,16.54,16.86,134300,16.73
2015-01-13,16.97,17.06,16.80,16.81,104900,16.68
2015-01-12,16.85,16.95,16.74,16.91,51200,16.78
2015-01-09,16.97,16.97,16.73,16.83,116400,16.70
2015-01-08,16.76,16.98,16.68,16.92,117700,16.79
2015-01-07,16.73,16.90,16.50,16.69,209800,16.56
2015-01-06,16.55,16.61,16.41,16.55,93400,16.42
2015-01-05,16.73,16.75,16.40,16.55,188400,16.42
2015-01-02,16.76,16.90,16.62,16.74,139800,16.61
2014-12-31,16.46,16.74,16.38,16.71,220400,16.58
2014-12-30,16.56,16.56,16.25,16.46,132500,16.33
2014-12-29,16.44,16.63,16.26,16.63,134700,16.50
2014-12-26,16.65,16.65,16.35,16.54,105700,16.41
2014-12-24,16.54,16.65,16.30,16.65,90800,16.52
2014-12-23,16.46,16.58,16.29,16.51,121500,16.38
2014-12-22,16.29,16.46,16.26,16.46,99400,16.33
2014-12-19,16.38,16.50,16.22,16.34,113600,16.22
2014-12-18,16.39,16.73,16.21,16.46,281200,16.33
2014-12-17,15.62,16.49,15.62,16.39,185500,16.26
2014-12-16,16.01,16.16,15.62,15.75,201000,15.50
2014-12-15,16.08,16.38,15.90,16.01,186400,15.76
2014-12-12,16.21,16.36,16.06,16.08,136600,15.83
2014-12-11,16.47,16.55,16.33,16.39,123800,16.13
2014-12-10,16.48,16.64,16.21,16.50,166400,16.24
2014-12-09,16.74,16.82,16.51,16.58,85800,16.32
2014-12-08,16.97,16.97,16.66,16.74,95600,16.47
2014-12-05,17.16,17.16,16.86,16.90,86300,16.63
2014-12-04,17.27,17.34,17.03,17.14,103400,16.87
2014-12-03,17.30,17.38,17.26,17.29,62300,17.02
2014-12-02,17.29,17.55,17.25,17.29,83400,17.02
2014-12-01,18.00,18.00,17.26,17.27,69900,17.00
2014-11-28,17.69,17.79,17.49,17.74,54800,17.46
2014-11-26,17.46,17.59,17.35,17.55,118600,17.27
2014-11-25,17.40,17.47,17.28,17.37,104800,17.09
2014-11-24,17.39,17.50,17.28,17.28,108900,17.01
2014-11-21,17.36,17.40,17.21,17.40,181900,17.12
2014-11-20,17.08,17.28,17.08,17.26,107000,16.99
2014-11-19,17.03,17.18,16.95,17.18,94200,16.91
2014-11-18,17.14,17.19,17.01,17.10,68300,16.70
2014-11-17,17.23,17.28,17.07,17.10,107000,16.70
2014-11-14,17.14,17.24,17.14,17.21,95100,16.81
2014-11-13,17.28,17.28,17.13,17.16,50500,16.76
2014-11-12,17.21,17.25,17.19,17.24,80900,16.84
2014-11-11,17.11,17.26,17.11,17.18,87300,16.78
2014-11-10,17.13,17.20,17.09,17.13,62500,16.73
2014-11-07,17.25,17.27,17.11,17.14,63700,16.74
2014-11-06,17.27,17.30,17.17,17.22,58300,16.82
2014-11-05,17.26,17.32,17.26,17.30,40400,16.90
2014-11-04,17.35,17.35,17.19,17.24,42700,16.84
2014-11-03,17.33,17.40,17.26,17.38,53400,16.97
2014-10-31,17.40,17.40,17.21,17.32,57200,16.92
2014-10-30,17.25,17.33,17.21,17.31,54000,16.91
2014-10-29,17.30,17.43,17.14,17.19,52800,16.79
2014-10-28,17.17,17.34,17.16,17.21,87100,16.81
2014-10-27,17.38,17.38,17.12,17.15,95200,16.75
2014-10-24,17.36,17.48,17.31,17.38,40200,16.97
2014-10-23,17.37,17.46,17.31,17.33,67400,16.93
2014-10-22,17.33,17.39,17.20,17.32,79500,16.92
2014-10-21,17.32,17.42,17.32,17.39,63900,16.86
2014-10-20,17.18,17.26,17.15,17.25,60700,16.72
2014-10-17,17.19,17.39,17.04,17.14,71500,16.62
2014-10-16,17.01,17.19,16.90,17.07,80400,16.55
2014-10-15,17.11,17.12,16.95,17.07,111500,16.55
2014-10-14,17.16,17.30,17.13,17.14,73900,16.62
2014-10-13,17.37,17.45,17.11,17.11,104500,16.59
2014-10-10,17.28,17.38,17.10,17.31,80400,16.78
2014-10-09,17.31,17.50,17.24,17.28,89300,16.75
2014-10-08,17.09,17.26,17.09,17.25,82700,16.72
2014-10-07,17.10,17.17,17.04,17.11,71800,16.59
2014-10-06,17.01,17.17,17.01,17.13,72200,16.61
2014-10-03,16.91,17.10,16.91,16.95,94600,16.43
2014-10-02,16.82,17.00,16.77,16.91,96100,16.39
2014-10-01,16.97,17.08,16.79,16.92,207700,16.40
2014-09-30,17.24,17.24,16.78,16.92,259600,16.40
2014-09-29,17.38,17.38,17.20,17.29,86500,16.76
2014-09-26,17.58,17.67,17.44,17.54,51100,17.00
2014-09-25,17.83,17.87,17.51,17.61,66700,17.07
2014-09-24,17.80,17.82,17.70,17.77,47300,17.23
2014-09-23,17.81,17.92,17.58,17.67,90800,17.13
2014-09-22,18.00,18.00,17.72,17.79,64800,17.25
2014-09-19,17.94,17.96,17.85,17.94,70200,17.39
2014-09-18,17.86,17.86,17.68,17.84,82200,17.29
2014-09-17,17.90,17.94,17.76,17.84,104300,17.29
2014-09-16,17.69,17.88,17.69,17.87,89000,17.20
2014-09-15,17.90,17.95,17.65,17.69,54700,17.02
2014-09-12,18.04,18.14,17.95,17.96,76400,17.28
2014-09-11,18.05,18.08,18.01,18.07,54100,17.39
2014-09-10,18.06,18.28,18.05,18.07,124300,17.39
2014-09-09,18.10,18.19,18.07,18.12,80000,17.44
2014-09-08,18.30,18.39,18.17,18.20,45900,17.51
2014-09-05,18.40,18.42,18.30,18.34,52800,17.65
2014-09-04,18.53,18.54,18.30,18.34,77900,17.65
2014-09-03,18.50,18.52,18.40,18.41,89600,17.72
2014-09-02,18.44,18.55,18.40,18.40,56300,17.71
2014-08-29,18.44,18.48,18.36,18.39,60300,17.70
2014-08-28,18.41,18.46,18.32,18.35,67800,17.66
2014-08-27,18.40,18.50,18.29,18.35,104000,17.66
2014-08-26,18.16,18.30,18.16,18.29,80100,17.60
2014-08-25,18.11,18.18,18.10,18.10,45200,17.42
2014-08-22,18.20,18.20,18.05,18.06,49300,17.38
2014-08-21,18.24,18.27,18.13,18.21,69000,17.52
2014-08-20,18.17,18.24,18.06,18.14,67900,17.46
2014-08-19,18.11,18.29,18.11,18.26,114400,17.45
2014-08-18,17.93,18.15,17.93,18.04,66300,17.24
2014-08-15,18.04,18.09,17.86,17.91,42200,17.12
2014-08-14,18.06,18.06,17.95,18.01,52500,17.21
2014-08-13,18.01,18.04,17.85,17.95,56000,17.16
2014-08-12,17.91,17.99,17.90,17.90,51800,17.11
2014-08-11,17.80,17.90,17.76,17.90,62600,17.11
2014-08-08,17.70,17.70,17.60,17.68,41600,16.90
2014-08-07,17.65,17.70,17.50,17.67,52400,16.89
2014-08-06,17.41,17.57,17.40,17.54,36000,16.76
2014-08-05,17.61,17.69,17.47,17.55,78600,16.77
2014-08-04,17.67,17.69,17.47,17.56,63300,16.78
2014-08-01,17.79,17.84,17.67,17.74,58100,16.95
2014-07-31,18.14,18.14,17.78,17.80,161000,17.01
2014-07-30,18.33,18.33,18.12,18.20,151300,17.39
2014-07-29,18.27,18.35,18.26,18.26,60800,17.45
2014-07-28,18.34,18.36,18.31,18.32,19400,17.51
2014-07-25,18.40,18.40,18.29,18.33,39500,17.52
2014-07-24,18.43,18.44,18.33,18.40,53300,17.59
2014-07-23,18.33,18.45,18.33,18.42,61400,17.60
2014-07-22,18.22,18.39,18.22,18.31,93600,17.50
2014-07-21,18.16,18.19,18.11,18.15,55700,17.35
2014-07-18,18.00,18.18,17.98,18.11,36100,17.31
2014-07-17,18.18,18.25,18.01,18.02,74900,17.22
2014-07-16,17.99,18.29,17.98,18.24,141900,17.43
2014-07-15,18.19,18.20,18.15,18.19,115400,17.27
