Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,32.37,32.49,32.24,32.37,213000,32.37
2015-02-12,32.25,32.29,32.06,32.29,217700,32.29
2015-02-11,31.88,32.32,31.83,32.28,943100,32.28
2015-02-10,31.79,32.06,31.70,32.04,290800,32.04
2015-02-09,31.50,31.52,31.33,31.33,226700,31.33
2015-02-06,31.50,31.68,31.50,31.59,258400,31.59
2015-02-05,31.44,31.62,31.39,31.57,286000,31.57
2015-02-04,31.52,31.68,31.41,31.48,311500,31.48
2015-02-03,31.43,31.62,31.37,31.62,444900,31.62
2015-02-02,31.62,31.84,31.47,31.80,250700,31.80
2015-01-30,31.62,31.79,31.44,31.51,343900,31.51
2015-01-29,31.78,31.85,31.52,31.80,486700,31.80
2015-01-28,32.96,32.96,31.74,31.78,590900,31.78
2015-01-27,33.25,33.25,32.96,33.00,305500,33.00
2015-01-26,33.05,33.27,32.94,33.27,357700,33.27
2015-01-23,32.99,33.13,32.99,33.05,183200,33.05
2015-01-22,33.05,33.21,32.90,33.15,290200,33.15
2015-01-21,33.04,33.32,32.99,33.28,1902300,33.28
2015-01-20,32.62,32.70,32.44,32.62,373800,32.62
2015-01-16,32.21,32.29,32.08,32.27,190300,32.27
2015-01-15,31.74,32.32,31.74,32.19,302700,32.19
2015-01-14,31.79,31.84,31.54,31.74,236700,31.74
2015-01-13,31.70,31.88,31.46,31.62,383600,31.62
2015-01-12,31.09,31.18,30.84,31.11,351800,31.11
2015-01-09,31.22,31.27,31.04,31.07,244600,31.07
2015-01-08,31.18,31.47,31.16,31.45,279900,31.45
2015-01-07,31.05,31.31,30.89,31.09,234800,31.09
2015-01-06,31.10,31.14,30.78,31.01,575600,31.01
2015-01-05,31.41,31.41,31.14,31.19,217400,31.19
2015-01-02,31.73,31.85,31.63,31.68,266200,31.68
2014-12-31,31.73,31.95,31.64,31.66,238600,31.66
2014-12-30,32.08,32.08,31.84,31.88,234900,31.88
2014-12-29,32.41,32.43,32.28,32.31,232400,32.31
2014-12-26,32.84,32.87,32.63,32.83,159500,32.83
2014-12-24,33.36,33.53,33.36,33.50,132700,32.79
2014-12-23,33.34,33.53,33.30,33.35,159900,32.64
2014-12-22,33.25,33.43,33.25,33.37,160700,32.66
2014-12-19,32.97,33.06,32.87,32.95,361100,32.25
2014-12-18,33.02,33.22,32.95,33.19,315100,32.48
2014-12-17,32.36,32.72,32.25,32.56,933200,31.87
2014-12-16,32.14,32.31,31.99,32.03,379900,31.35
2014-12-15,32.53,32.60,32.15,32.20,344200,31.52
2014-12-12,33.15,33.21,32.85,32.86,743400,32.16
2014-12-11,32.37,32.77,32.33,32.41,635700,31.72
2014-12-10,31.91,31.98,31.57,31.65,358300,30.98
2014-12-09,32.31,32.37,32.15,32.27,232000,31.58
2014-12-08,32.24,32.28,32.18,32.24,193500,31.55
2014-12-05,32.38,32.42,32.24,32.42,226900,31.73
2014-12-04,32.55,32.55,32.41,32.52,145800,31.83
2014-12-03,32.82,32.82,32.62,32.75,195200,32.05
2014-12-02,32.95,33.00,32.84,32.95,450600,32.25
2014-12-01,32.80,32.91,32.77,32.85,305100,32.15
2014-11-28,31.91,32.07,31.88,31.91,112800,31.23
2014-11-26,31.80,31.94,31.79,31.84,173000,31.16
2014-11-25,31.78,31.93,31.78,31.83,245100,31.15
2014-11-24,31.44,31.55,31.39,31.47,312000,30.80
2014-11-21,31.45,31.62,31.22,31.44,236600,30.77
2014-11-20,31.00,31.15,31.00,31.03,103200,30.37
2014-11-19,31.05,31.09,30.86,31.00,148700,30.34
2014-11-18,30.97,31.18,30.96,31.05,179300,30.39
2014-11-17,30.87,30.87,30.75,30.80,207700,30.15
2014-11-14,31.19,31.33,31.11,31.27,171800,30.61
2014-11-13,31.08,31.20,30.99,31.05,168600,30.39
2014-11-12,30.61,30.97,30.61,30.91,248400,30.25
2014-11-11,31.05,31.14,30.99,30.99,266000,30.33
2014-11-10,30.79,30.96,30.77,30.88,259200,30.22
2014-11-07,30.87,30.93,30.76,30.88,194100,30.22
2014-11-06,30.95,31.03,30.83,30.84,150000,30.18
2014-11-05,30.86,31.13,30.86,31.03,215300,30.37
2014-11-04,30.75,30.75,30.54,30.72,335000,30.07
2014-11-03,30.88,31.10,30.83,31.09,362200,30.43
2014-10-31,30.85,31.11,30.75,31.02,302500,30.36
2014-10-30,30.28,30.49,30.23,30.40,416800,29.75
2014-10-29,29.74,29.92,29.70,29.77,393200,29.14
2014-10-28,30.02,30.11,29.60,29.78,423200,29.15
2014-10-27,30.32,30.47,30.12,30.28,518000,29.64
2014-10-24,30.32,30.42,30.21,30.35,400000,29.70
2014-10-23,30.42,30.59,30.38,30.45,193900,29.80
2014-10-22,30.46,30.61,30.33,30.35,260200,29.70
2014-10-21,30.44,30.68,30.40,30.68,226400,30.03
2014-10-20,30.45,30.63,30.37,30.59,241900,29.94
2014-10-17,30.30,30.40,30.18,30.36,395600,29.71
2014-10-16,30.16,30.60,30.09,30.49,266800,29.84
2014-10-15,30.54,30.54,30.15,30.48,402900,29.83
2014-10-14,30.78,30.93,30.54,30.54,602000,29.89
2014-10-13,31.18,31.20,30.76,30.79,275300,30.14
2014-10-10,31.30,31.37,31.00,31.05,155000,30.39
2014-10-09,31.72,31.74,31.41,31.44,235600,30.77
2014-10-08,31.75,32.27,31.62,32.22,569900,31.54
2014-10-07,32.10,32.20,31.90,31.92,261600,31.24
2014-10-06,32.23,32.28,32.09,32.17,164800,31.49
2014-10-03,32.14,32.24,32.03,32.07,195100,31.39
2014-10-02,32.14,32.22,31.91,32.19,343400,31.51
2014-10-01,32.50,32.56,32.26,32.33,193300,31.64
2014-09-30,32.65,32.68,32.51,32.59,492200,31.90
2014-09-29,32.70,32.85,32.69,32.83,130300,32.13
2014-09-26,32.64,32.85,32.61,32.79,113400,32.09
2014-09-25,33.05,33.05,32.67,32.67,308900,31.98
2014-09-24,33.07,33.22,33.00,33.10,168300,32.40
2014-09-23,33.35,33.36,33.10,33.13,166400,32.43
2014-09-22,33.27,33.37,33.19,33.36,190800,32.65
2014-09-19,33.01,33.05,32.85,32.90,131000,32.20
2014-09-18,32.80,32.94,32.78,32.85,377400,32.15
2014-09-17,32.76,32.93,32.76,32.81,334400,32.11
2014-09-16,32.88,33.14,32.84,33.08,977100,32.38
2014-09-15,32.80,32.90,32.76,32.82,91200,32.12
2014-09-12,32.78,32.87,32.76,32.81,92200,32.11
2014-09-11,32.84,32.88,32.78,32.86,161300,32.16
2014-09-10,32.80,32.98,32.80,32.94,138500,32.24
2014-09-09,32.75,32.77,32.53,32.59,282400,31.90
2014-09-08,32.96,33.11,32.90,32.96,136500,32.26
2014-09-05,33.12,33.14,32.98,33.11,466800,32.41
2014-09-04,33.08,33.28,33.03,33.14,373000,32.44
2014-09-03,33.00,33.02,32.85,32.97,336600,32.27
2014-09-02,32.78,32.91,32.76,32.82,519400,32.12
2014-08-29,32.86,32.86,32.63,32.67,153000,31.98
2014-08-28,32.85,32.93,32.79,32.89,103500,32.19
2014-08-27,32.91,32.91,32.80,32.84,294300,32.14
2014-08-26,32.81,33.04,32.81,32.96,168200,32.26
2014-08-25,32.83,32.89,32.78,32.80,152000,32.10
2014-08-22,32.90,32.96,32.72,32.80,114900,32.10
2014-08-21,33.00,33.12,33.00,33.05,218100,32.35
2014-08-20,33.12,33.15,33.02,33.04,165900,32.34
2014-08-19,33.31,33.39,33.27,33.36,147100,32.65
2014-08-18,33.32,33.34,33.22,33.27,144300,32.56
2014-08-15,33.21,33.39,33.17,33.32,93600,32.61
2014-08-14,33.20,33.32,33.20,33.31,92600,32.60
2014-08-13,33.10,33.17,33.03,33.14,113900,32.44
2014-08-12,33.05,33.09,32.90,33.03,124900,32.33
2014-08-11,33.08,33.19,32.98,33.08,371500,32.38
2014-08-08,32.78,33.06,32.75,33.05,162000,32.35
2014-08-07,33.09,33.10,32.71,32.78,123000,32.08
2014-08-06,32.77,32.96,32.77,32.87,107700,32.17
2014-08-05,33.10,33.10,32.81,32.86,140200,32.16
2014-08-04,33.14,33.32,33.05,33.30,206600,32.59
2014-08-01,32.90,33.10,32.87,33.03,259500,32.33
2014-07-31,33.15,33.15,32.79,32.79,591600,32.09
2014-07-30,33.59,33.60,33.44,33.46,531100,32.75
2014-07-29,33.77,33.83,33.61,33.61,383900,32.90
2014-07-28,33.63,33.96,33.53,33.77,553800,33.05
2014-07-25,33.93,33.93,33.55,33.63,206100,32.92
2014-07-24,33.66,33.91,33.45,33.72,112200,33.00
2014-07-23,33.56,33.61,33.47,33.48,151000,32.77
2014-07-22,33.57,33.73,33.51,33.67,143800,32.95
2014-07-21,33.56,33.56,33.37,33.49,88900,32.78
2014-07-18,33.40,33.61,33.40,33.56,99800,32.85
2014-07-17,33.50,33.58,33.18,33.22,211600,32.51
2014-07-16,33.47,33.61,33.41,33.50,234800,32.79
2014-07-15,33.30,33.36,33.17,33.27,135600,32.56
