Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,16.61,16.88,16.61,16.75,148100,16.75
2015-02-12,16.60,16.65,16.47,16.56,190100,16.56
2015-02-11,16.62,16.70,16.45,16.49,133700,16.49
2015-02-10,16.83,16.88,16.51,16.67,178000,16.67
2015-02-09,16.88,16.95,16.70,16.83,129800,16.83
2015-02-06,16.94,16.96,16.74,16.88,288000,16.88
2015-02-05,16.64,16.84,16.63,16.80,191000,16.80
2015-02-04,16.60,16.63,16.42,16.59,138100,16.59
2015-02-03,16.51,16.74,16.51,16.68,211500,16.68
2015-02-02,16.48,16.48,16.23,16.43,178500,16.43
2015-01-30,16.01,16.33,15.89,16.23,153600,16.23
2015-01-29,16.07,16.10,15.75,16.09,124300,16.09
2015-01-28,16.32,16.32,15.90,15.97,209800,15.97
2015-01-27,16.25,16.34,16.10,16.24,151300,16.24
2015-01-26,16.32,16.43,16.23,16.29,267200,16.29
2015-01-23,16.19,16.41,16.10,16.25,144300,16.25
2015-01-22,16.43,16.47,16.10,16.21,209000,16.21
2015-01-21,15.93,16.25,15.93,16.22,190600,16.22
2015-01-20,15.86,16.10,15.73,15.90,206100,15.90
2015-01-16,15.58,15.94,15.53,15.94,122700,15.94
2015-01-15,15.60,15.60,15.33,15.41,243100,15.41
2015-01-14,15.13,15.41,14.88,15.41,285500,15.41
2015-01-13,15.53,15.67,15.11,15.30,288800,15.30
2015-01-12,15.85,15.89,15.34,15.50,294000,15.50
2015-01-09,15.98,16.10,15.79,15.97,177100,15.97
2015-01-08,15.79,16.12,15.79,15.97,253000,15.97
2015-01-07,15.86,15.91,15.56,15.67,263300,15.67
2015-01-06,15.71,15.92,15.27,15.62,419000,15.62
2015-01-05,16.21,16.22,15.75,15.75,352700,15.75
2015-01-02,16.16,16.35,16.12,16.32,278100,16.32
2014-12-31,16.02,16.18,15.94,15.96,694800,15.96
2014-12-30,16.06,16.13,15.92,16.06,662300,16.06
2014-12-29,16.00,16.14,15.84,16.10,778500,16.10
2014-12-26,16.07,16.18,15.92,16.00,382000,16.00
2014-12-24,15.94,16.09,15.89,16.07,346100,16.07
2014-12-23,15.83,16.08,15.82,15.99,632000,15.99
2014-12-22,16.02,16.02,15.64,15.82,939000,15.82
2014-12-19,16.16,16.32,15.81,16.09,811500,16.09
2014-12-18,16.13,16.45,15.71,16.02,981600,16.02
2014-12-17,15.02,15.84,14.95,15.78,904300,15.78
2014-12-16,14.81,15.41,14.41,14.95,1241200,14.95
2014-12-15,15.61,15.74,14.92,15.00,543800,15.00
2014-12-12,15.31,15.70,15.21,15.54,598100,15.54
2014-12-11,15.55,15.93,15.44,15.55,725100,15.55
2014-12-10,15.92,16.00,15.55,15.56,594700,15.56
2014-12-09,15.69,16.25,15.65,16.12,416500,16.12
2014-12-08,16.59,16.60,15.65,15.90,580300,15.90
2014-12-05,17.00,17.06,16.71,16.73,335300,16.73
2014-12-04,16.91,17.14,16.85,16.93,329700,16.93
2014-12-03,17.00,17.19,16.91,17.02,371000,17.02
2014-12-02,16.96,17.16,16.62,16.90,404600,16.90
2014-12-01,17.44,17.54,17.01,17.09,352800,17.09
2014-11-28,18.03,18.06,17.51,17.66,196500,17.66
2014-11-26,17.94,18.18,17.86,18.18,113500,18.18
2014-11-25,17.85,17.99,17.71,17.92,331300,17.92
2014-11-24,17.89,17.89,17.62,17.77,322300,17.77
2014-11-21,18.08,18.14,17.72,17.76,219700,17.76
2014-11-20,17.72,18.05,17.72,17.94,300800,17.94
2014-11-19,17.61,17.96,17.59,17.89,247500,17.89
2014-11-18,18.10,18.20,17.89,17.93,235800,17.63
2014-11-17,17.99,18.35,17.90,18.12,223200,17.81
2014-11-14,17.75,17.99,17.71,17.99,105900,17.68
2014-11-13,17.67,17.86,17.61,17.70,177600,17.40
2014-11-12,18.10,18.30,17.61,17.68,239900,17.38
2014-11-11,18.00,18.19,17.88,18.15,157600,17.84
2014-11-10,17.89,18.10,17.85,18.03,183900,17.72
2014-11-07,17.57,17.96,17.57,17.91,109500,17.61
2014-11-06,17.34,17.59,17.26,17.55,239000,17.25
2014-11-05,17.21,17.49,17.12,17.47,216000,17.17
2014-11-04,17.34,17.38,16.88,17.19,237500,16.90
2014-11-03,17.62,17.66,17.47,17.47,157900,17.17
2014-10-31,17.75,17.83,17.56,17.63,159300,17.33
2014-10-30,17.70,17.85,17.55,17.67,157400,17.37
2014-10-29,17.80,17.93,17.63,17.80,134400,17.50
2014-10-28,17.83,17.99,17.67,17.80,205100,17.50
2014-10-27,17.93,18.06,17.73,17.82,144300,17.52
2014-10-24,17.92,18.20,17.88,18.03,248100,17.72
2014-10-23,17.99,18.17,17.82,17.86,155100,17.56
2014-10-22,17.89,18.10,17.72,17.81,160100,17.51
2014-10-21,17.72,18.14,17.72,17.86,178700,17.56
2014-10-20,17.62,17.85,17.47,17.70,143500,17.40
2014-10-17,17.81,18.00,17.32,17.67,146300,17.37
2014-10-16,16.32,17.77,16.22,17.53,166000,17.23
2014-10-15,16.31,16.90,15.94,16.57,366000,16.29
2014-10-14,16.42,16.71,15.60,16.56,379800,16.28
2014-10-13,16.75,17.09,16.40,16.41,206100,16.13
2014-10-10,17.37,17.37,16.72,16.85,425800,16.56
2014-10-09,17.75,17.86,17.38,17.41,166100,17.11
2014-10-08,17.70,17.89,17.46,17.87,180500,17.57
2014-10-07,17.83,17.96,17.64,17.70,110700,17.40
2014-10-06,18.30,18.30,17.89,17.90,141600,17.60
2014-10-03,18.18,18.23,18.03,18.18,100000,17.87
2014-10-02,17.94,18.09,17.69,18.08,151400,17.77
2014-10-01,18.24,18.34,17.92,17.94,131300,17.63
2014-09-30,18.00,18.19,17.92,18.19,159000,17.88
2014-09-29,17.71,17.98,17.62,17.98,171500,17.67
2014-09-26,17.39,17.81,17.33,17.81,240800,17.51
2014-09-25,17.44,17.58,17.21,17.30,323000,17.01
2014-09-24,17.54,17.70,17.28,17.40,278800,17.10
2014-09-23,17.61,17.86,17.45,17.51,319800,17.21
2014-09-22,18.11,18.11,17.57,17.76,428600,17.46
2014-09-19,18.13,18.20,17.95,18.11,229800,17.80
2014-09-18,18.06,18.18,17.95,18.02,252400,17.71
2014-09-17,18.00,18.23,17.97,18.06,260000,17.75
2014-09-16,17.86,18.22,17.80,17.98,242300,17.67
2014-09-15,18.19,18.22,17.94,17.96,145100,17.65
2014-09-12,18.56,18.58,18.13,18.26,188900,17.95
2014-09-11,18.54,18.63,18.44,18.58,254700,18.26
2014-09-10,18.76,18.76,18.54,18.55,227700,18.23
2014-09-09,18.72,18.86,18.60,18.76,147800,18.44
2014-09-08,18.95,18.95,18.67,18.79,122300,18.47
2014-09-05,18.97,19.04,18.77,18.88,120200,18.56
2014-09-04,19.15,19.19,18.89,18.93,133400,18.61
2014-09-03,19.24,19.24,19.09,19.09,143400,18.77
2014-09-02,19.24,19.35,19.05,19.16,260400,18.83
2014-08-29,19.24,19.27,19.15,19.17,164700,18.84
2014-08-28,18.90,19.20,18.90,19.10,215200,18.78
2014-08-27,18.96,19.22,18.96,19.06,276000,18.74
2014-08-26,18.78,18.97,18.68,18.97,234000,18.65
2014-08-25,18.90,19.08,18.69,18.75,240000,18.43
2014-08-22,18.95,19.08,18.77,18.85,177900,18.53
2014-08-21,18.82,19.12,18.77,18.87,272100,18.55
2014-08-20,18.78,18.88,18.70,18.82,163400,18.50
2014-08-19,19.15,19.28,19.01,19.11,162000,18.49
2014-08-18,19.39,19.43,18.85,19.01,227900,18.39
2014-08-15,19.15,19.32,19.14,19.20,164200,18.58
2014-08-14,18.83,19.19,18.72,19.14,160400,18.52
2014-08-13,18.56,19.02,18.55,18.79,176700,18.18
2014-08-12,18.90,19.10,18.27,18.54,220000,17.94
2014-08-11,18.76,19.40,18.67,18.90,294600,18.29
2014-08-08,18.19,18.35,18.19,18.26,90900,17.67
2014-08-07,18.23,18.40,18.13,18.14,105200,17.55
2014-08-06,18.12,18.26,18.07,18.22,112800,17.63
2014-08-05,18.28,18.29,18.10,18.24,98000,17.65
2014-08-04,18.25,18.37,18.12,18.30,86100,17.71
2014-08-01,18.09,18.31,18.00,18.17,112400,17.58
2014-07-31,18.42,18.46,18.05,18.09,148900,17.50
2014-07-30,18.63,18.65,18.41,18.54,111700,17.94
