Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,130.55,131.46,129.50,130.79,165900,130.79
2015-02-12,131.47,131.55,129.23,130.95,268900,130.95
2015-02-11,131.14,131.71,129.61,130.64,318000,130.64
2015-02-10,128.01,130.65,126.63,130.22,651000,130.22
2015-02-09,127.50,128.78,121.89,124.72,831000,124.72
2015-02-06,132.00,132.35,127.89,128.20,908400,128.20
2015-02-05,136.60,137.48,135.77,136.08,1078600,136.08
2015-02-04,133.12,136.90,133.12,135.87,281400,135.87
2015-02-03,131.89,133.54,131.17,133.53,299400,133.53
2015-02-02,134.39,135.16,129.62,132.00,245600,132.00
2015-01-30,136.62,137.39,134.24,134.51,257200,134.51
2015-01-29,134.49,137.57,134.49,137.55,172500,137.55
2015-01-28,136.12,136.72,134.50,134.52,211500,134.52
2015-01-27,135.41,136.04,134.52,135.18,185100,135.18
2015-01-26,134.25,136.87,133.83,136.67,153600,136.67
2015-01-23,133.53,135.00,133.38,134.46,208700,134.46
2015-01-22,132.00,134.00,131.18,133.42,281000,133.42
2015-01-21,132.33,132.65,131.03,131.43,150500,131.43
2015-01-20,132.88,133.51,131.51,132.72,165500,132.72
2015-01-16,130.82,132.57,130.00,132.10,199300,132.10
2015-01-15,133.30,133.63,128.29,131.29,422500,131.29
2015-01-14,134.75,134.75,132.16,133.33,306700,133.33
2015-01-13,136.40,137.78,135.06,136.73,263900,135.73
2015-01-12,135.00,135.95,134.31,135.22,311500,134.23
2015-01-09,136.53,136.53,134.01,134.89,553100,133.90
2015-01-08,137.70,139.41,136.00,136.22,573700,135.22
2015-01-07,134.86,138.01,134.86,136.60,510500,135.60
2015-01-06,137.18,139.19,132.14,133.99,397900,133.01
2015-01-05,138.01,139.36,136.63,137.43,315500,136.42
2015-01-02,141.77,142.49,137.10,138.77,282200,137.76
2014-12-31,140.31,141.79,140.02,140.76,311400,139.73
2014-12-30,140.50,141.33,139.75,140.47,188700,139.44
2014-12-29,139.53,140.96,139.50,140.68,254300,139.65
2014-12-26,138.21,139.99,137.98,139.07,228200,138.05
2014-12-24,137.56,138.97,136.80,138.16,86700,137.15
2014-12-23,137.44,137.98,137.03,137.70,165900,136.69
2014-12-22,134.61,136.82,134.38,136.48,158500,135.48
2014-12-19,134.89,135.52,133.73,134.61,462400,133.63
2014-12-18,134.77,135.00,133.02,134.71,265700,133.72
2014-12-17,130.80,133.90,129.08,133.85,221300,132.87
2014-12-16,131.03,132.69,129.33,129.37,251700,128.42
2014-12-15,132.75,133.90,130.81,131.52,181900,130.56
2014-12-12,130.82,133.17,130.82,132.51,189100,131.54
2014-12-11,130.73,132.90,130.60,131.61,210200,130.65
2014-12-10,133.21,133.80,130.11,130.41,207000,129.46
2014-12-09,132.00,133.70,130.49,133.09,194400,132.12
2014-12-08,131.71,134.69,130.57,132.78,379100,131.81
2014-12-05,129.82,131.87,129.74,131.73,278700,130.77
2014-12-04,128.25,129.40,128.06,128.78,169800,127.84
2014-12-03,128.62,129.65,127.40,128.71,186000,127.77
2014-12-02,128.10,129.98,127.75,129.00,285000,128.06
2014-12-01,128.06,129.78,126.89,127.52,244800,126.59
2014-11-28,126.50,130.44,126.50,128.01,182300,127.07
2014-11-26,124.93,126.62,124.78,125.87,260600,124.95
2014-11-25,125.00,126.79,123.18,124.40,543300,123.49
2014-11-24,119.11,121.47,118.80,121.27,452200,120.38
2014-11-21,120.08,120.45,118.39,118.57,152800,117.70
2014-11-20,117.34,118.99,117.34,118.85,243800,117.98
2014-11-19,118.93,118.93,117.13,118.04,212600,117.18
2014-11-18,119.20,119.99,117.90,118.83,276900,117.96
2014-11-17,120.64,121.05,118.33,118.44,208700,117.57
2014-11-14,120.77,121.45,120.05,120.46,130900,119.58
2014-11-13,121.00,122.17,120.40,120.64,186800,119.76
2014-11-12,118.89,121.45,118.53,120.64,205800,119.76
2014-11-11,117.56,120.00,117.51,119.52,236900,118.65
2014-11-10,118.16,120.59,118.16,119.58,326800,118.71
2014-11-07,118.42,118.56,116.42,118.44,345700,117.57
2014-11-06,118.65,118.66,117.51,118.50,188300,117.63
2014-11-05,118.29,118.77,116.49,118.16,237300,117.30
2014-11-04,115.94,118.51,115.47,117.33,280600,116.47
2014-11-03,115.81,116.30,114.94,115.77,198000,114.92
2014-10-31,116.34,116.34,114.58,115.35,218300,114.51
2014-10-30,113.62,115.37,113.22,115.00,203800,114.16
2014-10-29,113.88,113.88,112.22,113.59,191900,112.76
2014-10-28,111.72,113.36,111.12,113.34,187800,112.51
2014-10-27,110.23,111.65,110.23,111.10,167900,110.29
2014-10-24,109.94,111.62,109.41,110.99,128400,110.18
2014-10-23,109.99,110.90,107.77,109.54,229200,108.74
2014-10-22,110.00,110.00,108.83,108.92,159200,108.12
2014-10-21,109.24,109.57,107.02,109.49,339200,108.69
2014-10-20,107.34,109.03,106.62,108.98,186600,108.18
2014-10-17,108.71,108.95,107.02,107.26,190900,106.48
2014-10-16,105.59,107.98,104.70,107.27,213400,106.49
2014-10-15,105.78,107.28,104.95,106.70,334900,105.92
2014-10-14,105.99,108.83,104.18,108.19,411500,106.41
2014-10-13,104.00,104.29,102.30,103.02,245600,101.32
2014-10-10,103.61,105.47,103.21,103.62,217800,101.91
2014-10-09,103.49,105.17,103.37,103.93,221800,102.22
2014-10-08,102.25,103.69,102.25,103.20,219800,101.50
2014-10-07,103.69,104.18,102.01,102.15,171600,100.47
2014-10-06,105.00,105.05,103.67,103.79,157600,102.08
2014-10-03,103.92,105.21,103.23,104.49,183600,102.77
2014-10-02,102.01,103.76,101.67,102.57,195700,100.88
2014-10-01,103.37,104.63,102.14,102.28,202500,100.59
2014-09-30,105.23,105.25,103.19,103.19,177900,101.49
2014-09-29,103.32,105.18,103.06,104.97,155700,103.24
2014-09-26,102.82,104.47,102.77,104.04,134400,102.32
2014-09-25,103.23,103.71,102.27,102.31,145500,100.62
2014-09-24,102.33,103.62,102.33,103.37,145000,101.67
2014-09-23,102.96,103.43,101.57,102.02,225900,100.34
2014-09-22,102.71,103.82,102.07,102.92,210800,101.22
2014-09-19,103.85,104.36,102.75,102.93,268800,101.23
2014-09-18,101.02,103.89,101.02,103.85,218400,102.14
2014-09-17,103.68,103.68,100.94,101.07,388500,99.40
2014-09-16,103.71,104.48,103.00,103.27,295300,101.57
2014-09-15,102.99,104.52,102.61,103.45,280600,101.74
2014-09-12,102.42,103.52,102.12,102.58,217100,100.89
2014-09-11,101.46,102.82,101.32,102.26,151100,100.57
2014-09-10,101.52,102.37,101.26,102.08,84800,100.40
2014-09-09,102.60,102.60,101.63,101.81,127800,100.13
2014-09-08,102.65,102.85,102.18,102.64,113400,100.95
2014-09-05,101.13,102.50,101.10,102.31,119600,100.62
2014-09-04,101.15,101.83,101.07,101.59,102000,99.91
2014-09-03,100.67,101.50,100.48,100.83,208700,99.17
2014-09-02,100.55,100.70,99.60,100.55,136400,98.89
2014-08-29,100.51,100.62,99.06,100.41,109500,98.75
2014-08-28,99.67,100.64,99.12,100.19,106500,98.54
2014-08-27,100.32,100.33,99.51,99.84,125100,98.19
2014-08-26,99.72,100.74,99.42,100.53,192500,98.87
2014-08-25,99.79,100.16,99.14,99.86,104200,98.21
2014-08-22,99.65,99.90,99.33,99.42,131200,97.78
2014-08-21,99.39,99.44,98.20,99.41,132100,97.77
2014-08-20,99.66,99.76,99.00,99.31,112300,97.67
2014-08-19,98.97,99.70,98.84,99.61,119900,97.97
2014-08-18,99.12,99.69,98.61,98.66,143600,97.03
2014-08-15,99.55,99.76,97.86,98.63,147400,97.00
2014-08-14,99.26,99.26,98.72,99.13,137800,97.50
2014-08-13,98.77,99.73,98.31,99.07,109800,97.44
2014-08-12,98.49,98.96,98.16,98.73,145000,97.10
2014-08-11,98.55,99.19,98.13,98.61,141000,96.98
2014-08-08,97.59,98.25,97.07,97.92,130100,96.31
2014-08-07,97.81,98.06,96.52,97.04,110300,95.44
2014-08-06,96.92,97.69,96.50,97.15,148800,95.55
2014-08-05,97.45,98.55,96.56,96.81,222300,95.21
2014-08-04,97.26,97.93,96.79,97.75,181100,96.14
2014-08-01,97.33,97.35,96.01,96.66,130800,95.07
2014-07-31,98.35,98.73,96.90,96.96,165700,95.36
2014-07-30,98.72,98.91,97.94,98.89,193900,97.26
2014-07-29,98.07,98.99,97.66,98.49,191300,96.87
2014-07-28,98.00,98.33,97.46,97.55,87700,95.94
2014-07-25,97.33,98.20,97.11,97.77,85800,96.16
2014-07-24,97.90,98.39,97.35,98.02,120300,96.40
2014-07-23,97.22,98.17,96.97,97.70,163100,96.09
2014-07-22,97.58,97.95,96.77,97.48,161000,95.87
2014-07-21,97.88,97.97,96.37,96.86,150300,95.26
2014-07-18,97.27,98.58,97.16,98.03,168600,96.41
2014-07-17,97.95,98.29,97.02,97.45,141300,95.84
2014-07-16,99.00,99.04,97.53,98.59,162700,96.96
2014-07-15,99.20,99.70,98.14,99.27,191300,96.65
2014-07-14,100.27,100.27,99.17,99.32,152600,96.70
2014-07-11,99.80,100.02,99.06,99.52,161000,96.89
2014-07-10,99.42,100.24,98.82,99.77,161300,97.14
2014-07-09,100.18,100.63,99.66,99.86,83400,97.22
2014-07-08,100.20,100.35,99.25,99.62,103100,96.99
2014-07-07,100.59,101.41,99.60,99.98,199500,97.34
2014-07-03,100.67,101.04,100.19,100.48,59400,97.83
2014-07-02,100.94,101.74,99.83,100.02,122700,97.38
2014-07-01,99.44,101.43,99.22,100.62,187400,97.96
2014-06-30,100.13,100.71,98.82,99.57,170000,96.94
2014-06-27,100.01,100.73,99.75,100.57,326800,97.92
2014-06-26,100.34,100.65,99.21,100.40,117500,97.75
2014-06-25,99.28,99.99,99.04,99.97,135700,97.33
2014-06-24,98.81,100.45,98.80,99.31,159900,96.69
2014-06-23,99.50,99.75,98.61,99.31,158500,96.69
2014-06-20,99.67,99.67,98.33,99.13,277900,96.51
2014-06-19,99.71,100.53,98.92,99.68,162500,97.05
2014-06-18,99.24,99.83,98.31,99.64,190200,97.01
2014-06-17,100.00,100.77,99.75,100.27,136800,97.62
2014-06-16,100.94,101.58,99.82,99.91,196000,97.27
2014-06-13,101.74,102.55,100.75,101.39,203000,98.71
2014-06-12,101.67,101.81,100.95,101.13,174700,98.46
2014-06-11,100.60,101.92,100.60,101.81,115100,99.12
2014-06-10,102.30,103.32,100.21,100.91,202900,98.25
2014-06-09,102.74,103.18,101.88,102.40,141200,99.70
