Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,25.46,25.49,25.34,25.46,9000,25.46
2015-02-12,25.45,25.55,25.26,25.55,18900,25.55
2015-02-11,25.29,25.46,25.25,25.46,79100,25.46
2015-02-10,25.55,25.55,25.36,25.50,8500,25.12
2015-02-09,25.52,25.55,25.48,25.55,1000,25.17
2015-02-06,25.48,25.51,25.36,25.47,18700,25.10
2015-02-05,25.86,25.86,25.33,25.46,31800,25.09
2015-02-04,25.83,25.95,25.54,25.58,12500,25.20
2015-02-03,25.73,25.97,25.59,25.61,16200,25.23
2015-02-02,25.40,25.66,25.40,25.65,5200,25.27
2015-01-30,25.53,25.63,25.37,25.58,10600,25.20
2015-01-29,25.59,25.64,25.28,25.53,155400,25.15
2015-01-28,25.53,25.60,25.39,25.45,16500,25.08
2015-01-27,25.49,25.56,25.35,25.37,29500,25.00
2015-01-26,25.48,25.48,25.28,25.33,17600,24.96
2015-01-23,25.36,25.50,25.27,25.42,26700,25.05
2015-01-22,25.40,25.70,25.25,25.35,49200,24.98
2015-01-21,25.40,25.40,25.23,25.31,62700,24.94
2015-01-20,25.69,25.71,25.20,25.35,19700,24.98
2015-01-16,25.61,25.69,25.32,25.61,9600,25.23
2015-01-15,25.31,25.39,25.25,25.26,12900,24.89
2015-01-14,25.26,25.74,25.26,25.38,9200,25.01
2015-01-13,25.43,25.47,25.30,25.44,39100,25.07
2015-01-12,25.39,25.39,25.18,25.35,6800,24.98
2015-01-09,25.58,25.58,25.23,25.39,12400,25.02
2015-01-08,25.63,26.16,25.42,25.60,16600,25.22
2015-01-07,25.40,27.89,25.40,26.34,13000,25.95
2015-01-06,25.40,25.40,25.20,25.36,11200,24.99
2015-01-05,25.25,25.30,25.24,25.25,7700,24.88
2015-01-02,25.40,25.40,25.35,25.38,4300,25.01
2014-12-31,25.27,25.46,25.24,25.41,13900,25.04
2014-12-30,25.37,25.42,25.32,25.42,4700,25.05
2014-12-29,25.30,25.65,25.16,25.42,11200,25.05
2014-12-26,25.11,25.16,25.07,25.10,3700,24.73
2014-12-24,25.07,25.30,25.00,25.00,9300,24.63
2014-12-23,25.16,25.20,24.96,25.06,17300,24.69
2014-12-22,25.15,25.20,25.05,25.07,6700,24.70
2014-12-19,25.29,25.29,24.90,24.99,14100,24.62
2014-12-18,25.11,25.25,25.11,25.20,3000,24.83
2014-12-17,25.02,25.08,25.02,25.04,2300,24.67
2014-12-16,25.05,25.10,25.01,25.01,15800,24.64
2014-12-15,25.25,25.25,25.06,25.08,2400,24.71
2014-12-12,25.09,25.34,25.09,25.12,12500,24.75
2014-12-11,25.19,25.19,25.11,25.14,6600,24.77
2014-12-10,25.25,25.30,25.12,25.17,6000,24.80
2014-12-09,25.25,25.25,25.07,25.15,17700,24.78
2014-12-08,25.30,25.30,25.22,25.25,2700,24.88
2014-12-05,25.37,25.37,25.05,25.15,2800,24.78
2014-12-04,25.44,25.44,25.05,25.05,11800,24.68
2014-12-03,25.40,25.40,25.16,25.21,12300,24.84
2014-12-02,25.33,25.48,25.15,25.34,17800,24.97
2014-12-01,25.34,25.36,25.10,25.10,11800,24.73
2014-11-28,25.42,25.42,25.10,25.26,3000,24.89
2014-11-26,25.66,25.67,25.10,25.30,14100,24.93
2014-11-25,25.09,25.09,25.03,25.05,13600,24.68
2014-11-24,25.13,25.13,24.95,25.08,7400,24.71
2014-11-21,25.00,25.10,25.00,25.09,10100,24.72
2014-11-20,25.05,25.15,24.95,25.06,20600,24.69
2014-11-19,25.19,25.19,25.08,25.10,16400,24.73
2014-11-18,24.97,25.09,24.96,25.09,16400,24.72
2014-11-17,25.01,25.14,24.96,25.09,19300,24.72
2014-11-14,25.12,25.15,25.00,25.10,21000,24.73
2014-11-13,25.06,25.41,25.04,25.38,43000,25.01
2014-11-12,25.00,25.24,25.00,25.01,29900,24.64
2014-11-11,25.30,25.42,25.18,25.25,11500,24.51
2014-11-10,25.40,25.43,25.14,25.15,21900,24.41
2014-11-07,25.30,25.31,25.03,25.23,11700,24.49
2014-11-06,25.17,25.28,25.05,25.15,20400,24.41
2014-11-05,25.00,25.34,25.00,25.08,15600,24.34
2014-11-04,25.15,25.20,25.02,25.09,9100,24.35
2014-11-03,25.19,25.25,25.06,25.06,9400,24.32
2014-10-31,25.25,25.25,25.00,25.01,13200,24.28
2014-10-30,25.03,25.24,25.00,25.04,3000,24.31
2014-10-29,25.11,25.25,24.95,25.01,30500,24.28
2014-10-28,25.30,25.30,25.09,25.14,12500,24.40
2014-10-27,25.26,25.44,25.12,25.12,6700,24.38
2014-10-24,25.14,25.30,25.01,25.21,12600,24.47
2014-10-23,25.17,25.25,25.07,25.08,6400,24.34
2014-10-22,25.20,25.22,24.95,25.03,13900,24.30
2014-10-21,25.38,25.38,25.00,25.09,24400,24.35
2014-10-20,24.92,25.18,24.79,25.03,18700,24.30
2014-10-17,24.75,24.92,24.55,24.92,23500,24.19
2014-10-16,24.70,24.70,24.59,24.60,22600,23.88
2014-10-15,24.66,24.70,24.50,24.51,16100,23.79
2014-10-14,24.68,24.80,24.60,24.64,19800,23.92
2014-10-13,24.67,24.73,24.50,24.50,4300,23.78
2014-10-10,24.65,24.72,24.40,24.61,13700,23.89
2014-10-09,24.60,24.79,24.53,24.67,12900,23.95
2014-10-08,24.66,24.77,24.40,24.65,20200,23.93
2014-10-07,24.72,24.90,24.50,24.54,19900,23.82
