Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,47.23,47.35,46.86,47.04,276900,47.04
2015-02-12,47.06,47.36,46.88,47.14,284200,47.14
2015-02-11,46.52,46.88,46.25,46.53,179200,46.53
2015-02-10,47.02,47.28,46.19,46.75,342800,46.75
2015-02-09,46.04,46.99,46.04,46.84,354200,46.84
2015-02-06,46.11,46.41,45.83,46.26,539500,46.26
2015-02-05,45.54,46.00,45.27,45.96,533200,45.96
2015-02-04,45.06,45.64,44.57,45.20,616700,45.20
2015-02-03,43.40,45.44,43.40,45.39,663100,45.39
2015-02-02,42.62,43.15,41.77,42.99,477300,42.99
2015-01-30,42.63,43.16,42.28,42.41,612100,42.41
2015-01-29,42.30,43.41,40.52,43.12,1496400,43.12
2015-01-28,41.78,42.01,40.33,40.37,592500,40.37
2015-01-27,41.04,41.64,40.41,41.20,342900,41.20
2015-01-26,41.17,41.74,40.89,41.63,454100,41.63
2015-01-23,42.86,43.00,41.02,41.26,415300,41.26
2015-01-22,42.63,43.03,42.02,42.94,393600,42.94
2015-01-21,41.39,42.27,41.13,42.18,317700,42.18
2015-01-20,41.79,42.01,40.78,41.37,302100,41.37
2015-01-16,40.96,41.63,40.74,41.58,296400,41.58
2015-01-15,42.13,42.30,41.07,41.23,301800,41.23
2015-01-14,41.77,42.23,41.05,41.84,754500,41.84
2015-01-13,42.37,43.12,41.10,41.61,733500,41.61
2015-01-12,43.13,43.42,42.00,42.26,603000,42.26
2015-01-09,44.30,44.49,43.13,43.17,403900,43.17
2015-01-08,43.20,44.34,42.90,44.23,553100,44.23
2015-01-07,43.13,43.38,42.52,42.90,403700,42.90
2015-01-06,43.29,43.34,42.56,42.77,521800,42.77
2015-01-05,43.40,43.52,43.03,43.28,512500,43.28
2015-01-02,43.87,43.97,43.42,43.80,414200,43.80
2014-12-31,44.34,44.38,43.58,43.86,598400,43.86
2014-12-30,43.81,44.56,43.81,44.15,199100,44.15
2014-12-29,43.66,44.24,43.55,43.91,189500,43.91
2014-12-26,44.02,44.18,43.74,43.80,247300,43.80
2014-12-24,43.67,44.00,43.30,43.91,135500,43.91
2014-12-23,43.71,43.99,43.54,43.77,245600,43.77
2014-12-22,43.28,43.60,42.84,43.53,306600,43.53
2014-12-19,42.77,43.26,42.62,43.24,551200,43.24
2014-12-18,42.54,42.55,41.71,42.51,339700,42.51
2014-12-17,40.85,41.80,40.47,41.62,471000,41.62
2014-12-16,39.83,41.20,39.62,40.59,503800,40.59
2014-12-15,39.97,40.20,39.50,39.94,700900,39.94
2014-12-12,39.86,40.06,39.41,39.64,545200,39.64
2014-12-11,40.10,40.85,39.99,40.15,303200,40.15
2014-12-10,41.44,41.62,39.97,39.99,281900,39.99
2014-12-09,40.88,41.89,40.80,41.79,506500,41.79
2014-12-08,41.98,42.33,41.26,41.44,392200,41.44
2014-12-05,43.31,43.42,42.01,42.25,694100,42.25
2014-12-04,43.70,43.93,43.25,43.64,310700,43.64
2014-12-03,43.35,44.39,43.19,43.84,325200,43.84
2014-12-02,42.83,43.67,42.83,43.30,303200,43.30
2014-12-01,42.96,43.26,42.64,43.02,439200,43.02
2014-11-28,45.01,45.11,42.91,43.08,354600,43.08
2014-11-26,46.36,46.36,45.18,45.27,394600,45.27
2014-11-25,46.72,47.20,46.16,46.29,309400,46.29
2014-11-24,46.83,47.06,46.31,46.88,344600,46.66
2014-11-21,46.95,47.33,46.39,46.78,289700,46.56
2014-11-20,45.20,46.41,45.20,46.32,305400,46.10
2014-11-19,45.65,45.85,44.90,45.36,479300,45.15
2014-11-18,45.71,46.08,45.64,45.83,498700,45.61
2014-11-17,46.08,46.15,45.34,45.60,440000,45.39
2014-11-14,46.90,46.91,45.91,46.03,645800,45.81
2014-11-13,47.34,47.39,46.52,46.94,602200,46.72
2014-11-12,46.90,47.42,46.75,47.37,341000,47.15
2014-11-11,46.77,47.29,46.73,47.05,282700,46.83
2014-11-10,46.82,47.12,46.41,46.86,434500,46.64
2014-11-07,46.78,47.18,46.53,46.85,484500,46.63
2014-11-06,45.82,46.88,45.60,46.83,479500,46.61
2014-11-05,44.82,45.77,44.53,45.75,498800,45.54
2014-11-04,46.01,46.27,44.28,44.48,466600,44.27
2014-11-03,46.54,47.02,45.85,45.85,571000,45.63
2014-10-31,45.62,46.45,45.22,46.43,478600,46.21
2014-10-30,44.20,45.48,43.59,45.07,523800,44.86
2014-10-29,48.36,48.36,43.40,44.57,1186800,44.36
2014-10-28,46.63,48.40,46.53,48.30,563500,48.07
2014-10-27,48.63,48.74,46.10,46.49,888400,46.27
2014-10-24,48.79,49.30,48.48,49.25,234600,49.02
2014-10-23,48.48,49.38,48.04,48.82,276000,48.59
2014-10-22,48.82,49.69,47.76,47.81,451100,47.59
2014-10-21,47.74,48.73,47.41,48.58,336200,48.35
2014-10-20,45.45,47.25,45.45,47.18,481000,46.96
2014-10-17,45.03,45.86,45.00,45.49,407100,45.28
2014-10-16,42.73,44.86,42.73,44.62,1027800,44.41
2014-10-15,43.39,44.40,43.00,43.69,1277600,43.48
2014-10-14,44.97,45.03,44.13,44.28,500000,44.07
2014-10-13,45.41,45.97,44.58,44.62,429400,44.41
2014-10-10,47.01,47.54,45.63,45.63,568900,45.42
2014-10-09,48.48,48.54,46.98,47.01,393600,46.79
2014-10-08,47.90,48.50,47.23,48.48,301500,48.25
2014-10-07,48.81,48.94,47.81,47.85,381100,47.63
2014-10-06,49.18,49.59,49.09,49.09,217000,48.86
2014-10-03,49.33,49.53,48.80,48.87,667400,48.64
2014-10-02,49.38,49.56,48.47,49.00,408100,48.77
2014-10-01,50.80,50.86,49.37,49.40,564000,49.17
2014-09-30,51.23,51.23,50.36,50.77,429000,50.53
2014-09-29,51.37,51.68,50.79,51.23,440200,50.99
2014-09-26,51.74,52.08,51.56,51.92,288600,51.68
2014-09-25,52.66,52.90,51.60,51.84,329700,51.60
2014-09-24,53.05,53.44,52.78,53.02,321600,52.77
2014-09-23,53.40,53.62,52.93,53.12,331100,52.87
2014-09-22,54.20,54.20,53.29,53.46,320900,53.21
2014-09-19,55.13,55.30,54.00,54.45,1002000,54.19
2014-09-18,55.50,55.68,55.05,55.10,203200,54.84
2014-09-17,55.58,55.98,55.16,55.44,385300,55.18
2014-09-16,54.15,55.37,53.87,55.35,420600,55.09
