Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,15.65,15.80,15.53,15.67,1494500,15.67
2015-02-12,15.44,15.87,15.31,15.42,2549100,15.42
2015-02-11,15.69,15.79,15.19,15.21,2402000,15.21
2015-02-10,15.28,15.87,15.27,15.82,2477600,15.82
2015-02-09,15.17,16.24,15.04,15.35,3772700,15.35
2015-02-06,15.29,15.57,14.91,15.07,2685800,15.07
2015-02-05,15.15,15.51,15.08,15.24,2350000,15.24
2015-02-04,15.15,15.16,14.66,14.98,2302300,14.98
2015-02-03,15.30,15.75,14.97,15.29,3146400,15.29
2015-02-02,14.25,15.18,14.22,15.15,3247500,15.15
2015-01-30,13.74,14.24,13.63,14.02,2412000,14.02
2015-01-29,14.14,14.16,13.66,13.91,2430000,13.91
2015-01-28,14.51,14.57,14.06,14.10,2264000,14.10
2015-01-27,14.18,14.62,14.05,14.59,1924500,14.59
2015-01-26,14.31,14.47,14.20,14.26,1376400,14.26
2015-01-23,14.30,14.38,14.10,14.31,1680300,14.31
2015-01-22,14.46,14.55,14.21,14.34,1171500,14.34
2015-01-21,14.23,14.36,14.08,14.32,1939200,14.32
2015-01-20,14.47,14.47,14.03,14.05,2826200,14.05
2015-01-16,13.98,14.39,13.98,14.35,1802700,14.35
2015-01-15,14.40,14.43,13.97,14.02,2626300,14.02
2015-01-14,14.48,14.55,14.03,14.20,4090200,14.20
2015-01-13,15.46,15.48,14.67,14.76,3855700,14.76
2015-01-12,15.61,15.63,15.15,15.45,1582000,15.45
2015-01-09,15.96,16.01,15.63,15.75,1459000,15.75
2015-01-08,15.84,16.24,15.80,16.04,1743900,16.04
2015-01-07,15.98,16.16,15.63,15.69,1209200,15.69
2015-01-06,15.87,16.13,15.74,15.83,1445300,15.83
2015-01-05,16.12,16.20,15.64,15.87,1905800,15.87
2015-01-02,16.34,16.56,16.27,16.37,1139600,16.37
2014-12-31,16.47,16.65,16.16,16.41,1433600,16.41
2014-12-30,16.55,16.74,16.35,16.39,2064700,16.39
2014-12-29,16.35,16.65,16.25,16.54,2384800,16.54
2014-12-26,16.58,16.72,16.24,16.37,908700,16.28
2014-12-24,16.51,16.58,16.33,16.53,797400,16.44
2014-12-23,16.23,16.69,16.17,16.46,1579600,16.37
2014-12-22,16.41,16.46,16.10,16.21,1410800,16.12
2014-12-19,16.35,16.59,16.11,16.44,2182300,16.35
2014-12-18,15.72,16.17,15.71,16.15,3069900,16.07
2014-12-17,15.15,15.67,14.96,15.40,3475400,15.32
2014-12-16,15.02,15.50,14.82,15.01,2449700,14.93
2014-12-15,15.41,15.59,15.02,15.07,1716300,14.99
2014-12-12,15.31,15.70,15.20,15.35,1529900,15.27
2014-12-11,15.66,15.97,15.43,15.57,1838500,15.49
2014-12-10,16.36,16.36,15.54,15.74,2584600,15.66
2014-12-09,16.13,16.71,16.11,16.38,2649500,16.29
2014-12-08,16.95,16.97,16.07,16.24,2742100,16.15
2014-12-05,17.10,17.34,16.90,17.00,1831500,16.91
2014-12-04,17.62,17.71,17.11,17.16,1329900,17.07
2014-12-03,17.60,17.92,17.41,17.67,1987900,17.58
2014-12-02,18.19,18.52,17.61,17.62,2214900,17.53
2014-12-01,18.56,18.74,17.92,18.29,2416100,18.19
2014-11-28,18.82,18.89,18.38,18.59,1493900,18.49
2014-11-26,19.48,19.52,19.13,19.36,1547300,19.26
2014-11-25,19.01,19.43,18.92,19.31,2788400,19.21
2014-11-24,19.43,19.43,18.93,19.02,3597900,18.92
2014-11-21,19.79,19.97,19.49,19.64,1990100,19.54
2014-11-20,18.91,19.66,18.85,19.65,1726500,19.55
2014-11-19,18.84,19.20,18.66,19.06,1447200,18.96
2014-11-18,19.09,19.39,18.88,18.89,2094100,18.79
2014-11-17,18.90,19.28,18.77,19.00,2889900,18.90
2014-11-14,18.20,18.99,18.20,18.90,2538600,18.80
2014-11-13,19.18,19.23,18.13,18.25,2936200,18.15
2014-11-12,19.56,19.67,19.02,19.20,2379900,19.10
2014-11-11,19.24,19.82,19.16,19.58,3382700,19.48
2014-11-10,19.13,19.48,18.83,19.20,4262300,19.10
2014-11-07,16.97,18.80,16.97,18.75,4718600,18.65
2014-11-06,16.80,16.98,16.51,16.73,949200,16.64
2014-11-05,16.27,16.89,16.13,16.84,1890300,16.75
2014-11-04,16.74,16.76,16.27,16.29,1639300,16.20
2014-11-03,17.25,17.38,16.78,16.86,1304400,16.77
2014-10-31,16.94,17.41,16.84,17.38,1597800,17.29
2014-10-30,16.56,17.17,16.45,16.90,1626400,16.81
2014-10-29,17.33,17.33,16.46,16.91,2569200,16.82
2014-10-28,16.87,17.52,16.73,17.50,2113800,17.41
2014-10-27,16.64,16.85,16.30,16.77,1192800,16.68
2014-10-24,16.59,16.89,16.47,16.78,932500,16.69
2014-10-23,16.71,17.00,16.31,16.58,3756100,16.49
2014-10-22,17.06,17.30,16.56,16.57,1864400,16.48
