Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,19.49,19.78,19.30,19.32,50000,19.32
2015-02-12,19.48,19.57,19.21,19.39,72200,19.39
2015-02-11,19.15,19.25,19.03,19.20,49300,19.20
2015-02-10,19.51,19.74,19.24,19.27,67100,19.17
2015-02-09,19.68,19.91,19.50,19.68,80500,19.57
2015-02-06,19.57,19.62,19.33,19.62,107400,19.51
2015-02-05,19.32,19.67,19.27,19.41,102300,19.31
2015-02-04,19.18,19.20,18.95,19.10,49700,19.00
2015-02-03,19.20,19.42,19.15,19.18,91500,19.08
2015-02-02,19.19,19.19,18.89,19.02,52400,18.92
2015-01-30,18.79,19.02,18.52,18.97,60200,18.87
2015-01-29,19.04,19.05,18.51,18.79,80600,18.69
2015-01-28,19.06,19.06,18.70,18.88,84000,18.78
2015-01-27,18.87,19.09,18.73,18.99,60700,18.89
2015-01-26,18.99,19.00,18.66,18.90,74500,18.80
2015-01-23,18.77,18.86,18.68,18.76,64000,18.66
2015-01-22,18.81,18.84,18.63,18.78,60400,18.68
2015-01-21,18.47,18.60,18.34,18.59,98100,18.49
2015-01-20,18.16,18.31,17.89,18.23,66000,18.13
2015-01-16,17.89,18.13,17.72,18.00,61100,17.90
2015-01-15,18.06,18.07,17.62,17.78,63400,17.68
2015-01-14,17.18,17.78,17.06,17.63,112500,17.53
2015-01-13,18.35,18.50,17.15,17.36,163100,17.16
2015-01-12,18.60,18.60,18.18,18.36,48800,18.15
2015-01-09,18.74,18.84,18.41,18.73,61600,18.52
2015-01-08,17.95,18.77,17.94,18.77,68900,18.56
2015-01-07,17.76,17.84,17.25,17.84,202200,17.64
2015-01-06,17.62,17.79,17.17,17.51,160700,17.31
2015-01-05,17.94,17.94,17.39,17.63,52300,17.43
2015-01-02,17.90,18.07,17.71,18.05,36100,17.85
2014-12-31,18.36,18.36,17.75,17.75,142900,17.55
2014-12-30,18.43,18.52,18.16,18.34,68600,18.13
2014-12-29,18.35,18.56,18.30,18.52,52700,18.31
2014-12-26,18.15,18.28,17.95,18.20,65300,17.99
2014-12-24,17.83,18.29,17.83,17.98,103600,17.78
2014-12-23,17.73,18.05,17.69,17.90,76500,17.70
2014-12-22,18.00,18.01,17.33,17.73,105600,17.53
2014-12-19,18.19,18.19,17.63,18.07,72900,17.86
2014-12-18,18.66,18.86,17.52,17.76,120600,17.56
2014-12-17,17.17,18.22,17.08,17.88,151600,17.68
2014-12-16,17.49,18.11,16.91,17.10,198100,16.91
2014-12-15,18.11,18.90,17.15,17.68,163900,17.48
2014-12-12,18.35,18.80,17.80,18.03,113000,17.83
2014-12-11,18.29,19.00,18.28,18.48,79000,18.27
2014-12-10,18.83,18.99,18.40,18.45,159000,18.24
2014-12-09,18.90,19.09,18.58,18.93,64100,18.72
2014-12-08,19.68,19.68,18.47,19.15,68800,18.93
2014-12-05,19.60,19.88,19.19,19.75,82800,19.53
2014-12-04,19.86,19.88,19.50,19.61,109800,19.39
2014-12-03,19.32,19.65,19.10,19.46,52500,19.24
2014-12-02,18.98,19.38,18.56,19.08,94900,18.86
2014-12-01,19.30,19.42,18.62,19.06,141200,18.84
2014-11-28,19.76,19.78,19.36,19.49,104500,19.27
2014-11-26,19.81,20.00,19.66,20.00,109600,19.77
2014-11-25,19.79,19.94,19.61,19.90,44300,19.67
2014-11-24,20.24,20.24,19.64,19.69,80000,19.47
2014-11-21,20.24,20.26,19.99,20.24,78200,19.91
2014-11-20,19.93,20.20,19.88,20.05,132200,19.72
2014-11-19,19.80,19.99,19.71,19.93,113400,19.60
2014-11-18,19.74,19.95,19.62,19.81,48800,19.48
2014-11-17,19.76,19.91,19.60,19.67,57000,19.35
2014-11-14,19.85,19.85,19.55,19.79,75800,19.46
2014-11-13,19.82,19.97,19.67,19.97,84400,19.64
2014-11-12,19.87,20.06,19.42,19.85,89100,19.52
2014-11-11,19.75,20.07,19.66,19.85,61800,19.42
2014-11-10,19.80,19.81,19.49,19.61,25300,19.19
2014-11-07,19.57,19.80,19.48,19.80,30100,19.37
