Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,35.69,35.73,35.50,35.51,3700,35.51
2015-02-12,35.74,35.74,35.36,35.74,2100,35.74
2015-02-11,35.29,35.74,35.29,35.69,2500,35.69
2015-02-10,36.07,36.07,35.05,35.65,3400,35.65
2015-02-09,36.01,36.49,35.21,35.78,4000,35.78
2015-02-06,36.01,36.09,35.89,35.89,1000,35.89
2015-02-05,36.20,36.26,35.21,36.08,1500,36.08
2015-02-04,35.49,35.73,35.15,35.73,2500,35.73
2015-02-03,34.83,35.80,34.77,35.03,12000,35.03
2015-02-02,35.63,35.63,34.73,34.79,2600,34.79
2015-01-30,34.50,35.88,34.50,35.29,3200,35.29
2015-01-29,35.64,35.64,34.50,34.83,8300,34.83
2015-01-28,35.75,35.83,35.31,35.31,2400,35.31
2015-01-27,36.55,36.67,35.55,35.99,9200,35.99
2015-01-26,36.71,37.30,36.21,36.52,11000,36.52
2015-01-23,37.67,37.67,36.23,37.04,17000,37.04
2015-01-22,37.77,37.77,36.50,37.67,7500,37.67
2015-01-21,37.43,37.82,37.21,37.58,3600,37.58
2015-01-20,37.00,38.20,36.23,37.81,17500,37.81
2015-01-16,37.60,37.70,36.46,36.88,8800,36.88
2015-01-15,37.90,38.06,36.91,37.50,12300,37.50
2015-01-14,38.12,38.22,37.75,37.95,16100,37.95
2015-01-13,38.53,38.99,38.19,38.61,6700,38.61
2015-01-12,38.40,38.99,38.23,38.63,5000,38.63
2015-01-09,38.87,38.99,38.66,38.72,2600,38.72
2015-01-08,38.92,39.20,38.47,39.20,6000,39.20
2015-01-07,39.00,39.00,38.60,38.75,4900,38.75
2015-01-06,38.90,39.03,37.81,38.71,14700,38.71
2015-01-05,39.27,39.59,38.62,39.00,14900,39.00
2015-01-02,39.75,39.75,38.80,39.75,3100,39.75
2014-12-31,38.80,39.74,38.51,39.74,8100,39.74
2014-12-30,38.74,39.55,38.74,39.10,3400,39.10
2014-12-29,38.92,39.75,38.60,39.75,6600,39.75
2014-12-26,38.52,39.48,38.51,38.92,1400,38.92
2014-12-24,38.81,39.48,38.81,38.88,1300,38.88
2014-12-23,38.87,39.10,38.44,39.10,7200,39.10
2014-12-22,38.68,39.19,38.58,38.84,7500,38.84
2014-12-19,39.48,39.48,38.93,39.00,10500,39.00
2014-12-18,38.75,39.75,38.41,39.33,11400,39.33
2014-12-17,38.72,38.85,38.42,38.71,10700,38.71
2014-12-16,38.72,38.97,38.42,38.74,8900,38.74
2014-12-15,39.07,39.09,38.75,38.75,12200,38.75
2014-12-12,39.00,39.22,38.31,39.22,19900,39.22
2014-12-11,38.84,39.15,38.63,39.10,13700,39.10
2014-12-10,39.30,39.58,38.88,38.88,3800,38.58
2014-12-09,39.22,39.36,38.77,39.02,8900,38.72
2014-12-08,39.25,39.97,38.91,39.65,22400,39.34
2014-12-05,38.85,39.50,38.85,39.48,9900,39.18
2014-12-04,38.50,39.50,38.45,39.50,56900,39.20
2014-12-03,38.83,39.38,38.60,38.81,8300,38.51
2014-12-02,39.20,39.40,38.79,39.22,9000,38.92
2014-12-01,39.45,39.45,38.82,39.07,40700,38.77
2014-11-28,39.09,39.43,38.81,39.43,21700,39.13
2014-11-26,39.39,39.40,38.87,39.34,29400,39.04
2014-11-25,39.17,39.49,38.54,39.24,34000,38.94
2014-11-24,38.25,39.50,38.10,39.17,38200,38.87
2014-11-21,38.25,38.25,37.95,37.95,2500,37.66
2014-11-20,37.40,38.20,37.40,37.90,23400,37.61
2014-11-19,37.75,38.00,37.44,37.59,9000,37.30
2014-11-18,37.37,37.84,37.30,37.79,8700,37.50
2014-11-17,37.16,37.97,36.36,37.56,122100,37.27
2014-11-14,37.03,37.67,37.00,37.32,11700,37.03
2014-11-13,37.25,37.45,37.00,37.00,50700,36.71
2014-11-12,37.31,37.57,37.31,37.33,900,37.04
2014-11-11,37.31,37.73,35.71,37.30,23500,37.01
2014-11-10,36.45,37.09,36.40,36.95,10800,36.66
2014-11-07,35.85,36.35,35.00,36.30,21000,36.02
2014-11-06,35.54,35.94,35.13,35.41,12100,35.14
2014-11-05,36.07,36.07,35.44,35.50,18900,35.23
2014-11-04,35.54,36.12,35.54,36.00,9200,35.72
2014-11-03,34.74,35.72,34.74,35.67,34400,35.39
2014-10-31,35.11,35.32,34.34,34.34,5900,34.08
2014-10-30,34.44,34.78,34.16,34.78,9000,34.51
2014-10-29,34.58,34.75,33.66,34.42,16600,34.15
2014-10-28,34.00,34.80,33.82,34.80,7600,34.53
2014-10-27,33.94,34.60,33.70,34.35,8800,34.08
2014-10-24,33.21,34.23,33.06,34.23,9600,33.97
2014-10-23,33.60,33.60,33.30,33.32,6100,33.06
2014-10-22,33.30,33.47,33.30,33.32,1700,33.06
2014-10-21,33.43,34.24,33.21,33.34,16400,33.08
2014-10-20,33.18,33.59,32.87,33.51,11200,33.25
2014-10-17,34.23,34.23,33.10,33.37,8800,33.11
2014-10-16,33.20,33.46,32.40,33.38,30600,33.12
2014-10-15,33.23,33.59,33.23,33.56,9800,33.30
2014-10-14,33.60,34.40,33.23,33.40,31700,33.14
2014-10-13,33.56,33.93,33.33,33.48,9700,33.22
2014-10-10,33.38,33.89,33.38,33.86,8400,33.60
2014-10-09,33.30,33.55,33.30,33.40,3400,33.14
2014-10-08,33.41,33.56,33.01,33.56,3400,33.30
2014-10-07,33.03,33.82,32.99,33.24,11200,32.98
2014-10-06,33.45,33.66,33.17,33.36,9200,33.10
2014-10-03,33.42,33.68,33.09,33.17,4500,32.91
2014-10-02,32.96,33.52,32.96,33.07,5300,32.81
2014-10-01,33.38,33.72,32.99,33.01,10300,32.76
2014-09-30,33.42,33.64,33.27,33.27,7100,33.01
2014-09-29,33.36,33.75,33.36,33.62,8900,33.36
2014-09-26,34.15,34.35,33.80,33.84,10600,33.58
2014-09-25,33.83,34.52,33.76,33.98,11700,33.72
2014-09-24,34.30,34.45,33.89,34.12,5100,33.86
2014-09-23,34.30,34.58,34.25,34.26,7100,34.00
2014-09-22,34.88,34.89,34.12,34.22,18600,33.96
2014-09-19,33.85,35.00,33.77,35.00,21400,34.73
2014-09-18,33.70,34.79,33.51,34.52,7200,34.25
2014-09-17,33.72,34.10,33.60,34.05,19100,33.79
2014-09-16,33.92,34.20,33.71,33.98,17200,33.72
2014-09-15,33.99,34.50,33.70,33.80,13200,33.54
2014-09-12,34.51,35.15,33.87,34.35,15100,34.08
2014-09-11,34.39,34.75,34.20,34.72,12500,34.45
2014-09-10,34.55,34.91,34.50,34.54,7500,33.98
2014-09-09,34.82,35.03,34.51,34.69,4900,34.12
2014-09-08,34.81,35.20,33.87,35.08,11100,34.51
2014-09-05,34.92,35.44,34.48,35.09,9700,34.52
2014-09-04,34.94,35.49,34.66,34.79,12900,34.22
2014-09-03,35.49,35.49,34.41,34.75,3600,34.18
2014-09-02,34.79,35.31,34.19,34.82,7800,34.25
2014-08-29,33.92,35.08,33.60,34.45,17600,33.89
2014-08-28,33.61,33.86,33.52,33.72,5400,33.17
2014-08-27,33.63,33.92,33.57,33.57,9600,33.02
2014-08-26,33.65,33.92,33.56,33.91,8100,33.36
2014-08-25,33.50,33.92,33.38,33.91,10400,33.36
2014-08-22,33.67,33.94,33.43,33.94,9400,33.39
2014-08-21,33.08,33.69,33.01,33.45,12200,32.90
2014-08-20,33.26,33.55,33.13,33.13,5700,32.59
2014-08-19,33.25,33.95,33.25,33.25,9600,32.71
2014-08-18,33.35,33.75,33.35,33.35,4700,32.81
2014-08-15,33.80,33.94,33.35,33.35,4000,32.81
2014-08-14,33.73,35.12,33.65,33.98,8700,33.42
2014-08-13,33.57,34.81,33.18,33.76,14100,33.21
2014-08-12,33.79,33.79,33.18,33.69,18100,33.14
2014-08-11,33.34,33.65,33.08,33.26,7600,32.72
2014-08-08,33.21,33.75,33.08,33.47,11600,32.92
2014-08-07,33.25,33.98,32.82,33.44,10500,32.89
2014-08-06,33.55,34.75,32.61,33.09,28800,32.55
2014-08-05,33.60,34.78,33.51,33.80,18900,33.25
2014-08-04,34.56,34.56,33.65,33.65,4200,33.10
2014-08-01,34.18,35.08,33.51,34.01,11100,33.45
2014-07-31,34.50,34.50,34.00,34.27,16900,33.71
2014-07-30,34.85,34.98,34.30,34.50,3800,33.94
2014-07-29,34.50,35.42,34.50,35.10,2200,34.53
2014-07-28,34.65,34.90,33.99,34.60,6300,34.03
2014-07-25,34.83,35.50,33.98,34.40,41700,33.84
2014-07-24,34.75,35.20,34.48,34.50,4900,33.94
2014-07-23,34.29,34.86,33.00,34.26,12400,33.70
2014-07-22,35.54,35.74,34.18,34.29,12500,33.73
2014-07-21,35.40,35.95,35.01,35.04,4400,34.47
2014-07-18,35.33,35.80,35.33,35.53,1700,34.95
2014-07-17,35.81,36.49,35.04,35.37,18200,34.79
2014-07-16,35.50,36.73,35.36,35.75,16500,35.17
2014-07-15,35.76,35.96,35.11,35.33,4000,34.75
2014-07-14,35.17,36.00,35.01,35.67,16100,35.09
2014-07-11,35.21,35.21,34.64,34.97,2900,34.40
2014-07-10,34.84,35.52,34.43,35.05,14400,34.48
2014-07-09,35.39,36.06,35.05,35.29,6300,34.71
2014-07-08,36.23,36.23,34.79,34.99,12900,34.42
2014-07-07,35.81,36.60,35.47,36.48,19100,35.88
2014-07-03,36.07,36.58,35.35,36.10,12000,35.51
2014-07-02,36.45,36.45,35.54,35.94,7500,35.35
2014-07-01,36.08,36.99,35.42,36.32,28100,35.73
2014-06-30,33.81,35.99,33.81,35.99,18700,35.40
2014-06-27,33.20,34.42,33.13,34.10,463700,33.54
2014-06-26,34.21,34.49,33.00,33.39,17100,32.84
2014-06-25,34.97,34.97,33.96,34.15,20800,33.59
2014-06-24,35.55,35.55,34.59,34.79,36400,34.22
2014-06-23,35.65,35.70,35.01,35.10,27600,34.53
2014-06-20,35.08,35.90,34.40,35.42,75400,34.84
2014-06-19,35.38,35.45,34.05,34.85,20800,34.28
2014-06-18,35.75,36.08,35.07,35.20,15200,34.63
2014-06-17,35.52,36.13,35.40,35.65,13500,35.07
2014-06-16,36.30,36.30,35.40,35.63,16000,35.05
2014-06-13,36.15,36.94,35.68,36.02,17200,35.43
2014-06-12,36.43,37.04,35.25,35.88,28900,35.29
2014-06-11,35.40,36.83,35.06,36.33,25500,35.74
2014-06-10,35.90,36.44,35.55,35.99,8700,35.11
2014-06-09,35.03,36.65,34.43,35.89,21800,35.01
2014-06-06,34.72,36.10,32.99,35.60,15700,34.73
2014-06-05,34.15,34.82,34.15,34.80,10600,33.95
2014-06-04,34.67,34.82,34.28,34.43,8100,33.59
2014-06-03,35.06,35.68,34.41,34.70,19300,33.85
2014-06-02,35.24,35.56,34.25,35.21,19300,34.35
2014-05-30,34.52,35.27,33.83,34.86,18900,34.00
2014-05-29,34.62,35.55,33.95,34.54,24300,33.69
2014-05-28,35.58,35.58,34.52,34.57,10200,33.72
2014-05-27,34.61,35.44,34.61,35.44,12200,34.57
2014-05-23,34.60,34.91,34.20,34.73,11400,33.88
2014-05-22,34.16,34.89,34.12,34.64,10200,33.79
2014-05-21,34.40,34.94,34.00,34.28,15700,33.44
2014-05-20,34.05,34.69,33.59,34.35,22600,33.51
2014-05-19,34.09,34.31,33.73,34.03,13500,33.20
2014-05-16,33.00,34.43,32.49,34.43,13400,33.59
2014-05-15,32.63,33.43,32.31,33.07,15600,32.26
2014-05-14,32.67,33.22,31.63,32.84,25100,32.03
2014-05-13,33.35,33.36,32.69,33.24,12500,32.42
2014-05-12,32.50,33.79,32.35,33.29,11600,32.47
2014-05-09,31.65,32.93,31.50,32.46,12700,31.66
2014-05-08,31.38,32.09,31.34,31.72,7200,30.94
2014-05-07,30.81,33.37,30.34,31.29,22900,30.52
2014-05-06,31.60,31.61,30.33,30.68,15500,29.93
2014-05-05,31.39,32.13,31.39,31.60,9700,30.82
2014-05-02,31.24,31.54,31.01,31.54,15600,30.77
2014-05-01,31.31,31.75,30.91,31.07,17700,30.31
2014-04-30,31.65,32.46,31.13,31.25,10300,30.48
2014-04-29,31.64,32.13,31.36,31.66,5900,30.88
2014-04-28,31.60,34.47,31.32,31.32,11600,30.55
2014-04-25,31.90,31.90,31.11,31.30,13100,30.53
2014-04-24,32.17,33.50,31.51,31.92,15800,31.14
2014-04-23,31.86,33.50,31.76,31.90,10000,31.12
2014-04-22,32.11,32.49,31.75,31.80,13900,31.02
2014-04-21,32.51,32.59,32.01,32.07,10000,31.28
2014-04-17,32.50,32.82,32.02,32.39,6100,31.60
2014-04-16,33.19,33.24,32.34,32.49,15500,31.69
2014-04-15,33.44,34.24,32.43,32.91,15200,32.10
2014-04-14,33.49,34.05,33.28,33.50,12000,32.68
2014-04-11,33.25,33.41,33.00,33.05,10700,32.24
2014-04-10,33.80,33.89,33.00,33.11,7700,32.30
2014-04-09,33.00,34.11,32.70,33.70,20700,32.87
2014-04-08,32.73,33.25,32.50,32.88,17200,32.07
2014-04-07,33.06,33.45,32.61,32.83,17600,32.02
2014-04-04,33.22,33.49,32.70,33.00,17000,32.19
